0,,CP Cost,Name,Jumpdoc,Chapter,Description
1,,100,Time-honoured Tradition,My Bride is the Demon Lord,Relationships,"It is traditional for a Hero to have a harem. When you take on multiple lovers (or are in a relationship with someone with multiple lovers), everyone involved just sort of gets along better than they otherwise would. Instead of being jealous of one another as they fight over someone’s attention, they will feel stronger feelings of compersion—that is, being happy over the happiness of others. Although they’ll still want to be with you (or your lover), they’ll still enjoy someone else having that special time instead of them. You may include yourself in this effect as well, if you so desire."
2,,100,A Keeper's Empathy,Kemokko Zoo,Relationships,"A good zookeeper needs to understand what an animal needs and wants. You can now easily gain insights into an individual’s personal and social needs and desires, helping you empathize with them and figure out how to help them. You gain similar insights on animals, helping you better take care of them."
3,,100,Book of Stats,Generic: Fat-Fetish,Relationships,"This handy, dandy little notebook with infinite pages (yes you can still lift it) automatically keeps track of every detail of any of your lovers/companions. Weight, measurements, etc. In either Standard or Metric at your discretion. And when you open it, you automatically open to the page you wanted, even if you have thousands of entries."
4,,100,Champion of the Small,Fate/Loli Order,Relationships,"Hey, there's no shame in someone your age still liking magical girls. In fact, it's hard not to love these brave little heroines, or to want to support them when they're doing their best and standing up for what's right. But something special happens when you're the one supporting them: maybe it's all the long practice you have from directing your servants, but having you there to cheer them on or back them up in a tough spot gives magical girls and other young heroines a swell of courage and determination to overcome all challenges, and maybe a little dash of a warm fuzzy feeling for you too. Don't be too surprised if many of them start wanting to call you big brother."
5,,100,Confession Tape,Generic: Incest,Relationships,"This cassette tape contains a video-recorded confession of everyone who falls in love with you. They needn’t actually confess to you, but the moment they realize they’ve fallen in love with you the cassette will update with a recording of them admitting their feelings for you. Comes with a free, universally compatible cassette player."
6,,100,Dear Naruto Letter,Naruto Blacked,Relationships,"Being beautiful inevitably earns you the attention of people you’d rather not have around. Maybe you have a persistent ex who can’t take a hint that you don’t want to see them again or maybe you found someone much better and want to let them down easy. Either way you’re able to dissuade any unwanted suitors from pursuing you or break off any existing relationships simply by writing your ex a letter detailing your feelings on the matter. Anything you put into these letters will be interpreted exactly as you intended it, and you can be as kind or as cruel as you like depending on the impact you’d like your words to have, letting you part ways on good terms or drive the knife in as hard as possible."
7,,100,Fidelity? LOL,Burakku Gakkou Ni Tsutomete Shimatta Sensei,Relationships,"People just... don’t seem to particularly care if you’re disloyal in a relationship. They might object a little, but it’s the sort of objection you’d expect to see over someone getting a toy in a Happy Meal that they’d already gotten, not something they’re seriously upset over. Furthermore, for some reason or another it just never occurs to them to expect or demand the same freedoms that they give you; they won’t be any more or less disloyal themselves than they would have been otherwise."
8,,100,Forehead Poke,Merry Marry,Relationships,"Everyone has little habits. Things they do almost subconsciously. This probably isn’t one of them, though it may be a meaningless motion that was granted meaning through repetition and basic pattern recognition. Pick something simple. A poke to the forehead, a pat on the head, maybe rubbing the chin like a cat. When you do this people will automatically pick up on it’s ‘true’ meaning. That’s also something you get to pick, just so you know. It doesn’t have to be Itachi’s ‘you aren’t strong enough to stop me from poking you’. Or whatever it actually means."
9,,100,Friends Forever,"Archangel of Love, Love Mary ~Malignant Conception~",Relationships,"The friendships that you make are deep and lasting, and will endure at full strength even if you’ve gone ages without seeing one another. This is the sort of friendship that drives people to overcome seemingly - impossible hardship for the sake of their companions, and which can endure even the most sinister attempts to sabotage it. Indeed, even if your friends are mind - controlled or are lost to corruption, they’ll still hold your safety in high esteem, even if they’re more interested in converting you than helping you."
10,,100,Gold Collar,Collar 6,Relationships,"First and more obviously, this is an object of considerable monetary worth, but no one will ever try to take it from you to melt it down or anything like that. At least, not out of materialistic greed.

Beyond the gold, however, this is a symbol of commitment to a relationship in which another will hold the ostensible power. Putting it around a neck will not seal away their power or make them unable to disobey someone, but for as long as they are willing to bear the dynamics of such a relationship this collar ensures that things will go reasonably smoothly and that all but the gravest disagreements will be solved in mutually satisfactory fashion."
