0,,CP Cost,Name,Jumpdoc,Chapter,Description
1,,50,Bag of Crystals,Adam and Gaia,Fertility & Family,"Crystals of Gaia fashioned into a necklace, each contains the essence of all those killed by the curse. by placing it around the neck of an infant the newborn will rapidly age physically and mentally to the prime age of their species over the course of one week."
2,,50,Endless Contraceptives,Futadom World,Fertility & Family,"It wouldn’t be a lewd jump without the requisite infinite supply of mediocre contraceptives. Go wild kid. Have as much fun as you want. This pack contains 30 mid-range condoms, 20 dental dams, 5 morning after pills, and a cheap pair of fluffy pink handcuffs, and refreshes each week."
3,,50,Futa-Built Condoms,Futadom World,Fertility & Family,"Futas can cum a lot. You know. A lot. Thankfully, these industrial strength condoms can handle anything you throw at them. Anything. With an upper capacity of a cubic mile of liquid volume, you may never need to clean up again. Good luck finding a place to dispose of them though. This pack contains 10 condoms, and refreshes each week."
4,,50,Red Crystals,Adam and Gaia,Fertility & Family,"A bag of red crystals these inhibit fertility as long as they are worn, so no matter how fertile or virile a person normally is they will not have to worry about children while these things are on their person."
5,,50,Reproductive Control,Bible Black,Fertility & Family,"This is a lewd world. Sex and violence are stuff you will have to face here, especially the sex. We wouldn’t want you to have any accidents along the way. Or maybe you do? Either way, you will gain complete control over your reproductive system to the point of making yourself selectively fertile/infertile. Ladies get the added bonus of having little to no painful symptoms from their menstrual cycle and/or the ability to suspend it altogether. You’re also immune to sexually transmitted illnesses (STIs)."
6,,100,Beloved Younger Brother,Merry Marry,Fertility & Family,"Look, I’ll be honest. Both in this story and in the one it’s based on, there are moments where Sasuke seems to want Itachi’s approval and affection even more than that of his own parents. Possibly something to do with how little those parents emote compared to Itachi. Anyways, your relationship with your siblings is one of the best around. Rivalries and general dislike don’t exist between you. Well, from them to you, especially if they’re older than you. While Itachi never went this far, you might find an elder sibling of yours doting on you as if they were your actual parents."
7,,100,Breeder,Carbon Pink,Fertility & Family,"You are a lot more virile/fertile than normal, either being able to shoot out a lot more cum than you could before and impregnate someone with a ridiculously large amount of children, or being able to give birth to said amount of kids. This is, of course, something you can toggle at will, in case you find it would be inconvenient in the current situation."
8,,100,Contraceptive Herbs,Corruption of Champions v1.1,Fertility & Family,"These consist of a replenishing store of strange, crumpled leaves along with two containers of separate brown and pink pills. While the container of herbs is unlabelled, the pill containers are marked with the words: ""Tnangerp rof knip, nerrab rof nworb.""

The leaves are birth control herbs to avoid unwanted pregnancies, and eating one of the odd leaves after having sex is guaranteed to prevent any pregnancy, no matter the virility of their partner, as long as the leaf is eaten before or relatively shortly afterwards. At least before conception. Eating a leaf on a regular basis also allows for a bit more of a lasting effect...

But if you'd like a more long-term solution, the stores of dual medicines offer another and much simpler option for a lasting protection from pregnancy. Swallowing one of the brown pills renders one unable to bear children or be impregnated entirely, though it doesn’t do anything about any existing pregnancies. This leaves them permanently barren regardless of their normal fertility, at least until a pink pill is taken to cancel the effect."
9,,100,Contraceptives And Aphrodisiacs,Bloom Pirate Hooker,Fertility & Family,"What’s a dickgirl pirate with the sex drive of three men to do on the open ocean? Well, fuck like nuts. But of course, the open ocean is no place to get pregnant. You can do that after reaching Raftel! That's why you have a supply of these two drugs. The first is of course the solution to the vigorous impregnation you’ll be giving or receiving - or maybe both? - on a regular basis. The other is a contact based ‘mood setter’. Not that you’ll actually NEED one, but it’s good for keeping things going, you know?"
10,,100,Easy Pregnancy,Haramase Simulator,Fertility & Family,"With you either knocking up as many people as possible, or repeatedly getting pregnant yourself, having those pregnancies go smoothly is pretty important. With this purchase, you’ll have a guarantee that there aren’t going to be any medical issues with them.

And in addition to not having to deal with any medical problems or complications, this also minimizes the lesser negative aspects of pregnancy like morning sickness and mood swings. Even the recovery afterwards is much lighter and easier, allowing a new mother to be fully healed and ready for more within just a week after delivery."
11,,100,Experimental Fertility Drugs,Shiritsu Risshin Gakuen,Fertility & Family,"As part of the Government Study, all males at Risshin Academy must sign a waiver and take part in testing out an experimental one-time drug treatment. This Treatment essentially enhances the potency and production of sperm and seminal fluid in men with a side effect of also enhancing their libido. Normally, it would just be applied guys, but we didn’t want to leave you girls hanging. So the government also has a version for the ladies too. The female version enhances the ovaries to increase the production of eggs, as well as improve their ability to receive sperm. As a side effect, their menstrual cycle becomes easier and lasts only a couple of days out of the month.

You have a dose of both versions. Just one quick injection and the effects will kick in over the next few days."
12,,100,Good Sisters Share,High School DxD Blacked,Fertility & Family,"Whether you’re a sister, a mother, or even a daughter, you are a dutiful one and have slowly refined an excellent sense for the affairs of your family members. This sense is so refined that you could simply feel that your mother is ill without laying eyes on her, or that your sister is going into heat from halfway across the continent. Or perhaps you can look at a store and instantly pick out the doll your daughter would most like to have? What a loving mother you would be. On the flip side to that, this sense also allows you to lead them around quite a bit by meeting or subverting their expectations of you as you please. Something that you could just as easily use to construct an argument as to why you should be allowed to fuck your sisters boyfriend, why your sister should fuck your boyfriend, or why both of you should go wander into the bad part of town and find a nice man to get ruined by."
13,,100,Heart Bracelet,Fate/Loli Order,Fertility & Family,"There isn’t really anything special about this bracelet, just a short length of string with a heart shaped charm on it. It was probably given to you by a family member as a birthday gift or maybe a small gift to cheer you up on a particularly bad day. But even if it’s utterly ordinary, looking at the charm reminds you that not everything is horrible. Reminds you of the one who gave it to you, of your family. Simply put, the bracelet stokes and feeds that spark of hope that everything will be fine in your chest if I should flicker. Maybe even reignite it entirely if all seems lost and that flame has gone out."
14,,100,Mizuryu Condom,Mizuryu Kei Land,Fertility & Family,"You wouldn't really expect groundbreaking technological advancements to come about in order to have more sex, but this one did. This special condom is super thin to the point you can barely feel it, and sterilizes your sperm as it passes through. In order words, it feels like it's not there and even lets you give/get a creampie. No wonder the guests love it compared to regular condoms, eh? Anyways, you now have a functionally infinite supply of them, in case of emergency."
15,,100,Morning After Magic,Chichikko Bitch / Witch Bitch Collection,Fertility & Family,"Sure, you could dose yourself up to the gills on contraceptives that you buy by the truckload. But wouldn’t it be so much simpler to just cast a magic spell? With that in mind, you can now do just that. Maybe you bought it from a pawnshop, maybe you found it hidden behind a shelf in the library. No matter how you got your hands on it, you’ve found a simple spell that only drains a little bit of energy to temporarily remove your fertility. For 24 hours after casting, the chance of conception is zero. Warning, does not work on fetus more than a week old."
16,,100,Protection,Milk Hunters,Fertility & Family,"With Senpai going around and raping anyone who catches his eye during monster attacks, it might be a good idea to have a bit of “protection.” Protection against STDs and unwanted pregnancies, that is. From now on, you can choose whether or not you will get pregnant or impregnate someone during sex, and you’re not only immune to STDs, but you’ll cure any that your partners have. Unless you don’t want to, for some reason."
17,,100,Purebred,Magical Girl Celesphonia,Fertility & Family,"They don’t make minions like they used to so why don’t you make them yourself? Whether you are throwing a girl to a pack of tentacle beasts or handling the breeding personally, you’ll find that the resulting offspring are that little bit better in all regards, as well as being more loyal and faster to reach an age that they become useful. If you wish to toggle this perk off for whatever reason, you may do so."
18,,100,Unbreakable Condoms,Carbon Pink,Fertility & Family,"These condoms are enhanced with special materials, in order to make sure that they don’t break under the girth and force of the penises found in this kind of setting."
19,,100,Xenophilic Fertility,Elrk,Fertility & Family,"The Elrk race practically specializes in interbreeding and hybridization. There are more half blooded than pure blooded Elrk, and that’s the way they like it. It’s said that an Elrk and another race has an 80% chance of conception, but only 10% between two Elrks, something that you now share. Well, the interbreeding part, not the lesser rates of producing a pureblood part. As long as you’re breeding with another race, your chances of conception are jacked way up. Enough so that you could probably impregnate with - or be impregnated by - a single drop. Mind you, don’t let that stop you from practically drowning them in cum in the proper Elrk fashion."
20,,200,Grandfather,Fate/Worm Night,Fertility & Family,"Your grandson calls you that. And so does his son. And his son. There’s no convoluted family tree here, just your various descendants being too pants-shittingly terrified of you to call you anything but what you ask to be called. See, you’ve got an iron grip on your family, and most of them would rather bow to your whims than actually put up anything resembling a fight. And the ones who do fight you will do it by running the hell away so that they don’t get caught up in your schemes. Or maybe you want to be the cool old guy who everybody loves because you’re crazy awesome? Well, you have the acting skills for it... No matter how you go about it, running rings around your descendants is as easy as stealing candy from a baby - hell, you probably did just that when they were babies."
21,,200,All in the Family,Generic: Virgin,Fertility & Family,"Your genome is super stable. Any pregnancy you’re involved in, be that as parent or facilitator or medical care, will result in a healthy child with no risk to the mother. Inbreeding actually produces stronger children when you’re involved rather than weaker ones."
22,,200,Better Luck Next Time,Haramase Simulator,Fertility & Family,"Pregnancy is hardly guaranteed to occur in all but the most excessively fertile. Sometimes it takes quite a few shots before succeeding, even for a particularly virile HFF cardholder. If they had to wait for the results of a pregnancy test whenever they tried to knock someone up, the spontaneous usage of their cards would be much more complicated.

Luckily, there’s no need for any of that. You just have a sense for pregnancy now, able to feel it when you are impregnated. Immediately after taking a creampie you’d know whether or not it is enough to knock you up, the feeling allowing you to derive a deep-seated feeling of pleasure from successful conception. Perhaps it’s less surprising now that some of the women in this world grow incredibly eager and almost addicted to being impregnated.

Should you be male, you could either apply this to your partners to allow them to sense whether or not you’ve impregnated them or get a more detached sense for it yourself."
23,,200,Breeding Bitch,Generic: Hentai Fantasy,Fertility & Family,"Rape is all well and good, but with enough hate, a captive could murder their new child before trying to kill you as well. And, with the next generation being as precious as it is, that simply won’t do. Thanks to a special something in your cum, the women you sleep with are modified to grow emotionally weak during their pregnancy. Even if they hated your guts on day one, by the time they give birth, they’ll be head over heels in love with you after only slight manipulation."
24,,200,Census,Adam and Gaia,Fertility & Family,"Sowing wild oats long enough and hard enough will eventually leave you overwhelmed at how many kids you might have helped spawn. Thankfully you now can seem to pull up a mental list of all the children you have, their names, habits, and location. This also works to a more limited degree with the population of wherever you are though it will only give you the exact number of a specific species or group located there."
25,,200,Eldritch Impregnation,Generic: Hentai Tentacles,Fertility & Family,"Your are now capable of taking samples from other living creatures. These genetic samples can be mixed with your own, and implanted into a host body to create an offspring of up to three genetic donors. This offspring can have the dna of any combination of yourself, the sample, and the host. Creating a mix of all three, any of the two, or a complete clone of one of them."
26,,200,Genetic Lottery,Elzikyuchi’s Dickgirls 2,Fertility & Family,"While it is possible for a girl to be born as a dickgirl, the vast majority of them are not. A virus, a mutation, surgery and lots of drugs, fucking magic, there’s lots of ways for it to happen artificially. But at the same time, it’s not exactly a natural occurrence if it’s the result of a virus now is it? For some strange reason, any modification to your body now reads as a natural part of your DNA, and thus something that can be passed onto your kids. Dye your hair red, you kids now have a chance to be redheads. Get some breast implants, your daughters have a better chance to be bigger. Become a dickgirl? Your daughters might just be born that way."
27,,200,Goddess Vase,Prina the Dungeoneering Princess,Fertility & Family,"A poison jar is a pot filled to the brim with poisonous animals - the last one standing is the most toxic, clearly. This jar is somewhat similar. It absorbs cum in a seemingly endless amount, and slowly condenses it down into a single pool of cum containing all the best traits of the various donors and none of their weaknesses. Well, it’s supposed to have none of the weaknesses. Those may or may not leak out in the form of a twin sibling to your perfect child."
28,,200,Heartwarming,Slimy Sextet,Fertility & Family,"You can quickly become the emotional center of any group you’re a part of. Your presence influences others in the group to treat each other more like a family, and not a dysfunctional one, either; familial love will soon flow (in addition to whatever other types of love may be present), and even strangers will start to become closer to and care for one another. You inspire other people to be better and brighten up the days of those you meet."
29,,200,"Like Mother, Like Daughter",The Works of Aomizuan,Fertility & Family,"If you loved fucking the mother, wouldn’t someone descended from her and you just be an even better match? Your children will always be of a sex and gender you are attracted to, and when they grow up, they will start to feel sexually attracted to you. You and those you have sex with will never experience any problems from incest; there will be no social stigma against you for it, there will be no genetic abnormalities, and the subjects of the incestuous relationship will never experience any trauma over the perversion of their family bonds."
30,,200,Maternity Leave,Haramase Simulator,Fertility & Family,"Should you end up involved with a H.F.F. member, you’re going to spend a lot of time being pregnant. Even with the faster pregnancies in this world, that is going to involve a lot of time in which you’ll be unable to get much work done as well. On the bright side, taking a period of maternity leave off from work could be very nice if you’ve been overworked.

Regardless of how often it happens though, you can be assured that you can take a leave of absence from your job without having to worry about anything but your actual pregnancy.  Bosses won’t mind your absence even if this is the fifth time this year, emergencies that require your personal attention won’t come up, and at the end of your leave you can seamlessly pick up and continue right where you left off.

If you happen to be male, you can apply this to the women you impregnate instead, making sure that they won’t have to worry while your child is growing inside them."
31,,200,Milf-ification,Celestial Bordello,Fertility & Family,"It would be a shame if the mothers of your children suffered any loss of looks from carrying your children. Now, that will never be the case. Anyone that carries one of your children will be guranteed to have their appearance mature into a perfect blend of MILFy goodness and the traits that drew you to them."
32,,200,Mother of Corruption,"Archangel of Love, Love Mary ~Malignant Conception~",Fertility & Family,"A Succubus Mary’s most important duty is to give birth to Elysium’s offspring; now, the entire process is made much more convenient — and enjoyable — for you (or those you’ve sired children upon) , regardless of if you’ve been corrupted or not . Not only does this make the process of pregnancy easier and quicker — reducing the time to only a few months — but it makes the sensations of the unborn child moving with the mother to be highly pleasurable, such that birth is simply a parade of orgasms as the child emerges."
33,,200,New Warriors are Born,Dragon Ball: Troop of Beasts,Fertility & Family,"Beside finding something to eat, a top priority amongst animals is to make offspring to inherit their genetic heritage. You have no problem with that, as you can reproduce with any creatures you can have sexual intercourse with, even if they’re a robot or an alien with strange biology, without any risk for the child or the mother at birth. Furthermore, your children will always inherit the best part of you and your mate, with the potential to surpass you. You could very well result in a new, better hybrid race."
34,,200,Parent of Monsters,Bio-Weapon Quest,Fertility & Family,"In addition to anything that is naturally inheritable, your offspring - whether human or monster - also develop unique traits based on the powers of their parents which might not normally be inherited. If your Heart Powers specialise in shooting beams of energy, then perhaps they can fire a beam from their mouths once every so often, or if some non-inheritable power makes you a heavy hitter, their muscles might be extremely well developed."
35,,200,Pregnancy Durations,Haramase Simulator,Fertility & Family,"In the last few decades, many advances in the science of genetics have been made, particularly in the fields of pregnancy and sex. Genetic engineering to ensure accelerated pregnancy speed has reached widespread use just out of the necessity to repopulate after the disaster of the gender-virus. With the duration of each pregnancy reduced to a mere seven weeks, some enthusiastic women have even had upwards of thirty pregnancies.

You go a bit further than the norm however, with the ability to mentally adjust the duration of any of your pregnancies. Perhaps seven weeks is still too much, and you’d rather shorten it all the way down to only a minimum of three weeks? Or if you’d like to enjoy carrying a child for as long as possible, you could extend the time for your baby to develop to a staggering 128 weeks at the longest. Or equivalent time frames should you somehow not be human. If you happened to be male, you could apply this to your partners instead, to change how long they have to carry your children. Just pick a length of time before the actual conception, as these changes don’t apply to existing pregnancies."
36,,200,Rapid Growth Machine,The Otaku in 2200 AD,Fertility & Family,"One of the specialties of O-Bio that are unavailable everywhere else, this tank will make those within it age at 30 times the normal rate (although this is only physical aging rather than mental). The machine can induce unconsciousness in those placed within, and floats them in an oxygenated nutrient substance that keeps them alive. Electric shocks are used to stimulate the muscles to prevent atrophy over long periods of time subject to the Rapid Growth Machine. It has a time so it automatically stops once a certain period of time has passed."
37,,200,Selective Breeding,High Elf x High School,Fertility & Family,"Of course, plenty of Masters and Mistresses have various... biological oddities about them. Even if they are human or elf, that doesn’t stop you from having perks that might make you half-shoggoth or something. Fortunately, you can always control what traits are inherited by your offspring—including features such as what race you are, allowing you to make it so that the child of a human and a high elf would also be a 100% pure high elf, a half-elf, a true human, or anything in between. Might have a hard time explaining how a first-generation hybrid of human and elf has only 1/13th elven blood, though."
