0,,CP Cost,Name,Jumpdoc,Chapter,Description
1,,50,Black Book,Corruption of Champions,Magic,"Totally unmarked, save for a blood red clasp that holds the covers closed. Capable of teaching the reader one lust-based spell. Slight chance that they become slightly more intelligent as well."
2,,50,Mana Lotion Potion,NUKENAI Seiken-chan,Magic,A slippery but sticky fluid that can be used “in various ways” for replenishing your mana or slathering all over a magical sword to lubricate it for polishing. Using the entire bottle restores a normal person’s mana to full. This bottle refills once per day.
3,,50,Monster Protection,Breathless Wild,Magic,"The Zora have created a novel solution to the problem of monster rape by requiring their women to wear chastity belts at all times for their own safety. Some wearers may be perturbed by the perpetual vibrations of the safety plugs, but such is the price of preserving a maiden’s virtue in this world. This item grants you a number of these devices, enough to outfit any of your companions with them should you wish to do so. Unlike ordinary chastity belts these are crafted with Zora water magic, which not only enables them to be locked with magic so only specific individuals can remove them (usually not the wearer herself), but also makes them self-cleaning so they can be worn for long periods without impacting the wearer’s hygiene. While they don’t help much against magical corruption, most monsters are too stupid to figure out how to unlock the mechanisms that keep the wearer’s virtue safely sealed away."
4,,100,(Im)pure Energy,The NTR of Slutty Magical Girl Flan,Magic,"As a magical girl, you draw your power from the positive emotions of others. Every act of kindness you do, every smile you create will cause you to slowly grow stronger, with even more energy being created if they have magic of their own. It should be noted though, that despite the name this doesn’t have to be a platonic happiness. More carnal joys can also be used as well, although surely you’ll never stoop to doing something like that with anyone but the one you intend to marry...Right?"
5,,100,A Lady's Favour,Shinmai Maou no Testament,Magic,"It’s common custom for heroes to receive blessings from patrons or admirers before heading off to battle. This piece of cloth is a bandage or a handkerchief that conceals a potent tracking enchantment, allowing you to monitor the status of whoever holds it from a great distance away. Giving it to a person allows you to monitor that person’s health and wellbeing no matter how far away they move, and you can keep tabs on them even if they vanish into another dimension or behind a barrier. It can also be used as a targeting device for some types of spells, allowing you to support the bearer from a great distance or even teleport directly to their side if you have those sorts of abilities. It’s also charmed to resist battle damage and can’t easily be destroyed should your ward ever come under attack."
6,,100,Amulet of Chastity,Princess Sacrifice,Magic,"A magical trinket with the ability to ward off the lustful. It’s honestly just an anti-rape field centered on a bit of jewelry that makes it easier to resist those that want to tap dat ass (your ass). However, it mostly just helps you resist them rather than be a true counter."
7,,100,Arcane Adept,Monster Girl Dreams 1.3 - The Pre-Capitol Update,Magic,"Yer a wizard/witch, Master/Madame. Or at least, you like to style yourself as one. You have a small handful of spells that allow you to use the energy of your mind and body to do things like analyze your opponent for vulnerabilities, restrain them with magical ‘rope’, or just bombard them with pleasure directly. That’s said, there’s always more to learn. Study hard!"
8,,100,Black and White,Bible Black,Magic,"Normally, you would have to study for years to gain the knowledge being gifted to you here. While you aren’t a master of the occult, you are not a novice either. This gives you vast knowledge in both black and white magic and rituals. Black magic tends to be more offensive with its rituals requiring sacrifices of blood, sex, and life in order to accomplish. White magic is more defensive, with the banishment of demons and the healing of ailments being a focus. Rituals of white magic are often long chanting sessions and rather time-consuming."
9,,100,Caval II,Fate/Whore Order,Magic,"Oh dear, it seems that Fou has some competition. This small fluffy dog seems to have taken to following you around, and won’t go away no matter how much you tell it that you’re not it’s master. Still, for a dog you don’t own it seems remarkably well trained. Perhaps the dog is simply an excellent judge of character, and deems you worthy of it’s loyalty? ...That’s actually somewhat true, given the dog’s nigh supernatural ability to detect the evilness of others and it’s partial resistance to mind magics and illusions. Oh, and it can also detect lewdness in the hearts of others. You could literally order it to track down bitches for you and it would probably lead you straight to Scathach and whoever her latest target was."
10,,100,Charmed Collar,Evening Starter,Magic,A simple leather choker with runes sewn into it. This choker has several defensive spells placed upon it that protect the wearer from elemental spells and some mental manipulation like hypnosis. It also looks kind of sexy too.
11,,100,Cursed Ring,Prina the Dungeoneering Princess,Magic,"This ring is fairly standard as far as cursed objects go. Succubus use it to make their meal last a little longer before finally cumming their life out of their dick. A simple curse that prevents the wearer from ejaculating, and another that prevents them from removing it under their own power is all it really has. Technically speaking, you have two. An actual ring, for boring people, and a cock ring, as the original was."
12,,100,Deck of Hearts,Generic: Hentai Occult,Magic,"A mostly ordinary deck of playing cards, though the queen's are the only thing special about it. Specifically, the king and queen cards will attune to anyone that touches them, with the kings applying to men and the queens to women. Anything sexual you do to one of the attuned people within the network will happen to all of them, all the way up to getting pregnant. To ‘activate’ a card, just get the intended person to touch it. It stays tuned to them as long as no one else touches it. If you really wanted to be mean, you could tie three to one person to utterly wreck them. You can choose whether a card attunes to you."
13,,100,Dragon Skin Black Undies,Princess Sacrifice,Magic,"A set of black undergarments made of dragon skin and fit like a glove. It makes the wearer resistant to fire, which is pretty damn good for a set of sexy undies. It has this odd effect of making the skin more susceptible to pleasure, though..."
14,,100,Elemental Crystals,The Legend Of Queen Opala,Magic,"These large crystals contain the four elemental spirits: Fire, Ice, Air or Earth. When shattered, you can choose to fight the released spirit and absorb its power to gain the ability to attack foes with (weak) elemental blasts of their particular element. Giving up this power will cause the crystal to reform.

Alternatively, if you shatter a crystal but don't hurt them, you can ask them for some other favors. They're all attractive women clad in nothing but their elemental powers, after all, and while you could always use them as magically empowered bodyguards, there’s no doubt other things they could help you with..."
15,,100,First Year Rookie,Karenvania,Magic,"Now that you understand your power, you must begin to use it. To that end, you have an acceptable level of skill at the standard weapon of an Exorcist - traditionally a sword, though the exact style is up to you - as well as the ability to use your spiritual energy to enhance your body, striking with the force of several men despite being a somewhat dainty young lady. In addition to that, your name has been magically shrouded, preventing people from being able to identify you as an ordinary student while performing your duties as an Exorcist unless they already know you personally.

These exercises will come as easy as breathing, to the point that you can do them flawlessly in your sleep. Their effect is minimal, but they should allow you to gain some muscle mass fairly quickly. You will also notice a pleasant ache in your body after performing them, as if the exercises were arousing to you. In what I assure you is a completely unrelated manner, your ass is amazingly clean and anal sex is remarkably pleasurable to you."
16,,100,Hylian Hood,Breathless Wild,Magic,"A simple hooded cloak enchanted by fairy magic, this traveler’s staple is a useful accessory for anybody hoping to travel Hyrule with some degree of privacy. When the hood is pulled up it shrouds the wearer’s face in magical shadows, disguising them to anybody who doesn’t already know their identity. A princess wearing this cloak could walk among her subjects and be totally unrecognized by all save the bodyguard at her side. Nor will they notice if said princess is otherwise nude or has a vibrator buzzing away beneath her clothes, as the great fairy also rather mischievously enchanted the cloak with an aura of normalcy that disguises lewd acts from uninvolved onlookers, though if they become directly involved in such lewdness the disguise falls away immediately. All but the largest of monsters could even use this cloak to pass themselves off as ordinary travelers if they were clever enough to disguise themselves, at least until the hood falls away and their monstrous intentions are revealed."
17,,100,Magic,Although Young People Recoil from Entering the Black Magic Industry...,Magic,"You’re lucky enough to know magic! If you’re a drop-in, this lets you skip the years of education required to get to the point that you can actually start casting spells; if you have a local background, your past includes receiving an education in magic . Whether it’s from a formal institute, learned via family traditions, or self - taught, it doesn’t matter; in regards to this perk, they’re all equally effective. There are many different types of magic in the world, but you can select from the following list: 
> White Magic: White magic is the loosely - defined magic of “good”; it can inflict justice on those who have done wrong, weaken powerful enemies, heal wounds and sickness, fill inanimate objects with life energy to create golems, and so on. There is no requirement in the slightest that these magics be used for good purposes, however. 
> Black Magic: Black magic is the loosely - defined magic of “evil”; it can create undead (who are of ten rather nice), summon demons (who are delightfully helpful), speak with the deceased (who may have good advice), drain life force (which with specialized application can be used to heal), invoke fear (useful for ending fights quickly), as well as the magic of making sacrifices to achieve something normally beyond your means. It is also the magic most frequently used for sexual purposes. Like with white magic, there is no requirement to actually be evil to use black magic. 
> Purple Magic: Purple magic is closely related to black magic. While both are capable of a degree of mind control, manipulating emotions, and providing resistance to said effects, purple magic goes all - in on focusing on mental effects. It is capable of invoking hallucinations, causing ill usions, full - on control of minds and thought processes, and brainwashing. 
> Blue Magic: Blue magic is deceptively simple; it allows you to control water. However, considering how important the sea is to life in general, and to commerce in particular, this ma kes blue magicians an invaluable component of the economy. 
> Red Magic: Red magic is the magic of fire and destruction. Although its most readily - apparent and obvious uses are for combat, red magicians are actually most commonly found in the field of enginee ring. 
> Green Magic: Green magic is the natural magic of plants. It can manipulate them, make them grow faster, and affect their health. A vital component of the agricultural system.

You may purchase additional forms of magic at any time you could purchase a perk for 200 CP."
18,,100,Magic Mirrors,Erona,Magic,"A set of two mirrors that appear completely normal but are communication devices that are linked to each other so that what appears on end is shown on the other. Geldro used this as a way to contact a corrupt noble in the capital to get him to sell out the country's military and stage a coup, but I’m certain a smart orc like you can find other uses for such a tool."
19,,100,Magic Tricks: Arcane,A Change of Tactics V2.2,Magic,"Any mage worth his salt can cast battle magic: fireballs and rays of light are simple expressions of power, devoid of finesse or subtlety. There’s much more to magic than mere elemental destruction, and you’re an expert at both these simple combat spells and more complex spellwork. You’ve mastered arcane magic, wielding elemental magic of all sortsIn addition to basic combat magic, you can wield other spells with greater utility, such as wards to protect a region from the elements, or spells to spy through walls, and many more, though you will need further training before you can contend with the most powerful mages in this world."
20,,100,Magic Tricks: Sacred,A Change of Tactics V2.2,Magic,"Any mage worth his salt can cast battle magic: fireballs and rays of light are simple expressions of power, devoid of finesse or subtlety. There’s much more to magic than mere elemental destruction, and you’re an expert at both these simple combat spells and more complex spellwork. You’ve mastered sacred magic, weilding spells of healing, defense, and the power of faith. In addition to basic combat magic, you can wield other spells with greater utility, such as wards against sickness or pregnancy, or spells to track a marked target, and many more, though you will need further training before you can contend with the most powerful mages in this world."
21,,100,Magical Back-up Battery,Evening Starter,Magic,"A specialized device used to restore magical power quickly. While seemingly mundane, it is a highly specialized tool that works with both Witches and Sorcery Emulators. It’s a rechargeable pool of magical energy that is great in an emergency. It can do this twice before needing to be recharged. However, it must be recharged via biochemical reactions. The catalyst for such reactions is blood or semen, the fresher the source, the more potent the reaction. Blood from transfusion bags seems to ruin the effect and frozen semen is very inefficient."
22,,100,Magical Smokes,High Elf x High School,Magic,"These look a lot like cigarettes, but don’t cause anything resembling the health issues caused by those death sticks. Smoking one of these will gradually replenish your supply of magic, fully recharging you if you fully smoke one. More quickly, however, it can also instantly end the refractory period and can cause a male to rapidly produce more cum. You have a supply of 3 packages of Magical Smokes, which replenishes each week."
23,,100,Pocket Goblin,Baalbuddy,Magic,"At will you can summon a small helper like a goblin or a fairy. Out of your cleavage, from under your skirt, out of your asscrack, whatever. They can do some housework but are otherwise of limited utility. If killed, you can’t summon another for 24 hours. Counts as a follower."
24,,100,Souls for Seed,Magical Girl Celesphonia,Magic,"Using the ominously named Soul Extraction technique, you can directly convert any semen you take into your body into the Soul, strengthening your physical and magical capabilities! The higher quality the semen - that is, the greater its virility - the higher quality the haul. Now get out there and suck some dick in the name of justice!"
25,,100,Tentacles on Demand,Submission Sailor Moon,Magic,"The perfect thing for when you need to tie up a struggling prisoner, this set of six tentacles can be summoned out of most flat surfaces, allowing them to hang from the ceiling or rise up from the ground whenever you need a few extra pairs of limbs. The tentacles are about six to ten feet long and have all the strength and abilities that your own limbs do, like shapeshifting or spewing poison, but if they’re damaged or destroyed you’ll have to wait 24 hours to summon them again."
26,,100,Trusty Staff,"“I'm in Another World, So I Guess I'll Use Magic to Be Lewd!”",Magic,"What self-respecting wizard goes anywhere without his staff in hand? ...no, his other staff. The one that shoots fireballs. This is a pretty standard wooden staff, carved from oak or some other type of wood that channels magic easily, and it gives a small but noticeable boost to any spells cast through it. It may look rather plain at first glance but as you level up its appearance will evolve with you, though it doesn’t grow in strength unless you put some extra work into reinforcing its enchantments. If you’d rather have a wand or an athame or a spellbook or something you can turn this item into one of those instead, but regardless of what you pick it can always be summoned to your hand if you’re ever parted from it."
27,,100,Vestal Virgin,Generic: Virgin,Magic,"You have very basic holy powers. With appropriate rituals, you can consecrate objects or places, bless people in minor and subtle ways, promote clean and easy healing, neutralize poison and other such minor miracles. 

This does not actually require you to be a virgin, but if not, you will require a spiritual cleansing as part of the rituals, making them considerably less convenient."
28,,100,Walk Without Death,Fate/Grand Master,Magic,"Most magi will tell you that magic isn’t a toy and needs to be taken seriously, but it seems an awful lot less dangerous than it’s hyped up to be, at least when you’re using it. Any magical abilities you might have are safety-proofed against friendly fire, collateral damage, and any risks of backfiring. You could unleash your most powerful spells or a noble phantasm even with your squishy human master directly in the line of fire with no fear of harming him whether directly or through any collateral damage you may cause. Even when you use your powers directly on a person you don’t want to harm, they never misfire except in harmlessly lewd ways, such as blowing your Master’s clothes off or swapping their gender for a few days. You’re able to toggle off this perk’s effects if you need to harm a loved one or yourself for some unfathomable reason."
29,,100,Wand,Although Young People Recoil from Entering the Black Magic Industry...,Magic,"You are now in possession of a wand — a tool for using magic and inscribing runic circles, ranging in size between a long twig and a staff, and typically decorated with details suited to the wizard in question’s specialty in magic. It is possible to use magic without one, but it is so prohibitively expensive in terms of mana that a focal tool such as a wand is all but required if you want to use magic more than once a day. You could reduce the cost in magic to the level of using a focus if you draw a magic circle, but this is time consuming and not viable in an emergency. However, combining a magic circle with a wand halves the mana consumption of any spells you cast, enabling you to work magic outside what’s normally possible for your mana levels."
