0,,CP Cost,Name,Jumpdoc,Chapter,Description
1,,100,Memory Room,Paccsu,Pocket Dimension,"When it comes to the sheer amount of sexual shenanigans that Namu and the gang get up to numerous would be an understatement. From getting violated by big thick tentacles, pinned down by thick dicked zombies, to even the citizens of the Kingdom of Rho’ho taking advantage of their misfortune, such things more likely than not aren’t fond memories. But for someone like you who may, or may not, have more positive sexual experiences there may be a number you’d like to reminisce about. And so by taking this item you’ll gain where you can do all the reminiscing you care to do. 

The “Memory Room” has rows of endless displays, each representing a time you had a lewd encounter whether that be having sex or peeping on someone changing. By touching a display you’ll be teleported to a temporary recreation of the associated encounter allowing you to relive it. The entire space also comes with indexing features letting you split the displays into different rooms based on different criteria, like having a room for all the lewd encounters with a specific person."
2,,100,Musked Apartment,Bio-Weapon Quest,Pocket Dimension,"This dwelling might be one apartment in a block, or a room in the school dorms. It’s got basic furnishings and student/office supplies like a computer, stationary and some clothes, but the most useful effect is the fact it naturally smells of your ‘scent’. If your scent has any special qualities - like musk, alpha control or fear pheromones - this room propagates those effects at a low level, even when you’re not there. Anyone you leave hanging out here will be thoroughly affected in a relatively short time."
3,,200,Aphrodisac Hot Spring,My Bride is the Demon Lord,Pocket Dimension,"This is a set of natural pools that formed over a peculiar leyline, which has imbued them with lustful energy and turned the vapors from the hot spring into an aphrodisiac, enhancing desire with each inhalation and imbuing bathers with youthful vigor no matter how tired they may be."
4,,200,Childcare,eratohoK,Pocket Dimension,"You have a pocket childcare dimension that follows you around and, curiously, can always accept more of your children, but only your children. After throwing them in the childcare they’ll be released as regular, well-adjusted adults once they hit that age. It makes it easy to simply dump all your unwanted kids here with a guarantee to be raised into responsible adults and to never have to see them again."
5,,200,Flesh Cave,Generic: Hentai Fantasy,Pocket Dimension,"That might sound a bit odd, but basically you have a hidden room/cave that's been taken over by the mother of all tentacle monsters. It's completely obedient to you, to the point where it might as well be an extension of your mind and body. It's also got the standard complement of aphrodisiac bodily fluids and the like, so anyone you throw in here will enjoy themselves, even if they don't want to."
6,,200,Obscene Office,World of Cybersluts,Pocket Dimension,"If you’re going to spend a good chunk of your days stuck in an office, it better be a damn good office. This one is decorated in whatever style you prefer, regardless of the expense. Go wild with marble, gold, ivory, imported wood, or neon lighting if you like. There’s even the option to have ""tastefully” nude statues or holograms installed (note: tastes differ and massively busty/hung statues sculpted to appear in the middle of sex are fine too). 

Your desk is the centerpiece of the room, with an augmented reality display on the top that will help you keep track of your businesses and ongoing projects. Plus, it can go transparent to give you a look at whoever you’re keeping under the desk. Ah yes, the desk is designed with enough room to keep a person under it and a variety of restraints and padding to keep them there for as long as you like. A perfect way to get some discrete relief when you are hard at work."
7,,200,Paradise Hot Springs,Kemokko Zoo,Pocket Dimension,"A set of outdoor hot spring baths that the Director dug out for the zoo (best not to ask how much of it came from the already strained budget). All animals will find the hot springs relaxing and refreshing, creating a harmonious environment for everyone. It is attached to any zoos you have/gain, and can be selectively hidden from visitors’ view (and all zoo animals will have a way to discreetly access it).

The hot springs are maintained by a rotating staff of animal girls, and whenever you visit the hot springs, there will be some kemokko occupying the baths; but don’t worry, they’re more than willing to share the water with you. You can give others access to these pools, or even leave them open for other to find 
surreptitiously."
8,,200,Ritual Room,Bible Black,Pocket Dimension,"This is a simple room that can either be attached to the property you already own or replace one of the rooms in your home as a convertible room. As a standard room, the Ritual Room is large enough to fit a dozen people inside of it at once and is good for both rituals, orgies, or ritualistic orgies. The room comes furnished with a stone altar large enough to fit a person and surrounded by magic circles both underneath and above it. These circles may be reconfigured at will and be used for any sort of ritual you wish to perform. Candle Stands and various drapes and tapestries are also provided for ambiance. As a convertible room, the two magic circles are hidden under a decorative rug (the floor) or drawn in a type of paint that is invisible unless shown under a blacklight (ceiling). The Altar is made of metal with cloth drapes and is actually hidden in a small closet. It can be rolled out and unfolded when needed. This same closet holds all the necessary decorations and ritual gear as well.

Within this Room, any demonic entities and spirits that are summoned are instantly docile towards you. The spiritual forces that protect this room essentially make any attempts at assaulting you against your will impossible. They are also unable to possess anyone unwilling. This makes summoning rituals nearly safe for all participants (sacrifices do not count as participants in this instance).
"
9,,200,Sex Museum,Although Young People Recoil from Entering the Black Magic Industry...,Pocket Dimension,"You gain an attachment to your Warehouse consisting of a museum devoted to recording the sexual history of every jump you’ve been to, updating with each new jump. This includes detailed manuals of all known sexual positions, one copy of every work of pornography, hentai, erotica, or similar content, and three of every type of sex toy or sexual paraphernalia ever used in any world you’ve been to. This does not include sex toys you may have purchased with CP, although you may optionally store them within the museum. Nothing placed as an exhibit in the museum ages, and they are all cleaned automatically."
10,,300,Amorous Apartment,World of Cybersluts,Pocket Dimension,"Someone as charming as you deserves a comfortable place to live, like this modern apartment in the good part of a city. It comes with a free subscription to the good channels, networks, and delivery food on demand. More interestingly, everything here from the doors to the lighting is automated to make life easier for you, with even the kitchen and cleaning taken care of by automated appliances and small unobstructive drones. All of it is directly controlled by the apartment’s accompanying artificial intelligence. Besides the appliances, the apartment also has some cleverly concealed holographic projectors to accommodate a more visual manifestation than just a disembodied voice for the AI.

The AI can be customized to act however you want it to, and will continue to tailor and adapt its personality and behavior to your desires as it runs to better fulfill its role as a perfect (if virtual) companion and lover. Whether that means a caring AI girlfriend who cheers you up and makes your favorite food for you before you even think to ask, a hard dom who forces you to humiliate yourself before opening the automatic doors, or one switching between extremes like these depending on the situation, the specific results depend fully on what you want them to be. In addition, the AI could also run larger structures and collections of devices in a similar fashion, if you give it access to them. Up to a point, at least."
11,,300,Fortress of Solitude,Generic: Hentai Superheroes,Pocket Dimension,"Also known as your basement. No one else comes down here, so you’re activities won’t be interrupted. A large room, complete with multimedia entertainment system, a large table for games, and equipment for any kind of sexual activity. Perfect for a weekend with friends, or an orgy."
