0,,CP Cost,Name,Jumpdoc,Chapter,Description
1,,0,Books of Wisdom',Dragon Ball: Troop of Beasts,Porn & Paraphernalia,"Ahah, it seems that you share Master Roshi’s love of literacy! You possess a vast library of various books, all centered around a certain the- Okay, yeah, it’s porn. What you got here is an impressive amount of porn books, in the format of either novels, comics or photos. What’s interesting is that a good number of them seem to represent alternate versions of the jumps you have visited, much like this universe is based on a version of Dragon Ball where Goku never hit his head. For example, one book can take place in a world where Planet Vegeta never blew up and the saiyans are having sexy shenanigans, or a world where one of the many villains won and enjoyed the spoils of conquest. Naturally, this library expands with each world you visit."
2,,0,Completed Eroge,Power Play,Porn & Paraphernalia,"A completed version of the eroge Sadaharu was intending to make, without knowing that it was actually based on his memories as the Evil Sex King. A high- quality story that would surely have pushed Sadaharu into the big leagues of eroge production, if only he had ever finished it."
3,,0,Ith-Video Account,Evening Starter,Porn & Paraphernalia,"A strange website that has no known owner or even actual content providers. Yet, for some strange reason, random videos keep getting added to the site. To make matters even stranger, they can come from all points in time, location, and even plane of existence. More often than not, you will find videos involving your companions and you involved in all sorts of strange moments of debauchery and adventure. Essentially, you get an account of a strange online video site that will randomly post videos of your companions and you in sexual moments or moments of violence. You might even see glimpses into the future or a future that will never come about, but you’ll get no context of how your companions or you ended up in that situation."
4,,0,Preferred Refreshments,Free Cities - 9anon Edition,Porn & Paraphernalia,"Everyone’s got their vice, and being an arcology owner means having the means to ensure a steady supply of whatever yours is. Pick some sort of mundane consumable; like a food, drink, or drug. You have an endless supply of it, and what you get is of excellent quality."
5,,0,Slippery Fun,Haydee 2,Porn & Paraphernalia,"Taking the form of a large dispenser, this item can produce an infinite amount of Triphenylamine Juicy - a high strength water based lube gel - in containers of various different sizes, with the smallest being a 2fl oz bottle and the largest being a 275 gallon tank. It also comes with various hose spouts in case you need to shoot the lube out of a hose for whatever reason."
6,,0,White Bread,Kyonyuu Fantasy,Porn & Paraphernalia,"Eating poor grain bread? That’s an inconceivable thought for a Master/Madame. Luckily by purchasing this you seem to have found a large supply of the most delicious and high class bread around. Even better, there is enough for a whole village to feed on and it is non-perishable, so you can eat in luxury no matter where you go. It replenishes weekly.

No, it's not Wonderbread."
7,,50,Aftercare Kit,Futadom World,Porn & Paraphernalia,"A high-quality selection of numbing lotions, ointments, and other tools for post-sex care. Respawns after one week."
8,,50,Aramula Alcohol,Kemokko Zoo,Porn & Paraphernalia,"Beer brewed from marula fruit; it's said that all the animals of the wild gather around and get drunk on the fruit once a year. Therefore, this alcoholic drink is (relatively) safe and enjoyable for all animals, regardless of species, and is certain to get them drunk. You get two dozen cases of them, but the beer is only replenished by one bottle per night."
9,,50,Bottled Tears,Overwhored,Porn & Paraphernalia,"Few things are sweeter than drinking the tears of your fallen foes. Well, usually they’d be rather salty, but to the Overmind the taste is exceptionally sweet. And regardless of the side you’re on, these tears in particular will taste similarly sweet to you.

You get a couple dozen bottles of tears to start with. These tears restore your health and give you the will to squeeze even more out of your foes as a quick pick me up. There’s a few lust potions mixed in as well, which allow the Overmind and his slaves to recover mana and serve as mild aphrodisiacs for others. Curiously, both of these sets of potions will magically refill themselves with the tears your enemies actually shed."
10,,50,Dirty DVDs,Bokunchi No Mikage-san,Porn & Paraphernalia,"This is a set of pornographic DVDs containing a wide variety of real-life porn as well as animated hentai. It is specifically catered to your fetishes, and there always seems to be a new disc in the pile that you haven’t seen before."
