0,,CP Cost,Name,Jumpdoc,Chapter,Description
1,,0,Tasty Sandwich,Feeder Fantasy,Powers,"One could get hungry here, you know? Hoagies, subs, grilled cheese if you like. You can pull one out of your pocket every hour with the exact construction and fillings you like so long as the whole thing can comfortably fit your two hands."
2,,50,Quincy Eyesight,Aki-Akane,Powers,"I won't say that Quincy are particularly famous for much of anything given how few of them are still alive, but the vast majority of them can take a bow and arrow and outdo a modern military sniper. One of the many talents that they might brag about is their eyesight, able to shoot the fly off a wing blah blah blah blah blah. What actually matters is that you have the amazing ability to always get the best view when something 'unfortunate' happens to a young woman and leaves her in an embarrassing position."
3,,50,Handle with Care,Burakku Gakkou Ni Tsutomete Shimatta Sensei,Powers,"Having long nails can be a real hassle, you know? But not for you. No matter how long your nails are, you’ll never have problems typing, handling objects, or otherwise performing fine, delicate activities. Neither will the way you have to hold objects with such long nails prevent you from exerting your full force. Furthermore, unless you’re actively choosing to inflict harm, it is impossible for you to accidentally injure yourself or others with your nails. Finally, if you choose to use your nails as weapons, they will always be hard enough to inflict injury, but will never suffer damage in return, protecting you from the force of your blows ripping off your nails."
4,,50,Healing Kiss,Sekirei,Powers,Your kiss just brings out the best in those that experience it. They feel rejuvenated and more alive than ever. Your kiss can relieve both mental and physical stress.
5,,50,Lewd Underwear,"Archangel of Love, Love Mary ~Malignant Conception~",Powers,"A set of particularly naughty underwear, the kind that anyone would rather be caught dead than be seen wearing outside the bedroom. And yet, when you wear this clothing, you’ll find lewd occurrences to be more common, both for yourself and for other people ; the wind might blow a girl’s skirt up, you might trip and land face - first on someone’s crotch, or you might accidentally spill your drink on your chest to make your shirt see - through ."
6,,50,Pancakes,Bio-Weapon Quest,Powers,"Lovingly made for you by your waifu... No, wait, that's someone else. And they weren't all that great. These pancakes, while not amazingly awesome, are always steaming hot and ready to eat. Comes with the options for things like blueberries or chocolate chips, butter, and syrup. May occasionally come out as waffles instead for some reason."
7,,50,Porn Physics,eratohoK,Powers,"Sexually improbable actions are perfectly possible here in this land of fantasy! Even stallion-on-inchling action causes no harm beyond pain despite the gross improbability of inserting rod A into slot B. Nor are there any sexually transmitted diseases here [obligatory pregnancy joke], meaning there are of course no consequences to having wild orgies every night."
8,,50,Sex Sense,Taimanin,Powers,"A slightly flushed face, a strange scent in the air, or almost barely audible noises all of these things can point to someone either currently having sex or just had sex. Unlike all the oblivious people around you you can tell when a girl is getting fucked on the other side of that curtain or that she has vibrator in her panties. Also helps knowing when someone is cheating on you or just really wants to screw your brains out."
9,,100,Health Bar,Monster Girl Quest V2,Powers,"With this you now have the ability to mentally see a bar representing how close you are to orgasm with full being unstimulated and an empty health bar meaning you have cum. Also gives a ‘metaphysical’ and numerical representation of how much pleasure you can take and how much your partner does. If you want you can mentally adjust the health bar to play a damage noise on pleasure attack (Also, can choose to hear when attacked painfully as well), refill after you orgasm thus representing your next orgasm, to remain empty until sex is over, or just ignore the health bar."
10,,100,“Should’ve let the Evil Sex King revive”,Power Play,Powers,"When you are presented with the opportunity to make any type of choice, you are always aware of which option is most likely to end with fucking."
