Cost,Perk Name,Source,Description
0,Aura,FancyFireDrake RWBY,"(See also: SB RWBY, Generic RWBY, /tg/ RWBY, The Games We Play, etc)
Every living thing, from humans to Faunus and even animals, have a Soul. Only the Creatures of Grimm are soulless and as such can’t make use of this power. For you though? You are now, thanks to the physics of this world, able to use your soul as a powerful tool called Aura. This has a variety of uses.
To begin with Aura at default works as a sort of energy shield against attacks and damage. You won’t suffer direct harm while its active, but you will still feel sensations like pain and heat while your Aura is up. It requires training to always subconsciously have a cloak of Aura on. It can even protect you from climate conditions, like walking through a snowstorm, though particular extreme conditions will damage Aura like combat damage would.
Aura can also be used to amplify your abilities, like your defence and strength making you essentially superhuman. In addition to that just possessing Aura gives you a minor automatic healing, able to fix small wounds like scratches in seconds.
All tools and equipment are capable of being used as conduits for Aura, allowing a user to be capable of sending out crescent shaped energy slashes from their blade for example. Furthermore it can be used to enhance these things, allowing you to, for example, even use a loaf of bread as an effective weapon. Dust usage is also enabled by Aura.
Those already possessing Auras may also unlock someone else’s Aura. Doing so however takes a toll on the user, potentially weakening their own Aura for a while.
Users with particular advanced experience in utilizing Aura may also be capable of other ‘higher-tier’ techniques. Examples would be to use Aura consciously as a shield, create shockwave-like attacks, gain extrasensory perception and even sensing and identifying other people’s Auras.
That being said, Aura alone does not make you invincible. Continued damage or attacks far outweighing your Auras capabilities will be able to eventually break it. Using your Aura repeatedly also puts it at risk of decaying, to the point where the user can be left weakened and without Aura until they are able to rest. Aura being completely depleted is visually represented as a coloured sheen glowing along the length of a person's body or with coloured particles flying off the body, indicating that they can now be physically injured. Aura flickering means it is close to being depleted.
Still it is a versatile tool that has helped humans and faunus alike over the years and now you as well."
0,Basic Ninja Training,/tg/ Naruto,"You know how to use kunai and shuriken, a basic taijutsu style, how to walk on any solid surface regardless of petty gravity, how to walk on water, create a non-physical illusion of yourself, and change places with a previously prepared log or another generic item to dodge attacks. You can also reinforce yourself with chakra, making you significantly faster, stronger and more difficult to hurt, and if you apply yourself, you will be able to keep up with Captain America. You also gain the ability to jump ludicrously far, on the order of dozens of meters. It's all topped off with some serious stealth skills too. As in keep yourself from being spotted while wearing a bright orange jumpsuit and defacing Mount Rushmore levels of stealth.
(Notes)
Yes, you can teach others how to awaken their chakra and how to use it."
0,Keyblade,Kingdom Hearts - Birth By Sleep,"Congratulations! You have been chosen by a mysterious, possibly-sentient weapon known as a Keyblade to be its wielder. As the name implies, in combat, Keyblades are used like swords. Even though most possess no actual cutting edge, Keyblades still make efficient combat weapons, and are shown to be particularly effective weapons against the forces of darkness. The main power of the Keyblade, however, is the ability to seal or open the barriers between worlds, as well as to ""lock"" a world's Keyhole, preventing any unsavoury elements from attacking that world's heart. As an offset of this ability, the Keyblade can also be used to lock or unlock any lock, allowing the user to access any sealed interior, whether it be a locked room, gate, or treasure chest. In addition to its base powers, it is possible to modify a Keyblades appearance and powers by attaching various keychains in the wielder's inventory.
You can customise your Keyblade in the Keyblade Customisation portion of the Kingdom Hearts Supplement. You may also access the Birth By Sleep section of that Customisation section for this and any future Keyblades you acquire."
0,Morphing​,Animorphs,"Your primary tool in the fight against the Yeerks. By touching any living creature with DNA (except plants, for some reason) and focusing on it for a few seconds, you can ‘acquire’ its DNA. Creatures will go docile while acquiring, which makes the process a bit safer when acquiring dangerous beasts. Once an animal has been acquired, it’s DNA is permanently recorded in your own, allowing you to transform into an exact replica of the creature. The process usually takes about two minutes, and because it is based on DNA, you do not gain any non-­genetic aspects of the morphed creature ­ injuries being the prime example. Morphing also gives you all the instincts of the morphed creature, allowing you to use it’s abilities without difficulty, though the instincts can be overwhelming at first.
Oh, and don’t worry about clothes, implants, or other such non­genetic additions. Anything that is closely ­connected enough to you counts as ‘part of you’ as far as morphing is concerned, and will still be there when you morph back. Shoes and non-­skin-tight clothing will be left behind, so wear some spandex under your clothes and you’ll be fine. This only applies to base forms; morphed forms reset to their base after demorphing, and cannot carry even skin-tight clothes or such.
There are two major limitations on morphing. The first is that you cannot go directly from one morph to another; you must return to your base form first. The second is a time limit ­ if you remain in morph for more than approximately two hours, you remain trapped in that morph. Forever."
0,Force Conduit,/tg/ Star Wars Supplement,"After completing any two Star Wars jumps you will gain the ability to grant living things in other universes a connection to the Force. You will have full control over who and what becomes Force sensitive and you can grant powers to either a few individuals or an entire universe if you so choose.
The Force Sensitives you create can start anywhere from beginner to padawan in terms of strength and skill, you'll have full control over how well they're initially able to use the Force and wield a lightsaber. With study and training these individuals will be able to improve themselves potentially becoming just as powerful as you are, or perhaps even more so.
You're free to decide whether or not the people you grant Force Powers to gain Midi-chlorians as well."
0,Lightsaber Crystals,/tg/ Star Wars Supplement,"After becoming a conduit of the Force you'll be able to create synthetic lightsaber crystals in other universes and allow them to grow in caves with strong magical or spiritual connections.
People you grant Force powers to will also be able to create lightsaber crystals."
0,Shinsoo Manipulation,Tower Of God,"Shinsoo is a supernatural energy. It is the basis of all life and energy in this world. In high concentrations it behaves as a liquid and has a palpable weight to it. It's said that one with complete mastery of Shinsoo would be a god-like being of incomprehensible power. Denizens of the tower use it to heal, strengthen themselves, and attack with. Rankers use it to maintain their eternal youth. There are even rumors that the Irregular Enryu is capable of creating life with Shinsoo. Please note that they took centuries and eons to reach these heights of power. You begin able to enhance your physical abilities with it. Fifty percent above a baseline human is
where you start.
(Notes)
Your shinsoo abilities will continue to function normally after this jump ends. You may choose to either
become a living fountain of the stuff or to have all the worlds you visit in the future to be seeded with
shinsoo. Others can be taught the abilities you have learned here, but it's going to take a very, very long
time. Assume that people would react to varying shinsoo levels as if they were using it to accomplish
their own abilities. Most places won't have concentrations of shinsoo dense enough to kill their
inhabitants."
0,Spiral Energy,Gurren Lagann,"A mysterious but incredibly powerful evolutionary force that can be harnessed and manipulated by living beings. Spiral Energy can allow an individual to achieve virtually anything imaginable, but in order to keep things from getting too crazy you'll have to slowly unlock your Spiral powers over time. Initially you'll only have enough power to pilot a Gunmen but with enough time and the right circumstances you can figure out how to generate large powerful drill weapons from your mech that are capable of easily destroying other Gunmen and can cause massive explosions. After a few years of continued use you could potentially learn how to increase your physical abilities, Intelligence, and natural lifespan to superhuman levels. Once you've fully unlocked your Spiral power you'll be able to live for over a thousand years, punch apart small Gunmen with your bare hands, discover and forge incredible technological wonders, and generate drills and other constructs from Spiral Energy without the assistance of a mech.
(Notes)
Regardless of whether or not you decide to go through one of the endgame scenarios, you'll gain the ability to grant one individual in each world you go to a fraction of your Spiral Energy. The person you gift this power to can only improve if your directly train them yourself and the upper limits of their Spiral Powers cannot exceed your own. However, if you decide to go through the Anti-Spiral scenario (Tell Me the Secrets of This World) you will lose the ability to grant others Spiral Energy.
We Will Survive by Any Means Necessary (Scenario Reward)
People around you can awaken their own Spiral Power but they will be bound by the same restrictions as you are. While people who possess Spiral Energy can become incredibly powerful, keep in mind that not everyone can reach their full potential and even if they can they're typically only capable of doing so under extreme circumstances. Animals and artificial organisms can also potentially develop their own Spiral power, but this is extremely rare and difficult and typically only happens if they possess a great amount of willpower and stay in the presence of a strong Spiral user for extended periods of time. Anyone with Spiral Energy could potentially trigger the Spiral Nemesis but they would have to generate universe levels of matter and energy in order to do so.
(Endgame Scenario Reward)
By defeating the Anti-Spirals and keeping reality intact you've proved that Spiral Energy can be used without causing the apocalypse. From now on you will be able to spread Spiral Energy to other universes, granting countless beings the power of evolution. In addition to being able to grant whole universes Spiral Power, you also received your own version of Cathedral Terra, a massively powerful moon sized starship capable of transforming into a similarly powerful Gunmen."
50,Psi Lab,XCOM 2,"A lab that you can use to train psionically gifted individuals how to use their powers. You cannot use
this to bypass the psychic perk, but people in universe that join you can use these facilities to
become more proficient. It takes about 3 months to fully train someone and you can train 2 at a
time.
Psionics (Notes)
In XCOM EU/EW it was a psionic potential malarkey governed by RNG that is supposed to simulate
random genetic drift, in XCOM 2 any rookie can be trained as a psychic. Go with the one that floats
your boat the hardest."
100,Aura,Samurai Deeper Kyo,"Your latent spiritual energies coil around you like a great flame and by unlocking their potential you can use them in various manners. You could learn to do this on your own, which is free to any who have come to this Jump, but if you pay the extra cost you have the swollen lifeforce and experience of a person who has had extensive training in the use of Aura, an equal to someone who has trained eight years in the art.
Greater spiritual energies means that more can flow forth in each attack, meaning greater spiritual attacks. Whilst the amount you have with the freebie could crush a small boulder, if you paid for it you could easily smash aside the boulder and the small house behind it. Though, unless you use an exceedingly blunt manner to create spiritual attacks most are less destructive to the environment and more focused on killing your foe.
Uses of this power are the creation of crushing auras, shattering lesser techniques through sheer pressure of spirit, extending melee attacks dozens of yards, increasing the damage of attacks and using special techniques. Also you gain the ability to project your intent to kill through this aura, manifesting a frightening aura, and with time you may even gain the ability to project other emotions through your aura.
(Notes)
This can be taught to others via training them, but it may take around a decade."
