Cost,Perk Name,Source,Description
100,Bind Demons,Runepunk,"You know how to summon and bind demons to your will in the traditional manner. You can further bind demons into objects to set them to work or grant astonishing fairy-tale powers to the items in question, though each demon can do but one job and an item can hold but one captive demon."
100,Noise Creation,The World Ends With You,"You can create and command Noise by binding souls to pins. Not only is this an effective means of erasing Players, you can actually use this to save a dying person- In a way. By binding their soul into a Pin, you can make them into Noise, and they will retain all of their faculties and intelligence. However, they will be unable to speak, and will be relatively weak. If their body is erased, you can just summon them again."
100,Rules Lawyering,Bartimaeus Sequence,"Spirits are treacherous things, cunning and deceitful. You need to be careful in how you give orders to them, as they will hear your orders, and then use their millennia of experience to find some loophole, some trick that will allow them to fuck up your plans while keeping within the letter of your commands. Well, now you’re always two steps ahead of them. You learn how to think in the winding, convoluted ways of spirits, and how to give instructions that cover every little loophole and shore up every possibility. Although sometimes it’s just neater to summon the less problematic ones. Taking fifteen minutes just to order a foliot to run a bath can get tiresome.
(Notes)
Summoning and the various manipulations of essence continue to function as they’re supposed to, regardless of where you go. You might experience some turbulence now and then, as the distance between whichever reality you’re in and the Other Place increases, but it shouldn’t be a serious problem."
100,Saint Gatherer,Faint/Grand Order,"A unique substance to be found in this world, Saint Quartz are powerful multi-coloured crystals that can be attained by accomplishing certain sorts of actions. Completing quests or journeys, making daily significant progress towards your main goals to gain every second day, taking part in important events in the story of the world or forming very close and strong bonds with other people all have a chance or certainty of granting a Saint Quartz. Once obtained, there are three uses for these crystals. One can be used to fully restore your energy and fatigue, one can be used to revive you and a small number of allies from the brink of death to full health again or one can be used to chance the summoning system within the Grand Order system, so long as one has the support of Chaldea. This perk is free for Human Type Jumpers for the duration of the jump but may be kept for future jumps, or bought by Servant Types, for 100CP."
200,A Chest Full of Demons,Legend of Zelda - Minish Cap,"Well, not really, like Vaati and Ganondorf you have an ability to conjure servants to do your whims. Weak soldiers are easy enough to conjure even at the start you could create dozens of Moblins or Octorocks but only six or seven Wallmasters or Darknuts. With time, and as your magical energy and skill grows your skill at summoning will grow to frankly incredible levels with growth stopping around the level where you could conjure an army, hundreds of mooks per summoning and dozens of high tiered monsters summoned if you summon no mooks. Though growth past the point is possible it will take exponentially more time and effort for each additional summoned minion."
200,Enhanced Summoning,Overlord Jumpchain,"All summoned creatures you call forth will be 50% more powerful, stick around for 50% longer if the summon is duration based, and will cost 50% less magic to actually summon. Only works on creatures you summon with magic, creatures you create with magic don’t count. Discounted with Summoning Specialty."
200,Greater Summoner,Legend of Zelda - Hyrule Warriors,"Summoning, the act of bringing forth something or someone from somewhere else. The most powerful being Cia who brought forth entire eras and armies, though more than a bit of an outlier considering her reliance on the Triforce and Gate of Souls for such feats.
Summoning is arguably the most widespread of magic with members of every army having more than a few. Perhaps it’s because it is so valuable in war that it’s fostered among varying militaries.
Summoning, to put it simply, is bringing something from somewhere else to where you are now. The larger and farther away the object, the harder it is to summon. The less familiar you are with an object, the harder it is to summon. Normal summoners within this war are used to summon reinforcements as a result, limited to bringing forth allies one at a time from nearby camps.
You have a bit more skill in the art and can summon several allies at a time or call up objects as large as an elephant, and put them back too."
200,Heart and Soul,Exalted - Infernals,"All Yozi have a fetich-heart, a demon of the Third Circle who acts as the defining soul of their being, more powerful and important than any of their other souls. If these should ever be slain, their Yozi progenitor would find themselves remade. As an Infernal possessing of a soul of your own, you would normally be above such weaknesses.
Yet this state also grants advantages and so you may now invest a greater measure of your might into one of your externalized demonic souls. This will both make them terrifyingly more powerful than most Third Circle Demons and able to channel your own full power for a short time, if you permit them to. Take care though, for if they call on your might too often without taking time to rest, they shall destroy themselves. Unlike the Yozi, the death of your heart soul does not mean your identity is completely remade, as you still have your original soul, though the experience will be extremely painful.
Should you have Descending Hierarchy in addition to this perk, and later learn The Path of a Thousand Whispers, then you may empower two of your souls in this way. Just as the King of Primordials, The Empyreal Chaos, was once flanked by his twin Fetich Souls, so too shall you be flanked by your own."
200,Master of Puppets,Fate/Legends - Oasis of Fantasy,"Everyone is born with talent for something, your talent just happened to be making life. When it comes to magic involved in the creation of familiars, even the summoning of them, you’re miles beyond any of your peers. While you are not the best in the world with just this, your raw skill and power with magic still lacking compared to the greats, you’ll find anything in relation to the creation, alteration and maintenance of magical familiars, summons and living creations comes to you with the ease of breathing. You learn far faster, your products are of a vastly higher quality and come with far more efficiency than what your fellow magicians might create. It is even far more cost efficient for you to make them, as you take just a quarter of what others would expend to create the same things.
You have particular talent too in ensuring the loyalty of that you consider a familiar, whether this be designing the minds of creatures you create as easily as you design their bodies or creating lines of spell or rune magic to add to a summoning ritual to ensure much stronger bonds of servitude exist on what you summon. It also happens that you are quite good at creating and overlooking legal contracts, mostly from all the interaction with demons."
200,Names,Runepunk,"You are familiar with the names of a large number of demons, about 40% spread across all five circles, as well as their powers and reputation. Such knowledge updates where applicable in future worlds."
