Cost,Perk Name,Source,Description
100,A Place For Everyone,SB Stellaris,"Your citizens and subordinates are happier, and slightly more productive because of that.
Fanatics not only get more happiness, but happiness has even greater effects on citizen productivity."
100,Business as Usual,Warhammer 40k - T’au,"War machines of any appreciable size or complexity cannot exist without economic and civilian infrastructure. You can easily manage such infrastructure to support a war machine, keeping workers on track and productive even as beings that the superstitious would call demons are clawing at the gates of your city. War-time fatigue and loss of morale will not touch those you manage."
100,Cold Crown of Iron,Exalted - Modern Age,"Winter’s Mask Cast Aside claims that the Abyssals causing havoc in Creation are rebels in self-imposed exile from an otherwise peaceful Underworld. That civilized peoples in both worlds will benefit from an alliance against the rogues of their ranks. Whether or not this is actually true is an open question; certainly nothing has ever been heard from those Yozis slain in the primal conflict of times past, nor is there any indication the Abyssals have some sort of unified mission with which to lead their undead armies. Regardless, you have all the skills of a monarch and administrator capable of handling the vast lands of the unquiet dead. Your laws are written harshly but justly, your stentorian tones brook no argument and you dispassionately make good resource allocations even for a community that doesn’t need to eat or breathe. Whatever the truth of those statements, you could well have ruled over a truly benevolent kingdom of the dead before setting your sights for brighter shores."
100,Emperor in Training,Fate/Legends - Empires Of Antiquity,"There is more to the task of ruling than just smacking all the barbarians with a big stick. Rome is a bastion of culture and civilisation, just as much as it is a military empire. Though you are no legendary ruler, you are a capable one with your breadth of skills. You’re a decent military tactician and a competent legion fighter, but you have fairly advanced skills when it comes to administrative tasks, legal ruling, diplomacy, financial matters and actually managing your citizens. You’re also quite good at giving yourself a good public reputation, knowing how to sell yourself to the patricians and the masses, as well as how to appeal to individual political factions in your territory and without. Few men can rule Rome alone but with the right words in the right ears, Rome might just rule itself for you."
100,Executive Vigor,SB Stellaris,"When the party makes a proclamation, not only does that have the normal mundane effects that words have, it has effects beyond that. Proclaim that crime is going to fall and watch criminals decide to stop being criminals. Make a declaration about how “we need more energy” and watch energy production bump up by ten percent suddenly.
There can only be one proclamation active at a time, and it can only be changed once a year. For fanatics, these proclamations are three to four times as strong, and can be changed once every three months."
100,Free​ ​Rule,/tg/ Stellaris,"​Sometimes ruling can get in the way of your fun. As a free spirit that could ruin all of the joys of one’s rule. Luckily, it seems that whenever you wish to take a break and just leave to do something(as long as it isn’t too long) you’ll find everything working in perfect order when you get back to the reins of your empire. Too many of these breaks will ruin this effect.
God​ ​Emperor (/tg/ Stellaris)​ ​(600CP)
You are Emperor. Whether your people call you another title such as “president” “supreme leader”, it doesn’t
matter because the meaning stays the same. Because of this your overall ability to rule is a marvel within itself, you can manage entire planets by yourself with maximum efficiency, calculate complex logistics for your nation on a scale that would require entirely new different branches of Government for others. Furthermore everyone you meet feels a profound sense of awe at your presence feeling as if you are someone to be looked up to, at the very least they will give you the bare minimum respect. Finally, you find that those you inspire always seem to understand exactly what your goals were and are always true to them, never misinterpreting the intent of anything you say or do."
100,I Have An Agenda,SB Stellaris,"You have four agendas, each of which provides a minor bonus. These expire after five years, and one can be replaced every two months. Once replaced or expired, a new random agenda is created.
For example, an agenda to “expand the Empire” would grant construction speed and cost bonuses to the outposts used to claim territory, as well as to the speed of colonization. “Stockpile alloys” would increase alloy production while lowering input materials used for alloys. It would also reduce upkeep on the alloy foundries. “Grow the economy” would increase the build speed and decrease the build cost of economic buildings and infrastructure.
Fanatics receive twelve agendas, and can replace one of them every month."
200,A Talent For Logistics,Generic Military,"When it comes to managing supply convoys you are the secret to a campaign’s success. Your ability to plan routes, organize the workers, meet demands, and change your timetables due to enemy interference could revolutionize the way deliveries are made."
200,Close Enough to the Greater Good,Warhammer 40k - T’au,"The Vespids were brought into the Greater Good mostly because their own culture already resembled the ethos of the T’au. You can now look at and understand foreign ideologies and easily identify which parts will support or hinder your own purposes as well as determine to what degree members of the culture can work with your own, easily identifying potential converts, allies, rivals, and sworn enemies. Moreover, you
can share this knowledge with others so they understand that, for example, sending ambassadors to the Drukhari is not a good idea."
200,Grow Tall,SB Stellaris,"Trying to manage an Empire with a population in the trillions is hard... for other governments. Yours handles the problems related to massive populations with aplomb, not even letting red tape begin to develop.
Your empire loses no efficiency as the population increases, even to stupid levels."
