Cost,Perk Name,Source,Description
100,Learning Is Fun!​,Generic Children’s Television,"Every kid knows school is boring. Homework, tough teachers, tests, bleh. That’s no fun at all! Which is
why they prefer to learn from you. You’ve somehow figured out how to make learning an activity to be enjoyed instead of dreaded. Aside from the obvious help it provides with teaching kids, it also helps to convey information or plans. This is especially useful for Jumpers with a reckless teammate or ally, who’d prefer to charge headfirst into danger rather than strategize."
100,Lesson Plans,Generic Super Academy,"As a teacher you need to teach a class. This is a perfect and full lesson plan for whatever class or classes you want to teach. With tests, quizzes and homework assignments included. By following this lesson plan, you can guarantee that all of your students will pass as long as they put in a minimal amount of effort. You can change this yearly in response to assignment changes, but you will need to actually be teaching a class to use this. If you're not a teacher, these serve as perfect study guides to any class you are attending. Post Jump, you can
turn this into the perfect teaching plan for any material you know."
100,Oral Tradition,Civilization,"The first method of really transferring information from generation to generation was the art of song and storytelling. you gain a knack for the same arts, able to effortlessly compose songlines and legends intended to deliver useful parables about the land, science or other such things.
As long as something is composed as a song (or poem, it just needs that rhythm), you can explain something to someone and they will not forget it­ though this doesn’t necessarily guarantee understanding."
100,Simple Words,Cosmos: A Spacetime Odyssey,"You possess the ability to reduce the most complex of scientific or mathematical concepts into language the common man can understand. Furthermore, when other experts are in your presence, they too speak in this less jargon-rich way, making them seem more like regular people and less like Ivory Tower Intellectuals or Eggheads."
100,Tabula Rasa,Civilization,"You are akin to an empty vessel­ not ignorant, but unmarked by bias. Previous experience no longer has a negative impact upon your ability to learn. You become aware of any assumptions you make or when you take things as a given. Imagine it like a little voice in your head asking ‘are you sure?’
In general this means you make far fewer mistakes, and your bookkeeping and adherence to procedure is nearly faultless. If you are self­-taught, being informed of a more effective approach means you automatically update your skill to match.
You may also apply this benefit to anyone you teach­ they will never suffer for bad habits of being self-taught and the like."
100,The Joy of Teaching,Generic Super Academy,"You are a brilliant, talented and motivated teacher. Your students will learn and improve at least five times faster than they normally would, and will fully comprehend and retain anything you teach them. You are also excellent at relating to children and teens, you know how to get them to open up to you, and truly excel at getting them to obey you."
200,Constant Companion,Torchlight,"You are good at training companions, be they pets, automatons, or brothers-in-arms. You're about twice as good at teaching them new techniques, new uses for old techniques, and just in general making them better through teaching. In fact, it's possible to teach them things that might normally be outside their usual pay-grade for learning; you could teach a ferret to carry a backpack full of loot, count money, sell items, and even, ""read,"" a list well enough to run to town from the wilderness and do your shopping."
200,Eastern Sage,SB Fullmetal Alchemist,"Legends tell that Amestris learned the art of Alchemy from a philosopher who told the tale of Xerxes’ destruction in a single night. You too share something with this man in that you can teach even the most untalented and thick people arts that should be beyond them considering their knowledge base. You could single handedly bring Alchemy to other worlds, while creating a new era based on its use, and that’s literally too. All you need to do is teach it as if it was a normal subject and a possibility there, and people will develop the capability in other worlds even if they really shouldn’t. You find you can do much the same for your other mystical abilities as well. Only things that would otherwise be teachable, and aren’t the result of special bloodlines or unique cases can be taught."
200,Listen Up!,Mario & Luigi,"You know, as much as we all hate the overly long tutorials, it’s painfully obvious that nobody is going to be able to get anywhere with their new toys and skills if they have no idea how to use them! You have the ability to explain things to people in a way that they can easily understand, and when teaching them how to use abilities or techniques, it’ll be as if they had “Try, Try Again” for the duration of the lesson.
Try, Try Again (Mario & Luigi)
You’re really good at learning how to do stuff. Someone could teach you how to perform a specific technique or move and after just one spar or demonstration, you’d be able to perform it as if you knew it by heart! You have to actually be physically capable of performing the technique/move in order to actually perform it, but hey, you know how the old saying goes!"
200,Repetition is the Mother of...,Mother of Learning,"Your teaching skills are world-class. You could fit an entire month's worth of learning into a single class, and have your students actually learn the material. You also gain the ability to teach through unorthodox methods, such as flicking mana-infused marbles at your students, and have it actually help them learn mana-sensing. It won't make them hate you less, though."
