0,,CP Cost,Name,Jumpdoc,Chapter,Description
1,,Free,Origin ,Tsukihime,Source,"It’s not really possible to determine the value of a human life or one individual's character with a single word...at least, most of the time. Still, every life in this world has a single defining word for them - a compulsion and an instinct that their actions move in harmony with.You also possess such an Origin, such as ‘Taboo’ or ‘Nostalgia’, which gently guides your actions towards it, though you possess awareness of it and can choose to ignore it without any detriment to your own choices. Any actions you follow that line up with your Origin, particularly Magecraft, will enjoy a minor but noticeable boost in competence as you work in tune with your own nature in this world. You may choose any Origin except for ‘Void’.
"
2,,Free,Origin and Element ,Kara no Kyokai,Source,"Origin and Element are attributes of the soul and one’s deepest being in this world. Everyone has one of each, some people have more, but this just helps you decide on the importance of your own ones. 

An Origin is like a concept, a word, that is at the core of your character. It might describe a secret side of you that you rarely show, it might show influence through every action you take or it might just be something you really love about yourself. Taboo for someone who feels a forbidden love, Worthlessness for someone who seems to be a complete failure, Nostalgia for a man who considers his memories dearly important. An Origin by itself doesn’t have much of an effect, merely lying unawakened. Some kinds of magecraft can eventually build on your Origin, such as a Taboo Origin Holder eventually learning to invest that effect into an item that inhibits the taboos of others. But these usually require quite high level skill and have subtle effects outside of extensive experimentation. You have an Origin of your choice, a normal one that is Unawakened and gives noreal boons but has no real hindrance either. 

An Element is more important, at least for a Magus. It describes something like your affinity for certain kinds of magic, significantly increasing talent in that area. Or rather, most Magi find it quite difficult to learn all but the most general magecraft outside of their Element. Far from impossible but much more inefficient. Most people have an Affinity for one of the five primary elements- Fire, Water, Earth, Air and Ether. These ascribe to much more than just basic elementalism. Fire might cover consumption, energy transfer or fuel. Earth may relate to cultivation and embedding of energy. Water covers the flow and cycle and combination of things. And so on. You have a moderately strong affinity for an Element of your choice. One of the primary five is recommended but if you know of an alternate choice, you can pick one, as long as it’s not superior to the primary five. No Average Ones with talent for all five Elements and no uniquely powerful Element. 
"
3,,Free,Magic Circuits ,Kara no Kyokai,Source,"The pathways through which magical energy mixes, flows and is expended. The circuits appear on your soul, though physical reflections can be found within your physical body, and generate heat when in active use. All magus have these circuits and they can sometimes be found in lesser forms even outside of magus lineages. As a benefit of entering this world, you’ve got at least the potential to use magic. You’re not particularly exceptional in terms of your circuits with just this but you’re no cripple either. You’ve got a fairy standard 20 circuits in your body, each one of decent but not exceptional quality. If you began a magical education, your teacher would likely remark that you’re decent but nothing remarkable.
"
4,,Free,Instinct ,Sonny,Source,"Also known as Magic, Instinct is some odd mixture between stamina and magical power, and though not everyone uses it everyone has it in some measure. It’s used to fuel magical attacks and empower one’s self. Your capacity for Instinct is known as Focus. You start off decent enough, maybe able to throw a few fireballs if you can find out how.
"
5,,Free,Magic circuits ,Fate/kaleid liner PRISMA ILLYA,Source,"Magic Circuits are a pseudo-nervous system that spreads through the body and acts as an organ that converts lifeforce into magical energy. Magic Circuits reside within the soul and what is found in the body is a physical expression of them. The number of Magic circuits one possesses is determined at birth and cannot decrease or increase naturally. You gain twenty magical circuits of top quality and a further twenty each time you purchase this option.
"
6,,Free,Natural Potential ,Lyrical Nanoha,Source,"While magic does spread into the air, especially in the urban areas of magic-using nations and can be used from there, the most common source is a specialized organ called a Linker Core. Linker Cores are actual, physical organs situated in the chest, above the solar plexus, and are what take in and release mana. Naturally, Mages hold a certain potential, which is their capacity for storing and to an extent, actually processing that magic. This capacity can increase somewhat over time and with use, but it’s a very slow, trickling increase and does not exactly match up with what a Mage is capable of.

See, the capacity of a Linker Core to store magical power is graded on a scale going from F to SSS, seen on the table below, but the power of spells are also graded on the same rank. However, a Mage with A-rank power is not necessarily required to cast an A-ranked spell, and on top of that, there is also a skill based rank assigned to Mages on the same scale, which leads to the complicated example of an A-ranked Mage with A-rank power trying to cast a A-ranked spell. What’s the distinction?

While a spell may be A-ranked in power, it does not necessarily consume an A-rank in mana. Certain techniques, calculations and algorithms along with Devices and systems can increase the efficiency of spells, enabling low-potential Mages to cast above their metaphorical weight class. An A-ranked Mage is simply a Mage who is considered able to fight at a A-ranked combat level, usually involving the casting of A-ranked spells, hence the correlation. A-ranked capacity is far more nebulous, appearing to mean simply being able to provide the power for an A-ranked spell without collapsing, which makes it virtually indistinguishable from Mage Rank when it comes to Combat Mages.

But at any rate, to help you get a head start in this world, we’re going to grant you a natural A-rank potential. For your purposes, this is going to be virtually identical to your Mage Rank at first, unless you put the training in to improve your prowess. You may purchase to the indicated rank for the point cost listed below. Remember, raw power isn’t everything, skill is just as much the name of the game as anything, but raw power will certainly give you a leg up.
"
7,,Free,Attuned ,Symphogear,Source,"Well, not just anyone can start singing and activate a relic! While there are ways to artificially gain attunement – the LiNKER drug and Human-Relic fusion coming to mind – you're going to gain a high natural level of attunement, allowing you to activate and use a Symphogear without artificially increasing your synchronization coefficient. Be warned though, your synchronization still isn't high enough to completely prevent the backlash from singing your Swan Song."
8,,Free,Da Great Green ,Warhammer Fantasy: Orcs & Goblins,Source,"All Greenskins have a connection to the Great Green, a combination of mystic field and combined mental energy pool, which allows them to grow more stubborn in preportion to their numbers. Though only the most prodigious numbers of Greenskins, such as those produced in a vast army hundreds strong, will produce more than a slight increase in the average orc’s will power. You can now tap into the Great Green and gain benefits as you are now a Greenskin, this only affects you and other Greenskins."
9,,Free,Basic Equipment - Grey Seer,Basic Equipment - Grey Seer,Source,"Comfortable, billowing, and ragged - but every inch the uniform of a Grey Seer. You have one of these robes demarking your station as one of the Grey, and a sturdy staff topped with the symbol of the Skaven society - the upside-down triangle. The stave also has a bell attached, and the entire thing serves as a passable magical focus for the Skaven Lores.
"
10,,Free,Gnosis ​(One Dot) ,Mage: The Awakening,Source,"The root of all magic. Gnosis is a measure of how close you are to the supernal world. Higher Gnosis provides many benefits; Rituals will take less time, your mana pool is larger, and you may learn higher levels of Arcana. As a Mage you have one rank in Gnosis free. You may obtain a maximum of five ranks here or over the course of the jump, but cannot reach archmastery (higher than five gnosis) until post­-spark. A higher Gnosis is also a danger as the higher it is the more likely a paradox is to occur when you use vulgar magic. When a paradox is invoked, its power will be equivalent to the level of your Gnosis.

Gnosis limits the level of Arcana you may know at a given time. For ease of reference a chart has been produced below listing what level your Gnosis must be to know a new arcanum (the top row of numbers indicate the order in which you learned your arcana). Your first and second Arcana will always be your ruling Arcana while your third is the one you chose to invest a single free rank into. The rest follow in order as you choose to purchase or learn them.

Maximum Arcana possible by Attained Gnosis

These same limitations on Gnosis and Arcana will persist after the jump, and while you may learn more Arcana and increase your Gnosis, they will always fall within the limitations provided by the chart to the right.
"
