0,,CP Cost,Name,Jumpdoc,Chapter,Description
1,,Free,Battle Forged ,Valkyrie Profile,Destruction,"Everyone who's anyone here is a hardened warrior, so now you are too. With this comes an average human's talent in melee (including everything from general swordplay to hand-to-hand), ranged combat, or battle sorcery, which focuses on your typical heal/buff/elemental projectile trifecta. Skill in both magic and weaponry can be obtained for a loss in some effectiveness in both due to the split focus. Valkyrie essentially receives skill in all three, though they still must make a choice as to which melee weapon and ranged weapon they use and which combat type they're most proficient in.
"
2,,Free,Weapon ,Madoka Magica: Wraith Timeline,Destruction,"You are given a single weapon of your choosing, melee or ranged, to match with your Magical Girl form. You may import a weapon you already owned for free, letting it benefit from your magical energie like a ‘normal’ one would. Muskets, swords, bows made of energy...you can use any weapon of your choosing, just note that anything more powerful or complicated than an infantry-sized item is impractical -at best- and extremely costly at worst. If you forfeited a Soul Gem, you must pay 100 points for this.
"
3,,Free,Leap Across Kilometers In A Single Bound​ ,Yuki Yuna is a Hero,Destruction,"Transforming into a Hero gives you great physical power. For example, you are able to bounce across entire kilometers in a single leap and gain powerful physical enhancements, depending on your powers. You also gain a weapon if you don't have one or you can opt out of a weapon to instead gain great physical might to fight with your fists. You may also import a weapon. Pain is dulled to a larger extent, allowing you to continue fighting even when injured. But you are still prone to being knocked around by things bigger than you.
"
4,,Free,Shooting-type Spells ,Lyrical Nanoha,Destruction,"The simplest and most common spell used in combat. You focus mana into a sphere or ‘bullet’ and fire it at your opponent. Can be used in various forms - homing bullets, rapid-fire, and so on. The ‘big’ spells tend to fall under Bombardment, so take note of those as well. These can be ‘aimed’ by hand, or ‘guided’ by the right calculations in the spell.
"
5,,Free,Bombardment-type Spells ,Lyrical Nanoha,Destruction,"When someone or something absolutely needs to be blown the hell up befriended. Accept not substitutes. By focusing a large amount of mana into a single point, you may fire a large blast at a target, designed to completely overwhelm them via a show of raw power. These are almost always aimed, but if you can get a bit of skill and power for it, you might find a way to make such destructive spells guided...
"
6,,Free,Magic-Enhanced Attacks ,Lyrical Nanoha,Destruction,"Need a weapon to hit harder? Need your fist to absolutely break through something? Want to show off to someone? This is where you’ll look. By enhancing your blows or weapon with mana, you can make the blows or strikes inflict more damage, and letting you strike with more force than before.
"
7,,Free,Weapon-type ,Lyrical Nanoha,Destruction,"A very common form of Device, and the type often seen as standard-issue for the TSAB. Weapon-type Devices take the form of actual weapons that are wielded as such. Swords and staves fall into this category, which are consequently the traditional forms for Belkan and Mid-Childan Devices, respectively. (CG Note: Requires Device - Lyrical Nanoha first. This perk precludes Wearable-type - Lyrical Nanoha and Auxiliary Control-type - Lyrical Nanoha.)
"
8,,Free,Armaments ,Generic MG,Destruction,"For most girls, this is a simple scepter or wand. But different girls are different people with different weapons. Some might have swords, some might use some might just have brass knuckles integrated into their raiment. Take up to as many power packages have been purchased.

You can import any of your personal weapons into your armaments, and can later import armaments into future weapons. Armaments can be materialized to hand while transformed. Materializing a weapon will also repair it, though that will cost a small amount of magical energy.
"
9,,Free,Flamin' 'Ot! ,Warhammer Fantasy: Dogs of War,Destruction,"As a priest of The Fire Mouth you are skilled at manipulating the bellyburn, the small spark of fire you believe exists within you and allows you to consume so much. While your magic is bizzare, it is undeniably effective. A few mouthfuls of the noxious, secret brews of your priesthood and you can vomit up sheets of fire, enough to reduce entire formations to charcoal and molten metal, or spew a barrage of fireballs to explode clear on the other side of a battlefield. As your skill and devotion increases you will be able to manipulate these flames you vomit forth into all manner of bizzare conflagrations."
10,,Free,The Might of Monsters ,Legend of Zelda: The Adventure of Link,Destruction,"As a member of the strongest army in Hyrule, you too have an innate strength beyond normal Hylians. You now have a twisted humanoid form, as animalistic as you want in any way you like. This form has the power to deal a Heart Container’s worth of damage with your attacks no matter what, as well as your choice of endurance equivalent to 3 Heart Containers or the ability to marshal together a raw mystical force that could be called elemental magic without using Magic Containers, at the strength of the “Fire” spell. Your pick of fire, lightning or ice.
"
11,,Free,Weapon Materialisation,Genshin Impact,Destruction,"One ability that is not talked about much, yet is worth taking note of, is the ability for those with Visions to store their weapons away in a flash of light. With a simple flick of their wrist, they are able to materialise and dematerialise their chosen weapon away in the blink of an eye. This is not something that all Vision users are proficient in though, a certain red ranger occasionally leaving her bow at home. As a wielder of a Vision yourself, this is an ability that you too share. You can summon and de-summon your ‘main’ weapon away at your leisure. Should you wish, you can change which weapon that you are able to summon."
12,,50,Corkscrew ,Neverland: The RPG,Destruction,"A magic corkscrew that can drill a small hole through any non-magical material.
"
13,,50,Iron Magic Foci ,Endless Legend,Destruction,"The crudest foci, this club of a scepter adds a bludgeoning force to all your spells, knocking back and staggering foes hit by them.
"
14,,50,Sorcery - Conjuration Ritual (Shitstorm) ,World of Darkness: Sorcerer,Destruction,"This path allows the sorcerer to summon objects to themselves, whether through a form of telekinesis or apporation.

Some, but not all, Paths also have rituals, which they take an extra ten minutes to cast, but are easier to perform, more powerful, and often capable of producing effects that cannot be replicated with normal sorcery. A sorcerer must have the appropriate dots in the appropriate path to learn a given ritual.

Shitstorm(4): The caster creates a whirlwind of random debris that strike and
injure anyone within the affected area, which, depending on the sorcerer’s skill,
can be anywhere from two to twelve yards in diameter.

(CG Note: This perk requires Sorcery - Conjuration (Four Dots) - World of Darkness: Sorcerer first.)"
15,,50,Bullet Patterns ,Undertale,Destruction,"Magic is part of being a monster- It's literally a part of you! As such, all monsters have at least a rudimentary understanding of White Magic- That is to say, they can use magic to attack. Like almost all magic, this magic directly attacks the SOUL of an opponent and does not actually physically harm them- They might show bruises, cuts, or other superficial signs of damage, but otherwise the pain is all felt on a spiritual level. Since magic is so tied to their being, a monster's innate magic is invariably representative of their personality or appearance- A frog-like monster might use flies to attack, a skeleton might use bones, or a dog might use... dog-shaped attacks. This innate magic is typically rudimentary and easy to avoid, but many monsters prefer to use their bullet patterns as a way of expressing themselves rather than use them as actual attacks."
16,,50,Magic Weapons (Basic) ,Terraria,Destruction,"Can take the form of wands, books, or other items that the wielder channels mana into to cause an effect. It is possible, though not suggested, to take an item from a lower ‘rarity’ when purchasing at a higher price. 


Can pick two weapons that are made with wood, made with cactus, made with an early pre-Hardmode ore [Copper, Tin, Iron, Lead, Silver, Tungsten, Gold, Platinum], or which are listed here: Wand of Sparking, Thunder Zapper, Amber Staff, Gray Zapinator, Book of Skulls

See Magic Weapons for more information."
17,,100,True Strike ,Cultist Simulator,Destruction,"Your attacks now possess an unique quality, allowing them to pierce past the corporeal world and strike directly at your targets. This doesn’t guarantee that your enemies will die, only that you can hurt them.
"
18,,100,Military Discipline ,Sonny,Destruction,"The ZPCI is effectively a PMC, so you must have had some experience to get in. This is where you got it. You have the skills of an average ZPCI Elite (despite the name, there are a lot of those running around) and have skill with the gun foci used in this world, along with being moderately fit, and knowing some weak offensive spells. Might sound like a lot, but as broad as this skillset is, it’s only enough to let you fight weak zombies on it’s own.
"
19,,100,Storm Rifle ,Sonny,Destruction,"Seems like a ZPCI product to me, but the ZPCI aren’t the only ones using guns as magical foci. The storm rifle is a good foci for the sake of just about any spell, but it helps better with lightning spells.
"
20,,100,Physical Boost ,Generic Magical Girl,Destruction,"In your magical form, you're easily five times as fast and strong as a normal person your age and size, and can jump twenty feet in the air, and land without breaking your legs. You're also much more resistant to damage. If you focus your power, you can exceed even those limits, but doing so is tiring, so you should save it for emergencies. 
"
21,,100,Basic Elemental Zap ,Generic Magical Girl,Destruction,"This is your standard magical girl magical energy blast attack – follows whatever theme you and your team use, be it the classic elements, colors, fruit flavors, or something else. Starts out pretty weak, able to knock out a normal person, a low level mook, or break a window, but still weak enough that major enemies will be able to just swat it aside. Grows in power the more often you use it, but using it more than a few times in a fight will tire you out. Work at it enough, and you'll be knocking holes in brick walls when you want to.
"
22,,100,Magical weapon ,Generic Magical Girl,Destruction,"An enchanted weapon of some sort, which lets you hurt even magical enemies who ignore normal weapons. Will never need sharpening or get rusty. Ranged weapons like bows and guns will still have limited ammunition/arrows, but you'll be fully restocked when you transform the next time. As an added benefit, you don't have to cart it around town in your backpack, because it vanishes when not in your magical form, and always reappears with you when you transform. If you took Always On Duty, you'll be able to make it appear and vanish at will, and ammunition will restock after about an hour. 
"
23,,100,Enchanted Zippo ,Justice League Dark,Destruction,"Got a light? Now you always will. This classic Zippo has been enchanted, turning it into a mystical flamethrower. Just flip the lid, start the flame, and you can manipulate the fire with your will. Also comes in a Bic version, if you prefer to flick your Bic at ghoulies instead.
"
24,,100,A Good Blade ,Justice League Dark,Destruction,"A fine sword, forged by a master blacksmith and woven with enchantments, it is preternaturally sharp and durable and will never dull or rust.
"
25,,100,Twin Pistols ,Justice League Dark,Destruction,"A bit unorthodox, perhaps, but undeniably effective. These m1911s are copies of the pistols wielded by Pandora. Made by Wayne Industries with shock buffers and new polymers to allow reduced recoil and impressive accuracy, these are very well made weapons. But that’s not all, because they’re also enchanted to allow you to channel your magic through them for increased effectiveness."
26,,100,Element Scepter ,Valkyrie Profile,Destruction,"Mostly alike the scepter sorcerers receive for free, this one has the added ability of allowing you to convert spells from this setting into their Great Magic variants during a PWS. The only downside is that it has a roughly one in three chance to break after every use, but at least this one will repair itself over the course of an hour once the battle ends.
"
27,,100,Grand Wheel ,Drakengard and Nier,Destruction,"When you focus for a moment, time slows down and you can see a wheel of sorts in your mind’s eye. Using the magic of the wheel, you can store and retrieve up to twenty weapons at a moment's notice, swapping between them freely. 
"
28,,100,Enhanced Strength ,Madoka Magica: Wraith Timeline,Destruction,"In your Magical Girl form, you are much stronger than you look. You can lift up about two tons and can probably rearrange someone’s face with a well-placed punch. You can buy this ability multiple times.
"
29,,100,Ancient Traps ,Warhammer Fantasy: Tomb Kings,Destruction,"The Necrotects built countless automated protections into your tomb, to guard you even as you and your army slept. This option has multiple tiers of traps, in lethality and quantity. You and any of your servants will know the ways to easily and quickly bypass these traps, ways very difficult to find for any unwelcome visitors. For 100TP, the tomb will be filled with a great variety of mundane but effective traps. Pitfalls filled with spikes or snakes. Boulders rolling down hallways. Poisoned Arrow traps linked to opening doors or pressure plates. Rooms that will shrink, the walls moving inward or the room filling with sand to suffocate intruders. Whilst only a limited number of these traps may be taken, there is still enough for at least one per room and per hallway. (CG Note: Requires Tomb - Warhammer Fantasy: Tomb Kings first.)
"
30,,100,Ancient Traps - Boosted (Unlimited),Warhammer Fantasy: Tomb Kings,Destruction,"For an extra 100TP, you may remove this numerical limit and fill every room and passage with deadly traps. (CG Note: Requires base Ancient Traps - Warhammer Fantasy: Tomb Kings first.)
"
31,,100,Physical Enhancement ,Fate/kaleid liner PRISMA ILLYA,Destruction,"You have knowledge of a form of magic that enhances your physical abilities; Reinforcement, Runes or some other magic of your choice.
"
