0,,CP Cost,Name,Jumpdoc,Chapter,Description
1,,Free,The Song of Your Heart ,Symphogear,Illusion,"In addition to an improvement to your singing skills and ability to compose songs you are no longer reliant on your mouth to deliver your songs. You may freely sing and speak simultaneously, as your heart broadcasts your song (plus appropriate musical accompaniment) without necessity for such things as atmosphere, breathing, or instruments. This can be freely toggled but doesn't require further concentration once activated unless you wish to use non-Relic based singing abilities alongside it.
"
2,,Free,Raiment ,Generic MG,Illusion,"The raiment of a magical girl is usually frilly, will probably have ribbons or a bow, and almost always has a skirt. (I suggest you follow my lead and at least wear shorts or something underneath. See?)

While those might sound impractical to some Jumpers, especially those with more combat experience, don’t worry: your raiment will never get caught in something, trip you up, or interfere with your movements. It’ll even make sure your hair never does that either.

In addition, the raiment is technically a form of armor, so you can import existing armors into and import the transformation trinket into other armors later.
"
3,,50,Disguise​ ​Glitter​ ​Pen​ ,Sailor Moon,Illusion,"This may seem like a normal looking pen that looks more like a shiny pink toy, and it even writes in four selected colors of glittery ink, but it’s not. This pen enables you to disguise yourself as a random member of an occupation. You can even make yourself look like a different gender if you wish.
"
4,,50,Character Song ,Mermaid Melody Pichi Pichi Pitch,Illusion,"You get your own special song! For 50 PPP, you just get an instrumental tune. In either case, you can make the song play around you whenever you wish; you can choose whether or not other people can hear it. This purchase may mix with other perks and the like; for instance, you could use your theme as a song for Jumper Pearl Voice, and your own song will be included in an AMV featuring clips of you for the Multimedia Set.
"
5,,50,Character Song - Boosted ,Mermaid Melody Pichi Pichi Pitch,Illusion,"You get your own special song! But for 100 PPP you also get a full-length, vocal song that reflects your inner passions and dreams. In either case, you can make the song play around you whenever you wish; you can choose whether or not other people can hear it. This purchase may mix with other perks and the like; for instance, you could use your theme as a song for Jumper Pearl Voice, and your own song will be included in an AMV featuring clips of you for the Multimedia Set. (CG Note: Requires base Character Song - Mermaid Melody Pichi Pichi Pitch first.)
"
6,,50,Animal Ears ,Dog Days,Illusion,"A small headband with animal ears attached that looks rather cute. The type of animal ear can be changed if the user channels magic through the headband while thinking of the animal in question. The ears are purely cosmetic.
"
7,,50,Atmosphere ,Golden Sky Stories,Illusion,"Ever get the feeling when you wander into a specific section of the forest that you’re not supposed to be there? Maybe a tingling sensation in your spine or the hair on the back of your neck rises? Well, you can inspire sensations like that in anyone who wanders into your domain. Of course, the effect is largely dependent on both visual elements as well as audial elements, so by taking this, you can expect some parts of your domain to shift in response. Fear isn’t the only thing you can inspire of course, and depending on what feeling you want to inspire, you can expect different physical changes to your domain. You can take this multiple times for multiple sensations at once, but this might leave people very confused. Thankfully, the effect is selective, so you can choose who is affected. (CG Note: Requires Natural Domain - Golden Sky Stories first.)
"
8,,50,Fairy Dress ,Peter Pan,Illusion,"A lovely outfit made from various plants that is designed by the finest of fairy clothiers to reflect your personality and abilities as a fairy. Neverland flora never truly dying even when plucked, the clothes remain completely fresh, and will regrow if damaged.
"
9,,50,Mermaid’s Comb ,Peter Pan,Illusion,"A beautiful comb, a four-pearled whalebone of superb design. This priceless (for the land-bound) treasure is imbued with mermaid magic. Any hair combed with the item can become as long and silky as the user pleases, without the hair ever becoming heavy. Furthermore, you can arrange your hair any way you like, and it will remain perfect even if you take a splash in the water. Also, hair combed with it can perfectly cover your chest while teasing just slightly, and even if you are wearing nothing else you will somehow seem elegant and dignified; someone in a fully-covering nightdress would seem more scandalous than you. Similarly, you can put any natural, organic water items (seaweed, lily pads, starfish, etc.) on your combed hair without seeming out of place.
"
10,,100,Open Soul ,Cultist Simulator,Illusion,"Many would believe that a medium is a bridge for the spirits, but in the present day and age a medium starts off as but a simple entertainer. This perk provides all the tricks and experience needed to become an unrivaled mentalist, giving you a wide array of mundane abilities that seemingly border on psychic powers, such as hypnosis, telekinesis, clairvoyance, and mediumship. These abilities are not actually supernatural but rather a calculated application of suggestion, misdirection, and subterfuge. In addition to this, your mentalist skills can be used against other mundane skills, like cold reading, to prevent people from reading your thoughts or emotions, or learning your trade secrets without your consent."
11,,100,Mind Fog ,Cultist Simulator,Illusion,"You gain the ability to dull the mind and confuse the senses, making it very hard for individuals around you to focus, let alone find you.
"
12,,100,Magical Disguise ,Generic Magical Girl,Illusion,"you've got a magical item which lets you cover yourself with an illusion to look like someone else. Useful for sneaking into places you shouldn't be, but be careful not to bump anyone or talk too much, as it's a visual illusion only. 
"
13,,100,Stranger ,Justice League Dark,Illusion,"Some strange magic enshrouds your form. If you so wish it, your features shall become... distorted. Nothing truly changes, but onlookers will only be able to recall you as an extremely generic version of your race or species. They would be able to recognize you on sight, but attempting to describe you to someone else would only result in their frustration."
