0,,CP Cost,Name,Jumpdoc,Chapter,Description
1,,Free,Faery ​,Yuki Yuna is a Hero,Control,"You have a Faery! A cute, small critter that will help soften lands for you and make small shields to protect you during fights! They also have different weak powers, like flipping pillows or entering dreams or simply being able to eat whatever they want. In the unlikely event you try to commit suicide, they will also stop you. Every time you have gone Mankai, you will gain a new faery. 

Faeries do not typically speak. Those that do only happen to say a set series of phrases. Although these phrases can be anything and can include poetic statements like “death comes to all”. Although they’re short, so no Faery will be spouting the Bee Movie script anytime soon. Some happen to be mischievous and disobedient, but this behavior should rarely be a serious issue.
"
2,,Free,Telepathy ,Lyrical Nanoha,Control,"Your own magical chat network! You can communicate mentally with a willing subject, even if they otherwise lack the capability and range of this particular magic. You can’t really force them to do anything except listen to you, but this mind-to-mind communication network has a range across dimensions, though you obviously can’t communicate with past jumps or other continuities until you get your Spark. Note that your mental communication can be intercepted like radio transmissions would, and you can be shut out by someone unwilling to listen to you.
"
3,,Free,Capture-type Spells ,Lyrical Nanoha,Control,"Finally, there’s these. You can physically restrain a foe with binding spells that inhibit their movement and prevent them from maneuvering, or even create intricate cages of mana that lock said foe in place completely and allow you to capture or interrogate them while they’re stuck in an immobile prison.
"
4,,50,Mystic Eye Killers ,Kara no Kyokai,Control,"One of Touko’s special inventions, a pair of glasses in whatever style you prefer that seals the effects of Mystic Eyes on the person they’re worn by. While the eyes retain their normal appearance, they will not affect anyone as they normally will and it eliminates the strain the wearer might feel from the normal effects. The glasses can be broken but seem to repair and reappear in their case nearby you when you’re next in a safe location.
"
5,,50,Familiar ,Valkyrie Profile,Control,"A mundane animal or miniature dragon enchanted with the ability to communicate with and share their lifespan with their sorcerer. They don't have any other special powers, but at least they'll try their best to help, even in combat.
"
6,,50,Turn This Train Around Right Now! ,Legend of Zelda: Spirit Tracks,Control,"It’s probably something of an odd thing to fixate on in a world full of magic and wonder, but... The train stations. With only one or two exceptions, they are nothing but a platform made out of wood or stone. So, when Link arrives, okay, that's all you really need. But when he leaves... The train is suddenly facing the other direction! How on earth does that work? It’s magic, right? It kind of has to be. Erm, anyways, you now have the useful but extremely niche power of being able to turn any vehicle around, simply by commanding it to do so.
"
7,,50,Summon Weapons (Basic) ,Terraria,Control,"Staves or other items that are used to summon minions that follow you around and attack or which summon sentries that stay in-place and attack enemies that come near. Also includes whips which can focus the attention of your summons on a given spot and empower their attacks in different ways. Any purchases that would normally require Eternian Mana to use can be used normally straight away. 

Can pick two weapons that are made with wood, made with cactus, made with an early pre-Hardmode ore [Copper, Tin, Iron, Lead, Silver, Tungsten, Gold, Platinum], or which are listed here: Finch Staff, Slime Staff, Flinx Staff, Vampire Frog Staff, Lightning Aura Rod, Flameburst Rod, Explosive Trap Rod, Ballista Rod, Leather Whip.

See Summon Weapons for more information."
8,,100,Sorcery - Ephemera Ritual (The Distant Call) ,World of Darkness: Sorcerer,Control,"This is the path dealing with spirits and Otherworlds of all sorts. Those who walk this path are referred to, amongst other things, Mediums.

Some, but not all, Paths also have rituals, which they take an extra ten minutes to cast, but are easier to perform, more powerful, and often capable of producing effects that cannot be replicated with normal sorcery. A sorcerer must have the appropriate dots in the appropriate path to learn a given ritual.

The Distant Call(6): This is the most powerful ritual in the Path, allowing the magician that knows it to call upon the shade of any dead person, regardless of how distant whatever afterlife they’ve moved onto is. However, even this mighty ritual cannot summon souls that have been entirely destroyed, and sometimes this ritual fails for no apparent reason. Anyone in a “Gift of Men” situation is probably impossible to contact. Probably, but not certainly.

(CG Note: Requires Sorcery - Ephemera (Six Dots) - World of Darkness: Sorcery first.)"
9,,100,Sealing Artifact ,Tsukihime,Control,"Curious little thing, isn’t it? This artifact both seals and hides the supernatural powers of whoever is wearing it. It's easy to don and remove, so if you don't want anybody to know you're an unnatural abomination this is for you. The sealing must be voluntary, however - so no throwing it over someone to stab them.
"
10,,100,Basic Magecraft - Hypnosis,Tsukihime,Control,"The standard four practices of Magecraft: Reinforcement,Gradation Air, Hypnosis and Formalcraft. This is the foundation of the modern systems used byMagi in this day and age. You do not start with any of these - The Mage’s Association is largely uninvolved with events inMisaki, and Atlas is more concerned with Alchemy and Mystic Codes than the modernMagecraft systems. You must purchase each one for 100 points, which makes you adept in that particular field - not total mastery, but enough to be a threat against something unprepared for it. Hypnosis is a basic form of mental manipulation that most other magi and supernatural beings can resist with ease, but can be used to manipulate and erase the memories of ordinary human beings, which enables them to operate in secret. 
"
