0,,CP Cost,Name,Jumpdoc,Chapter,Description
1,,Free,Device ,Lyrical Nanoha,Magitek,"A Device could be seen as a high-tech magic wand. It aids with the complex math involved in manipulating Mana into spells. There are many different levels of power, intelligence and complexity. This grants you a base Device which you can customize with other perks. (CG Note: This is a Celestial Grimoire original perk. The Lyrical Nanoha jumpchain gives you a free Device, though it’s not listed as a perk, so I had to make one so the rest of Device related perks made sense.)
"
2,,Free,Wearable-type ,Lyrical Nanoha,Magitek,"Devices that are worn somehow by the mage. This category can get... a little strange, admittedly. It can take the form of rings, capes or even more... strange ones, like roller skates. Additionally, armor that can be used as a weapon falls into this category, such as wrist-mounted blades or gauntlets. (CG Note: Requires Device - Lyrical Nanoha first. This perk precludes Weapon-type - Lyrical Nanoha and Auxiliary Control-type - Lyrical Nanoha.)"
3,,Free,Auxiliary Control-type ,Lyrical Nanoha,Magitek,"This category is... admittedly a little strange. Devices that fall under this are those that simply perform their functions without directly being used in combat. Magical tomes, cameras, ceremonial knives and… stuffed animals belong in this category. If what you want doesn't fit in any other category, it most likely belongs in here. (CG Note: Requires Device - Lyrical Nanoha first. This perk precludes Wearable-type - Lyrical Nanoha and Weapon-type - Lyrical Nanoha.)
"
4,,Free,Standby Form ,Lyrical Nanoha,Magitek,"Ever wonder why most mages have some sort of trinket on them? A card, a gen, a bracelet, earrings? More often than not, those are actually their Device in it's standby form, which is usually something representative of an aspect of its appearance in Device form.. While it isn't particularly useful for magic in this form, it's much more convenient to carry around like this, no? (CG Note: Requires Device - Lyrical Nanoha first.)
"
5,,Free,Device Form ,Lyrical Nanoha,Magitek,"Also called the 'Active' form, this is the form you're going to be seeing most of the time. Remember the 'Handling' option you chose above? Now you're going to get to put that to use! You get to pick something within the Handling category you chose to become the form of your weapon – not even necessarily within reason! Twin gatling guns have been seen in this category before! (CG Note: Requires Device - Lyrical Nanoha first.)
"
6,,Free,Basic ,Lyrical Nanoha,Magitek,"...It's probably only polite to refer to this as 'intelligence'. While it's a bit doubtful as to whether it can even say anything other than the names of you attacks, it's also capable of relaying received electronic messages when telepathy isn't available. Other than that, it might as well be an inert piece of metal. (CG Note: Requires Device - Lyrical Nanoha first.)
"
7,,Free,Auto-Repair ,Lyrical Nanoha,Magitek,"Devices are of a strange make. Other than the crystalline components that make up the very core of the Device, all of it’s parts – the blade, shaft and handles – are made of very simple, replaceable materials that can be regenerated through magic. In fact, a common combat tactic is burning large amounts of power to quickly regenerate damage in what’s called a ‘Recovery’. If a Device were to be damaged, it can enter an automated repair state once returned to Standby Mode, regenerating any damage to more superficial parts and light damage to the main body. Heavier damage would require taking the Device to a specialized technician – a Device Meister. (CG Note: Requires Device - Lyrical Nanoha first.)
"
8,,Free,Sheikah Slate (Basic) ,Legend of Zelda: Breath of the Wild,Magitek,"A magical tablet the size of a hardcover book, and also the key to unlocking the true power of the ancient magitech that the pre-exile Sheikah left behind. In its most basic form, missing all but the essential Runes, this Sheikah Slate has a sophisticated mapping system where you can mark points of interest (Though you'll need to find a method of actually downloading maps onto the thing) and a digital zoom ""scope"" that both lets you scout out distant places and set map waypoints at wherever you're looking to keep you on track. Most importantly, the Sheikah Slate authenticates you as a valid user of ancient Sheikah tech, and as such you will be able to use the ancient Shrines and Towers that the Sheikah left behind, and it even includes a Sheikah Sensor function that will alert you of nearby Sheikah technology if you get within range."
9,,50,Armed ,Lyrical Nanoha,Magitek,"This module allows the Device to perform basic situational analysis, warning you of incoming projectiles and advising you against attacks that you might have otherwise missed. (CG Note: Requires Device - Lyrical Nanoha first.)"
10,,50,Storage ,Lyrical Nanoha,Magitek,"Provides a significant boost to any computational ability it may have already possessed, and streamlines it in the process, significantly reducing the mana draw on you. Also allows the option of 'overclocking' it's processes with mana, at your discretion. (CG Note: Requires Device - Lyrical Nanoha first.)
"
11,,50,Defenser Plus ,Lyrical Nanoha,Magitek,"Most spells have a natural ‘bleed’ loss, where a fraction of the energy put into casting the spell is lost as waste, within roughly half a rank’s worth of power. The natural solution is simply improving the algorithms used in the spells, which gives them more effective power. (CG Note: Requires Device - Lyrical Nanoha first.)
"
12,,50,Mana Boost ,Lyrical Nanoha,Magitek,"As with bits and the standalone flight mode, any spell designed to affect those outside direct contact are going to suffer a slight loss in energy spent to effective energy of the spell. Thankfully, this loss can be mitigated by simplifying the algorithms, which increases the coefficient between cost and result. (CG Note: Requires Device - Lyrical Nanoha first.)
"
13,,50,Efficiency Boost ,Lyrical Nanoha,Magitek,"A relatively simple modification, this streamlines some of the more critical processes in the Device, conferring a general increase to efficiency, although due to just making the modifications in the Device as a whole, it is simply a general boost, instead of a more potent boost to a specific aspect, as with the above enhancements. (CG Note: Requires Device - Lyrical Nanoha first.)
"
14,,50,Tier One Magic Rings ,Endless Legend,Magitek,"A magical ring that provides a bonus depending on the material used. Limit one ring per hand.

Iron: Grants the wearer greatly increased vision, easily doubling their visual acuity, and doubles as a really nice set of knuckledusters

Dust: Fortifies the wearer's body with Dust, helping cushion impacts and slowing blood loss.

Titanium: Increases the wearer's overall strength. If you could bench 50kg, you could bench 60kg.

Glassteel: Increases the wearer's agility and reflexes. Go from juggling apples to knives.
"
15,,50,Tier One Talisman ,Endless Legend,Magitek,"A magical necklace that provides bonus depending on the material used.

Iron: Increases the speed the wearer covers ground at roughly double the speed. This does not increase overall agility or reflexes, just how quickly they can chew through distance.

Dust: Grants the wearer regeneration. Bruises vanish in hours, not days, broken bones heal in days, not weeks.

Titanium: Fortifies the mind and resolve, helping to resist morale shaking effects and mind control.

Glassteel: Helps the wearer predict flight paths and improves over all accuracy. Go from a fifty cent piece to a quarter.
"
16,,50,Dust Mint ,Endless Legend,Magitek,"You gain the equipment needed to extract and refine Dust from the environment.
"
17,,100,Communicators ,Generic Magical Girl,Magitek,"Be able to discreetly contact your allies at any time with your magical communicators. They communicate on a secure magical channel, so they have essentially unlimited range and can't be intercepted or eavesdropped on unless someone's leaning over your shoulder. You get one for you, and one for every ally or companion you take.
"
18,,100,Energy​ ​Draining​ ​Devices​ ​,Sailor Moon,Magitek,"Your studies into the flow of energy has given you energy stealing technology. You can create small, energy stealing devices that can be passed off as regular mundane objects. To drain someone’s energy, they must use the item of their own volition. This can include conning them into using it. You can also implant weak brainwashing features into these items if it fits. So for example, it’s entirely possible to make a CD or music file that drains someone’s energy when they listen to it, that could also help turn someone to your side. You may gather energy from afar with these devices as long as you are on the same planet as the person using them.
"
19,,100,Smoke​ ​Bombs​ ​,Sailor Moon,Magitek,"These smoke bombs are perfect to help hide your escape--the smoke they make will be difficult to see through or for anyone to follow you through. These bombs will greatly muddle any supernatural or technical senses that try to track you through the smoke--you heat signature will seem cooler than what they are, your breathing, heartbeat, and steps will be muffled, any magical traces you leave will be too weak to sense. This doesn’t completely hide you--people can just blow it the smoke away with a gust of wind and the smoke will eventually dissipate, so make your exit as quick as possible!
"
20,,100,Smoke Bombs - Boosted,Sailor Moon,Magitek,"Any evidence you left behind in your exit, like footracks or blood trail, will be extremely difficult to find in the vicinity of the smoke, even after it’s gone. People will probably need professional tools and skill to find them. Any combat damage that happened will still exist--but as far as the evidence is concerned, you just disappeared where you stood. (CG Note: Requires base Smoke Bombs - Sailor Moon first.)
"
21,,100,Magical Ergonomics ,Lyrical Nanoha,Magitek,"Okay, let’s be honest. Some Device designs that the nerds at R&D cook up aren’t exactly easy for human hands to wield. Weird trigger placement, too much weight on one part of the weapon, or even having the reloading chamber far away from where you actually hold the dang thing - it can be a mess. But you’re so used to this that it just doesn’t bother you. Terrible or impractically designed weapons or devices work just fine in your hands, and your performance doesn’t really suffer for it. This doesn’t work for security measures designed SPECIFICALLY to keep you from using it, however."
22,,100,Cartridge Kit ,Lyrical Nanoha,Magitek,"Cartridges are a mainstay of the Ancient Belkan system, so it would be awfully silly if you didn’t know how to make your own, right? It’s a box of about sixty cartridges, along with everything you need to make more of your own. If you’re lazy or not much of a building type, it will restock on its own the following week.
"
23,,100,Sealing Mode ,Lyrical Nanoha,Magitek,"Most Devices are far from standardized, this feature is fairly ubiquitous among custom Devices made for use by TSAB mages. It is also somewhat unique among other Modes for being usable with other Modes, as the main body of the Device remains unchanged except for the Device deploying energy wings from somewhere near the ‘hilt’ of its body. The Device also gains a very limited capacity to store small objects within it’s main body, with a capacity equal to its actual size.

Sealing Mode does limit Device output a not insignificant amount, attacks made in this form, along with access to a ‘sealing’ spell allow the anomalous properties of objects and artifacts to be sealed, rendering them safe for handling. It also cancels out active effects of the object, for example separating someone from an artifact that’s possessing them. Once sealed, an artifact is even safe to handle and can be even used to a limited extent. Sealing does not last forever, however. An upkeep is required to keep the sealing in place, albeit at a very low intake. (CG Note: Requires Device - Lyrical Nanoha first.)"
24,,100,Alternate Mode ,Lyrical Nanoha,Magitek,"When it comes to magical combat, the truth is that there often isn’t a perfect weapon for every occasion, so many Devices compensate for this by including a transformation mechanism. This lets the operator overcome the limitations of their Devices form somewhat, allowing them to fight ranged with an otherwise melee-based weapon or vice versa. (CG Note: Requires Device - Lyrical Nanoha first.)

These are not ‘true’ transformation mechanisms in the sense that they do not excessively alter the form of the Device, rather modifying what is already there. For example, the head of a halberd or bardiche may rotate to become the base for an energy scythe, or a sword might split apart into a whip. Some more exotic examples include a sword combining with it’s sheath to become a bow, or an enormous sword splitting into two smaller swords.
"
25,,100,Gigantic Mode ,Lyrical Nanoha,Magitek,"With regular weapons, simply increasing the size has a maximum useful limit. With Devices, the increased size of the weapon can be counteracted with fields and spells to increase physical strength when it comes to melee weapons, and the increased power demands of ranged weapons can be offset by simply providing the required power. This allows your weapon to expand to an absolutely massive form, from ‘merely’ four times its normal size to a titanic version that can crush sand dragons like walnuts.

There aren’t many caveats to this mode, and while the scaling can be technically infinite relative to your magical power, said infinite scaling cannot be said for the Device itself, which may need careful reinforcement the bigger you try to go with it. Additionally, missing becomes much more costly in this mode, as the Mage essentially compresses their potential damage over time into a single swing. (CG Note: Requires Device - Lyrical Nanoha first.)
"
26,,100,Intelligent ,Lyrical Nanoha,Magitek,"Expanded computational abilities, increased independence and an actual personality sometimes makes you doubt whether your Device is really as simple of a machine as it thinks it is sometimes. While it's personality may seem a bit... basic, it's undying loyalty to you and a somewhat quirky way of speaking is going to make it a lifelong partner. Now capable of partially interfering with your control process, it will help guide your projectiles and subtly correct your aim as best it can, although you do have an override, if you need it. The only drawback is the increased draw on you to power it's intelligence. (CG Note: Requires Device - Lyrical Nanoha first.)
"
27,,100,Gear Training ,Symphogear,Magitek,"The Symphogear functions as an extension of you, but only as long as you remain in sync with it. Just like you control it, it controls you, in a way, granting you a higher synchronization rate, and an almost preternatural sense for where the scattered components of your weapons – swords, traps, discarded saw blades – are. This effect also extends to more than just Gears, anything that you 'synchronize' with is going to benefit from this perk.
"
28,,100,Geology' ,Symphogear,Magitek,"It's not hard to just root around in Heretical ruins and pick out all the shiny bits, but the nature of heretical technology means that the most unassuming pieces of rock or scripture could actually be the real deal: Relics. Years of searching these ruins have given you a keen eye for finding Relics that might otherwise be masquerading as very plain looking objects, making you an extremely useful resource for salvaging them.
"
29,,100,BUSHIMO ,Symphogear,Magitek,"A pagan artifact unearthed in Greece, BUSHIMO was the first vending machine, designed to dispense holy water in exchange for coins. In modern times, however, it seems to have taken on the reverse function, this unassuming pot gaining unearthly powers. BUSHIMO has gained the abilities of a web developer, and will tirelessly work to produce graphics and slideshow objects for whatever you could possibly need, depositing them onto computers near you when it’s convenient.

...If left alone for too long, however, BUSHIMO will begin malfunctioning, and end up programming an entire mobile gacha game based on you, releasing it onto the market and starting a massive racket to rapidly accumulate wealth.
"
30,,100,Fused Gear ,Symphogear,Magitek,"...Still not satisfied? Well... alright. Here's an idea- I've got some special- no, it's not black pepper. Yes, I know it's in a salt shaker, let me explain. If you so desire to fuse two Gears together- whether imported or purchased below, I'd be willing to fuse the two together for a small surcharge. Just be warned, the effects can be... weird. They're not going to 'stack', per say, more override each other. Fusing, say... Prometheus and Longinus won't yield a Gear that generates spears and axes, it'll yield a Gear mostly based around chainsaw polearms, with an additional theme of holy fire. Sounds a bit silly, right? Well, I'm sure you can come up with something worse, if you so choose. (CG Note: Requires Basic Relic, Implanted Relic, Shout of the Earth and/or Another Shard - Symphogear first.)
"
31,,100,Ignite Module ,Symphogear,Magitek,"By tapping into the berserk state function that was first observed with Human-Relic fusion users, it's possible to create a controlled state, giving the user greatly increased strength and defense in exchange for a limited activation time with three safeties. Being unable to handle the mental stress of first activation or exceeding the safe activation time will cause the user to go berserk, attacking with reckless abandon until they are forced to deactivate. (CG Note: Requires Basic Relic, Implanted Relic, Shout of the Earth and/or Another Shard - Symphogear first.)
"
32,,100,Alice Doll ,Touhou Project: Parasol Paradise,Magitek,"A masterwork doll skillfully crafted by Alice Margatroid, utilizing such advanced magitech that an artificial soul was able to be implanted into the doll in order to create a fully sentient, autonomous being. This doll is completely loyal to you, and is surprisingly adept at combat despite its size, but specialize in mundane housework above all. You can specify its personality and appearance."
33,,100,Aquapulvistics ,Endless Legend,Magitek,"Where there is water, there is Dust. You know how to sift a sizable amount of Dust from any flowing water source. The larger the source, the more you can extract. Useless in Winter, but that's years away, right? Even after you leave Auriga, you still manage to find a little Dust in water across the multiverse. Nifty, huh?
"
