0,,CP Cost,Name,Jumpdoc,Chapter,Description
1,,Free,Undead Traits ,Warhammer Fantasy: Tomb Kings,Transformation,"You are undead. Between life and death. Your flesh and organs have long since rotted from your body, leaving you as naught but bones, animated by your own soul. Your soul remains within your body as a result of countless rituals and spells performed over your form prior to and during your burial. As an undead, you do not age. You have no requirements or ability to do bodily functions such as eating, drinking, sleeping or breathing. You have no organs to damage or blood to bleed. The only way to kill you would be to smash up your bones till nothing the size of a skull or larger remains.

You are enchanted so that, even despite lacking muscles or skin, you can move with superhuman strength and speed, as well as move and think at all. Whilst many lesser Nehekharan undead require the presence of a Liche Priest to maintain awareness and only have the most basic of personalities, you have no requirement for support from a Liche Priest and you maintain your full cognitive functions in this form. However, as you are just old bones, you are quite vulnerable to fire, despite the relative sturdiness of your form.

After the jump ends, this will become an Alt form for you.
"
2,,Free,Soul Gem ,Madoka Magica: Wraith Timeline,Transformation,"As part of your contract with Kyubey, your soul has been partially separated from your body. It is contained within a tiny gem with a color and aesthetic matching your personality and your wish...well, what WOULD have been your wish if you chose a background, or just a look that ‘fits’ for Drop-In. The benefits to this state are as follows:

Unaging - You do not physically age from the point of your contract onwards.

Magical Body - You can transform into a Magical Girl form by activating the Soul Gem, where it will rest on a part of your body either embedded onto your skin or as a piece of jewelry (it can remain in this form in your ‘civilian’ persona, as well). This creates a ‘projection’ around your physical form that is much more physically athletic and can take a lot of physical punishment with only some of the damage and the pain. Being knocked around or juggled by a powerful Wraith is still an unpleasant and painful experience, but you’d have a good chance of surviving the first few attacks instead of immediately dying like an ordinary person would. It’s in this form that you can use your Magic, detailed below. Even better? As long as your Soul Gem is still intact, you can use magical energy to regenerate your body even if you were just a smoldering pile of ash, though this takes time and is a huge drain on your resources - you’re more likely to disappear without a full ‘tank’ of energy ready than completely regenerate from a single cell. You will also be conscious through the entire experience, so...try not to get to that point.

Magical Girls, Represent! - As a bonus, your ‘transformed state’ has a neat costume and aesthetic of your choosing. It doesn’t change its function, but if you want to wear a pretty dress into battle or look like an armored knight of some kind, you can. Just note that what you choose remains the same unless you find another way to modify it.

That said, this isn’t all sunshine and pink dresses. There are some downsides.

No Wish For You - I’m holding onto that wish of yours until we’re finished with your chain. Believe me, it is not worth cashing in here.

Energy Requirements - Everything I explained above, and the Magic it powers, is a product of the Soul Gem. The Soul Gem only has so much energy to spend and for the duration of this jump, you can only regain energy by using the remnants of Wraiths after defeating them. While you generally won’t have to worry about this if you pick your fights wisely, using a huge amount of power or coming back from atomization will put you in the red fairly quickly. Your mood will also dampen and become increasingly manic and depressed the more severe your energy deficit is. This also ties into…

It’s Called a Soul Gem For A Reason You Moron - The Soul Gem literally houses your soul. If you’re separated from it (more than a small room’s distance would do it), your body will drop dead and start decomposing, utterly helpless until the Gem is returned to it. You have no motor control or awareness in the Soul Gem itself, to boot. What’s more, it’s amazingly fragile and if destroyed, will instantly kill you. Hm? You can survive this somehow? Then your Soul Gem will reform with you, but it will lose the same amount of energy needed to restore your body from the ground-up. You’ll need to ‘refill’ quickly.

Game Over - If your Soul Gem is destroyed (without some way to cheat death) or you exhaust all of your energy, you suffer the same fate as other Magical Girls and vanish from existence...although, in your case, you just go home safe and sound as if nothing happened. Thankfully, this only applies to this jump - I’ll get to alternatives and how things work onwards in a little bit.
"
3,,Free,Mankai Form ​,Yuki Yuna is a Hero,Transformation,"Every Hero has access to a powerful, but temporary form that completely changes their outfit, and super powers their weapon. In order to access it, one needs to build up energy by fighting Vertexes or hostile foes. You will be able to tell from a stamp somewhere on your clothes displaying a flower on it. The more flowers that bloom on the stamp and the more elaborate it gets, the more energy that has built up. Energy cannot be gained via training alone. This form is capable of destroying the bodies of the weaker Vertexes to expose the soul that dare to threaten humanity in a single strike and tearing into the outer shells of the strongest Vertexes. This form is also capable of growing different, but thematically fitting powers, such as a protective flowerbud holding two people in to protect them from the flames of atmospheric reentry. One may also be able to fly in this form. However, this form comes at a cost, called Sange.

See, all your power is borrowed from the god Shinju-Sama, and you must make a sacrifice to gain this power. When the form ends, you lose a part of your body or your mind. This can range from memories, to losing your sense of taste, to losing your eyesight in one eye. Thankfully, your outfit will change to accommodate for any physical losses so you won’t be affected by bigger sacrifices like losing the use of your legs, and your instincts will never leave you if you lose your memory. And post-jump, you will gain everything back and no longer need to give up any part of you to use Mankai.
"
4,,Free,Cell Phone ​,Yuki Yuna is a Hero,Transformation,"This is a cool smartphone with all sorts of apps. But it’s most important app, pre-installed, comes with a Hero App. This has a chat function that lets you talk to other people in your friend group and you even are represented by chibis. This Hero App will ding loudly with an alarm when the Vertex arrive (But you could also tell, because time stops when they approach Shikoku except for you and your friends). It even comes with some handy dandy informational material in the app, such as the history of and how to fight the Vertex. And if you want to transform, simply press the app to initiate the transformation. It can even tell you how many Vertex you’re fighting and where they are.
"
5,,Free,Physical Enhancement ,Generic MG,Transformation,"Magical girls have to be fit. But when a monster is bearing down on you on your first night, that’s a bit late to hit the gym. Fortunately, your power includes some basic enhancements.

Muscles a dozen times as powerful, capable of letting you lift cars without hurting yourself, tossing people through walls, and running across rooftops.

A full-body reinforcement by the same factor, protecting you from your new strength, as well as making most enemy attacks into lighter punches. Not completely ignorable, but you’ll take a good beating without going down.

Enhancements to balance and reflexes, as well as some acrobatics training settled into your mind so you can use your new abilities to roofhop and stand on telephone poles without issue.
"
6,,Free,Halfling Traits ,Warhammer Fantasy: Halflings,Transformation,"When man first came over to the World’s Edge Mountains, the halflings followed. The dwarves recorded them as “beardless manlings we first thought to be children.” That description is not far off. As a halfling, you are only about three- to four-feet-tall, with the proportions to match. Most halflings, both male and female, oft have a beergut to match their desire for both good food and a comfortable life. I’ll leave that particular detail up to you. Their feet, large and hairy on the tops, are naturally thick-skinned and leathery - rendering boots and other forms of footwear redundant as they can even walk on broken glass or jagged mountainous trails without damage. This and their naturally quick fingers and quiet movement lend halflings a natural intuition at stealth and sneaking about - fitting with their lack of physical strength.

Lastly, halflings have a native resistance to magic, both beneficial and harmful. It is not to the same extent as dwarven near-immunity, but a fireball that would severely burn a human soldier will leave a halfling singed and momentarily blinded.

After your decade here is up, you may choose to have your halfling form available as an alternate form to transform into.
"
7,,Free,Badge of Office ,Warhammer Fantasy: Imperial Colleges of Magic,Transformation,"Each Wind of Magic also affects the physical appearance of those Wizards bound to it, and you may now possess these unique looks as well. Such changes to your visage become an alternate form at the completion of your time here.

Amber: You bear the features of some animal whose aspect you favor. Perhaps instead of human hair, you have a wolf’s mane, or your fingers have become eagles’ talons.

Amethyst: Your body is as hairless and pale as a bleached skeleton, and your head most likely is as well.

Bright: Your face and arms are marked by crimson tattoos, which shift like flames when you cast, and your hair is likely bright red and actually aflame at the tips.

Celestial: Your eyes may glow a faint blue at all times. Not the most obvious of effects, but it is there.

Gold: It is likely that your experiments have led you with deep burns from fire and acid on your skin, but that is not the sort of thing that keeps a good Gold Wizard down. It is also possible that parts of your flesh have turned to solid gold.

Grey: You are likely lean and fit from your many wanderings, but otherwise this is the least conspicuous effect. Perhaps your face is a little too forgettable, even...

Jade: Rather than an obvious elemental manifestation of some sort, you may seem to be more ‘alive’ in general – at least during the spring and summer. More vibrant flesh, hair, and eyes reflect the increased life within you. Of course, you might wrinkle and wither somewhat during the fall and winter, but it is nothing too noticeable.

Light: Your hair is bright white, your skin is opalescent, and your eyes have no visible pupils. You are slowly becoming a living point of light, in a sense.
"
8,,50,Work-Life Balance - Low Tier,Generic MG,Transformation,"Most magical girls have no ability to mix their transformed and untransformed modes. Once they lose the frilly outfit, they are nothing more than ordinary girls.

You are different.

For 50 CP, you retain Physical Enhancement at all times. In addition, you also retain passive benefits from other alt-forms in all alt-forms.
"
9,,100,Transformation Trinket ,Generic MG,Transformation,"You know what this is. The amulet or whatever that a magical girl uses to transform. Although recent series have started turning the girls’ phones into the transformation trinkets. Weird. Most magical girls have a different appearance when transformed, but there are plenty of examples where the “transformation” is just an outfit change and instant hairstyling. Uses this once transforms you into your magical girl form. Using it again transforms you back.

For most girls this also enables them to use their powers (see the Powers section and Work-Life Balance).
"
10,,100,Redshift Jumper ,Tsukihime,Transformation,"The greatest expression of power isn’t anything as subtle as presence or a mere sense of having moved forward somehow - it’s bright and flashy colors that show you’re not someone to mess with! When you achieve or use any supernatural power of your choosing, you may have your body change in appearance somehow to match it - whether a different hair color, longer hair, a change in skin tone or eye color, or other ‘minor’ changes in appearance. This is purely aesthetic and doesn’t allow full-blown shapeshifting, but you can freely customize when and how these forms appear, as well as change the appearance of similar transformations that don’t change your body very much freely. This can be toggled and adjusted at will.
"
