Cost,Perk Name,Source,Description
0,Ouija Board [25CP*],Generic Stephen King,"A board once used by a Ms. Nadine Cross while she was in college. Actually works, regardless of the world. Whether that's good or not depends on who (or what) you contact. 50% chance to contact something malevolent while in a horror jump. All other jumps have a 10% chance of malevolence. Contacting a specific spirit or entity is not guaranteed.
Ouija Board: Signal Boosted: For 100CP, contact the desired spirit or entity, every time.
(Editor’s Note: For Signal Boosted. You may have to be in a location significant to the desired ethereal being.)"
0,Gas Mask [50CP*],Resident Evil,"With the amount of times a pathogen gets released through the use of aerosols and gases, one would think that air filtration units would be more prominent when Raccoon City kicked off the whole viral problem. Yet a fair amount of them do not, and that is a bit of a failure on their end. You could fix that, however. This gas mask is quite skilled in filtering out all but most concentrated of toxins, and it comes with a replenishing supply of filters.
HUD: For an additional +50CP, it is upgraded to come with a helmet and include a heads-up display in the visor along with a miniature air tank in the event the filter is not enough... 	NVGs: With an additional +50CP on top of that to include night vision! It’s
very useful, admittedly."
0,Feed Bag [50CP*],Ravenwood,"A large sack filled with the ideal food for ravens, crows, and other, similar birds. The feed within never seems to run out. Birds that eat this feed regularly seem to grow smarter, up to the intelligence of the Ravens offered below. An additional purchase (undiscounted) can be made to add feeds that will have the same effect on another kind of animal, such as cats, dogs, mice, or other, more exotic animals. For an additional 100cp can be spent to add feeds infused with the sources you possess to grant anything that eats and can benefit from the feed access to that source. A single animal can only benefit from one such infused feed."
0,Enchiridion [100CP*],Adventure Time Jump,"A book about everything you need to be to be a Hero. The Enchiridion possess the ability to open portals to any know dimension in the (local) multiverse, including prismos time room but can't be used to travel to other settings, it also requires the gems of the princess of Ooo to work, but the ancient knowledge inside its pages (like how to kiss a princess) is indispensable.
(Editor’s Note: Would recommend watching this video about the Enchiridion. Due to the nature of the Darkest Tome, the Enchiridion has a very high chance of simply refusing to give you knowledge of any importance or will not cooperate. Which I think is fair considering the price of the Item (unless increased, which I suggest 1500CP or more) because of the actual importance of the Enchiridion.)"
0,Satellite Phone [100CP*],Resident Evil,"For people who need to always be connected, there's always an option for them. This device allows you to get a signal no matter where you are, ensuring that there's no such thing as being cut off from the outside world. As a bonus, it has an unlimited battery as well!
Satellite Phone: Crystalline: For an additional +50CP, you may choose to make this the fold-out crystal cube variant instead."
0,Power Limiter Coat | β Hetero Nonserotonin | P30 Injector | Connection Chip [400CP*],Resident Evil,"Power Limiter Coat [100CP] (Resident Evil)
Sometimes you just need to go with style along with purpose. This large, black overcoat (or any color really, it’s your call) is usually given to the Tyrant series of B.O.W.s in order to control the mutations they may experience, and to keep them from going into a 'Super Tyrant' mode. But for you, it can be utilized to limit any abilities you may possess, even being altered to limit specific abilities and not others. As a bonus the coat is also extremely bullet-resistant, giving a great deal of protection to the wearer. Just watch your head. Should you desire it, this coat will also come with an exceptionally stylish hat which will release a small amount of your ability if someone’s stupid enough to knock it off.
β Hetero Nonserotonin [100CP] (Resident Evil)
Umbrella has done some pretty nasty things for the sake of creating and improving their bioweapons. For instance, take a special hormone secreted from the pituitary gland during the later stages of puberty. Using it on something like a B.O.W. would significantly increase its levels of ferocity and brutality and make them better weapons. Only problem is, it can’t be harvested from corpses and taking it from patients under anesthetics would dull the results. So Umbrella often just takes it from vivisections on conscious children. You however, have a nice supply of the stuff that replenishes itself when you run out. There’s a manual to dictate how to... procure it from people if you’re into that sort of thing, though.
P30 Injector [100CP*] (Resident Evil)
If you’re the type to simply want obedient soldiers who never question you, then you’re probably going to want this. A red device that’s surgically grafted onto the chest of the recipient, this device would continually subject said recipient to a chemical that not only improves the user’s strength and agility a little beyond peak human performance but also renders them very obedient and subject to control. In effect, this would make someone the ultimate super soldier so long as they had this device on their chest. It also comes with the formula to make more P30 and more Injector devices.
Scarab: But for an additional +50CP it can be upgraded to a mobile ‘Scarab’ device which can latch on to a host by themselves and give the benefits above.
Connection Chip [100CP] (Resident Evil)
Not everyone wants to deal with nasty parasites in order to control their weapons of mass biological destruction. Sometimes they want a more stable solution. This computer chip can be planted in a B.O.W.'s brain, and as a result linked up to a computer through which to control your minions as needed, or even just to gather combat data. If you like, it can even just be used to feed additional data and help improve a B.O.W.’s combat prowess while leaving any sapience intact. Just beware they don't mutate to the point where it breaks the chip."
0,Holy Grail [400CP*],Fate Grand Order,"It seems you’ve gotten hold of a peculiar goblet. Golden in both mundane and mystical glimmers, this little cup shimmering with magical energy is nothing more than a Holy Grail, an immensely powerful artifact, commonly held to be a wish-granting object due to its vast powers. Fundamentally speaking, Holy Grails are incredibly powerful generators of magical energy, and possession of one makes the usage of said energy easy even for those unskilled in magecraft. Perhaps some examples of their use should be presented.
One of the foremost and most iconic powers of these Grails is the summoning of Servants, which also allows you to modify them slightly such as giving them the Madness Enhancement skill. If you do not have the time to gather the energy required for a Servant summon, you can still use it to quickly conjure a number of phantom Servants, little more than shadows of true Servants, useful as mooks if nothing else. Additionally, one of the major uses of them you might see in this world is the support of a Singularity, which shall be explained later in the Distortion In The Timeline section. Of course, the Holy Grail is called wish-granting for a reason, although the ‘wishes’ it can grant must still be relatively grounded in the physical world. Summoning endless amounts of nutritious and delicious food would be trivial, as would redecorating a room in seconds. They can also be utilized to reinforce magical effects and rituals, providing vast amounts of magical energy and mystical stability.
The Holy Grails are the core of Goetia’s plan to incinerate history, and Chaldea will gather quite a number of them in the time to come. As such, you can also purchase additional Grails after this first one by spending an extra 200cp per Holy Grail. Should you have discounted this item, this extra surcharge will be reduced to 100cp per additional Holy Grail instead. And finally, your first Grail also comes with some knowledge on how to make more of them, as difficult as it is even while possessing one already. What shall you do with such power in your hands?"
0,Lysine Supplements 400CP],Jurassic Park Books,"All of the dinosaurs inside Jurassic Park require lysine supplements due to their inability to create them. This is a large supply of lysine rich food including crops, livestock, and any other sources of food. This food supply is large enough to feed as many individuals as you need to. The best part is that in addition to the lysine this food will always contain any necessary vitamins and minerals. This food is very useful for treating patients who are malnourished or suffering from some sort of deficiency."
0,NE-α Type Parasite Sample | Plant 43 Sample | Las Plagas Parasite | Mold Sample [600CP*],Resident Evil,"NE-α Type Parasite Sample [100CP*] (Resident Evil)
Eugh, this is kind of creepy. Not satisfied with using viral agents, Umbrella designed a parasite which was capable of affecting the host's brain and enhancing its intellect while increasing susceptibility to suggestions... making the host a perfect soldier. At least, if it was compatible... if it wasn't, the host would die within twenty minutes.
Beta: For an additional +100CP you may collect a NE-β Type Parasite instead, which is a larger spider-type parasite that increases the speed, intelligence, strength and durability of the 'host', be it zombie or human.
Plant 43 Sample [100CP] (Resident Evil)
It’s one thing to be worried about anything breathing, but once you start weaponizing the flora of the world then all bets are off. Enter this genetically engineered plant that Umbrella created based off of data from Plant 42. Not only does this plant attack others and feed off of their blood if given the chance, but it can also implant seedlings inside people or corpses to infest them, turning them into Ivy Zombies that only flame can truly eliminate. Such a parasitic nightmare will make one think twice before braving the outdoors.
Las Plagas Parasite [200CP*] (Resident Evil)
What is it with these people and parasites? Well, if you wish. The Las Plagas Parasite is a creature that attaches itself to the nervous system inside the body, ensuring there's no outward signs save for coughing, occasional bleeding, or reddening of the irises among other things. But once implanted and developed, the host gains a tremendous resistance to pain and damage along with increasing the strength of the host... to say nothing of potential mutations, voluntary or otherwise. As a bonus they also can form a hivemind via ultrasonic frequencies. Just watch out for that UV light weakness.
Queen: For an additional +100CP, you may also gain a Queen Plaga sample, which allows one to produce both Dominant and Subordinate-type Plaga.
Mold Sample [200CP] (Resident Evil)
There’s been viruses and there’s been parasites. But this takes the ideal of biological warfare and turns nature itself against humanity, all in the name of advancing profit and control. This little item is a sample of the pathogenic fungus known as the Mold, and it is capable of helping the host regenerate as well as getting some strength. However, there is a price. Most infectees end up becoming monstrous creatures, while even the human infectees are controlled by the primary 'host' akin to a hive mind. It’s heinous, but extremely effective in skilled hands.
(Editor’s Note: The full details of this perk can be found within the Ravenwood jump.)"
0,Black Symbol [????CP],Twin Peaks,"A card with a strange black circle with two protruding ""antennae"" on it. Just holding it makes you feel as if everything has gone wrong, and it's all coming apart. You do not have to pay any CP for this item.
(Editor’s Note: More of a joke/potential thematic item I decided to add. It is up to you what you would like to do with it. Potentially you use it to enact the last drawback within the Twin Peaks jump.)"
