Cost,Perk Name,Source,Description
0,Artistic Temperament [100CP*],Lovecraft Midnight Movie Marathon,"Choose one form of visual or literary art, such as sculpture, poetry, painting, or novel writing. You now have the talent, training, and technique to make a decent, reliable living at it and become something of a regional celebrity.
Artistic Temperament: Expansion: You may purchase this perk multiple times for 50 CP (not free) for an additional art form each time.
Artist Temperament: Prodigy: Alternatively by paying an additional 200 CP you can become a true prodigy who could be counted among the all-time bests in your fields, including all those who could have been among them but were never given the opportunity and the chance."
0,Brilliant Mind [100CP*],Glitchtale,"You’re smart and thanks to your own efforts, you acquired enough knowledge to match three Ph.D on three different fields in science or technology. You aren’t on the same level as Alphys or Gaster, but you’re still one of the smartest people here."
0,Weird Science [100CP*],Saya no Uta,"Far from being just another country nutbag with an interest in the paranormal, you are a properly educated and learned individual. You’ve gone to one of the best academic institutions in Japan and become a highly respected member of whatever academic field you choose. You may choose one academic field to gain pair of doctorates in, likely some kind of medical or biology based discipline but you are not limited to that. Whatever you choose, you will have a fair amount of experience in the weird side of your chosen field. Be it chasing after reports of strange beings for a zoologist or studying strange fungi that appear to not be of an Earth origin for a mycologist. You may purchase this perk multiple times though only the first is free for Researchers."
0,Doctorate [100CP*],Lovecraft Midnight Movie Marathon,"If we see far it is because we stand on the shoulders of giants. To progress science it is easiest if you have a foundational awareness of what is already known. You now have the education of a proper doctorate and may choose one PhD of your choice, or to be a fully trained medical doctor with a specialty of your choice.
Doctorate: AdSpec: You may purchase this perk multiple times for 50 CP (not free) for an additional doctorate each time."
0,Traditional Japanese Art [100CP*],Fate/Legends: TLotRS,"You may never make your name on the battlefield but those fools running around with metal sticks waving fail to understand the influence more delicate approaches can have. You have the talent and the training to become a nationally famous artist in a style found here in Japan. Writing and poetry, weaving, calligraphy, some of the varieties of traditional painting or even more modern arts not yet created in older Japan.
While you have the ordinary skill to create emotionally moving and lasting pieces of art, you also possess a magical side to your style. You can naturally enchant your works with magic, enabling it to have a more direct influence on the minds and hearts of those who experience it. Simplest to just direct the emotions of readers but with time, you can plant ideas and even commands to be later activated in the minds of others. Art that is similar to your chosen style is easy for you to expand your skill into, a painter will quickly master other styles of painting,  and your art is never boring or bothersome for you to focus on. More, it is calming and enables you to re-centre yourself no matter the situation
Traditional Japanese Art: Eldritch: For 200 points instead, you can attain a
connection to an eldritch being through the medium of your art. This effectively turns
your artform into a form of magecraft, casting spells by creating your artworks. This
magic will be broadly related to whatever unnatural source you call your patron, a
dweller in the depths letting paintings of the ocean summon actual torrents of the
sea. Your power in these acts is that of an experienced magus, despite not
expending magical energy yourself but adding your own power to your art or delving
deeper into eldritch secrets could see your potency grow. As could seeking the
attention and favour of your dark benefactor, whatever their desires could be."
0,Lore of Nehekhara [200CP*],WHF: Tomb Kings,"The magic unique to Nehekharan Priests. The powers of the desert and its gods, heat and the sun and the dead things that reside in the desert, all these fall under the Lore of Nehekhara. A wizard versed in it could draw all the water from a man’s body by desiccation, unleash blasts of biting and tearing sand or boiling heat, enhance his warriors with many protective spells and buffing magics or, of course, raise and control the dead. More than any other, the Lore of Nehekhara has incredible powers to be gained over the dead, with great wizards being able to raise thousands upon thousands of undead warriors on their own. There is a vast amount of power to be discovered in this lore, especially around the dead or in the desert.
Purchasing this option grants you a fair amount of knowledge and training in this magic, enough that you could competently cast many low level spells and even some of middling power, as well as have a wide range of knowledge on Nehekharan legend and rituals. Liches gain this option for free and gain much more out of it, having had decades of training under other wizards in the magic.
For an extra 100CP each, those who buy or gain this perk for free may purchase similar levels of training that they gained from this perk in the Lore of Light and the Lore of Death, both styles with many offensive, defensive and esoteric uses, though the Lore of Death would combine best with the undead magics of Nehekhara.
(Editor’s Note: Due to the Tome, you may only go for the Lore of Death.)"
0,Hobbyist | Craftsman | Career Path | Combat Skills [200CP*],Generic Summoner,"Hobbyist [50CP*] (Generic Summoner)
Choose a sport or hobby, such as collecting, drawing, or the like, you gain five years worth of
experience with the chosen hobby. This may include esoteric knowledge, such as the worth of various coins if you collect coins or knowledge of urban legends if you study or hunt cryptids. This perk may be taken multiple times, either increasing the amount of experience by 5 years or getting experience in a new hobby.
Craftsman [50CP*] (Generic Summoner)
Choose a craft, such as metalworking, carpentry, or the like, you gain five years worth of
experience with the chosen craft. This may include esoteric knowledge, such as the concepts associated with various woods as a carpenter on top of the physical properties or what different weaves represent in textiles. This perk may be taken multiple times, either increasing the amount of experience by 5 years or getting experience in a new craft.
Career Path [50CP*] (Generic Summoner)
Choose a career, such as office worker, technician, or the like, you gain five years worth of
experience with the chosen career. This may include esoteric knowledge, such as numerology if you are an accountant or color theory if you work in graphic design. This perk may be taken multiple times, either increasing the amount of experience by 5 years or getting experience in a new career.
Combat Skills [50CP*] (Generic Summoner)
This perk gives you five years worth of experience in various combat skills. You may distribute this experience across any number of weapons or combat related skills, such as tactics, sapper training, scouting, or fortifying areas. This perk may be taken multiple times, increasing the amount of training you gain and can distribute by an additional five years."
0,Onmyouji [400CP*],Fate/Legends: TLotRS,"Among the most structured and ancient styles of magic in Japan is the Onmoyuji’s work. This Japanese magecraft is a mix of science and occultism, containing both many ordinary spellworkings but focusing primarily on working with tools and charms. Most famous are the paper charms and familiars that a Onymouji can easily create, imbuing them with magic long term to achieve a wide variety of goals. Wards, enchantment or cursing of others, creating powerful Shikigami warriors and more. You are a master of these arts, with a above average amount of magical energy to channel into them. However, an Onmyouji finds that raw power is worth less than skill and materials, as you can potentially do battle and seal even a great youkai like Tamamo no Mae despite lacking in power with the right set up. Onmyoudo performs superbly well with preparation, seeing rituals of incredible power becoming much easier than many other magecraft forms. In particular, you are familiar with the secret technique of Life Continuation. With this, you are able to engrave your very being onto your Shikigami, making them as much a part of you as your original body. Your human form being destroyed hardly matters when a thousand paper familiars hold your essence still, allowing you to control them all at once.
Onmyouji: Singularity: For an additional 200, you can learn the vast repertoire of curses, hexes and foreign magics that would let the dreadful Ashiya Douman compete with Abe no Seimei. With enough power gathered, you should be able to replicate the feats of summoning and creation that Douman achieved intheHeian-Kyo Singularity."
0,Compiler of Rituals [400CP*],Generic Creepypasta,"Your studies of the occult has given you enough knowledge to fill a book dedicated to your craft. You know a large amount of rituals to do a variety of things, from speaking with the
deceased to beckoning or rebuking demons, and more. These rituals tend to be time consuming, and must be done carefully to avoid potential disaster.
Compiler of Rituals: Boosted: Your knowledge of rituals and their quality have increased greatly; though it may take years to get everything just right, eventually you might rouse gods from their slumber, or help lull them to sleep.
(Editor’s Note: As the perk that acts as a Capstone Booster is not in the Tome. You may pay an additional 200CP, which is the price for the Capstone Booster, to obtain the effects of it.)"
0,Animatronic Magic [600CP*],FNAF Personalized,"To be frank, you’re a genius when it comes to robots. If a robot can be built to do something, you’d better believe you’re the one who can build it. Joints, engines, movement, you can create robots that walk… no, even run, faster than humans. Not to mention you can create AI to pilot those mechanical bits, AI with personality, ego, even depression.
Alternatively, if you’re into prosthetics, you could probably replace a person piece by piece, turning them into a living doll, and they wouldn’t even notice unless they found their lost parts lying around. Your prosthetics can actually feel, and as long as someone’s brain is intact you could let them live in a new body. Though a word of warning, a damaged brain could lead to personality shifts.
If you buy this perk twice you’ll get both effects, allowing you to create animatronics and robots completely indistinguishable from humans, or even other species if you wish. This will only get better with time, study and practice. This skill can only go up, with no hard caps, only soft ones."
