Cost,Perk Name,Source,Description
0,Wizard’s Sigil,Ars Magica,"In Mythic Europe, each mage has a sigil, a sort of magical fingerprint that appears in
spells they cast and magic items they invent. You my choose one small cosmetic effect
to apply to the spells you cast. For example, your spells might fill the area with a certain
scent or always feature a specific symbol or motif. For 50 MP, this can be improved with
a minor beneficial effect, such as improved focus or making you look extra impressive.
(Editor’s Note: Basically it can be included as a part of the Wells of Power chapter, with the payment being 50CP.)"
0,Paths,Attack on Titan,"All Subjects of Ymir are connected by paths, regardless of the distance in space or time between them. Paths are used to create and repair titan bodies when a transformation is triggered, to pass down the power of the Nine Titans and the memories of former inheritors,
to pass down skills and instincts among the Ackerman family, and to control all titans and Subjects of Ymir with the power of the Founding Titan. All paths cross at one coordinate, the Founding Titan, in the dimension where Ymir Fritz endlessly toils away in service of the royal family.
(Editor’s Note: According to the notes section. Fankwank how the paths dimension works post-jump.)"
0,Inexplicable Innuendo | Jingle of Jazz | Classy Contortionist,Bayonetta,"Inexplicable Innuendo (Bayonetta)
You're not sure how, but just by being here you've gotten the jive of things. Any time you want to come off as sexy or just talk in a lightheartedly dirty manner, it's easy as pie for you. Want to make some people squirm with an implication? Done. You can even implement this in your battle quips, throwing them off their game for that moment of distraction you need.
Jingle of Jazz (Bayonetta)
You've got a soundtrack now! Whether you want it to be peppy and sound like something out of a club, or go to the other end of the spectrum with ominous latin chanting and heavy orchestra, it's up to you! Go nuts and remember to keep it how you like it. Heck, you can make it a soft jazz note fit for a bar if you wanted.
Classy Contortionist (Bayonetta)
-Um... this is something. You've got an innate sense of posing that you can utilize, whether it be to show off your sexiness or simply throw people off their game. It's got all kinds of applications, and no matter what you're always going to look good. Throw it into your battle styles or something.
Small Beginnings (Bayonetta)
Maybe you didn't have a weapon starting out, or you just want to start something new. There's a nice feeling to trying to start a legend, after all, to go into the world with a unique weapon all your own. You start with a single melee or ranged weapon, to be used in the Weapon Customization Table.
(Editor’s Note: This appears to grant 1000SP for weapon customisation specifically; that won’t be listed here, but if you decide to give your character Small Beginnings feel free to go dig through the document to your heart’s content)"
0,A Shred of Self Preservation,Bibliomania,"You have a broad sense for danger allowing you to intuitively sense how dangerous something is just by looking at it, it's not a completely clear sense but you can tell when things are dangerous. It even gives you a minor sense of danger towards yourself allowing you to sense and react a fraction of a moment before it would harm you, sort of like the spider sense that Spiderman has just not as strong."
0,Rally | Blood Bullets | Visceral Attack,Bloodborne,"Rally (Bloodborne)
“After being injured in some fashion, you have a short window of time where bathing yourself in the blood of your enemies will trigger mild recovery. Something to the effect of the blood spraying out from viscerally hacking into a target will do.
It's never very much healing, and you’re unlikely to fully recover from anything too significant, but every little bit helps. You don't have to be drenched in blood, but the amount required to trigger Rally will be quite noticeable.”
Blood Bullets (Bloodborne)
“At any time, you may sacrifice a significant, but not life threatening, percentage of your blood to create a small supply of five blood bullets. When loaded into a weapon, they will change shape to match the necessary ammo type, and function as normal.
A blood bullet loaded into a pistol will match the caliber, become a shell for a shotgun, and even fuel for a flamethrower, though is unable to become anything too complex. This ability is unable to make blood bullets in greater numbers, as using it again will cause previous bullets to lose cohesion.
A single blood bullet is unable to take the shape of significantly larger projectiles, such as cannon balls, but if multiple bullets with a combined mass equal or at least close to the desired projectile are placed together, they will fuse and assume the proper shape.”
Visceral Attack (Bloodborne)
“Due to the use of blood ministration on you, or just because your status demands it, your inner beast has awoken. As with almost all hunters, and no matter which Aspect you chose, you have the ability to draw on some of this power with great focus and strain.
This allows you to perform very minor feats when given time, such as partially transforming your arm into a stronger, clawed form to deliver a terrible strike. The amount of focus and strain this requires means it’s often useless in battle, outside opportunities you create however.”"
0,Cassette Player | First Tape | Backup Tapes,Cassette Beasts,"Cassette Player (Cassette Beasts)
You have a special cassette player, which allows you to load a cassette tape into it that has had the pattern of a monster recorded onto it, and then transform into that monster. Stickers that have been attached to the tape will allow you to use various special moves and abilities, and when it is used, the tape can ‘rank up’, gaining up to five stars and gaining a new sticker with each star. Once a tape reaches five stars, it is often possible for it to be ‘remastered’, evolving into a more powerful form of monster with better stats, and then it can be ranked up once again. When a tape can’t be ranked up anymore, it will still gain EXP and generate random stickers when used enough times. You are also able to load blank tapes into your cassette player, using those tapes to record target monsters, though you have to be untransformed to record.
First Tape (Cassette Beasts)
To start with, you will gain a basic tape with a monster on it. This could be one of the two ‘canonical starters’ (Candevil or Bansheep), or any non-remastered, non-legendary monster. Alternatively, this could be a personalized monster, like the monsters that the various partners in the game use, one that is tailored to mirror your talents and interests.
Backup Tapes (Cassette Beasts)
While here, you can potentially record any number of monsters to tape. Even after you leave, those tapes can continue to rank up and be remastered. Additionally, you can use tapes to try and record supernatural creatures and monsters you encounter in future Jumps to gain a ‘Cassette Beast’ version of them. It will be easiest to record creatures that are similarly based in thoughts and dreams, as the monsters here are, but there will be at least a slim chance to record a version of any supernatural creature or monster you encounter."
0,Rites of Initiation,Cultist Simulator,"What is a pastor without its sheep? A hunter without the hunt? An occultist without its tools? This purchase grants you basic knowledge surrounding the rituals needed for this jump, including the ritual to induct new followers. This includes a general understanding of their inner workings, allowing you to tailor them as you see fit. You may use this power to induct an individual into the dark side of the world, allowing them to unlock an affinity based on one of the Principles of the Mansus. This affinity will closely match the nature of the new disciple. Those that already possessed an affinity before the rite receive no benefit from this perk.
(Editor’s Note: For an additional 200 CP, you may take these rituals to other worlds, allowing you to create a new framework for magic based on the Principles and rituals found in this jump. This framework can interact with existing magical systems, allowing you to use the rituals you are familiar with to tap into the system, or you could have your powers work in an entirely separate manner. Also information on the magic system of the jump can be found within it.)"
0,Souls of the Slain | Sounds of the Dark | Estus Flask | Ashen Estus Flask,Dark Souls Series,"Souls of the Slain (Dark Souls Series)
In this world, to have a soul is to have life. The soul will persist long after one’s death, a testament to the power of its former owner. These souls are free to be taken and they possess power. The stronger its owner, the stronger the soul. Of course, steps must be taken in order to use that power for oneself. Merely taking the souls of others will not make you stronger, at least not immediately. From now on, wherever you go, you shall absorb the souls of those you slay and those slain around you, to be used however you see fit. Whether you wish to forge these souls into weapons, strengthen yourself with them, or merely give them away, it is your choice.
Sounds of the Dark (Dark Souls Series)
Surprisingly, for a world that causes countless beings to be consumed by rage, this land holds many things of beauty. One of the more interesting things is the music. Whether it’s the boss themes or some truly morose music, this world has many different themes. This perk will grant you all of the music used in this world along with any remixes that have been created. Lastly, you will gain a personalized theme made with the style of Dark Souls. This can merge with any other music related perks if you have them.
Estus Flask (Dark Souls Series)
An Estus Flask, a flask made of pure emerald, conjured from the soul of a firekeeper to be gifted to those who would protect the keeper or the flame. To drink of the estus within this flask is to restore one’s health and vitality. The stronger a being is, the less proportional to their peak well-being may be restored, but no matter their power, no less than half their maximum may be recovered. You may drink from this flask five times before it is emptied entirely. You may refill this flask by simply resting by the presence of a bonfire or, barring that, a sufficiently well-kept flame. You receive one flask for free and may purchase more for 50CP each.
Ashen Estus Flask (Dark Souls Series)
Similar to the item above, this is an Estus Flask. But there are a few key differences. Through some process or another, this flask is cold to the touch, the Estus inside glowing blue rather than the liquid fire within a regular Estus Flask. The other difference is the flask’s healing properties. To drink of the estus within this flask is to restore one’s mind and magical energy rather than healing one’s body. Much like a regular Estus Flask, you can only drink from the flask five times before it runs dry. To refill it, you must simply rest by a bonfire or a particularly well-kept flame. As above, you receive one flask for free and may purchase more for 50CP each."
0,Soul Power User,Death’s Door,"You are capable of the basic applications of Soul Power. This means a few things. One, you are able to increase your physical abilities given enough excess power, though this has limits. Two channel it into magical abilities. Three, given enough power and resources, you can create living beings, though such things are quite difficult to accomplish. You can gain small amounts of this power by striking opponents, only enough to channel into a spell, but killing an opponent grants you a much larger chunk, depending on the strength of their soul."
0,Cuh-Ray-Zee! | Taunts | Weapon Swapping | Sick Clothing | Style,Devil May Cry,"Cuh-Ray-Zee! (Devil May Cry)
The moment you step into the world of Devil May Cry, you, and anyone you brought with you, will have the innate potential to do incredibly amazing stuff all day long, pal. However, it will take great skill and effort to pull off anything like blocking attacks with the back of your hand, or playing an air guitar that actually produces audible sound for others to hear. But never fear, if you train hard enough, and git gud enough, you too will be able to deflect bullets with other bullets, destroy buildings by spouting out innuendos, and become a worthy disciple of my ways. And yes, you totally get to see your rank whenever you're doing anything.
Taunts (Devil May Cry)
Your mother was a hamster, and your father smelled of elderberries! You are able to come up with witty dialogue, insults, jokes, and one-liners on the fly. Now, taunting does three very useful things. First, it will boost your Style rating. I know, I know, that's amazing, and awesome, and all that.
Second, taunting pisses off your enemies. A lot. So much that they'll try to stomp your pretty little face in. While this may seem like a bad thing, it can also be good for you, as the dumbass you're fighting will make a mistake in their rage.
And thirdly, a successful taunt will help you get your game on and replenish your stamina. You won't be able to run entirely on smack-talking suckers while you rip them a new rectal cavity, but it will definitely ensure that you'll be able to fight for hours, sustained only by the power of your quips.
Weapon Swapping (Devil May Cry)
The ability to swap between your weapons in the middle of battle. These weapons are stored in a pocket dimension known only to you, and can be switched instantly with but a thought.
Sick Clothing (Devil May Cry)
Stylish boots with spurs and neat western designs, cool and comfy pants that always fit, ballin’ shirts that can actually look amazing when the collar is popped. With each purchase, you get an entire Sick outfit that's resistant to all wear and tear. If destroyed it will respawn in your warehouse. It will retain any intended alterations , it is self cleaning and self repairing so long as to keep its dry cleaning and tailoring repair costs down. Be aware any future jump rare materials might take years to self repair.
(Editor’s Note: The first Sick Clothing purchase is free, hence its inclusion in this section)
Style (Devil May Cry)
Here you can purchase the styles which you’ll use for combat. You can receive any one style for free.
(Editor’s Note: Abridged description; full list of Styles available in the source document; one is provided free, others would cost CP but are not part of the Tome, and therefore inaccessible)"
