Cost,Perk Name,Source,Description
0,Create Minions [100CP*],Berserk,"You can transform humans and animals into monstrosities, filling them with demonic desires and instincts. Your minions can appear however you desire, but they often are similar to your true form in some way. At your discretion, your minions can either retain their own memories and personality, or can be erased and replaced with something of your choosing. Do note that removing their memories will also remove their skills in life. The minions you create are inherently loyal to you, whether or not you leave them their own memories, and they will obey your instructions to the best of their abilities.
Your minions grow in power based on how long it takes them to transform from human to demon. Their powers are always similar to your own, either your Apostle powers or abilities from other Jumps, but the amount of power they can gain is limited by how much you spent on this ability. For every 100 CP you spent, you can impart up to 10% of your own abilities into your minions.
(Editor’s Note: Please check the Berserk jump for the full details underneath this perk. This perk can be bought up to ten times.)"
0,Daimon​ ​Egg​ ​Production​​​​ [200CP*],Sailor Moon,"You need monsters and minions to fight for you, and using your knowledge of biology and
energy manipulation, you have a solution. You have created Daimon eggs, and within lies the untouched embryo of a monster. Curiously, they require a physical host to fully reach maturity as the being inside them also needs a basic template to grow into, determined by the host. Thus, any Damion egg that merges with its host will create a Daimon based on the host. You may let these eggs lay dormant in the host until you wish to trigger their awakening. Purchasing this perk once will let you choose between having Daimon eggs make a host from mundane objects (Active magic flowing in the object appears to kill the infant Daimon inside) or sentient beings. You may purchase this perk yet again to buy the other choice. You may improve upon your Daimon with research with time, if you wish."
0,Foreign Disciples [900CP*],Fate: Radiance of Pangaea,"It's only fitting that the planet's future ruler has a Butler to attend to them... or a bunch to carry out their will. Disciples it can command and who are bound to obey it. Under your employ is an Alter Ego Servant, imbued with a select few divine spirits, giving them an impressive amount of power and a versatile set of abilities to fall back on. You are able to decide everything about them yourself, from what the original Servant is to their personalities and divine spirits fused into them. Perhaps a bladesmith with all he needs to be a Godslayer or a Mastermind touched by the fates themselves? Should one Butler not be enough for you, you can purchase this Item as many times as you like, each purchase giving you one more Disciple and still being Discounted for the Alien Origin.
(Editor’s Note: I’ve increased the price from 400CP to 900CP.)"
0,Daimon​ ​Egg​ ​Production​​​​ [200CP*],Sailor Moon,"You need monsters and minions to fight for you, and using your knowledge of biology and
energy manipulation, you have a solution. You have created Daimon eggs, and within lies the untouched embryo of a monster. Curiously, they require a physical host to fully reach maturity as the being inside them also needs a basic template to grow into, determined by the host. Thus, any Damion egg that merges with its host will create a Daimon based on the host. You may let these eggs lay dormant in the host until you wish to trigger their awakening. Purchasing this perk once will let you choose between having Daimon eggs make a host from mundane objects (Active magic flowing in the object appears to kill the infant Daimon inside) or sentient beings. You may purchase this perk yet again to buy the other choice. You may improve upon your Daimon with research with time, if you wish."
0,Foreign Disciples [900CP*],Fate: Radiance of Pangaea,"It's only fitting that the planet's future ruler has a Butler to attend to them... or a bunch to carry out their will. Disciples it can command and who are bound to obey it. Under your employ is an Alter Ego Servant, imbued with a select few divine spirits, giving them an impressive amount of power and a versatile set of abilities to fall back on. You are able to decide everything about them yourself, from what the original Servant is to their personalities and divine spirits fused into them. Perhaps a bladesmith with all he needs to be a Godslayer or a Mastermind touched by the fates themselves? Should one Butler not be enough for you, you can purchase this Item as many times as you like, each purchase giving you one more Disciple and still being Discounted for the Alien Origin.
(Editor’s Note: I’ve increased the price from 400CP to 900CP.)"
100,Re-animator,Graveyard Keeper,"Your Zombie Juice and reanimation table can turn any mostly intact corpse into a semi-living (or at least non-rotting) automaton that will perform simple tasks placed before them
indefinitely. In future jumps, you may refine your technique to create more animated constructs, or even zombies capable of learning and speech. They will still do anything you ask of them of course."
100,Soul Magic,Coraline,"You are capable of dealing in souls. You can bind souls of the living to your web long after they pass by sewing buttons in their eyes, though only if they agree. You may even bring to life dolls and Others by using a bit of special soul sand."
100,Kugutsu Magic,Shin Megami Tensei I,"You are capable of animating dolls through demonic power. While the material and craftsmanship of their body matters the most where it concerns their fighting ability, the vile power coursing through their frame reinforces them, making them at the bare minimum twice as strong as a normal human. Keep in mind that the magic which
brings them to life also makes them extremely vulnerable to holy powers. Their intelligence is enough to obey simple orders, such as “patrol this area” or “hunt down humans”, but it’s not something you should bet on."
100,Curse Affixation,Princess Mononoke,"By nature of their existence, Tatarigami normally don’t last for very long. Either the host’s body gives way or the Tatarigami ends up being destroyed. It can be possible however, to acquire Tatarigami that is stabilized and controllable, provided that the bearer is sufficiently strong in both physique and willpower.
The Tatarigami that we’ll affix to your body with this option are essentially stable, however, the cost of this stability is flexibility. Normally, as the Tatarigami spreads across the host’s body, every part of their body experiences enhanced strength and resilience – but in the process of stabilization this has been limited down to a specific body part. You’ll have to choose for yourself what part of the body you would like the Tatarigami to adapt to. Once that adaptation is complete however, the Tatarigami will no longer adapt to anything or anyone else.
The resilience of the Tatarigami is not to be underestimated – they can continue to act even in situations when a normal human body should succumb and it takes complete disintegration or strong purification magic to stop them in their tracks. Even in cases where the Tatarigami is separated from its host forcefully, it can still pull itself back to its host and reconnect with it as necessary. Should you ever face a complete Tatarigami, you should always be wary of how resilient they are.
With enough Tatarigami implants to recreate a body, it might even be possible to temporarily
separate from the Tatarigami, and have them act autonomously in a group for a brief period. We’re pretty sure that a writhing mass of worms will provoke people to exterminate it right on sight though."
200,Homunculus Animation,Loop Hero,"While not half so quick, easy, or flexible as necromancy, there are certain advantages to homunculi. Once built, they will oversee their task day in and day out, requiring no oversight. From scarecrows to oversee fields, to gargoyles that defend the vaults, to jellyfish constructs, wooden imitators, and slimes: the resources involved are quite different, but the underlying theory is much the same."
