Cost,Perk Name,Source,Description
0,Faux Cultist [600CP*],Terraria: Journey’s End,"The power granted to the Lunar Cultists is great, but it also comes at a terrible cost. Lucky you, that you are able to gain some of that benefit, while avoiding the negative consequences. You are able to pick a patron, such as the Wall of Flesh, Fairy Empress, one of the four Lunar Pillars, or the Moon Lord Himself, and you can tap into and channel a portion of their power, gaining abilities related to them in the process. The amount of power channeled is ultimately limited, though it is still a tremendous power boost, but your theft is also hidden from their perception. So unless you do something like channel the power of the Moon Lord right in front of him, your ‘patron’ won’t suspect a thing, and you won’t have to pay the typical costs of servitude and potential madness.
Faux Cultist: Doubled Up: For an additional, discountable 200 CP, you can choose two patrons, gaining some power from them both, and you can swap one or both Patrons temporarily in future Jumps, targeting any entities of magic or power that may exist in said Jump."
0,Sorcerer Fight [800CP*],Gorefield Horrorscopes,"Eh? Surprise crossover time? That’s pretty random... Well, there WAS another Jon in this multiverse that had jujutsu, so why not you too?
This perk grants you access to the Sorcerer Supplement found in the link of this perk’s title, you don’t get the sorcerer points stipend, nor do you qualify for the Aberration reward because you didn’t get the stipend.
Though you can take the binding vows and you can trade LP for SP at a 1:1 cost. Alternatively, should you already have used this supplement in the past, you can just pay the 800 value to carry over your build to this gauntlet. And you can still exchange LP for more SP at the same rate.
Should PriorPossible834 make an update to that supplement, you may pick the most recent version. You can discount this perk by half and gain +400 SP to use in the supplement by accepting to merge this gauntlet’s world with the physics of Jujutsu Kaisen, this does mean your Gorefield has access to cursed energy and qualifies as a cursed spirit of some sort, and his unique ability translates into being a cursed technique with all the versatility and potential that implies.
(Editor’s Note: This perk will simply allow you access to the Sorcerer Supplement, but will affect the GOREFIELD perk.)"
0,Sorcerer Fight [800CP*],Gorefield Horrorscopes,"Eh? Surprise crossover time? That’s pretty random... Well, there WAS another Jon in this multiverse that had jujutsu, so why not you too?
This perk grants you access to the Sorcerer Supplement found in the link of this perk’s title, you don’t get the sorcerer points stipend, nor do you qualify for the Aberration reward because you didn’t get the stipend.
Though you can take the binding vows and you can trade LP for SP at a 1:1 cost. Alternatively, should you already have used this supplement in the past, you can just pay the 800 value to carry over your build to this gauntlet. And you can still exchange LP for more SP at the same rate.
Should PriorPossible834 make an update to that supplement, you may pick the most recent version. You can discount this perk by half and gain +400 SP to use in the supplement by accepting to merge this gauntlet’s world with the physics of Jujutsu Kaisen, this does mean your Gorefield has access to cursed energy and qualifies as a cursed spirit of some sort, and his unique ability translates into being a cursed technique with all the versatility and potential that implies.
(Editor’s Note: This perk will simply allow you access to the Sorcerer Supplement, but will affect the GOREFIELD perk.)"
50,Wizard’s Sigil,Ars Magica,"In Mythic Europe, each mage has a sigil, a sort of magical fingerprint that appears in
spells they cast and magic items they invent. You my choose one small cosmetic effect
to apply to the spells you cast. For example, your spells might fill the area with a certain
scent or always feature a specific symbol or motif. For 50 MP, this can be improved with
a minor beneficial effect, such as improved focus or making you look extra impressive.
(Editor’s Note: This alternatively be gotten as freebie with the choice of upgrading it with 50CP.)"
100,Magicka,The Elder Scrolls Series,"The most important part of spellcasting is how many spells you can actually cast. You have more magicka than you would normally, and find that it greatly improves over time as you grow stronger with experience."
100,Sparks of Potential,DUSK,"Paging through hallowed texts, you have a basic grasp on how to draw in and manipulate energy. Superheating air into fireballs, or freezing it into icicles. Basic, but useful nonetheless, providing the basis for plenty of experimentation."
100,Red,SCP Foundation,"Rubedo, the fourth and final stage before the magnum opus. The signal of alchemical success. A symbol of the psychospiritual reaching physical manifestation. It is wine at a merry gathering, blushing faces, a petal picked from a rose. Red is the colour of sanguine passion. It is the colour of flame and fury. It will not be extinguished easily. It is drive and intensity. You have this intensity. Like a rising phoenix, or a newly crowned king. You are red-blooded. You feel the whole spectrum of emotions more intensely. You feel more. You are greater. Whether it’s passion, fury, libido, or just a sense of power you feel it more. If you can derive power from emotion, this is the power for you."
100,Shrine of Insert Patron Name Here,DC Occult,"Your power comes from an outside source, and some such sources demand attention, whether through prayer or rituals performed in their names. This is a special shrine, a few feet tall, and made of wood. The drawers at the bottom contain a range of eclectic and occult tools and accoutrements, from sticks of incense to bowels and blood letting knives. All of these are marked with the symbol of your patron of choice, which can be changed with a quick chant... Maybe don’t tell them about that bit, they may not appreciate how quickly your devotion can change targets. It comes pre-devoted to the being of your choice, which can freely change once per jump. Devoting it to other beings will be far easier than it would normally be."
100,The Soul of an Abnormality,Lobotomy Corporation,"You generate energy that can be harnessed and stored resistances and offensive power are boosted to be that of an average healthy person, or of the threat level ZAYIN. The energy generated is not immediately obvious unless someone is explicitly hunting for it. You may purchase this perk additional times to further boost your base resistances and power to the next threat level.
(Editor’s Note: Please check the notes of the Lobotomy Corporation jump for information on the base resistances and threat power levels.)"
100,Spellcaster,Terraria: Journey’s End,"Everyone who comes here may gain the potential to cast spells, but you are a cut above the rest. Your Mana Pool is twice as large, and has the potential to grow even farther, and magic
that you cast is simply more potent compared to what it might be normally. Spells you cast hit harder and are harder to resist."
150,Enhanced Magic,Salt & Sanctuary,"You have a deep connection to the weave of Fire and Sky, this link bolsters your spells and incantations allowing you to cast even the most complex and powerful evocations, should you have the focus to do so."
200,Medical Leeches,Clive Barker’s Jericho,"Agony is not to be feared but worshipped, exulted in both within yourself and with what you bring forth in the form of screams and tears from others. Negative karma, the essence and energy released by atrocities and misery, is so very valuable for magic and you have gained a great hold over it. You are able to enhance your arcane workings by the use of this, gathering negative karma from those who suffer from your actions or nearby to you even if not caused to you, enabling you to use negative karma as energy in place of the normal energy requirements for magic or even enhancing the quality of a sacrifice by sweetening their passing with all sorts of nasty biological agents. With the right preparations, a few dozen extraordinary massacres and defilements around the world, you could make a small cult tear open a rift to the box itself."
