,CP Cost,Name,Jumpchain,Chapter,Description
1,Free,Sei Kior Dou Ki,History's Strongest Disciple Kenichi,Source,"Ki is the life force, energy or breath that flows through all living things. Martial artists harness
their Ki to perform amazing feats of strength and abilities, with master's able to channel their Ki
into effects that are truly superhuman. In this world Ki can be categorized into two distinct
varieties.
Sei­ Those who utilize Sei Ki seek to focus their Ki inwards. In battle this results in an inner
calm and centeredness that lends itself well to thoughtful action and awareness of surroundings.
Those who have Sei Ki will be able to master techniques that do not rely on power or anger but
on wits, talent and skill. Sei users will be more likely to come up with new inventive solutions in
combat and will frequently have moments of insight that may turn an unwinnable battle in their
favor.
Dou­ Those who utilize Dou Ki seek to focus it outwards. In battle they are able to channel their
emotions into their fighting style, allowing themselves greater speed and strength than their Sei
counterparts. Those who have Dou Ki will be able to accelerate their perception and processing
speed to react and counter attacks before they are themselves aware of it. Dou users are more
likely to gain sudden bursts of strength and power at crucial moments, channeling tension and
anxiety into raw power."
2,Free,Cosmo,Saint Seiya : The Original Series,Source,"Cosmo is an ancient energy that sleeps within human beings, that traces its
origin back to the Big Bang that created the universe in an ancient time before time. One who is
aware of their Cosmo can ‘burn’ it, recreating the Big Bang in an extremely miniature scale
within their own bodies, to perform superhuman feats or unleash great destructive power within
a single, contained point. Someone who has awakened to and trained their Cosmo can burn it
to do things such as moving faster than the speed of sound, pulverize boulders, as well as
withstand bodily punishment along those same lines.
This is the level you start at."
3,Free,Cosmo,Saint Seiya Lost Canvas,Source,"The Big Bang gave birth to everything, every bit of energy and every grain of matter, everywhere in the universe. As a being made of it, it is legitimate to think of yourself as a little universe, able to recreate this miracle on your own scale… That is the philosophy behind Cosmo : ""little universe"", something inside you that, when ""burned"", recreates that energy and allows extraordinary things to happen. You have a beginner cosmo, alike to that of a Bronze Saint. Burning your cosmo alone or with your armor will see you do things like move at Mach 1, pulverise boulders barehanded, or punch 100 times in a second. It is only the beginning however, for there is no end for those who cultivate this gift… "
4,Free,Cosmo,Saint Seiya Omega,Source,"Cosmo, an ancient energy slumbering within every human being, traces its
origins to the primordial explosion that birthed the universe in a time before time
itself. Patiently awaiting ignition, this potent force lies dormant, ready to be
kindled into a miraculous power. Those who unlock access to their Cosmo
possess the ability to ignite and harness it, unleashing superhuman feats and
tapping into supernatural abilities.
With a beginner's Cosmo akin to that of a Bronze Saint, one can begin their
journey of mastery over this formidable energy. Through training and discipline,
individuals can learn to ignite their Cosmo, unleashing its power to achieve
extraordinary feats. From moving faster than the speed of sound to pulverizing
boulders with sheer force, the possibilities are as vast as the cosmos itself.
Moreover, those attuned to their Cosmo can endure bodily punishment beyond
ordinary limits, standing resilient against formidable adversaries and emerging
unscathed from the fiercest of battles."
5,Free,Red Soul Realm,Tales Of Demons and Gods,Source,"The “worst” Soul Realm as ranked by
Glory City. Nie Li said that the rank doesn’t really matter much, as
long as you have a suitable cultivation technique. Techniques
present in Glory City are insufficient to help Red Soul Realm
cultivators reach a high enough rank."
6,Free,Soul Realm Cultivation,Tales Of Demons and Gods,Source,"Everyone has a soul. You
have been taught how to grow your soul realm’s power through
concentration and training. Cultivating your Soul Realm allows
you to train your soul, making it more powerful and larger.
Post-Jump, you need no kind of external energy to enable you to
cultivate the TDGverse cultivation system."
7,Free,Trait,Reincarnator,Source,"In this world where mana exists, something awoken
inside of you, a trait, something very unique about yourself, this is random, but is
generally based on your previous life or can be something completely unrelated, in
any case this is a necessity, as developing and using it properly may increase
greatly your chances of survival or you may even thrive, for additional 300cp
undiscounted you may buy another trait up to 2 at maximum.
Note: Choose one in notes, or create your own."
8,Free,Cultivation,Desolate Era : The Three Realms,Source,"In this world, people use the art of cultivation to increase their powers. This
practice is mostly divided into two ranks: Ki refiners, who generally rely on magical techniques
and treasures to fight, powered by the Elemental Essences they absorb, and Fiendgod Body
Refiners, who strive to turn their bodies into those of the ancient Fiendgods and utilize divine
abilities with vastly varying effects, such as increasing their size, adding extra arms, or even
strengthening their bodies beyond their already impressive levels, making their physical abilities
and general battle prowess much higher than those of a Ki refiner in exchange for lacking the
ability to use treasures and weapons. Thus you get a technique from each of these two types of
cultivation to study. Be warned though, that although Fiendgod Body Refiners are much more
powerful, their ways of cultivation may be painful to the extreme, or extremely hard to advance in,
resulting in decades of effort for just a bit of progress.
There are many stages to cultivation, starting with the Houtian Stage, which signals the very start
of a journey, as well as the increase of a cultivator’s lifespan to over a hundred years. Then comes
the Xiantian Stage, where the body is completely reforged for perfection, and the cultivator’s
lifespan increases to over two hundred years. The third stage is called Zifu, in which the
practitioner forms their own “Violet Palace” which contains their liquified Ki energy, and enables
them to live over four hundred years. The fourth stage, called Wanxiang, is the stage of
manifestation, where the practitioner gains access to Divine Will, and increases their lifespan to
eight hundred years. The fifth stage, called Primal, gives the practitioner the ability to live forever*
(not actually forever)*, with no limits on their lifespan After that comes the Void or Earth
Immortal Stage. When a practitioner reaches the Void Stage and attempts to progress to the next
level. they shall be met with a final Tribulation. This is a test sent down by the heavens in the form
of heavenly wind, fire, and lightning strikes that they must either bear or face total soul
annihilation. Then they must pass a test of their Dao Heart in the form of the Demonheart
Tribulation, where they shall be tested to see if they are truly dedicated in the matters of
Cultivation, and whether they are willing to abandon everything for its sake, though it can be
resisted with a powerful Heartforce. If they succeed in this Tribulation, they shall reach the
Celestial Immortal Stage, or, in the case of Body Refiners, the Empyrean God Stage, where they
shall break free of the mortal coil and the five elements. After that, there are two more stages for
both paths of Cultivation: True Immortal for Ki Refiners, or True God for Body Refiners, and then
Daofather for Ki Refiners, and Elder God for Body Refiners. Finally, there is the very pinnacle of

power in the Three Realms, the World level. This is the level of cultivation Pangu was at when he
created the Pangu Chaosworld, and Nuwa similarly reached. While there are even higher levels of
power to be grasped, they need not be mentioned for now, and you won’t be able to reach them
during this jump.
On a final note, once every three hundred years after a practitioner steps into the Zifu Realm, they
will be met with a minor tribulation, which will build up in power until finally, they shall face one
major tribulation every nine hundred years. Three centuries a Tribulation, nine a Calamity, this
shall continue until they either reach the Celestial Immortal stage, or have their souls shattered. For
the purposes of this perk you’ll be given a technique in both Body Refining and Ki Refining that
will last you until the Wanxiang Stage, at which point you’ll have to fend for yourself. For 50 CP
you can get one that will allow you to advance to the Celestial Immortal and Empyrean God level,
using both types of cultivation. Regardless of whether you buy the technique that allows you to
train to the Celestial Immortal/Empyrean God level or not, the technique you get is of the highest
quality, and you won’t need to worry about your future growth being crippled by using it. Your
cultivation technique may be aligned towards whatever Dao you wish it to be."
9,Free,Jujutsu(Base),Jujutsu Kaisen,Source,"In this world, all but a few humans possess a form of spiritual energy known as cursed energy, which is produced when feeling negative emotions such as anger, fear, or grief. Most humans, however, they have no control over this energy. As such, it leaks freely from their body, causing it to congregate and coalesce into cursed spirits. There are an incredibly rare few who are born with the ability to control this cursed energy, though – people known as sorcerers.

You are now one of these sorcerers, granting you the ability to manipulate your own cursed energy. While you aren’t capable of anything particularly special with this alone, there are a good number of benefits to this. For one, you are able to perceive cursed spirits and other spiritual entities with your senses, something usually impossible for non-sorcerers without specialised tools. Additionally, you’re able to channel this cursed energy into your body to enhance your physical abilities to superhuman levels, with greater results coming from greater investments. 

The above are but the most basic of uses of cursed energy – for more specialised and powerful ones, you’ll need cursed techniques. With this alone, you’re capable of some basic barrier techniques, which let you create (often spherical) walls of cursed energy to close off an area. The most common form of this is a curtain: a large, pitch black sphere that prevents those outside the barrier from seeing what’s happening within. Barriers can also be hardened to make entry or exit more difficult, though be aware that the more difficult it is to leave a barrier, the easier it is to enter and vice versa. In addition, you also have the capability to summon shikigami: creatures resembling cursed spirits created from your cursed energy. These require an intermediary such as a talisman to summon, tend to be rather straightforward in terms of abilities, and won’t be particularly strong, though this may be changed with some practice.

Unfortunately, aside from barriers and simple shikigami most cursed techniques are innate, and as such cannot be learned. It’s also entirely possible for a sorcerer to be born without a cursed technique, and as such you will not receive one from this alone. The Cursed Technique section later on will allow you to purchase one for yourself, though certain other, riskier methods may also allow you to obtain one.

Perhaps unexpectedly, the amount of cursed energy a sorcerer has is also something determined at birth. By default, you have a rather good talent for jujutsu, granting you a respectable reserve of cursed energy which will replenish by itself. This is more than enough to stand on the same level as the majority of sorcerers, though there are a fair few who still dwarf you in the size of their reserves."
10,Free,Cultivation,Beware Of Chicken,Source,"In a world of Cultivators, it's not surprising you would wish to be one. But
sadly, you are in the Azure Hills, becoming a Cultivator at all, let alone a
powerful one, is rarer around these parts. Maybe you could look into why.
Regardless, for Free you have the potential to become a Cultivator, you are
not even the First Stage of the Initiate’s Realm but you hold the potential to
be so one day, all it takes is something to ignite your Dantian to start your
path. If you want to skip over that, you may pay 100 CP to start as 1st
Stage of Initiate Realm. You also get to pick your Cultivation Style as
appropriate. Every additional 100 CP moves you up one Stage. See Notes
for details on what the Stages and Realms mean."
11,Free,Established Cultivation,Against The Gods,Source,"You are proficient in the Profound Arts, the cultivation style of this
world. You start at the second level of the Elementary Profound Realm. Your profound veins are
above average, but nothing particularly special. Roll a 1d20+10. That’s the number of Profound
Entrances you have open. You have slightly above average talent with one element, and start with
knowing one low level Profound Art each for attacking, defending and movement.
You may cultivate up to any level you want, with no restrictions. All of your power, along with any
changes made to your veins or body are carried over with full effect in all future worlds. Once you
reach Sovereign 10, you can grow Profound Veins in others with an injection of your own Profound
Energy, giving them the ability to cultivate."
12,Free,The Path of the Jumper,Cradle,Source,"Here on Cradle, Cultivation is defined by a series of ranks along a ""Path"", a set of abilities
harnessed by your soul. Of course, if you wish to obtain these abilities in-jump, there are all
manner of methods, but why be defined by someone else's ideas of what makes you better?
Forge your own Path here."
13,Free,Cultivation,I Shall Seal The Heavens,Source,"The basic ability to grow in power, which forms the bedrock of civilization around here. You
are now a real, proper Cultivator, and a rather good one at that. While nothing that would be all
that notable, being honest, you have excellent potential and talent for cultivation, good enough
to stand out among any crowd of common cultivators.
What is unusual is that you will be able to cultivate past the ninth level of Qi Condensation to
the true peak at the thirteenth level naturally and without problems.
After this jump you will be able to awaken the potential to cultivate in others with an effort of
will."
14,Free,Cultivation,A Will Eternal,Source,"The cultivation path of this world is based on Will itself. This becomes most apparent in the
higher levels of cultivation. There are two sources of cultivation. The first is spiritual energy,
which, while abundant in the Eternal Domain, is much sparser in the Heavenspan world.
This is what is used by the river sects in the Heavenspan world, and by the cultivators in the
Saint-Emperor’s domain. The other is Soul Vitality, absorbed from the souls of the dead,
primarily used by the cultivators of the Wildlands and Vile-Emperor’s domain. By taking in
this energy, you will slowly grow more powerful, and your lifespan will increase each time
you advance a stage. Separate from both of those, is body cultivation. This focuses on
raising the strength of the fleshy body and vital energy of the cultivator. You will start at the
level of qi condensation."
15,Free,Punching Music,One finger Death Punch,Source,"You have a blood-pumping, upbeat and dramatic soundtrack that plays whenever you start getting
into the thick of combat, perfectly accenting your blows and blocks. This may be toggled."
16,Free,Battle Aura,Mushoku Tensei,Source,"A warrior has an ability to coat their whole body or a specific part of their body in Mana or magical
energy, forming a dense mantle of energy known as Battle Aura. This can be done when someone reaches a
sufficient level of development in their body and skills while some unconsciously use it. In your case, you
instinctively know how to use it and it passively coats your entire body and clothes from the get-go. This allows
you to explosively boost strength, speed, durability, reaction times, spatial awareness and magic resistance
along with the ability to strengthen your weapon and perform unbelievable techniques and even resisting harsh
conditions like extreme heat and cold is also possible. By default you have the talent to reach Saint-Rank within
three years on your own at bare minimum, but with a proper teacher and learning environment you may reach
God-Rank in a decade along with having the instinctive ability to use and wield the Beginner-Rank techniques
of the Three Sword-Styles. You also gained the ability to grant the ability to use the Battle Aura of this world to someone
that doesn't have it. The people that you grant the Battle Aura/Magic System would gain a talent that allows
them to reach Saint-Rank within three years on their own at bare minimum, but those with a proper teacher and
learning environment may reach God-Rank in a decade granted they only focus on either becoming a Warrior or
Magician and not both, if not it would take much longer reach God-Rank. By default those who you grant this
ability gain an effect similar to Laplace Factor, which allows them to improve their Mana Reserves so long they
train and continue to deplete their Mana Reserves and they also have the ability to pass Battle Aura to their children and their descendants. You can also grant the same ability/talent to people who lack it
in this jump."
17,100,Sense Atum,Kill 6 Billions Demons,Source,"Atum. The fire that exists in all beings with a soul. Used in many martial arts, it is called “life-force” on some worlds. And you can use it to your advantage. You can sense the Atum (or life-force, in other jumps) of other beings, even through stone or dirt, but not metal of any kind. The further away, the more muddled they are. But hey, it's better than nothing."
