,CP Cost,Name,Jumpchain,Chapter,Description
1,Free,Bodly Foundations,Toriko,Bloodline,Your body holds genetic foundations that make it incredibly compatible with Gourmet Cells. Your physique and stature have improved substantially. 
2,Free,Basic Gourmet Cells,Toriko,Bloodline,"Everything in the Toriko Universe has Gourmet Cells. Here Jumpers can determine what type of Gourmet Cells they start with. They can choose from:
“Red” Gourmet Cells
“Blue” Gourmet Cells
“Green” Gourmet Cells
*“Red” allows an easier time to manipulate Appetite Energy and mutations, but to reach some levels of strength shown in setting, they have to train; “Blue” grants greater power at the beginning, but less control over it and Appetite Demon can have totally opposed personality; “Green” ones in terms of strength are on “Red” but grant positive results when users acquire plant transplants, 
"
3,Free,Dark One,Feng Shen Ji,Bloodline,"These are the oppressed humanoids, exiled to live in the Underworld over a 100,000 years ago. They have pointy ears, onyx/gray skin, green eyes, and have a similar lifespan if not a little more than Humans (but even a child would be able to compete against the average Human soldier). To the uneducated they essentially look like dark elves with shorter ears. The average Dark One’s physical abilities match peak level Human capabilities once they mature as a base line."
4,Free,Shinigami,Bleach,Bloodline,"Those who guide souls from this world to the next and protect the cycle of reincarnation. The
Shinigami are gods of death, human spirits who take up the ceaseless battle for the souls of mankind
against Hollows, Quincy and all other dark threats to the innocent. Or so they say. A Shinigami is nothing more than an above-average human soul who has bonded with an Asauchi, a
blank vessel in the shape of a sword that was forged through the combination of many empty souls.

Yet that bond brings them great power, as the sword unlocks the true spiritual potential within their
souls. Over the thousands of years, the Shinigami have established an organisation known as the
Gotei 13, among other factions. Organised into a military force, they now guard the Afterlife and the
Mortal World as they attend to their psychopomp duties. As your primary choice, you become a Plus or human spirit in Soul Society that passed on from the
Mortal World. Having noticed your above average spiritual pressure and thus need to eat, you set
out to train yourself. You will be a new graduate from the Shin’o Academy, where all Shinigami learn
the four core techniques of the Shinigami and are trained for their duties. Zanjutsu, the art of sword
fighting. Hakuda, unarmed combat. Hoho, mobility techniques. Kido, demon magic. You were an
average student, as trained in each art as any unseated Shinigami could claim to be and while your
Asauchi has bonded to you, you have not yet heard it’s call. Perhaps through the fires of battle or
deep introspection, you could make contact with your inner sword.

Note: Only one Bleach race may be purchased without Hybridisation."
5,Free,Exaltation,Generic Exalted,Bloodline,"Choose a type of Exaltation and
any caste that would belong to that type. You are now guaranteed, at some point after your first
year here, to attract that Exaltation to yourself. You can choose Dragon-blooded (not Dynast,
that's a background, not a type of Exaltation) for free, a Celestial version for 100cp, and a
Solaroid version for 300cp. Sounds great right, much cheaper than the background options?
Think again. This means you have zero experience with your Exalted powers, not even starting
on the level of a typical 'player generated' character. You'll have to learn everything from scratch
unless you can somehow find a teacher or mentor to train you (better hope they don't use their
more developed Exalted abilities to mind-fuck you). Keep in mind all those 'starting character'
archetypes from the books had, on average, two or so years of experience with their abilities,
something you won't have.
Additionally when you get your Exaltation it WILL be in a public place and people WILL notice it
happening, there is no way to avoid this."
6,50,Dragon-blood,Generic Exalted,Bloodline,"For 50cp you're one of the Dragonblooded, the children of the
Elemental Dragons. You're particularly focused on group combat and in the days of the
Primordial war served as the foot soldiers of the celestial exalted. Your martial and magical
abilities tend to be greatly enhanced when fighting alongside others of your kind. In comparison
to mortals even the lowest Dragonblood is virtually beyond compare, able to treat with mortal
kings and rulers with little fear of retaliation no matter how disrespectful they act. In comparison
to the other Exalted and comparably strong magical entities however you tend to be towards the
lower end of the totem pole, more of a soldier rather than an officer.
That said it was the dragon-blooded that tore down the Golden Tyrants known as the Solars at
the end of the First Age, so don't discount yourself. A team of Dragon-blooded working together
is far more than the sum of its parts. For 100cp however you can be one of the Dynasts, the
Dragon-blooded whom rule on the Blessed Isle and represent The Realm, who have access to
vast amounts of resources, support, influence, and the obedience of anyone that works for the
Realm that is not themselves a Dynast. Be warned however, Dynasts by default will be
embroiled into the political schemes of the Realm and the various Great Houses, and will likely
have many duties and responsibilities that their outcast (non-Dynast) dragon-blood cousins do
not. If you desire instead of being a Dynast you may instead be a member of one of the five
ruling gentiles of Looks"
7,100,Bloodline ability,Cradle V1,Bloodline,"Having been sired by someone who is so much better than the rest of the world, you have access to a very powerful trait. You can make it anything, but no more powerful than the Akura Clan’s own. The only restriction is that it only truly becomes effective once you reach Underlord. Some guidelines would be Eithan’s omnidirectional vision, or the Akura’s clan’s crystal armor."
8,100,Demi-God,Saint Seiya Omega,Bloodline,"Born from the union of a mortal and a divine being, your existence is marked by
inherent strength surpassing that of ordinary humans. Much like Eden, the son of
Mars, your physical prowess exceeds the norm, endowed with resilience and
power beyond mortal bounds. With divine heritage coursing through your veins,
accessing mentors to guide and train you comes effortlessly, as if destiny itself
beckons you towards the path of mastery.
Moreover, your aptitude for learning is unparalleled, with a mind capable of
absorbing knowledge and skills at an astonishing pace. Whether mastering
combat techniques or delving into the mysteries of Cosmo manipulation, your
accelerated learning curve propels you towards greatness with remarkable
swiftness."
9,100,Devilish Form: Unnatural Monster,Avesta of Black and White,Bloodline,"The Dagravant, and specially the Daeva, often take more monstrous forms that seem to defile the good order of things just by existing. From tentacled monsters as large as hills, to small dragonoids and basically any kind of thing that you may imagine. You may also now create your own form for this jump, following whatever design that you wish for."
10,100,Redshift Jumper ,Tsukihime,Bloodline,"The greatest expression of power isn’t anything as subtle as presence or a mere sense of having moved forward somehow - it’s bright and flashy colors that show you’re not someone to mess with! When you achieve or use any supernatural power of your choosing, you may have your body change in appearance somehow to match it - whether a different hair color, longer hair, a change in skin tone or eye color, or other ‘minor’ changes in appearance. This is purely aesthetic and doesn’t allow full-blown shapeshifting, but you can freely customize when and how these forms appear, as well as change the appearance of similar transformations that don’t change your body very much freely. This can be toggled and adjusted at will.
"
11,100,Beast of Legend,Fate/Legends - Strange New World,Bloodline,"In the woods of olden times, strange things roamed. Things that science couldn’t explain yet they
still existed. One of those things might even be what you’ve become now, a beast of folktales and
legends. Taking this grants you a new form, even a transformation from a normal human form if you
want, that turns you into a massive, monstrous version of an animal native to the Americas. A
mighty wolf with a head the size of a man’s body and unnatural speed, a vampiric bat with a
wingspan greater than a house that sucks horses dry of blood in one gulp, an invisible predator with
too many deadly talons and legs or even a murderous duck capable of swallowing people whole. Whatever form is chosen, you gain excellent instincts for using that form in combat or hunting and
most normal people will be unable to put up much resistance, even with basic firearms, against your
might."
12,100,Alchemical Exaltation,Generic Exalted,Bloodline,"You're an Alchemical Exalted instead of one of the other more
'regular' Exalts. Choose what caste you are. Unlike the other options if you purchase this you
start out as an Alchemical Exalted but you're probably the only one currently in Creation so have
fun explaining what the hell you are to the people you meet. You still have no clue how your
abilities work and basically zero idea on how to develop them, so it is going to take you some
time to puzzle things out. Additionally you look like some sort of weird mechanical person and
will definitely stand out basically anywhere and everywhere that you go until and unless you
discover a method to disguise yourself."
13,200,Unknown Biology,Tekken,Bloodline,"Your body is unlike those of puny humans. Diseases won’t have any luck
affecting you in any way, same with poisons of any kind. You can turn this of if you would like to get
drunk for example. You also possess a certain amount of longevity… this could even make you full on
immortal if combined with the Devil Gene somehow according to Heihachi"
14,200,Vampiric,Tekken,Bloodline,"You are a Vampire! You can use dark energy to enhance your attacks and use like
projectiles. Fortunately, you don’t need to worry about your usual Vampire weaknesses like Sun light
and garlic. Adding to that your also all but immortal, unable to die to old age. You start weak but can
strengthen yourself by drinking blood. Drinking the blood of someone with intense spiritual force like
the Archers of Sirius will greatly boost your strength, much better than normal blood. On top of that
you can heal yourself when you sleep."
15,200,Monstrous ,Tekken,Bloodline," You can enter a second stage, far more powerful than your previous one similar to
the mighty Ogre. Entering this form will heal you back to full health (in case a Judo Fighter kicked
your ass and the son of one of your victims wants to fight you still). You will mutate greatly which
boosts your strength and durability and depending on what mutations you get this could affect your
fighting style (for example one arm might gain claws while the other becomes a bundle of snakes and
you can breath fire)."
16,200,Creative Design,Street Fighter,Bloodline,"As previously mentioned there are many strange looking people in this world,
and this is true. Stark white giants among men with arms as long as their torso, the beefiest of
wrestlers covers in dozens of scars, malicious fighters that people swear were demons in human
form and others like them.
 Say you don't wish to disguise an appearance like theirs, but acquire one yourself, this is where
that perk comes in. Upon purchase, you may customize your form with any height, weight and shape
within natural human limits and this will become your new form. Colours may be as weird and wacky
as you like, anything out of the rainbow really.
 You'll be able to keep this appearance no matter how much or how little you train or eat, and
aging is profoundly less intense appearance-wise on this form compared to others."
17,200,Ancient Dark One,Feng Shen Ji,Bloodline,"Four Hundred thousand years ago, the Dark Ones had a completely different 
visage. Standing between 10-15 meters tall, with four arms, and also sporting 
collapsible leather wings to fly with; most likely grown to keep up with their 
enemies the ‘Ancient Gods’ , many of whom could fly as well. Physically these 
behemoths can exert and withstand around 10 tons to match their own physique 
and a flying speed that matches their own running speed. Besides the many 
physical appendages and advantages, the Ancient Dark Ones were also able to 
Spiritze multiple objects at once instead of just a single weapon (able to skip the 
timely process of bonding with their potential Spirit Gear as well as adding 
versatility to their arsenal). 
"
18,200,Gods,Feng Shen Ji,Bloodline,"Say hello to the current rulers of the world! These are creatures that resemble humans, or maybe we resemble them... Either way these humanoids all have blue eyes with black or white hair and can live up to 300 years and no longer visually aging once they hit the prime of their youth. The average God’s physical abilities match peak level Human capabilities once they mature as a base line."
19,200,Sea Devils,Feng Shen Ji,Bloodline,"An additional race option, if the others weren’t to your liking, becoming a giant mermaid. Your size becomes 15 meters in length/height, being able to rival that of a frigate wooden ship. Your hair is made of tentacles, you have goat eyes, as well as your lower half becoming a large fish tail; and yes you can breathe underwater. Additionally you can manipulate water well enough to create whirlpools and tidal waves to capsize ships similar to your size with ease, though you lack the abilities to generate water itself. This counts as an alt-form, even in Jump, since there are only 4 Sea Devils left in the world besides you. You may instantly transform into this Alt-Form, or any other by being engulfed in a pillar of water."
20,200,Mix Blood,Feng Shen Ji,Bloodline,"Upon purchase, you can choose another RACE to purchase to make you a hybrid of your chosen races. Doing so allows you to receive discounts on the newly chosen RACE as well as your original. You also may choose to appear as your originally purchased RACE, or just picking traits you wish to show while retaining all your  innate abilities without any drawbacks (like with Ah Gou’s pupils changing depending on the power he is using at the time). This option can be purchased multiple times and if chosen as the perk for the discount, the discount extends to all purchases. As long as this perk was purchased, you may purchase this at an undiscounted price for future Jumps with the same effects. This will only work with racial origins, or choosing a race Post Jump."
21,200,Fake Heavenly God Technique,Tales Of Demons and Gods,Bloodline,"Just like the
Heavenly God Technique users, you can house more than one
spirit in your Soul Realm, at each rank you gain the capacity for
one more, starting from Silver Rank - meaning that you can
house two spirits at Silver Rank. The maximum amount of spirits
you can house, with this perk alone, is still 7"
22,200,Hybridisation,Bleach,Bloodline,"Spirit particles, for all that they often seem indistinguishable from physical matter in the mortal
world, do not work on the same principles. One of the best examples of this is what happens when
two spiritual species come together as one. The result is not an infertile mutant or weakened cripple
but something quite incredible. There are many kinds of racial hybrids in this world, and many
different ways to make them. Every purchase of this option will let you pick another of the above race options for free. As to the actual races, how you combine is up to you, balancing various benefits and flaws. The most basic is to simply become a natural member of each race at once, having access to all natural
abilities and potential from the start, but with no added power from this hybridisation. Other
options can range wildly. Something like the Vizard, turning one or more of your additional races into a temporary power up, giving a large increase in power and temporary access to some racial abilities, but at the cost of no
access to such powers outside of your brief transformation. These might be unlocked in time, the
tradeoff for an initial benefit.
It’s even possible that your hybridisation might result in a new race taking aspects of both, with new
abilities made from the fusion of both. While the potential and originality can be tempting, you’d
also be left to discover your abilities from the beginning with no one to help, being the first of your
kind. Feel free to get creative but try to keep your choices balanced against these examples. If a choice
has a particular benefit, try to make for a change off elsewhere. There are no limits to how many
races you can hybridise into your mix, beyond the maximum present in the jump.

May be purchased multiple times."
23,200,Red Rage,Fate/Legends - The land of The Rising Sun,Bloodline,"The classic expression of what an Oni is, power and rage and stature to crush any mortal man. Only
the great heroes could stand to these towers beasts, such as what you’ve become. Your body can
transform to an extent now, able to change into an innocent, child-like form without losing your
normal power or increasing your size and musculature to grotesque extents to gain more power, turning into a monster that grows as your magical power does. Beyond this outward expression of
power, you can tap into the same demonic fury that gives Oni like Ibaraki their names, a raging state
that greatly increases your physical power. While initially you retain control, the more you loosen
your hold, the greater the benefit you’ll gain and the more horrendous your appearance becomes."
24,200,Giant Ancestor,A Will Eternal,Bloodline,"The blood of giants flows in you. Your natural form is massive, towering meters over the
smaller humans. Consequently, with more mass and muscle comes a much stronger body
than that of others of equal cultivation to you. In the world of cultivation, only body cultivators
will match you on an equal playing field, and that is if you don’t practise any yourself. Don’t
get cocky though, there are many strange and profound body arts out there, that may
surprise even you."
