,CP Cost,Name,Jumpchain,Chapter,Description
1,Free,Interspatial Ring,Tales Of Demons and Gods,Treasure,"An interspatial ring, it can
open an interdimensional storage if injected with your soul force -
or the soul force of whoever you grant permission. This storage
cannot be accessed without the ring, everything inside it is safe
from the outside. Cannot put living things inside one. The ring is
indestructible. Time moves slowly inside one, this version has a
scale of 1 second to 1 year, meaning one year outside is a
second inside. Cannot store living things. You can transfer the
ownership of the ring. The space inside is exactly equal to a 50
cubic meters cube."
2,Free,Basic Cultivation Scroll,A Will Eternal,Treasure,"A very basic scroll detailing some introductory methods of cultivation, and use of spiritual
and vital energy. While not specific in its teachings, meaning that you will not progress
terribly far with it, it is also a clean slate, meaning that those that follow it will not have their
future cultivation influenced in any specific direction. This is a good method for providing the
foundation for future cultivation while encouraging the cultivator to think of their own future
path."
3,Free,Bag of Holding,A Will Eternal,Treasure,"This may not be a player inventory, but it’s a good enough alternative. The Bag of Holding is
an extremely useful item used for transporting whatever you want around, without the muss
and fuss of taking up space or weighing down transport. Taking the form of a small bag, or
alternatively as an inconspicuous silver ring, you can suck anything you want into it. Mind
that living things have the ability to resist and break free. You have enough space to store a
large warehouse worth of stuff inside this bag. One of those items that is both valuable, yet
not too uncommon."
4,50,Flying sword,Cradle V1,Treasure,"You gain a single flying sword, which some paths use to fly on or use whole storms of these for battle. It’s well made, never needs maintenance, and can easily be cleaned with a simple wipe down. Can import any weapon into this role."
5,50,Goldsteel Item        ,Cradle V1,Treasure,"You may import any one weapon or article of clothing with the qualities of Goldsteel. If you desire, the item can also take on the appearance of being made of the substance. Goldsteel is famed for its abilities to ward off remnants. It catches the light strangely."
6,50,Half-Silver Item,Cradle V1,Treasure,"You may import any one weapon or article of clothing with the qualities of half-silver. If you desire, the item can also take on the appearance of being made of the substance. Half-Silver is famed for its abilities to cut through madra like butter. It looks like silver that throws of sparks of starlight."
7,50,Thousand-Mile Cloud,Cradle,Treasure,"A construct of Forged Cloud and Wind Madra that can be used
as a method of transportation for up to four people, though the more weight you put on it, the
slower it goes, and it requires your own Madra to generate the power of flight beyond just
floating in place. Can easily be packed up into a tube for storage as needed."
8,50,Wanderer’s Straw Hat,One finger Death Punch,Treasure,"This simple woven straw hat is perfect for keeping rain, snow, blood, sand and other nasties out of
your eyes. In a pinch you can even throw it as an impromptu discus, severing limbs with a razor rim."
9,50,Invigorating Tonic Gourd,One finger Death Punch,Treasure,"This pear-shaped flask is always full of a refreshing potion. Drinking this nutritious elixir makes you
overall a bit faster, relaxed, perky and drunk. Perhaps for pre-fight sips. No substitute for real sleep."
10,50,A Storied Blade,Generic Exalted,Treasure,"You receive an average Daiklave, roughly a '2 dot' artifact
weapon, for free. It comes in the magical material of your choice. Daiklaves are swords that are
really huge because screw you physics huge swords are cool. For an extra 50cp you can
upgrade it to a Grand Daiklave which is basically a super-huge greatsword. If you're thinking of
a massive eight foot long slab of metal heavier than two fully grown men then you're on the right
track. Unlike regular artifact weapons that you would normally find ones purchased here have
no Essence requirement. You can attune to them, and keep them attuned, for absolutely free.
Additionally, also unlike normal magical weapons (of this low a level at least) these Daiklaves
are completely indestructible. Comes with 1 hearthstone socket, just because"
11,100,Soulsmithing Tools,Cradle V1,Treasure,"You gain all the tools Soulsmiths need to do their jobs. This comes with a free drudge, a tool that is part calculator, scanner, and does numerous jobs to ensure Soulsmiths don’t blow up their houses."
12,100,Student Rewards,Cradle V1,Treasure,Every year you receive a spirit fruit and two pills that will help you cycle more efficiently. About ten years of these will allow you to cycle in everyday conversation and no one will be in
13,100,Formation Flags ,Cradle V1,Treasure,"You gain unlimited amount of formation flags, of every madra type, so you can attempt to gather madra of any type for training. They work best when arranged in circles."
14,100,Thousand-Mile Cloud ,Cradle V1,Treasure,"A small construct made of cloud madra, this acts like a hoverboard that can be recharged with pure madra and is as fast as a fine horse. Larger ones can hold entire cities or fortresses."
15,100,Armor Import,Saint Seiya Lost Canvas,Treasure,"Choose an armor you already own (either a classical or power armor). It now gains you Cloth’s level of durability if it didn’t already have, and most importantly the ability to amplify the cosmo you burn while wearing it, to the same extent of the Cloth’s grade. Either the Cloth’s appearance becomes an atl-form of the armor, or you gain a free redesign of the mix to incorporate elements of it. In either case, your armor gains the Object Form discussed earlier and an associated pandora box to store and carry it. It is mandatory during this jump and prevents any other method of storage or miniaturization across all its alt-forms, but can be ignored freely after your time here. "
16,100,Import Armour,Saint Seiya Omega,Treasure,"Choose any one armor you own, and now they have gained the abilities of the
cloth you bought here."
17,100,Sea of Gold,Saint Seiya Episode G,Treasure,"There is a room attached to a property that you own now that holds the bounty of the gods. By this, I refer to the vast wealth that the Gods collected over time. This room holds a small sea of gold and treasure, enough to make you the richest being in the mortal world a hundred times over. While no magical items are contained within the room, there is almost no limit to the variety of gorgeous treasures and accessories that can be found within. Also, no one can see inside the room to see if you’ve decided to have a swim through your literal hills and valleys of gold."
18,100,Helm of Obscurity,Saint Seiya Episode G,Treasure,"While most of the Saints do not cover their faces in or out of combat, you’ve taken to be an exception to this. This special helm entirely obscures your face and even identity when you wear it, even when your face should actually be visible or when outside of the helmet, you are still very recognisable as your normal self. The design of the helmet is up to you, even if you have it open your face it will still work as intended. You may import a helm into this option."
19,100,Chaos Nectar,Desolate Era : The Chaosverse,Treasure,"Pure raw energy in its most primal form, Chaos Nectar serves as the primary form of currency in
the Endless Territories, as well as a way for World Gods and above to fuel formations,

techniques, restore their energy, or even with enough, help break through. You gain one

thousand bottles of Chaos Nectar, and one thousand Chaos Jewels."
20,100,Dao Tips,Desolate Era : The Chaosverse,Treasure,"This Jade slip contains a set of tips geared specifically towards your particular Dao. It contains
anything from ideas for techniques, tips about your outlook on your Dao, or even advice on how
to break through a bottleneck. By itself, this could be a potent aid as it updates every time you

advance in the Dao."
21,100,Extravagant Dressing: A Suit for the Devil,Avesta of Black and White,Treasure,"The Dagravant are known for being quite eccentric and unique, and that also reflects on their clothing. From a majestic robe that seems to show the stars, to a dress made out of blood feathers, to pristine blue armor, you can make your own iconic outfit, complete with whatever minor cosmetic effects that you want."
22,100,A Shining Weapon: Starter Kit,Avesta of Black and White,Treasure,"You have gained a weapon. A sword, a mace or even a pair of guns. It doesn’t really matter what kind of weapon do you pick, as neither of these weapons are especially potent, but as weapons crafted in Wahman Yast, they will serve well enough in fighting most Daeva."
23,100,All The King’s Horses,Campione,Treasure,"A godly being like you deserves a godly steed to travel, and while you may possess an Authority to do so already, another item may prove useful in some cases. For that, this legendary mount is yours to use. Able to break the speed of sound easily while protecting all passengers and possessing a small but effective amount of firepower to defend you when you need it. The exact aesthetic depends on you, maybe you want a flying horse or a small dragon or a vimana. Regardless, the specs will be the same."
24,100,Battle Garments,Campione,Treasure,"Having to battle creatures from myth and legend as your job is no excuse to not look fashionable while doing so. This is a set of clothes that fit you perfectly, are fashionable, flexible, self-repairing and strong as enchanted steel armor. Because if you’re going to kick ass, then do it in style."
25,100,Keep In Contact,Campione,Treasure,"Made with the latest technology and with the quality of the old Nokia cellphones. This smartphone can survive virtually any amount of damage without breaking or malfunctioning, made to last, it also has good signal and a tremendous battery life and has been enchanted with powerful magics."
26,100,Library of Babel,Campione,Treasure,"Perhaps a name too big for what it is, but its usefulness can’t be denied. This is a large library is a collection of myths, legends, fables and records about gods, angels, demons, heroes and other fantastical beings. It also recorded the cults for each and their transition in time and geography. As expected, it would take a long time to memorize it all, but is a good source of information if you happen to need it. It updates every jump."
27,100,Asauchi,Bleach,Treasure,"A single blank sword, apparently one of the only Zanpakuto not created by Nimaiya and thus not
subject to his knowledge. In all other respects, this is a perfectly functioning blank sword. Any non- Shinigami who spends enough time with this blade, continually infusing it with their energy, will be able to awaken it as their own Zanpakuto. For 300CP instead, a supply of these Asauchi can be
gained. There will be eight blank swords in total, along with a further eight swords every five years. Shinigami who purchase this should be aware that it is impossible to awaken a second Zanpakuto from an Asauchi state with one already part of their soul. Though a second Zanpakuto itself is not
impossible. "
28,100,Arrancar Uniform,Bleach,Treasure,"An all white uniform of some mysterious make worn by every Arrancar. Who makes such outfits and
what they’re made of is enigmatic, as is why they seem to expand and contort with their wearer. This uniform, even as you transform using Resurreccion or some other ability or form, will
automatically reshape itself to remain form fitting. It can even change style if that would better
emphasize the abilities or aesthetics of that form. "
29,100,Slaughter Demon,Jujutsu Kaisen,Treasure,"A wide-bladed dagger, shaped almost like a cross between a butcher’s cleaver and a combat knife, with a wooden handle and a guard of black fur. A basic cursed tool, Slaughter Demon does little more than act as a weapon capable of harming cursed spirits, even in the hands of a non-sorcerer. It won’t be of too much use against a powerful curse, but against an average or weaker one? It’ll slice or stab through them with ease."
30,100,Tsukamoto,Jujutsu Kaisen,Treasure,"A small cursed corpse, taking the form of a small stuffed doll bear with boxing gloves on its paws and a rather ugly face. Its main purpose is to help sorcerers learn how to use cursed energy. As long as it is supplied with a constant, steady stream of cursed energy, it will remain asleep, snoring peacefully. The moment that flow is interrupted, be it by giving it too much or too little, it will awaken and start punching those closest to it until it receives energy once again. The punches definitely hurt, but they aren’t strong enough to seriously injure anyone. Usually, it’s set to only require a low amount of cursed energy at first but will gradually increase its demand, training the user to maintain a higher output."
31,100,Cough Syrup,Jujutsu Kaisen,Treasure,"An item any user of Cursed Speech would love to have. This is a bottle of generic brand cough syrup that never seems to run out of its medicine. As one might expect it doesn’t taste the best, but its utility is undeniable: any sort of sore or irritated throat is cleared up in an instant, leaving the user feeling as good as new. It won’t do as much if you’re coughing up blood, but for anything short of that? There’s nothing better."
32,100,Suits on Suits,The God of High School Jump,Treasure,"A Judge has a uniform that being the tailored black and white suit found in businesses all around the world. Unlike most businesses though, a Judge is fighting life or death battles in their penguin suits. Luckily, you’ve got as many suits as you could ever need and you don’t even need a wardrobe to store them. All you need do is just duck out of anyone’s sight for a moment and voila, you’ll be suited up once again, no matter your state of dress beforehand. It’ll be pressed and ironed for you and these suits won’t ever restrict your movement in a fight."
