0,,CP Cost,Name,Jumpdoc,Chapter,Description
1,,50CP,Beniemiya ,Fate/Legends Japan Land of the Rising Sun,Domain: Crafting: Artisan,"It might just be something in the water, both what you're drinking and what you serve to the guests that adore every meal you make. You're a savant when it comes to making meals, not just limited to Eastern dishes either. With a little experimentation, you can make almost anything into a mouth watering feast for both the taste buds and the eyes. The real problem isn't making a good meal but keeping all these greedy pigs from eating you out of house and home. Don't even try making hamburgers around any blonde ladies, it never ends well. Now, while cooking good food is a prize well worth it, you do also have a more useful aspect here. By channeling magical energy into your tools and ingredients as you work, you're able to 'enchant' the meal with a variety of useful effects. A hearty beef stew that lets a warrior heal their wounds much faster than normal, sugary sweets that give people the speed of the wind, a mighty hamburger that temporarily bulges the muscles to greater heights. Even negative effects are possible, if you want to taint your food that way. They only last for a temporary period and the effects tend to be fairly weak without a lot of mana put in but it makes your food all the more popular."
2,,100CP,Artisan ,Generic Builder,Domain: Crafting: Artisan,"You have a talent for creating works of art. Creation times are halved and your natural talent increases with each purchase of this knack. Your artwork has an almost magical ability to invoke a particular emotion that you set at the time of its creation, scary masks, awe inspiring fountains, creepy puppets or such. The degree of emotion-induction effect increases with skill.
* Can be taken indefinitely for creation time modifiers"
3,,100CP,Crafting Artisan ,World of Darkness - Demon the Fallen,Domain: Crafting: Artisan,"When it comes to the manufacturing of physical goods, such as blacksmithing, woodworking, basket weaving, etc, you are an expert in dozens of fields. More than that, you have a certain artistic flare to your work that others can't help but notice."
4,,100CP,Craftsman ,Generic Builder,Domain: Crafting: Artisan,"You have a talent for creating things requiring wood as well as selecting the best wood for the job at hand. Creation times are halved for each purchase of this knack and the results are always visually impressive if you so wish.
* Can be taken indefinitely for creation time modifiers"
5,,100CP,Family Jewels ,Elder Scrolls Online,Domain: Crafting: Artisan,"You're a certified jeweler, well versed in things like stone cutting, gem polishing, and working with precious metals like copper and gold in a non-martial sense. You can deftly handle any metal up to Rank III (silver) and your knowledge of gemology and the symbolic nature of precious stones could earn you critical acclaim if you continue to hone your skills."
6,,100CP,Guest Artist ,Medaka Box Abnormal,Domain: Crafting: Artisan,"All the kids have their own style these days. A new way of being drawn, a new way of speaking, something to really make them stand out from all the other Jump characters. You can sell out and join the trend now too! You're able to freely change your art style and speech font to whatever you want, even basing it on some of the classic artist's work of the past. Of course, given how these things are usually designed to be in a manga, appearing very different visually may terrify those around you and different word fonts may make you sound very strange. But isn't it worth it when it makes you stand out to your readers?"
7,,100CP,Lunatic Trickster ,Van Helsing,Domain: Crafting: Artisan,"You will have peasantry frequently knocking at your door with their torches and pitchforks, adventurers dashing through your laboratories, and your creations frequently trying to escape. Now you can prevent all of this from happening with your knowledge of creating fiendish, murderous traps of all damage ranges & variants! Those not entirely dependent on the environment, such as pitfall traps, can be stored in small silver discs to be used as weapons."
8,,100CP,Shaper ,Age Of Wonders II,Domain: Crafting: Artisan,"Stone is a tough servant, resisting most ways to work it by unskilled hands. Under your touch, however, it molds itself eagerly, as if it were unable to wait to become the new shapes you wish for it. You are a gifted artisan with the natural materials of the world, and can build fortifications, buildings, and other creations out of wood, stone, sand, and any other such materials with great ease. Indeed, under your touch the materials you work with seem to become greater, somehow - sand and clay toughen to match granite when building a wall, and a carved wooden blade seems to hold its edge like fine steel once you're finished with it."
9,,200CP,Architectural Madness ,Exalted - The Infernal,Domain: Crafting: Artisan,"Malfean architecture is unlike anything found in Creation, with endless variety and many oddities. Many techniques that were once burned away by She Who Lives in Her Name have been rediscovered. Foremost in these are the techniques to allow demons to build structures that do not need pillars, arches and other support structures. Buildings hundreds if not thousands of feet high can be built without any apparent load-bearing walls or struts. Windows and doors can be placed anywhere without disrupting the integrity of a building.
Of course these techniques work best with the brass and black stone common to Malfeas, even if they work to a lesser extent with other materials. So it is just one more reason most buildings in Malfeas are made of brass and basalt, along with their abundant presence. Yet many more techniques are used by the artisans and architects of Malfeas, even aside from the omnipresent murals, wall carvings, and other ornamentations.
Techniques to create such marvels as buildings that sprout from the ground at unnatural angles and made of polished brass turned a rainbow of colors by a process known only to the most skilled of architects. In many of these techniques you have gained the pinnacle of skill and knowledge, that you might replicate the Demon City's constructions even in other realms. While you might not have reliable access to the materials common to those in hell, you will be able to substitute many other materials for these in your structures. And as a truly talented architect you will find the design and construction of Manses comes just as easily to you, even gleaning some additional power from the conflux of essence it is build upon if you do use these hellish methods."
10,,200CP,Deku Crafting ,The Legend of Zelda Breath of the Wild - SB,Domain: Crafting: Artisan,"The Deku are a simple race, but they can still make some fancy items, and now you can too. From well-crafted wooden items, to a large leafy-fan that can manipulate the winds, to a special Deku Copter that can allow for flight, anything made by the Deku can be made by you as well. As a bonus, this skill also translates to an improved skill in shaping trees into houses or other structures, if you so desire."
