0,,CP Cost,Name,Jumpdoc,Chapter,Description
1,,100CP,Crystal Mechanics ,Final Fantasy Type 0,Domain: Crafting: Magitech,"The Byakko Crystal's blessing revolves around the synthesis and comprehension of technology using magic. After all, sufficiently advanced technology is no different from magic. You can understand the workings of advanced technology after tinkering around with it a bit. You can also replicate technology you see by using magic, but until you've attempted it countless times, the end product always seems to feel a bit...lesser in comparison to the original."
2,,100CP,Inspiration ,World of Darkness - Genius the Transgression,Domain: Crafting: Magitech,"Ideas crash like thunder through a genius' life every moment of their lives, barely contained, often barely understood. This is Inspiration, the illumination within, the raw stuff of genius. The greater a genius' Inspiration, the more power of creation and destruction she possesses. But there is a cost. As a genius Inspiration increases, she becomes less able to understand mundane concerns. She struggles to hold onto her Obligation, as people seem more like systems to be explored than individuals with their own lives and concerns. As she becomes almost godlike in her perspective, she must focus to concentrate on the mortal world and its concerns. As your Inspiration grows the buring power of Mania grows with it. All Genii start with a free purchase of Inspiration, Lemurians get three purchases free. It cost 100 CP to upgrade Inspiration. Your Inspiration can not exceed 10, free purchases included. In addition to all of this you will suffer from the Jabir for the entirety of the Jump. As a genius grows more powerful, his Inspiration shines out of him to illuminate the world. This can be a curse for those mad scientists who want to look more ""scientist"" than ""mad."" The genius' Mania begins to tamper with perception and procedure, skewing any attempt to engage in normal science or to perform normal experiments. Though the genius himself suffers no penalties, the odd effects from his perception ""cancel out"" when brought into conjunction with the odd effects from his behavior he struggles to communicate his ideas to others. Modern geniuses call this ""technobabble"" in an attempt to soften the horror of the phenomenon, but it's formally known as Jabir, a sudden, paralyzing loss of clarity and coherence when a genius interacts with a regular mortal.
* Can be bought 10 times, 100CP each time."
3,,100CP,Magitek ,Diabolical,Domain: Crafting: Magitech,"Rather than being based on technology, you may change your theme to being based upon magic, sorcery, or other metaphysical terms such as divine blessing. Rather than lasers your goons might use magic staves, instead of hovertanks you might have supernatural creatures with durability and power to match. At least you don't have to worry about power sources or that pesky physics thing getting in the way. This can also apply a magic-based sci-fi theme, hence the name. You have sufficient expertise in your newly chosen theme that you can create and invent within the confines of it, at the level of a true master. Even if you don't have previous experience in it, this will grant you all you need."
4,,100CP,Tinkerer ,Azeroth,Domain: Crafting: Magitech,"You are gifted at mixing technology and magic. You can make a helmet that shrinks the world! Or maybe it just makes you really really big. It's the magic of science! You are also capable of creating the car-sized piloted mechs (Like Mekkatorques), robots, and auto turrets."
5,,200CP,Apparatus ,Mage the Ascension - Panopticon,Domain: Crafting: Magitech,"You have a knack for creating and using tools to solve problems. Implants, weapon systems, manufacturing facilities, all sorts of technology; you know how to take the basic principles of the universe and put them to work. Along with an intuitive grasp of how to use any technologies you encounter (though not necessarily how they work), if you understand an ability, you can create an apparatus to replicate that ability using its own physics. If it's not something you yourself can do, you might need some assistance or 'assistance' from someone or something which can, but as long as you have that and understand the base principles, you're good to go."
6,,200CP,Doll Maker of Bucuresti ,Touhou,Domain: Crafting: Magitech,"Being an undisputable genius in terms of mathematics and science in a realm ruled by magic tends to undermine just how impressive it is. Your ability with technology and engineering is so great that you are able to adapt to handling, repairing, modifying and even reverse-engineering completely foreign devices you have little to no background on. Your connection with both practical technologies along with magic allows for you to eventually unlock the secrets to creating magitech if given enough time to experiment."
7,,200CP,Hardcore Materialist ,Mage the Ascension - Panopticon,Domain: Crafting: Magitech,"Everything is stuff, or built out of stuff. You can create things that disregard all that nitty-gritty through abstraction layers, but ultimately all those things humanity sees and values ideas, morality, etc. are arrangement of substance. Substance can be analyzed and reconfigured. You may now treat various ephemeral or esoteric things as being essentially physical and material; ghosts, mental abstracts, divine essence, etc. Maybe not tangible with normal means, but material. With some practice, you can manipulate these substances and even alloy them with other materials, use them as computing substrates, or a host of other things."
8,,200CP,Mi-Go ,Smash Up-Obligatory Cthulhu Supplement,Domain: Crafting: Magitech,"You are a master of arcane sciences it would never occur to any human to pursue. If that seems frightfully vague, well, look at it as an opportunity to- shall we say?- expand your mind."
9,,200CP,Moderately Peeved SCIENCE!!! ,Mage the Ascension - Panopticon,Domain: Crafting: Magitech,"In the halls of the Etherites, scientific theories based off discarded hypotheses, alternate interpretations, and way too much enthusiasm are constantly debated, and tested, and 'proven' free of the constraints of the scientific establishment. And often, these theories seem to each work even when mutually contradictory, often in the same room. You've worked out how to handle such chaotic innovation in a way that is moderately stable. By attaching subsystems working off wildly disparate understandings of the universe, you can nonetheless make them function well together, with a bit of phlebotinum and GENIUS mixed in. This will never be as stable as putting in the same effort to make something based off an actually coherent theoretical basis, but it's close!"
10,,200CP,Setup Wizard ,Harry Potter,Domain: Crafting: Magitech,You have a natural knack of melding technology and magic. You can easily jury-rig technology to work at Hogwarts. Your inventions could do considerable good for the magical world if they weren't all such luddites.
