0,,CP Cost,Name,Jumpdoc,Chapter,Description
1,,100CP,Oblation to Onsi ,Elder Scrolls Online,Domain: Crafting: Metallurgy,"From separating the low-carbon steel from the high-carbon steel to identifying obscure metals like Lilandril steel and the so-called ""bog iron"" found in peat deposits, you've got a solid basis of knowledge and skills that allow you to work as a blacksmith for all but the most discerning of clients (and with practice, even those as well!) Any set of plate or any melee weapon crafted from metals of up to Rank Five (ebony, which for some reason is much less impressive in ESO than it is in every other Elder Scrolls setting) is a trivial task for you, provided you have the tools and resources on hand."
2,,100CP,Smith ,Generic Builder,Domain: Crafting: Metallurgy,"You have a particular talent for creating anything a blacksmith/armorsmith/weaponsmith might create. Any such crafted object is half again as durable as it would otherwise be. Creation times are halved and your natural talent increases with each purchase of this knack.
* Can be taken indefinitely for creation time modifiers"
3,,200CP,Blacksmithing ,Golden Sun,Domain: Crafting: Metallurgy,"You gain understanding of Weyard blacksmithing. While skilled in smithing typical metals, you also learn how to use strange and magical materials to forge powerful enchanted weapons, equipment, and artifacts. Power is decided by your personal skill, the magic of the material involved, and the quality of your forge. Items created with materials from Weyard typically require the user to be an adept to tap into their strength."
4,,200CP,Crafting: Armorsmithing ,Aion SB,Domain: Crafting: Metallurgy,"You have begun learning the basics of the crafting techniques of this world. Each purchase of this perk lets you select a category of crafting from the list below; making you proficient in the basics of that craft. You must choose a different category with each purchase. For an included upcharge, your skill in one of your chosen fields is now comparable to those hailed as masters of that profession. This can also be bought multiple times, but each purchase must be used on a different field of crafting."
5,,200CP,Crafting: Weaponsmithing ,Aion SB,Domain: Crafting: Metallurgy,"You have begun learning the basics of the crafting techniques of this world. Each purchase of this perk lets you select a category of crafting from the list below; making you proficient in the basics of that craft. You must choose a different category with each purchase. For an included upcharge, your skill in one of your chosen fields is now comparable to those hailed as masters of that profession. This can also be bought multiple times, but each purchase must be used on a different field of crafting."
6,,200CP,Goron Crafting ,The Legend of Zelda Breath of the Wild - SB,Domain: Crafting: Metallurgy,"You know the secrets of the Goron Craftsmen. You can create metal armors that can render the wearer immune to heat, powerful hammer-blades that can smash through the toughest rocks, advanced Bomb Arrows that won't explode from ambient heat, and more. Anything built by Gorons, you can recreate, so long as you can gather the right materials."
7,,200CP,Skyforge ,The Elder Scrolls: Skyrim,Domain: Crafting: Metallurgy,"An ancient, mysterious, eagle themed forge added to your warehouse. Any metal items crafted at the forge will be significantly harder and stronger for it. Something about the fires."
8,,200CP,Smithing ,Thundercats 2011,Domain: Crafting: Metallurgy,"The ancient art of working with metal to forge weapons and armor. You know how to make beautiful equipment that can survive countless battles and you could even forge a legendary weapon if you dedicated enough time to it, although it'd probably take at least several years to complete."
9,,200CP,Smithing ,Wakfu,Domain: Crafting: Metallurgy,"You know how to make weapons and armor from all sorts of raw materials. From Scarabug wings to Blibli tusk and Gobball hooves, you can turn just about anything you'd find in nature into genuine combat equipment the more powerful the creature it came from, the stronger the equipment will be."
10,,200CP,Zora Crafting ,The Legend of Zelda Breath of the Wild - SB,Domain: Crafting: Metallurgy,"You have the skills of a Zora Craftsman. You can create suits of flexible armor that boost the wearer's ability to swim, mighty spears and tridents, powerful Ice Arrows that leave waves of cold in their wake, and more. Any item or structure that a Zora has built, you can recreate, given time and appropriate materials."
11,,300CP,Alloy Smith ,The Avengers - Earth's Mightiest Heroes,Domain: Crafting: Metallurgy,"Advanced knowledge of chemistry and metallurgy has allowed you to create alloys out of various materials, including metals and chemicals. These new alloys retain all of the properties- including those that are supernatural in nature- of the materials used to make them, allowing you to create truly powerful substances."
