0,,CP Cost,Name,Jumpdoc,Chapter,Description
1,,50CP,Designs,Arcanum Of Steamworks And Magic Obscura,Domain: Databases: Magitech,"This small portfolio contains any three schematics of your choice, out of any you might find in Arcanum.
You may choose both standard technologies such as the Feather Weight Axe and Elephant Rifle, as well
as prototype inventions that aren't found in the curriculum of the technological disciplines, such as those
for the Miracle Cure, Electro Armor or Tranquilizer Gun."
2,,200CP,Ar Tonelico?,Ar Tonelico,Domain: Databases: Magitech,"A device the size of a basketball, overlapping wings that shelter a golden core. Whoever assembled it left
a big shiny key inserted into the top? Mysterious. Comes with its recipe, as well as the recipes for two
weapons, armours, vehicles, accessories and restoratives of your preference all of the highest quality.
* The Ar tonelico is a sonic detonator, roughly equivalent to an H-Bomb in destructive power. It is a
flawed, miniaturised form of Ar Tonelico's power conversion and emission systems minus the Orgel."
3,,200CP, Gem furnace schematics,Dungeon Keeper Ami,Domain: Databases: Magitech,"The secret to Empress Mercury's wealth has never been obtained by any who have attempted to find its
origin but you have something that may just be able to one day rival her great wealth. These schematics
detail a large furnace powered by magic and technology, once a day it produces Gemstones of your
choice though it requires occasional cleaning to keep it in good working order. Please be warned people
here would kill for this at the least, or make the price of gemstones plummet."
4,,200CP,HardTech Psi-Detector,Trinity,Domain: Databases: Magitech,"You have acquired a Nippon-made device, one of the very few non-biotech devices capable of reliably
detecting nearby Psions and psionic powers in use. Most are massive, power-hungry, and have a range of
only about five meters . This one has the same range, but is far more efficient and only the size of a large
book. Though pretty much useless to a Psion in the field, the device can be connected to mundane
security and sensor systems, and you have the blueprints to make more."
5,,400CP,OrgoTek Bioware Database,Trinity,Domain: Databases: Magitech,"A large and comprehensive store of both theory and blueprints, this contains detailed notes on
everything made by OrgoTek and its subsidiaries. This includes everything from commercial hardtech
products to military-grade VARGs and BioVARGs, biotech space fighters, and lots of bioware commonly
used by Psions. This doesn't contain every bit of tech in the Trinity universe, and does not hold
schematics for the most advanced computers and the Tesser drives that are integral to Leviathan
construction. But it's still a major technological resource."
6,,400CP,Adaption,GURPS Technomancer,Domain: Databases: Magitech,"It’s surprising how quickly magic takes to being adapted to technology and vice versa. With only a bit of
work, you’re capable of creating spells and enchantments that are capable of replicating technology, or
technological devices capable of replicating spells and enchantments. With a bit of work, you can even
marry the two, taking the best of both worlds to create wonders that take advantage of both the
usability of technology and the rule-bending power of magic"
7,,600CP,Blueprints | Research Notes | Dark Journal,Van Helsing,Domain: Databases: Magitech,"Blueprints (200CP) An archive of scrolls, each holding the plans & blueprints for numerous gadgets &
pieces of equipment notably used by vampire hunters - in particular, the Van Helsing clan. Spring-loaded
blade traps hidden in one's hat are among the simplest of things one can make here.
Research Notes (200CP) A tome of notes compiled by numerous doctors in biology, including one Doctor
Frankenstein. These notes detail much about biological make-up of different creatures. But... wait,
what's this? A hidden flap in the last half of the tome reveals a smaller book - filled to the brim with
dark, scientific knowledge.
With this knowledge, you are capable of creating life - creating monsters like Adam, creatures sewn from
flesh and defying the laws of reality by their mere existence.
Dark Journal (200CP) An inconspicuous, black leather journal. Not that big, so you wouldn't expect
much. It's contents prove surprising however - for what you hold is no ordinary journal, but possibly the
largest composition of necromantic rituals in existence. Each page details the rituals required to create -
and control - a great variety of undead monsters. Ranging from ghouls, ghosts, and skeletons to vampires
& even more monstrous beings, you'll have no lack of possible minions. Note: The rituals for higherpowered
undead will take more material - and more time - to enact.
* If you check the Van helsing jumpchain, just below the blueprints, research notes and dark journal, it
mentions that all of these are written by the same person and having all of them will let you combine the
last pages from each book, in order to construct, and I quotetechnological marvels and monstrous
creations unlike any other It apparently merges science technology and magic in seamless harmony."
8,,600CP,Future Data,World Seed,Domain: Databases: Magitech,"Now, what interesting little thing do you have here? It seems like somehow, you have the fully compiled
data and knowledge from the entirety of Neolife, an artificial future set 3000 years after the current
time, all contained within a tiny little USB stick. This includes technology and magitech schematics, the
research on countless spells and abilities, a bestiary and the aura-makeup of nigh-any creature and
animal ever recorded, star maps, and even all the movies and songs known at that point in time. It isn't
limited to a single galaxy, but rather contains data from the entire universe in Neolife. Let alone several
lifetimes, you'd probably need an entire planet worth of people sifting through those records for the
same amount of time if you want to catalogue everything.
But believe me, it is very much worth the effort. If you shared this with the galactic community, you'd be
able to prevent many possible and very real problems from popping up, and everyone could get their
foot in the door that much sooner.
Perhaps even more interestingly, this USB stick will update itself as you travel to other worlds, granting
you the same data about their own futures, and even works retroactively, covering settings you have
been to in the past. Of course, that's only if they even have a future. Exactly from how far off in the
future you get this data depends on how far along the society of a world is. If you spent ten years in a
setting fighting dinosaurs, well, the records you get might be from a few dozen million years in the
future, while starting on a 21st century Earth would give you data a few thousand years in the future as
normal, give or take."
9,,600CP,Future Plans,Fate/Grand Order - Part One,Domain: Databases: Magitech,"The Chaldea organisation has, in the past few years, created a variety of pieces of technology that are
closer to being miracles than any sort of magic or science of the modern day. Observing the past,
transferring the minds/spirits of beings in the present to other times, combining the Heroic Spirits of the
past with living beings in the modern day, this group has made some awe inspiring stuff. The hard drive
before you has the collected research, notes and findings on every piece of technology and magic
utilised by the Chaldea organisation. Their great technologies and their small spells, how they came to
understanding and making these things is all collected within this one electronic database. With careful
study and research, you'll be able to replicate them all even in future worlds and perhaps to even greater
effect, if you spend the needed time."
10,,600CP,Great Library of The Heavens,I Saved Too Many Girls And Caused The Apocalypse,Domain: Databases: Magitech,"A perfect copy of the library in Laputa, and the key to understanding their astonishing technology. It
holds the same knowledge as the original, from flying ships, secret martial techniques to a record of all
species in the planet and technology that won't be developed until thousands of years in the future. It's
the same knowledge that made the people in Laputa grow lazy and conformist, so be careful."
