0,,CP Cost,Name,Jumpdoc,Chapter,Description
1,,100CP,Alchemist's Laboratory ,Overlord - The Series ,Domain: Facilities: Magical,"A fully fitted and supplied alchemist's laboratory ready for your use. It comes with the highest quality supplies and equipment required to make magical potions, allowing you to make potions to emulate the effect of any spell you know that could be reasonably made into a potion via alchemy (assuming you know alchemy, at least). The equipment will automatically upgrade itself relative to your own personal skill level, so the more skilled you are the better it will be to reflect that. Reagents for common potions restock themselves automatically on a regular basis.
The100 CP version includes the reagents for rare and much higher quality potions that will restock themselves, and additionally a store-front will be added to the front of your laboratory, allowing you to profit from your efforts. It also comes with a sales clerk and an alchemist of exceptional talent if still within reasonable limits (read: not Realm of Heroes or Level One Hundred) whom will produce and sell potions for you. You get potions for free, and get a cut of all profits the store makes. The laboratory, sales clerk, and alchemist will follow you jump to jump, although the clerk and alchemist aren't the same people jump-to-jump (unless you purchase the Guild Base option, in which case they can be if they are part of the Guild Base). No one will question the presence of this store or the potions it makes, even in places or worlds where it would be highly irregular. You get to choose where the laboratory is located in this and future jumps."
2,,100CP,Alchemy Workshop ,Endless Legend,Domain: Facilities: Magical,"Build into a wagon, this full scale workshop allows for scientific research in the field, and provides all the tools the aspiring researcher needs to learn about the world they are in. Just don't blow yourself up or blind anyone, ok?
* Not many of that workshops are mobile"
3,,100CP,Auto-smelter ,Azeroth,Domain: Facilities: Magical,"This Auto-Smelter will smelt down any raw ore placed inside it into high quality ingots. This smelter is completely hands free, except for actually placing the ore inside. For further incentive, if you purchased The Mine you will be given a group of magical constructs who will mine your ore, place it in the Auto-Smelter, then sort out the finished product. They can not be used for anything outside of their primary functions stated above."
4,,100CP,House of the Witch,Fate/Legends - Empires of Antiquity,Domain: Facilities: Magical,"Every young witch's favourite birthday present, at least until they know how to make it themselves. This small house is rather rudimentary when it comes to living necessities but quite filled out in regards to potion making. Not only does it have a high quality set of tools and appliances towards creating potions, poisons and designing magical rituals, it also comes with a weekly replenishing stock of low to mid range potions in the pantry. From youth restoring drinks, potions to plump or slim down the form, some love potions and even a few useful for combat potions that can temporarily improve strength and speed. The house also always has a fresh batch on pancakes ready on the stove, covered in your choice of delicious topping"
5,,150CP,Portable Examination Station ,Van Helsing,Domain: Facilities: Magical,"A portable study centre - magnifying glass, vials, all held within a tightly-locked briefcase. As well, comes with a variety of supernatural samples - from vials of different blood types of demons and werewolves, to vampire fangs, demonic horn shavings, ghoul teeth, and ectoplasm from a great variety of undead."
6,,200CP,A Barrier of Perspective ,Touhou Forbidden Hermit,Domain: Facilities: Magical,"You have an extensive understanding of the arts required to create Gensokyo in the first place. Gensokyo’s boundary works off of perspective – one could travel between two similar barriers (such as between Gensokyo and the Lunar Capital) without ever leaving Gensokyo, but at the same time if they were to ever try to fly to the edges they’d “see” themselves traveling great distances while not actually moving at all, only discovering how little they moved when they turn around. You could use this easily to craft your own sealed dimensions."
7,,200CP,Alchemy Machine ,Spiral Knights,Domain: Facilities: Magical,"A personal Variation of the machine you'll come to see all over the cradle. This one allows for a degree of experimentation that none of the other machines will, and is capable of accepting a great variety of materials without taking any damage. You'll be able to tweak existing recipes, or even come up with new ones all together with enough time. Who knows, you might stumble on something good."
8,,200CP,Alchemy Workshop ,Unmodded Minecraft,Domain: Facilities: Magical,"This small room has only a workbench and a chest that hold a miscellany of reagents and alchemy supplies. The chest will provide a small but steady supply of glass vials, water, and nether wart, the things which form the basis of all Minecraft potions. Occasionally when opened the chest will also have a small amount of glowstone, redstone, or gunpowder for use. Post-jump, the chest will update to provide a similar supply of anything a world's alchemy absolutely requires to get started, along with small amounts of random low-level ingredients."
9,,200CP,Ars Creation Tools ,BlazBlue,Domain: Facilities: Magical,"Tools required to make Ars Magus and Ars Armagus. Without these, creating such things would be impossible, because creating the converter to let the user manipulate Seithr requires these specialized tools for the process to work properly.
* The doc contains a knowledge perk to use the tool, rember to remove both together if you decide not to keep them"
10,,200CP,Artifact Forge ,Azeroth,Domain: Facilities: Magical,"This forge grants you every appearance in the game of your Artifact Weapon and allows you to alter the appearance of your weapon at any time. In future Jumps it will allow you to alter the function of your weapon at any time. Turning swords into spears or axes into daggers. I'll even allow you to use it to change a pistol into a rifle, or something similar. The forge will also serve as a medium allowing you to more easily enchant and create powerful weapons which you can imbue with powerful magical effects."
11,,200CP,Castle Jumper ,Marvel Magic,Domain: Facilities: Magical,"What is the point of living if you don't do it in style? Certainly, you know the importance of aesthetics even in the face of practicality... but that does not mean that something can't be both stylish and practical. You are the proud owner of a large european castle. It's practically straight out of a storybook, having stone walls, great towers -- hell, the thing even has a moat. However, despite its ancient appearance, it is fully updated to the modern times. Possessing everything from standard amenities such as running water and electricity to a state-of-the-art security system and laboratories. The way you live should make a statement, a fact that you seem to understand very well.
* This is the only laboratory that is state of the art that comes from Marvel comics. Not the movies like the Fantastic Four CandyLand. Let me repeat that. This is the only state of the art laboratory from Marvelcomics.
* Marvel comic 'state of the art' is absurdly stronger than the movies so might be worth to keep."
12,,200CP,Delfire Forge ,Ravenwood,Domain: Facilities: Magical,"Actually three items. A single, moderately powerful orb of delfire, a metal frame that can store an orb of delfire and allow the one that holds it to use the orb without being a kiln, and a large furnace that, if you plug the frame into it while it holds an orb of delfire, can be used to treat metals with arcane energy while also acting as a forge."
13,,200CP,Deplorable Forge of Tormented Souls ,Exalted - The Abyssals,Domain: Facilities: Magical,"Proper soulforging is a highly specialized art that requires rarified equipment, access to Labyrinthine materials and a willingness on the part of the soulsmith to condemn another ghost to eternal torment. While the willingness to do so must come from yourself, almost everything else can be bought right here,providing you with equipment and inexhaustible supplies of the raw materials ones need to forge a soul into steel.
Full usage of the craft requires artifacts to forge the metal, a hammer and anvil composed of soulsteel or jade (whichever you prefer) to hammer the molten ghost-alloys into shape, another artifact known as an Essence-forge to melt down the unfortunate ghost's corpus and other materials, soulfire crystals replete with essence to stoke the forge, and black ores taken from the Labyrinth to grant it the ghastly, magical strength of soulsteel.
Even the alchemical agents, wrought from the Labyrinth, which are needed to create the rarefied void-coated plates of Oblivion's Panoply are in refilling supplies amongst these, should you have need of them. With this, the only thing you would still require for your dread craft is a supply of souls to feed your forge.
* The new CF has some souls available in supplies that can be used guilt free."
14,,200CP,Ding!,Girl Genius SB,Domain: Facilities: Magical,"Well, this is different. A certain gentleman called Von Neumann would be delighted, at least. You are now the proud master of a full set of Dingbots of your own, or similar clanks or drones, at least. They're all minor sparks in their own rights, and can themselves build more of their kind, even though those don't have the spark.
Led by a Prime, they are connected with you on an intrinsic, mental level, being fully capable of building any and all devices or works you can. They get everywhere, performing construction upkeep, salvage and everything else you might need them to. Not even needing blueprints, they seem to draw upon your knowledge directly, using their in-built tools to perform all the things you normally would need to do yourself, making everything you'd like them to... and a lot of them you wouldn't. Don't leave them unsupervised."
15,,200CP,Enchanting Board ,Scooby Gamers,Domain: Facilities: Magical,"You have a certified enchanting board. Not only does it allow multiple people to pool their mana in order to fuel the enchanting process, every person that donates mana to the project also gains the same amount of 'experience' as the person doing the enchanting. Enchantments made to things using this board are guaranteed to be more effective than they would be with a normal enchanting board."
16,,200CP,Magical Laboratory ,World Seed,Domain: Facilities: Magical,"Now this is a fitting lab for an aspiring scientist, mad or not. It has all the tools and equipment needed to contain and study any kind of magical creature and phenomenon, or to bring arcane secrets of the universe to light. And should you ever not have the right machinery at hand for whatever you want to do, the lab will upgrade itself and produce what you need in an instant. Now, the only thing holding you back will be the limits of your own intelligence. After this jump, it will attach itself to your warehouse, and may appear in any location you desire in other worlds you might visit."
17,,200CP,Portable Workshop ,Divinity - Original Sin,Domain: Facilities: Magical,"Being constantly on the move, Source Hunters are forced to find ways to ensure they have the tools of their craft even when far from their headquarters. This set of three small, metal charms are relics of an age past that were confiscated and put to better use. By pulling one off the chain that binds them, an easy act when one actually desires it, the holder can have what they require. Place the charm on the ground and a Forge springs into existence, hot and ready to be used. Or a campfire crackling cheerfully and ready to warm the air. The final charm is a Workbench, which includes a grinding wheel and all the small tools a budding alchemist might need to construct grenades, arrows, or even the smaller magical charms. By touching the small symbol etched into each, they will revert back to their charm form and hop back onto the chain in an instant. Should you accidently lose one or be forced to leave one behind, it will reappear on the chain at the next full moon"
18,,200CP,Skyforge ,The Elder Scrolls: Skyrim,Domain: Facilities: Magical,"An ancient, mysterious, eagle themed forge added to your warehouse. Any metal items crafted at the forge will be significantly harder and stronger for it. Something about the fires."
19,,200CP,The Armoire of Abiele ,World of Darkness - Werewolf the Apocalypse,Domain: Facilities: Magical,"This exceptionally crafted antique mahogany French Armoire was crafted at some point during the 19th century by Abiele Dumont, a famed fashion designer so that she'd always be fabulously dressed. Whispering your clothing desire into the keyhole then turning the key allows you to pull out a fabulous outfit made of the finest spider silk. The outfits fit perfectly and are quite comfortable."
