0,,CP Cost,Name,Jumpdoc,Chapter,Description
1,,100CP,Advance Processor Fabricator ,Battle Action Harem Highschool Side Character Quest,Domain: Facilities: Mundane ,This quantum scale fabricator is focused on producing complex processors and other computer chips. It is able to create quantum computing matrices including seven state processing chipsets.
2,,100CP,Auto-Factory ,Starbound,Domain: Facilities: Mundane ,"A room full of various arms and other tools, this factory is designed to be programmed with the blueprints for any item that you know how to create, allowing for raw materials to be fed in from the ship's storage, and be turned into whatever items are programmed into the factory. Warning: Only items that run on purely mechanical / scientific principles can be made here. If something requires magic or more esoteric energies to be created, it will require your personal touch to actually make, though individual parts could still be crafted by the factory. Can't make items bigger than the room itself, though it can build the pieces for you to put together yourself later.
* 100cp because a 1 module ship costs that"
3,,100CP,Data Khala ,Starcraft Protoss,Domain: Facilities: Mundane ,"While psionics are powerful, sometimes a technological solution is needed. This is the Templars solution to a technological Khala. A powerful digital Khala that links together all the different Purifier units. You have your own version of this. With this, all of your computers and AI can communicate with each other over cosmic distances with zero lag time. Instantaneous information sharing. As the centre of this digital Khala you can link into, and communicate with, it too."
4,,100CP,Laboratorium ,Light of Terra DLC 3 - A Grand Day Out,Domain: Facilities: Mundane ,"Ancient cogitators, arrays of auspex systems, and volume upon volume of documentation supply an Adept with the tools and information necessary to capably analyse a recovered technological artefact.
* Extremely high tech lab for studying artefacts. From Warhammer 40k."
5,,100CP,Matter Manipulator ,Starbound,Domain: Facilities: Mundane ,"Manipulates anything that matters. Well,solids, at least. It basically allows for the collection of any and all materials. For an extra 100 CP, it can collect liquid, and also mines 4 times faster, 4 times as much at once and twice as far away. It can also paint stuff as wire things. If you don't purchase this, you'll have to get the upgrades yourself with manipulator modules.
* This is the 4chan version, the SB version is a whole chapter."
6,,100CP,Research and Development Center ,Mass Effect Andromeda,Domain: Facilities: Mundane ,"The R&D center is integral to the Initiative's colonization efforts in the Heleus cluster. There is one in every settlement. As you increase the amount of information you discover, the more you will be able to progress and discover in the Research section. And Development allows a user to build any object that you have the blueprints/plans for and resources to make it. If you have a ship, you can choose to integrate this into the ship. While the R&D center is initially limited to making things that are man portable, with the appropriate upgrades, that may change. After all, Remnant Vaults have such interesting technology...
Post Jump, you can choose to have the R&D center be integrated with your Warehouse, have it be placed somewhere mid jump, or even have it be connected to a robot of some sort for mobile crafting purposes."
7,,100CP,Sburb Starter Kit ,SBURB,Domain: Facilities: Mundane ,"Don't feel like upgrading your Sylladex to drag your equipment back to your interdimensional 
warehouse? That's okay! This upgrade equips your warehouse with a Cruxtruder, Punch Designex, Totem Lathe, and Alchemiter! Now you have some extra ones,and you don't have to rob the you of this life's house. If you want any other upgrades, you'll have to make them yourself. You should be able to do that from your warehouse now though.
(Note: Purchasing this Cruxtruder and opening it for the first time will not give you another)
* Would probable needs a Sylladex too to work
* Allows manipulation of Item data on punch cards, probable hard to find in other perks"
8,,100CP,Specimen Bio-Tank ,Resident Evil,Domain: Facilities: Mundane ,"Well, your B.O.W. specimens have to come from somewhere don't they? They don't just pop out of the ground like those plebeian zombies, and what if you need to make some adjustments? Upon purchasing this, you gain access to a sophisticated bio-tank which is filled with a special fluid. This will not only ensure the B.O.W. is docile and unconscious while immersed, but it also comes with the tools and devices to monitor and make adjustments to the subject inside as needed. Evil laugh not included."
9,,100CP,Starting HUB | Satisfactorio Builder ,Satisfactory-factorio Gauntlet,Domain: Facilities: Mundane ,"-Starting HUB (100CP) Instead of starting with a box containing only the most critical components of the HUB, you start with a prefab base in a box. Set it up anywhere, and as long as you empty it out you can move it around. This base has a craft bench, equipment workshop, a molecular analysis machine, an RTG that produces a small amount of power perpetually, and a spot for the research dropship to land. In addition, it has a rack with a few standard storage boxes and a bunk room big enough for all of you. You start with all recipes that you get from completing the HUB in-game unlocked. Respawns monthly. In addition, you can keep this and drop it at your starting location in future Jumps, if you want.
-Satisfactorio Builder (0CP) The buildy gun from Satisfactory. It can place down buildings and other artificial structures, either from parts or premade. It can deconstruct buildings and other artificial objects, either breaking them down or storing them whole. It can give orders to logistic or construction systems that you are authorized on (including the ones from this Gauntlet.) It can configure the settings of machines. It has an internal inventory that can be upgraded (to a limited extent until you leave the Gauntlet.)
Always fully charged, can be upgraded in other ways, automatically imports into similar handheld stuff, and syncs up with other inventory/storage Perks, Items, and items. If lost, stolen, or broken, it will respawn in an appropriate and safe place immediately, even during the Gauntlet.
* Builder is required to make use of the HUB, it is also a free item."
10,,100CP,Weapons Lab ,Starbound,Domain: Facilities: Mundane ,"A lab full of analysis and test equipment, aimed specifically at deciphering and improving deadly weaponry. You can use this lab to analyze any weapons that you come across, and given time, can figure out how to isolate and combine the different features of the weapons into other weaponry you create. Comes with a melee and firing range for testing out any weapons as well.
* 100cp because a 1 module ship costs that"
11,,100CP,Workshop ,Bubblegum Crisis,Domain: Facilities: Mundane ,"Do you need tools? You have ALL the tools. Using this, you can effectively build and/or repair any damn thing in BGC, though constructing orbital shuttles might take a while. Never mind getting a hold of the plans. Can act as an independent location or as an upgrade/attachment to Canyon Garage or Underground Hideout."
12,,100CP,Workshop ,Dark Cloud 2,Domain: Facilities: Mundane ,"A small workshop for Mechanics that is geared largely towards building small machines, medium machines...and well, massive machines as well. You'll have to adjust the tools accordingly yourself for different machines, but the workshop will scale to fit what machines you put into it. Will slowly repair any machines placed inside.
* Repairs Machines placed inside, no matter the level."
