0,,CP Cost,Name,Jumpdoc,Chapter,Description
1,,100CP,Benadryl Cabbagepatch,Invincible,Domain: Knowledge: Intelligence,"You have an incredible ability to make inferences and be correct. You truly are a natural at inductive and
deductive reasoning, able to use logic to fill in the gaps in your knowledge, you can guess with
reasonable accuracy when others would be left scratching their heads in consternation. This sort of
deduction is quite useful when trying to reverse engineer advanced technology."
2,,100CP,Genius,Stellaris,Domain: Knowledge: Intelligence,"As expected from someone who broke through a barrier thought impossible by physics, you're a genius.
Your level of study in the three most important fields (Social, Engineering, and Physics) are enough to
have you be known as the premiere in all fields in your Empire."
3,,100CP,Good Enough For Science. Not Aperture Science!,Portal,Domain: Knowledge: Intelligence,"Pick one of these two options: one PhD in a subject which actually exists, or 3 PhDs in subjects which
only exist in Aperture. Applied physics of quantum tunneling, multiverse search algorithms, and event
horizon containment are examples of Aperture only degrees. You can buy this perk twice, but it's only
free once."
4,,100CP,Inconsistencies Without End,World of Darkness - Genius the Transgression,Domain: Knowledge: Intelligence,"You'll have to deal with it every time. Consistent internally but to the greater world a Wonder is a unique
item with no way to be properly defined by real science. Your intelligence has been enhanced, as well as
your ability to use logic and you've gained a rock solid understanding of the fundamental sciences of any
particular field you care to name in this world. After all you need a solid foundation if you are going to
deal with this inconsistent thing they call Inspiration. In addition to all that you have a high level of
patience now, able to wait through dozens of days of tests before committing to decisions if needs must."
5,,100CP,Librarian,Smash Up-Obligatory Cthulhu Supplement,Domain: Knowledge: Intelligence,"You have a phenomenal memory and organizational skill, and a real gift for research. It's a rare day
indeed where you can't find the information you need, or at least narrow it down to a single rare book."
6,,100CP,Nigredo,Lords of the Night - Zombies,Domain: Knowledge: Intelligence,"The first step is breaking things down to their basics, before putting them back together. You always
understand how far you can atomize knowledge, and are able to source all the bits.
If you're starting an experiment, you can use this to completely break down your starting premise, break
down what you think you know, find every source for every one of those bits. You will keep discrete
knowledge of what you think every step is doing, what it's checking for. If you get unexpected results,
you'll be able to atomize what those results are, what conflicts with what you know, and what doesn't.
This makes you no more right than you were before, but helps immensely in figuring out where you're
wrong. Likewise, if you one day discover a source of yours was unreliable, you'll know every bit of
information you got from him directly or indirectly, and be able to find every conclusion you're using that
he contributed to.
It won't tell you which ones are manipulations, but you'll know that you have a bias because of
something he said to you in passing because you'll be able to identify every contributor to your every
bias."
7,,100CP,A Spark of Madness,World of Tentacles,Domain: Knowledge: Intelligence,"Greatness does not spring from mundane roots. The greatest geniuses are also madmen willing to spit in
the face of common sense, and you have that spark of madness in you. Within your mind is a perverse
wellspring of inspiration, and by immersing yourself in it you gain superhuman focus and the ability to
ignore your basic biological needs such as food or sleep or similar things that might distract you from the
task at hand, though you will need to recoup all of your “debts” once that task is complete. The products
of this “Madness Place” will tend to be skewed towards perverse uses in one way or another, but they
will always be highly effective at their intended purpose. You also gain an impressive maniacal laugh, as
well as the ability TO DRAMATICALLY EMPHASIZE YOUR WORDS!!!! and still be taken seriously."
8,,100CP,Not a Stupid Grunt,Mass Effect,Domain: Knowledge: Intelligence,"That you are not. You are smart enough to be the foremost scientist in your field. This doesn't make you
so, but you could get there on your own with not a terrible amount of effort. Still not as smart as a drell,
but hey, who is?"
9,,100CP,PhDs,Fantastic Four,Domain: Knowledge: Intelligence,"Now this is the most obvious thing for you to have, isn't it? You have no less than three separate PhD,
covering any three areas of science you want. You're a leading expert and genius in each of these, a true
giant in the field. But more than these, you find you now also have documents, proofs and complete
records for any other degrees or qualifications you're, well, qualified to hold. So long as you have the
ability, you find that whatever is needed to indicate this just appears, complete with a full story behind it.
These records are entirely genuine, and are treated by everyone just as they would any other similar
documents."
10,,100CP,Savant's Understanding | Beautiful And Terrible,Exalted - The Infernals,Domain: Knowledge: Intelligence,"Savant's Understanding (100CP) A good scholar is one that understands quickly, and remembers their lessons well. Gaining a sharpened mind, you will make connections and associations extremely quickly, your burgeoning mind filling with ideas and potential solutions. But remembrance is just as important, so you will find that your memory is clear and enjoy near-perfect recall. Indeed, the memories of life and technology in the First Age, which your Exaltation retains from its past life as a scholar of note, are likewise quite clear. Even better, you will
find it easy to retain absurd amounts of newly acquired information. For some reason, this also makes it
easier for you to construct elaborate monologues to reveal the full genius of your grand schemes.
Beautiful And Terrible (Exalted -The Infernals) (Free)
You will be able to take on some of the demon realm’s splendor and have your visage refined, clearing up
scars, blemishes, modest asymmetry and other subtler imperfections in appearance."
