0,,CP Cost,Name,Jumpdoc,Chapter,Description
1,,50CP,Summer Fashion ,Fate/Whore Order,Domain: Protection,"While a not insignificant portion of Scathach’s efforts take place in Shinjuku, the city of Yakuza, a larger 
portion takes place in Luluhawa and Vegas, two of the four summer Singularities. It should come as no 
surprise then that this allowed Scathatch to dress both herself and others in even more risque clothing 
than they would normally wear. In other words, swimsuits. And boy, were they swimming in men and 
sperm right quick. The way this perk affects that is that it takes that otherwise weak piece of fabric and 
grants it the Servant class durability it will need to not get utterly destroyed, be it from swords and 
lances or over eager men trying to rip it off. This also applies to lingerie and other naughty things, but 
not to actual clothes. It also prevents them from staining due to all the fluids. "
2,,100CP,A Bottomless Heart ,Generic Hentai World,Domain: Protection,"For an ordinary person it may be enough to only have one other person to spend your life with, but 
there’s nothing ordinary about you, is there? Love and emotional attachment comes to you easily and 
you find it more difficult than most to let go of those you care about, to the point that choosing one 
woman over another when you love them both is unthinkable to you. Luckily, this is not without its 
benefits. You have a perfect photographic memory for information about people you care about, no 
matter how many of those people you might have. You’ll never forget their birthdays, favorite meals, 
erogenous zones, etc. and can easily keep track of their needs and desires without even thinking very 
hard about it."
3,,100CP,Ageless II ,Essential Body Modification Supplement,Domain: Protection,"You do not age or otherwise degenerate over time in the normal manner, You will never die of old age and will maintain peak performance and health with no degeneration forever. You may choose to halt or resume your visible aging at any time."
4,,100CP,Eureka!,Generic Lewd Sci-Fi,Domain: Protection,"It’s a little worrying just how many scientific advancements came from accidents and a scary lack of safety standards. Luckily for you, while you aren’t any less or more accident prone than normal, such accidents tend to be on the sexy side of things. Less “melt everyone’s face off” and more “melt everyone’s clothes off”, or being bitten by a radioactive pig wouldn’t turn you into a half-porcine monsterbut bestow on you their ability to have 30 minute orgasms, until it wore off."
5,,100CP,It Has Needs ,World of Tentacles,Domain: Protection,"A genius’s mind is as deviant as it is brilliant, and the products of that genius trend towards the deviant as well. By including erotic elements in the creation of your items or monsters, such as summoning a demon with a tantric ritual or powering a device with the energy of Orgasmic Extraction, the creation process becomes much easier at the cost of making the result more dependent on those elements. So long as you keep such needs sated your creations will be distinctly more powerful and easier to control, but the opposite is true if their needs are not fulfilled."
6,,100CP,Love at First Sight ,Generic Hentai World,Domain: Protection,"It’s said that every journey begins with a first step, and whether that step is a good one or not can set 
the tone for the whole trip. This is no less true for relationships than for anything else. Luckily, you have 
a gift for starting things off on the right foot: whether you’re starting a new job or making new friends or 
meeting a destined lover for the first time, everything just seems to go exactly the way you need it to in 
order to make a good first impression on people. You’ll never fumble your words or trip over your own 
shoelaces ever again (unless you meant for that to happen, some girls are into cute clumsy dorky guys 
after all)... at least, not at first. After step one it’s all on you to maintain that positive impression."
7,,100CP,BLACKBODY ANOMALY ,The Culture Minds,Domain: Protection,"As an Excession, it's important to keep your secrets. Scans and sensor readings that try to gather 
information from past the skin of your body give either nothing, infinity or extremely contradictory and 
impossible readings. You may disable or enable this effect at will."
8,,100CP,Corruption Resistance ,Essential Body Modification Supplement,Domain: Protection,"This perk confers protection against supernatural influences that target your soul or that fall outside the 
bounds of physical or mental influence. Unless you specifically wish for it to do so, no contract, curse, 
possession, or effect can take hold of, bind, or damage your soul or being. When you first gain this perk, 
your soul is restored to an uncorrupted, whole state and any supernatural influences are cast off."
9,,100CP,Murphy's Law ,SCP Foundation,Domain: Protection,"You've been around so many experiments, so much weird shit, that you notice things other people don't 
and instinctively position yourself, as a subconscious reaction to anything that can go wrong, and avoid 
the eventual backfire. The knowledge that a few errant bubbles in a flask can quickly turn into boiling so 
violently that even the open end of it isn't enough to let all of its energy out, turning it into a chemical 
explosive, is not lost on you. Neither is the fact that that open flask over there just bubbled when a piece
of dust fell into it. If you're running the experiments, you know how to avoid those circumstances, and how to extinguish the fires if and when they break out."
10,,100CP,Painted On ,Generic Lewd Sci-Fi,Domain: Protection,"Clothing just seems to fit so much better when you wear it. You can decide how tight the fit of your 
clothing is, as well as reduce the thickness or thinness of the fabric. This lets you decide how supportive 
the clothing is, too, as well as whether it’s sheer or not. This doesn’t change the clothing’s other 
features, like its style or colors, or what kind of functions or protection it provides."
11,,100CP,Protection ,Milk Hunters,Domain: Protection,"With Senpai going around and raping anyone who catches his eye during monster attacks, it might be a 
good idea to have a bit of “protection.” Protection against STDs and unwanted pregnancies, that is. From 
now on, you can choose whether or not you will get pregnant or impregnate someone during sex, and 
you’re not only immune to STDs, but you’ll cure any that your partners have. Unless you don’t want to, for some reason."
12,,100CP,Parasite's Compromise ,Monster Girl Encyclopedia,Domain: Protection,"It's so cruel to hate a parasite, it just wants to live like any other living thing. It's just that its survival 
instincts tend to create conflict with its host. However, you know how to make the experience mutually 
beneficial. If you are infected with a parasite, you can merge with the parasite and take control of it, thus
preventing it from harming you; in fact, the parasite, having merged with you, will now often be 
beneficial for your body, covering defences that your body alone could not handle. You will essentially be
sharing the same mind and memory (with you in charge), and since the host (you) is now bonded with 
the parasite, there will be no further conflict over living space or control. On the flipside, if you are in the
form of a parasite and have infected a living host, you can, by gaining consent from the host or by 
overpowering the host's will, merge with the host, you becoming the host and the host becoming the 
parasite. Either way, parasite or host, you remain the dominant one in the bond. If you wish to break off 
the merge on either end of the spectrum, you can separate again, on condition that the parasite (even if 
it's you) will be automatically ejected from the host's body. Please note that the perk applies not only to 
physical parasitism, but also spiritual forms of parasitism such as possession (which is also pretty common here with things like Cursed Swords)."
13,,100CP,Snakeskin ,Generic Lewd Sci-Fi,Domain: Protection,"Why do you even bother with armor when the other guy has a disintegrator? It’s better just to sidestep 
the blast, so that’s what you do. The less your clothing is covering you up, the better you dodge and the 
faster you are. Wearing something as revealing as a space-fabric loincloth or latex bikini will give you 
enough of a speed and agility boost to rush and overwhelm a handful of opponents with blasters even if you were bare-handed."
14,,100CP,Wet Tshirt Contest ,Generic Hentai Modern,Domain: Protection,"When doing sports, you may come to realize that having J-cup breasts or a dick as long as your leg makes
going anywhere fast very painful. Thankfully, you don’t have that problem. As long as you’re in good 
health - ie, no broken bones or debilitating illnesses - you can move about with perfect ease. Even if 
they’re bigger than you are, walking around - or running, as is probably more accurate – won’t be hindered at all."
15,,100CP,What Doesn’t Kill You ,Generic Hentai Superheroes,Domain: Protection,"Hurts like a bitch. But you’ll survive. Your pain tolerance has increased, making lesser wounds less painful."
