0,,CP Cost,Name,Jumpdoc,Chapter,Description
1,,100CP,Cry Havoc ,World of Darkness - Genius The Transgression,Domain: Quality: Safety,"Mortals cause wondrous technology to go haywire, endangering lives and property. Geniuses call this unique ability of mortals to ruin their creations ""Havoc."" A wonder touched, picked up, or interacted with by a mere mortal (a being with no supernatural powers) roils with uncertainty and prolonged contact can break down even the most powerful Wonders. In addition this worsens as a mere mortal interacts with the Wonder, for to them the device makes no sense and pointing out the patches that Mania maintains is a good way to unweave them. You can now apply this inscrutability and inability to use technology beyond the kin of mere mortals to all of your technology at will, even when not in contact with the technology or if you only recently gained this power but crafted the device earlier in your carrier. This only applies if the technology would usually be inscrutable to the person in question, those who can understand the tech won't count for Havoc called in this way."
2,,100CP,Divine Rights Management ,Unsong,Domain: Quality: Safety,"Why would you ever teach a man to fish, when you could make him come begging to you for every dinner?
You have a powerful ability to build fine-tuned break-down and failure conditions into just about anything you create, weaving them inextricably into your designs; your creations can be hobbled so irrevocably that they cannot be made whole without also negating the principles that make them function. Only a genius far greater from your own could free what you have limited."
3,,100CP,DNA Lock On ,Lilo and Stitch,Domain: Quality: Safety,"You're tired of pesky law enforcement personnel sneaking into your lab. To combat this you have created DNA lock on technology, allowing your machines to target specific creatures, and only them. Of course, this will require collecting their DNA first. You have put this to good use with inventions like your door that only opens for you, and the auto-turret that will refuse to fire if you're standing in the way."
4,,100CP,Guarding the Ark ,Lords of the Night - Vampire,Domain: Quality: Safety,"A common important duty for many angels is guarding holy sites and items, for such things can be dangerous to the faithful, and targets of the iniquitous. Perhaps you held such duties in the past? How can you know. This trick hints at such a history You have freed a splinter of your true essence from your incarnate form and may invest it in an object you currently control - you don't need to be the owner, but it can't currently be contested - you could use it on a stolen sword, but not one someone is trying to wrestle out of your hands. Once invested, it will stay so unless the object is exorcised, or you call back your splinter.
While invested, you count as possessing the object, and as acting as a Watcher, being able to see and sense what goes on around it. You may also start acting as an Controller, Corrupter, and Enhancer when and as you wish. Basically, you can sense what goes on around your object, you may animate moving parts (make a crossbow load itself, make a wagon roll), may curse those who use your object in a way you don't want, and may make it act like a magical item whose strength depends on your strength. These roles are laid out in The Book of Vile Darkness. This perk may be bought more then once. Each time it's bought, you rip free another splinter to invest. Only the first purchase is free from The Lost, but they may buy more at discount."
5,,100CP,Hands Off! ,Starcraft II - Nova Covert Ops,Domain: Quality: Safety,"When one is at the forefront of technological development, one sometimes has to watch out for espionage. Why bother developing a revolutionary new weapon system when a Ghost with sticky fingers walks in and takes it? You are able to design, and seamlessly implement security protocols into any technology or equipment you have access to that would limit use to only authorized personnel. You don't even have to go to the extreme of half-breaking it either, that's for neanderthals and inferior scientists."
6,,100CP,"My Creations, My Children ",Heaven's Lost Property,Domain: Quality: Safety,"The Angelroids and other constructs you make are not mere drones or robots - they are, each and every one, your own child. Whether or not you consider that true or care for them at all, your creations with any degree of intelligence or sentience will look to you as a mentor or parental figure, or just a dear friend when you first activate them. Regardless of its nature, they will enter this world with a degree of loyalty towards you, their creator. You know how to maintain this through care or the right mix of discipline and caretaking. This, incidentally, makes you pretty good at actual parenting as well."
7,,100CP,Ruinous Font ,Mistborn,Domain: Quality: Safety,"Hemalurgy is a dangerous and dark art, with a natural connection to the god of Destruction, Ruin. Through this connection, Ruin can manipulate the beneficiaries of Hemalurgy towards his own destructive ends. With this perk, you gain the tiniest sliver of Ruin's power just enough to fuel your own Hemalurgy without Ruin's help. Hemalurgic spikes you create have no connection to Ruin, and their users cannot be controlled by him or by emotional Allomancy. You can also make Hemalurgic spikes outside of this Jump. This does not confer any knowledge or ability with Hemalurgy you'll either have to take another perk, or find someone who can teach you. Unfortunately, the only people who can teach you are more likely to kill you instead."
8,,200CP,Black Boxing ,Warhammer 40k - Squats,Domain: Quality: Safety,"While certain red-robed rats of Mars always trying to get their grubby mechadendrites on your stuff is annoying, messing with them is endlessly entertaining. You can easily tweak your work to be nearly impossible for others to duplicate. If you're feeling particularly spiteful, you can build in some cross-connections so anyone trying will blow themselves up."
9,,200CP,Father ,Blade Runner 2049,Domain: Quality: Safety,"Your children are very precious but not irreplaceable. It's something they remember well when they look at you and see a God. Anything you have created, from natural means or artificially, sees you as a God if you wish it. It can be as a terrifying, wrathful and strict God or as a benevolent, loving and protective God if you desire but they will find your superiority and position to be undeniable. This is not an unbreakable belief but it is strongly held, with enough proof to the otherwise your creations may be convinced that you are not as deserving of such terrified obedience or worshipful devotion. But proving that you are worthy shouldn't be too hard."
10,,200CP,Fumble Spotter ,Generic Cubicle,Domain: Quality: Safety,"You excel at finding odd ways in which your products might be used or misused that could lead them to fail, and in devising ways to fix them before they ever become issues. You are also adept at making the proper usage for your products obvious in their design."
