0,,CP Cost,Name,Jumpdoc,Chapter,Description
1,,100CP,Build That Wall | Phonograph ,Bastion,Domain: Skills: Magitech,"Build That Wall (100CP) You know the basics of Caelondian technology. You understand how to harness the semi mystical power of Cores and turn it into usable Mantic energy, to power basic machinery, shortrange flying machines, computers, and a variety of other uses. More interestingly, you can use Core power to reinforce existing structures, running a Matic current through it to enhance whatever physical properties it possesses, usually durability, though other uses are possible. This is what allowed structures like the Rippling Wall and the Bastion to survive the Calamity as well as they did. You also gain basic skill for mundane construction.
Phonograph (0CP) An old­fashioned hand­cranked phonograph. Very sturdy, gives much higher­quality sound than you’d expect. Has a single record with the full OST for the Bastion game, as well as several additional Caelondian and Ura folk songs."
2,,100CP,Research ,Rance 02,Domain: Skills: Magitech,"Magic, a force that works over completely different laws than the normal physics of the world. You know the value of it, but are also aware of the wonders in technology. As such you, in secret from the rest of the students, have been advancing in the research of mixing the advancing technology and magic. Learning the best ways to fuse both to create something more powerful."
3,,100CP,Sorcery Capsules ,I Saved Too Many Girls And Caused The Apocalypse,Domain: Skills: Magitech,"The impossible marriage between science and magic allowed the creation of these small capsules, which purpose is to store intricate spells for their later use. Think of magical grenades with multiple types. You gain a whole dozen of these small artifacts, as well as the instructions of how to make more and fill them with all kinds of spells."
4,,100CP,Tech Wizard ,Devil Survivor,Domain: Skills: Magitech,"You're really good with machines. You just sort of understand how they work, better than most. But not just regular machinery, no. You've learned how magitech works too, to a certain extent. COMPs are incredibly powerful tools, allowing users to summon demons, learn magic, go beyond normal human limits, and fight on the same level as demons. You can't build one yet, but you've figured out how they work, and even how to modify the coding to a certain extent. Won't the Shomonkai be surprised to find out they're no longer safe from their own toys?"
5,,200CP,Antimatter Manipulation Principle ,Final Fantasy XIII,Domain: Skills: Magitech,"You understand the science at work behind Cocoon's technology. You may not have the equipment to reproduce it, but you can manipulate gravity to a limited degree even without it - enough to save you from falls.
With suitable tools however, you could make all sorts of equipment and mechanical wonders, even up to graviton cores that can maintain giant aerial defence platforms."
6,,200CP,Antimatter Temporal Principle ,Final Fantasy XIII 3,Domain: Skills: Magitech,"The same antimatter manipulation principle developed by the scientists of ancient Academia was banned by the Fal'Cie Pandaemonium in the recent years, and all its researchers vanished. After careful research, you've come to realize why. Through extensive manipulation, Chaos itself can be controlled with AMP, and while the degree of control you can exert on it is limited even you can stop time for five seconds at will. However, you also move at a reduced pace, as the sheer effort of manifesting this unnatural phenomenon drains you in more ways than simply energy.
After trying this twice in rapid succession, you found yourself completely drained, but if you alone could perform such a feat even with significant support from any piece of ancient AMP technology then perhaps the Fal'Cie banned it out of fear that it would evolve to something greater
Without this research available, and with most of the team lost, you wonder if it would have been impossible otherwise to reconstruct this technology. After all, only the significant presence of Chaos provoked the research to begin with, long after Gran Pulse had fallen."
7,,200CP,Light-Tech ,Nexus 2.0,Domain: Skills: Magitech,"The primary advantage common goblins make use of is technology, crossing several fields of study from alchemy to metalworking and engineering to medical sciences. However, their greatest technologies are their Light-Tech, technology that interfaces directly with their Light and other supernatural powers, such as Mist once they unlock it. By default, this allows them to focus their Light through any tech they make to enhance its function, but with practice, they can extend this to other sources of power they may possess. This can also be used on objects they didn't craft, but is instead familiar with, however it will have some loss in effectiveness the less familiar with the object they are."
8,,200CP,"Magitech Augmentation Theories, 14th",Final Fantasy XIV,Domain: Skills: Magitech,"The Garlean use of Magitek doesn't just end with automatons. Many of the weapons, armor, and even day today objects have benefited from the implementation of magitek. Inside this textbook is a collection of theories and applications that have been tested and improved. You could most likely learn from these theories and apply the principles of magitek to any inanimate object .We've seen from live samples that Magitek doesn't just enhance the magical properties of an item it seems to add in neat little quirks like transformation sequences and magic resistant coatings as well. It's likely you could scale this up to high levels with a substantial amount of further analysis."
9,,200CP,Ride the Winds of Inspiration ,World of Darkness - Genius the Transgression,Domain: Skills: Magitech,"Mania, a strange phenomenon. It is not generated by geniuses alone. Instead, all kinds of mortal thought can generate low amounts of Mania, with scientific or mathematical thought generating more, and the sort of thought one might call ""revolutionary"" (politically, scientifically, ethically, it doesn't seem matter) generating the most. In this world there is a phenomena known as 'Maniac Storms' and thanks to your outsider's perspective you've hit upon an idea. If there are 'storms' of Mania then there must be 'winds and currents' by applying this theory to your wonders you can create wonders that need no Mania to feed on, though they still will cause Havoc in the hands of a mere mortal. This technique does rely upon the winds of mania as a whole though so be careful, it could fail in lands where the local 'winds' aren't strong enough such as a rural backwater town or an amish village. In lands without proper technology you need to look for innovation, for it really is the thought that counts."
10,,200CP,System Worker ,Fate/Extella,Domain: Skills: Magitech,"A position normally only entrusted to neutral Casters but the story of this world proves that's not really how it works out. The Moon Cell has decided to make you one of the system maintenance workers, Servants in charge of caring for the virtual reality within the computer structure. Superhuman skill with computers and most technology is yours now, mostly focused on repairing and maintaining it. Even alien technology, like that of Velber, is relatively easy for you to get in working order and keep it that way. You're not able to alter much, the Moon Cell keeps that knowledge out of your hands with just this, but making new stuff isn't too hard. You don't know how to create the highly complex systems that form the core of the Moon Cell but pretty much anything on Earth till the year 2030 is easy to construct. Those lunar databases are good for something."
11,,200CP,Technomage ,Libriomancer,Domain: Skills: Magitech,"While not a magic user per se you have the unique ability to make magic and technology play along together in just the right kind of way. Perhaps you can take a fictional operating system out of a book and install it on a real computer. Or create a self replicating swarm of nanomachines from a sliver of magically created tissue. Whatever it is, you can do it and are likely to be the envy of your magical peers."
