0,,CP Cost,Name,Jumpdoc,Chapter,Description
1,,50CP,Golden Coin Pouch ,Overlord - The Series,Domain: Supplies: Magical Small Scale,"You've got access to a money pouch filled with a 'respectable' amount of gold coins. Respectable by the standards of a max level Yggdrasil Player at least. This amount of gold is enough to beggar the imagination of commoners and even landed nobility will consider it a ruinously large sum, easily into the tens of thousands. If you're a Player it's minted with YGGDRASIL iconography and is probably what you had in your inventory when you arrived in the New World, they're sure to attract attention if you use them. If you're a local it's in local denominations, and god knows how you came across it. For 50 CP you have ten times as much gold, and you'll find that every month any gold you've spent or expended has been replaced within the pouch. The pouch itself can hold any number of gold coins, but only gold coins, inside of it.
One notable fact regarding these coins, and indeed Yggdrasil Gold Coins in general, is that they can substitute for many types of incidental materials or reagents when it comes to creating magical items or artifacts. For example as long as you have a scroll to work with the gold could substitute for inks to allow you to make a magic scroll, or special oils or unguents in a bit of clockwork, and so on and so forth. Hell, you can even use the stuff to garnish food and drink at no risk to the consumer. Basically, so long as you've got the main pieces for making something you can substitute in some Yggdrasil Gold for any of the incidental bits required in the process."
2,,50CP,Gems ,Touhou Luna Nights,Domain: Supplies: Magical Small Scale,"Magic crystals that somehow improve your abilities, though not all that much until you start stacking a great deal of them. Every purchase gives you one hundred and fifty amethysts (which improve your graze rewards), thirty aquamarines (which improve the rate at which your MP recovers), fifteen topazes (which improves your special ability recovery rate), eight rubies (which improve your defence), seven sapphires (which improves your attack power), five emeralds (which helps your health to recover), and one diamond (which improves both attack and defence, twice as much as rubies and sapphires do). 
Additionally, they can be used to power monsters and traps, with more powerful ones requiring higher quality gems, if you know how to use them."
3,,50CP,Mamono Realm Ink ,Monster Girl Encyclopedia,Domain: Supplies: Magical Small Scale,"A collection of inks made from minerals in various demon realms, with varying magic properties. These enchantments can range from protecting the words from physical wear to preventing anyone from tampering with the letter to even charms that send the words and feelings of the message straight into the reader’s head, eroding and charming the reader’s heart with passionate desire. However, the magical effect contained in this ink will not manifest in an insincere nonsense sentence, and you also cannot make someone believe in a lie."
4,,50CP,Stabilized Moonsilver ,Exalted - The Lunars,Domain: Supplies: Magical Small Scale,"Deposits of Moonsilver form only in the Wyld. Beams of moonlight unpredictably illuminate a region of the Bordermarches or Middlemarches, boiling off the Wyld and distilling its Essence into the fluid, watery-looking moonsilver. However, raw moonsilver is unstable. An artisan needs special techniques to work it. Through coaxing songs and careful taps and strokes with crystal hammers and probes, the artisan quiets the Wyldness remaining in the raw moonsilver so it becomes a stable metal. Pacify it too much and it freezes into silver; hit it too hard, and it shatters into drops of quicksilver.
This does mean that in other worlds, you might have some difficulty finding any quantities of Moonsilver to use. Therefore, you may purchase a supply of moonsilver here. Gaining five Talents of pure, stabilized Moonsilver for you to use, enough for the creation of most any kind of artifact, as well as notes detailing the thaumaturgical procedure that may be used to create Moonsilver yourself. In the future, you will gain another five Talents of this mutable metal every year, ensuring that you will never permanently run 
out."
5,,100CP,Chaos Meats and Wine,Desolate Era Part II - The Chaosverse,Domain: Supplies: Magical Small Scale,"This collection of food and wine is special in that it's made from extraordinary ingredients. Whether the meat of a Chaos Dragon, eggs from a Divine Phoenix, wine made from grapes that grew on a Chaos Star, etc.. No matter how strong you are, you can choose to be affected by the extra nourishment the wine and food grants such as allowing you to refill your energies, getting you very drunk, or calming you down. The effects of this food on Mortals and other weak creatures could increase their lifespan by thousands of years. You can summon this food and drink anywhere with no limit on the amount alongside dishes, and can choose the general effects of each dish. The stronger you are the greater the ingredients, and the greater their effects.
* These are high tier cultivation foods with cultivation pill like effects."
6,,100CP,Building Blocks ,Paper Mario,Domain: Supplies: Magical Small Scale,"A collection of mushroom kingdom brick blocks, yellow blocks, stone blocks, metal blocks, and empty ? blocks that can be filled with whatever you wish. You receive a large stockpile of each, and they replenish once a month. Feel free to use them however you wish."
7,,100CP,Dye and Paint ,Terraria - Journey's End,Domain: Supplies: Magical Small Scale,"A selection of paints and dyes that can be used to color various objects or furniture. Each hue has enough to paint two or three objects, and restocks in a day once used. This also comes with a set of brushes, rollers, and scrapers that you can use to apply or remove the dyes and paints. To start with, you have all of the basic, bright, deep, and gradient hues. You gain the strange, lunar, shadow, negative, and illuminant hues."
8,,100CP,Elemental Seeds ,World Seed,Domain: Supplies: Magical Small Scale,"An elemental seed is the condensed essence of an element, and they're almost exclusively produced by Druids or Mages capable of creating enchantments replicating their methods. They have various uses, such as powering enchantments or magical items, and are required in the process of giving an object an elemental ability. Druids also use them to introduce new elements into their Grove, and need them to cultivate their affinities past the 25% point. As such, each of them is fairly valuable, with the price skyrocketing once you go beyond the basic seven elements and to incredibly rare ones such as Time.
They are also pretty time intensive to make, requiring about an hour of work for each, even for people relatively skilled in their creation. But now, you won't ever have to worry about that, as you'll get a dozen Seeds for each of your affinities delivered either to your warehouse or another place you designate, every week. Their quality depends on the level of your affinities: from 5% to 25% you'll get low-grade ones, from 25% to 50% medium-grade ones, from 50% to 75% high-grade ones, and finally, from 75% up to 100% you'll get top-grade seeds."
9,,100CP,Endless Bag of Glowstone,Minecraft,Domain: Supplies: Magical Small Scale,"You get a small bag which inexplicably contains a full stack of Glowstone Dust. It refills once a week. Handy for lighting up your surroundings, keeping the monsters at bay."
10,,100CP,Endless Bag of Redstone ,Minecraft,Domain: Supplies: Magical Small Scale,You get a small bag which inexplicably contains a full stack of Redstone. It refills once a week. Handy for experiments with Redstone Wiring.
