0,,CP Cost,Name,Jumpdoc,Chapter,Description
1,,50CP,Electronics ,Star Wars - KOTOR,Domain: Supplies: Mundane Small Scale,"A large supply of computer spikes and repair parts that can be used with nearly any modern machine in the galaxy. Computer spikes overwhelm electronics with junk data and are used by hackers to aid them in bypassing electronic security doors and terminals. Repair parts are packages of universally adaptable components that can be used to fix or upgrade droids, vehicles, and other machines."
2,,50CP,Priority Arrangements ,DOOM 3 V1.0,Domain: Supplies: Mundane Small Scale,"A certain amount of discreetness is required when working with materials as sensitive as those common in your line of work. While high-end tech components or raw materials are easily acquired and delivered, materials such as holy relics or certified virgin's blood are rather less so. Although taking such items through customs and security is normally a fairly sizable challenge, you do have an advantage - these forms. Suitable for ordering items or attaching to crates or other 'deliverables', these certificates ensure that nothing but the most determined intent will ever cause them to be searched during routine checks. You'll not need to worry about delays or unpleasant questions, though you might want to avoid using them to, for example, mail explosives to the UAC's board of directors. Even authoritative paperwork filled out in triplicate only holds so much power, after all. In future jumps, these forms will automatically adjust to whatever other packages you need to get to their destination without any poking and prodding."
3,,50CP,The Gourmet Case ,Toriko,Domain: Supplies: Mundane Small Scale,"Keeps ingredients warm or cold naturally. It is a vacuum package container that can contain the data from 10,000 kinds of different ingredients. If the selected ingredient is not in its memory, it has to be manually set up based on its environment that it was found in. One can expand the memory with a memory card. The price for the Takeout 1000 with a memory for 1000 Ingredients is ¥90,000 yen. (Memory card sold separately. Just joking. You get memory cards for each ingredient found in the Human World.)"
4,,100CP,Honkai Cubes ,Honkai Impact Third,Domain: Supplies: Mundane Small Scale,"You have a supply of Honkai Cubes and know how to make more. Crystallized Honkai energy that when used to make or enhance weapons, gear, or anything really far enhances it beyond normal limits of human capabilities. Of course just having them does nothing, and if you just slap it on a low quality weapon it wont go very far. But with proper application of skill and infusion you can use these to create incredible things. Just beware potential feedback. Not intended to be fed to Tunas."
5,,100CP,Inexhaustible QE Comm Link ,Eclipse Phase,Domain: Supplies: Mundane Small Scale,"Two fingernail-sized Quantum Entanglement communication arrays. If each is installed in a separate device, those two devices can communicate instantaneously no matter the distance. Unlike standard QE comms in the setting, the qubits are not expended when information is transmitted. It has the bandwidth of a high-speed fibre optic connection."
6,,100CP,Material Limitations ,World Seed,Domain: Supplies: Mundane Small Scale,"Even with the advanced technology commonplace on Earth nowadays, material limitations haven't changed. Or rather, you could say that they've gotten even worse. After all, how are you going to store antimatter if you have only steel at hand? Luckily, you won't ever have problems finding the materials you need. Whether you'll stumble upon them while searching through a scrapyard, or find just the right people who can get you that obscure alloy you need, nothing will stop you from building whatever you want besides your own skill. Well, if you're keeping it reasonable, at least.
The chance of you finding what you're searching for decreases exponentially with the material's strength and rarity, and increases by how much you know about said material, scientifically, and how good your technology skills are. So while a regular schmuck would probably never find Adamantium, someone who could reproduce it themselves in only a few years would have much, much better chances. So if you're in a situation where it is impossible to get what you want with what you know and where you are right now? Then you'll have to get to work yourself. Good riddance then that you can eventually reproduce any material or alloy that you have seen, though for extremely advanced ones it might take an unreasonable amount of time and skill."
7,,100CP,Memory Crystal ,Five Star Stories,Domain: Supplies: Mundane Small Scale,"A backup memory crystal, strong enough that it could easily be used to instantly record live combat information to be replayed later. It could also be used for other mundane purposes, such as serving as the hard drive for multiple supercomputers."
8,,100CP,Nanomaterials Body ,Arpeggio of Blue Steel,Domain: Supplies: Mundane Small Scale,"First free Mental Model, no discount Mental Models use nanomaterials to form a physical body around their Union Core to match their subconscious appearance. All Mental Models have a nanomaterials body surrounding their Union Core for free. You can purchase spare nanomaterials bodies to house any other AIs you might have. For Nanomaterials properties, see the Notes section."
9,,100CP,Provider chest ,Factorio,Domain: Supplies: Mundane Small Scale,"Whenever you open this space-bending chest, you'll find an assortment of the standard Factorio resources, ready for processing. A variety of mundane wood and stone, pressed coal, iron and copper ingots, uranium slugs in heavy lead containers, and barrels of oil and water. The chest stores about a cubic meter of each material, and withdrawn resources replenish at different rates - you and your companions will easily have enough water to live off of, a good-sized house could be built with a few day's worth of stone and wood, while metals, particularly uranium, are replaced much more slowly."
10,,100CP,Nanomaterials Sieve ,Arpeggio of Blue Steel,Domain: Supplies: Mundane Small Scale,"This sand sieve can be used to filter nanomaterials from seawater and sand. Even in settings where the seawater doesn't have any nanomaterial particles from damaged Fog ships, it somehow produces about a pound of nanomaterials each time its scooped through the ocean and sand."
11,,100CP,Some Really Good String ,Claymore,Domain: Supplies: Mundane Small Scale,"You have a sizable supply of some really good string, if you were to cut someone's torso open and then reattach their torso with this string, somehow their core muscles would still function regardless of if the wound heals. They would also be able to perform incredible acrobatic feats as though there was nothing wrong regardless of how extreme their movements. As well even if they had their guts ripped open by a monster thrusting their arm all the way through the string itself would remain undamaged, and not even require any attention. Skill at stitching flesh back together not required, or even mildly important, just shove it through and so long as it holds the wound together they'll be good to go."
12,,100CP,Nullspace Computer ,Megas XLR,Domain: Supplies: Mundane Small Scale,"You have a computer tower you can summon from and banish to nullspace. allowing you to upgrade it but otherwise keep it safe. You may summon a holographic interface for it at will.
* Massive upgradable supercomputer that can be kept safe by existing outside reality and 
simultaneously be used due to its holographic interface making it an extremely useful item which benefits from all abilities which improve its performance while being entirely tamper proof."
13,,100CP,Originite Prime Bundle ,Arknights,Domain: Supplies: Mundane Small Scale,"You gain access to several crates of pure Originium that can be utilized for various means, and will restock itself every week. Wrong handling will be dangerous, however post-Jump, this will be perfectly safe to use in any way. A common mineral in Terra, this semi-transparent black crystal contains enormous energy, and is the primary factor of causing Catastrophes. Widely used in the field of Arts, it works as the basic material and catalyst of all kinds of Arts and Arts items. Without Originium, the efficiency of Arts would, without a doubt, drop dramatically. As technologies develop, more and more countries start to use it as an energy source."
14,,100CP,Thanatonium Supply ,Arpeggio of Blue Steel,Domain: Supplies: Mundane Small Scale,"A material used in corrosive torpedos and other Fog weaponry, this highly unstable matter is used along with nanomaterials to create some of the exotic effects that the Fog's technology is known for, such as graviton engines, and the various gravity and space-altering superweapons. This is a small stockpile, enough to fully re-arm a Fog vessel with corrosive torpedos. The stockpile replenishes monthly in your warehouse."
15,,150CP,Common Material Cache | Rare Material Cache | Lightsaber Crystals ,Star Wars The Old Republic,Domain: Supplies: Mundane Small Scale,"Common Material Cache x2 (50CP) This cache contains common 'mundane' crafting materials, such as durasteel, synthweave, armorplast, and tibana gas. Each cache contains sufficient material to fully outfit 4 people, with enough left over to keep the gear repaired between refills. Includes blueprints for turning your materials into these common materials, plus blueprints for all other items you purchase with CP. The material is replaced yearly.
Rare Material Cache (50CP) It's unlikely to be useful anywhere else, but just in case, this cache contains 10 kilograms each of several Lightsaber-resistant materials: beskar, phrik, ultrachrome, and refined cortosis. The metals are ready for use in crafting or modifying equipment. The cache also includes a modest quantity of other exotic materials, such as precious gemstones, technologically useful non-Force-imbued crystals, and organic materials like krayt dragon hide. The material is replaced yearly.
Lightsaber Crystals (50CP) If you want to create more Lightsabers without access to the setting's unique metaphysical geology, you'll need these. Each fist-sized rock has a sample of Force-sensitive crystal growing from its surface, which can easily be broken off into chunks sized for lightsaber crafting or creating Force Focuses. Purchase includes a rock for every type and color of crystal available in the setting, including synthetic crystals such as the red Force-crystals favored by the Sith. The crystals are always properly attuned to whoever harvests them, regardless of color, and will regrow within a day."
16,,200CP,Decals ,Modded Fallout,Domain: Supplies: Mundane Small Scale,"From hot rod flame prints to the ominous black coatings of the Enclave's Hellfire troops and Pew-Pew's Sunset Sarsaparilla look to your dog's pirate bandana, looking the part is all part of the game. This collection of paint sprays, decorative doodads, engravers and other miscellaneous tools gives you everything you need to make quick and easy yet nonetheless remarkably useful cosmetic changes to your equipment.
But more than that - these supplies seem to always make your items just that little bit more more. After all, a custom-made handcannon should be preferable over some standard factory-made model, right? Each modification you make to your items will provide a minor but beneficial effect, such as a lime-green paint job making you more resistant against radiation than you normally would be, and the classic 'red cross' associated with army medics might likewise bolster your first aid and surgical skills. The effects tend to be fairly modest at best, but these supplies are compatible with just about any kind of item you'dlike to use - even those from worlds wholly unlike Fallout."
17,,200CP,Ecto-Ranium ,Danny Phantom 1.5,Domain: Supplies: Mundane Small Scale,"Ecto-ranium, the rare and mythical ore that is basically the kryptonite to ghosts. They can not touch it and start to lose their powers when near it. It can be turned into weapons or items. You get a ten pound supply that regenerates monthly. In future jumps this ore will work on incorporeal spirits as if they were solid beings. So you can line your house to keep ghosts out."
18,,200CP,GT Robo ,Toriko,Domain: Supplies: Mundane Small Scale,"The Gourmet Telexistence Robot is a type of robot intended to be used to investigate areas that are normally inaccessible to normal humans. It can supply gourmet ingredients without the user having to step into dangerous soil. The operator can control the movements of the robot from far away and the robot transmits back the senses of sight, touch, hearing, smell and sometimes taste. It can perform the exact same movements in real time. The level of measurement error of the newest GT Robo used by the Bishokukai is less than a millisecond, though individuals with incredible speed like Starjun say that it is still too slow. You can choose from several models of the GT Robo design. The New Model is the first kind of GT Robo seen and also the one mainly used by the Bishokukai. The other kinds of robots seen also seem to be based on this one; the most difficult to control are the Giant type and Micro type. The original models of GT Robos are not used by the Bishokukai and are designed with a more humanoid appearance, with some resembling humanoid robots while others are perfect replicas of the humans they are used by. Original models are used mainly by civilians, wealthy individuals and the Allied Forces. 
The New Model's body is made of a titanium alloy with carbon fiber. The joints are made of Super High Polymer Special Polyethylene with reinforced aramid fiber body hair covering it. The movements of the robot are relayed by its Core Antenna, made of gold for optimal conductivity."
19,,200CP,Jabberwock Claw ,Project Arms,Domain: Supplies: Mundane Small Scale,"This remnant of one of the past rampages of the Jabberwock is a uniquely dangerous item, especially to ARMs. One of the few weapons that can equalise a fight between an ARMs and a non- ARMs, this weapon, which can take the appearance of a literal, almost triangular claw or a sword hilt capable of making a blade of glowing nanomachines at your discretion, retains the Jabberwocks healing retarding function, the Anti-ARMs virus that can leave permanent injuries on an ARMs, those normally immortal and perfectly healing superhumans. Like any sword, its lethality depends on how well it's wielded, but it is the swords property that will make sure any wounds caused will refuse to heal properly. This quality will expand to prevent proper healing in anything with abnormal healing and can deal lethal damage to being normally immortal due to fast-healing or outright regeneration."
20,,200CP,Mods & Augments ,Mass Effect Andromeda,Domain: Supplies: Mundane Small Scale,"Sometimes you just need to coax a bit more performance out of your tools. And sometimes, you just need them to do something else entirely. You now have both a full collection of weapon mods and augmentations, as well as the blueprints to produce more. The mods are usable on any weapon of the matching category, even in future settings. And the augmentations are fantastic when you want to change how a gun performs. Maybe you want an assault rifle that can never run out of ammo, or a shotgun that spits lightning bolts? Or maybe you simply want to change the firing options you have available? If you can break down and build a piece of gear, you can integrate an augmentation into it. And the better skilled you are at building that item, the more augments you can put into it. Keep in mind that some augments have different effects if they are on a weapon versus a piece of armor."
21,,200CP,Nth Metal Ingots ,Injustice,Domain: Supplies: Mundane Small Scale,"Now this is valuable indeed some of the most valuable material on earth, in fact. This set of ingots, when cast into a proper form and utilized in machinery, can negate gravity, allowing for its user to fly if worn as a belt. Furthermore, it possesses extreme strength and power, making it highly suitable for use in weaponry or armor. You gain about ~1 ton of the material, which replenishes weekly if lost or destroyed (and under no other circumstances).
* Nth metal has a bunch of other crazy properties like magic negation, cronopowers etc, full list can be found here."
22,,200CP,Ore Chest ,God Catching Alchemy Meister,Domain: Supplies: Mundane Small Scale,"A magical chest full of different ores, rare metals and even some gems, around a kilogram of each, for a total of 20 kilograms at maximum produced. It replenishes the contents each day at midnight. Making it a stable, if small, source of income. You can put another kilogram of any ore, metal or the likes in there so the chest will also produce it in the future. This could be handy if you ever want an exotic weapon."
23,,200CP,Screaming Rock ,Project Arms,Domain: Supplies: Mundane Small Scale,"This unnerving rock, strangely and seemingly naturally sculpted to depict numerous hands and faces of the souls who originally found it, is an alien space rock. No, I'm not joking. Whatever native intelligence it has is either in deep sleep, is silently observing content to remaining passive or has long since vacated the substrate of the rock to somewhere else somehow. Either way you are now left you a hunk of nanomachines that are ridiculously versatile in how they be used. With research you can use this to make your own ARMs, and through using cultured samples you can effective have no real limit as to how many you make, but more easily you can use electrodes to connect more conventional computers to thismass as an interface and use it as a super-advanced supercomputer that requires some jury-rigging into making it useful and will probably require a dedicated custom OS (Operating System). It can't be that hard, heck a 12-year-old managed it."
24,,200CP,Spare Parts ,Generic Factory,Domain: Supplies: Mundane Small Scale,"You will get a large crate marked Spares that will spawn replacement parts whenever something you own or are responsible for maintaining needs replacement parts. The spares will always be of the same quality as the originals. If the crate is destroyed or stolen, it will re-appear whole in your cosmic warehouse the next day."
25,,200CP,Taydenite ,Ben 10,Domain: Supplies: Mundane Small Scale,"You have found yourself in possession of a large taydenite crystal. Both the rarest and hardest gem in the galaxy, it could be sold for a small fortune. The only thing known to be able to cut taydenite is taydenite. 
Taydenite is also used to power spaceships, so with some work you could use it as a power source."
