0,,CP Cost,Name,Jumpdoc,Chapter,Description
1,,Free,Sorcerer ,Baldur's Gate 3,Source,"Let those wizards study their books and clerics pray to their deities for meagre pittance of magical might. Yours is the purest form of the Weave sorcerer, as you draw your power from deep within. Your blood or ancestry (up to your choice) grants you prodigious amounts of magical potential. Although you lack the versatility and wide range of abilities of wizards and the like, none can match your sheer might in arcane prowess. Also, you are the only class who can manipulate the nature of the very spells you cast."
2,,Free,Ki ,Anima Ark Of Sinners,Source,"Life in this world possesses a wondrous energy called ki that allows for incredible feats of strength,agility and martial prowess in general. This grants you a reserve of ki that regenerates over time. You also know several techniques to boost your abilities,extend both the reach and power of your swings etc...You can develop more abilities through time and training."
3,,Free,The Basics,Castlevania - Aria of Sorrow,Source,"Ordinary or not, you shouldn’t enter the Demon Castle without some important basics down. You have basic weapon training, the athleticism and acrobatics necessary to jump a few feet in the air, and a small pool of magical energy within your body that will grow in strength as you do. You’ll need this."
4,,Free,Runes of the Fallen,Elden Ring - Caelid Wilds,Source,"When the Elden Ring was shattered, countless fragments scattered across the Lands Between, and were taken in by those that lived there. From now on, you shall absorb the runes of those whom you slay as well as those who fall around you, to be used at your discretion. Whether you turn them into strength or use them as currency, know that the stronger the target, the more runes it will possess."
5,,Free,System,World of Final Fantasy: Mirage Keeper,Source,From now on you carry this world's leveling system into future worlds. You may also grant it to others at will. It integrates perfectly fine with all other systems you come across.
6,,Free,Fullbringer,Bleach,Source,"Humans with a little something special in their souls. As they were conceived, a shining golden fragment made contact with their newly born soul, a piece of the greatest soul that ever was. This royal shard would bring great spiritual potential later in life but unfortunately, it draws Hollows to attack the new human. Even before they are born. Those that survive are often left scarred by loss, others sacrificing themselves so that this Fullbringer, the name of what you are now, could live. 

Fullbringer’s possess a natural level of spiritual power and awareness, as well as the Fullbring ability. Using it, they can ‘pull’ on the souls of things around them. Move objects through telekinetic force by pulling on their soul, accelerate one’s movement by pulling on the air, even stand on water by forcing it to remain cohesive. With this and the natural uses of Reiryoku, Fullbringers can achieve the power of a Shinigami or Hollow despite their living bodies. Some Fullbringers, who feel affinity for an object, even find a greater power awaiting them. 

Fullbringers are naturally drawn together and doubtless, as a newly awakened Fullbringer, you’ll soon encounter at least a few others of your kind despite your rarity. They’re likely to at least give you a rundown on your abilities, as you have only the most rudimentary skill right now. Show a friendly face and you might get some useful lessons too. 

Note: Fullbring Build in Associated Jump Document. "
7,,Free,Style and Substance,Ultrakill,Source,"I mean, sure, you could just shoot foes normally, but where’s the fun in that? Where’s the pizzazz? The style? Why just shoot them when you could fling them into the air, flip a coin before punting it into the poor fool’s face? You now gain a ‘style’ meter, toggleable at will. For the more awesome and silly shit you do, the higher your score becomes. But to what end? Why, you’ll get paid, of course. Your ‘score’ can be spent like money. A couple a flashy kills in a middle of a fight might be enough for a pizza. But if you take it to extremes, big combos, hitting foes in mid-air while bouncing shots off of coins and constantly swapping weapons, you could probably get enough in a fight to purchase something in the three hundred dollar range. Maybe that doesn’t sound like much to a dimension hopper, but hey, it’s cash for the cost of being cool as hell. It’s a fair trade, if you ask me."
8,,Free,Phantoma Absorption,Final Fantasy Type-0,Source,"Foes you have killed seem to leave behind glowing energy fragments. With a thought, you can draw those fragments close to you and absorb them into yourself, recovering a small portion of magical strength. Regardless of the enemy's size, it appears the energy fragments remain small, a last vestige of their fading life force."
9,,Free,Missions ,Stranger Of Paradise - Final Fantasy Origins,Source,"You can replay through adventures you had as well as take missions that will send you to places you have visited to defeat various enemy types you have encountered, you can also find treasure chests containing loot on missions. You receive rewards when they are completed such as gear, consumable items etc..."
10,,Free,Ability Window,Final Fantasy XVI,Source,"You gain access to the Ability Window. It showcases your various skills, abilities, spells, supernatural powers etc... and allows you to train in their use in a mindspace. Furthermore, you now receive ability points whenever you complete quests, win a battle and level up. These points can be used to either upgrade your abilities, spells, supernatural powers etc... or buy new abilities, spells, supernatural powers... etc. Finally, you can at any time and without any cost reset the points invested in your upgrades and what you have bought to buy other abilities, upgrades etc..."
11,,Free,Quests ,Final Fantasy XVI,Source,"You can now receive quests from other people or taken from noticeboards. They can be as simple as delivering mushroom soup to customers to as difficult as slaying a challenging beast or helping a lost tribe. Regardless, you can expect to receive a reward appropriate to the difficulty of the quest as well as experience that allows you to grow stronger. You also gain a game-like window where you can freely check on your quests."
12,,Free,A Test of Faith,Final Fantasy XV Kingsglaive,Source,"In the distant past, when Astrals had a more prominent role in the world and the Starscourge was not so pressing a threat, Astral and man shared a much closer relationship than that which they possess today. A closer relationship does not necessarily indicate a more amicable one, but in comparison to the state of affairs now, there was certainly a greater deal of interaction between the two parties. It wasn’t unheard of either, for one to receive the blessing of an Astral.

Each Astral contains within them vast amounts of power – the power that the people of Eos calls magic was a gift bestowed upon man by the Astrals after all. Though many of the Astrals lie dormant now, awaiting the arrival of the Chosen King, it may still be possible to obtain a blessing from them, and in turn obtain the gift of magic.

In order to access these abilities however, you’ll have to submit yourself to the scrutiny of an Astral. Which one you choose is up to you...we’ve made notes accordingly on the six Astrals found in Eos at this time. Don’t worry, if you submit yourself to them, they’ll hunt you down sooner rather than later.

The nature of their magic is relatively simple – each Astral governs an element, and by withstanding their trials you’ll attain a basic mastery of said element, learning to wield it as a sword and as a shield. If you’re still curious, the Survey Team did indeed document a list of known Astrals. But while elemental magic is quite rare – really any form of magic is quite rare – there is still some possibility of growth, depending on what type of path you’d like to follow.

Naturally this will cost you a bit, seeing as the nature of these abilities goes beyond what one would consider as “natural magic” for a rudimentary mage in Eos. But of course, this was why the old man’s colleague had given you additional resources after all. You should find that the amount should suffice, but perhaps if it is necessary, you can submit yourself to further scrutiny to the Astrals and attain a greater boon?

The modifications of this line, once purchased, apply for every Astral that you’ve sworn service to. Might want to be careful how many Astrals you swear service to though...like we said, they don’t all get along too well with one another.

May be Purchased Multiple Times"
13,,Free,Impure Being,Generic Angels and Demons,Source,"Like any other hybrids, you inherited the supernatural power and energy from your parents, but, for a cursed being like you, this is both a blessing and a curse. First of all, starting with the blessing, as a hybrid born of Heaven and Hell, you have access to both the holy powers of your angel half and the infernal powers of your demon half, as well as having reserves to these two forms of energy and being as strong as any full-blooded angel or demon with a potential that surpasses the two races. But, with this also comes a curse: demonic energy and angelic energy are true antithesis and tend to counter each other in a violent way, now, imagine this happening all the time inside your own body. Due to your mere existence being self-contradictory, everytime you try to focus on strengthening just one of your sides or try to use both both angelic and demonic powers at once, the energies within you will conflict with each other, which at the start will causes strain and/or pain on your body but it can evolve to actually cause damage or even kill if you overuse them beyond your limit, so you need to maintain your opposite powers stable if you don’t want to suffer the consequences. Fortunately, if you keep the power of your halves around the same level and use one form of energy at once, you won’t suffer from these downsides, at least, not too much."
14,,Free,Infernal Heritage,Generic Angels and Demons,Source,"You’re the cursed child born from a mere mortal and an actual demon and, as such, you inherited the demonic power from your inhuman parent, making you able of using the same abilities, but in a limited way, as you’re now only around as half as you would be if you’re actually full-blooded demon. In a manner similar to what happens with Nephilims, training and time will help you to enhance your abilities, but your power and potential will always be limited due to your mortal half. Additionally, while you aren’t ageless, you have a long longevity, allowing you to stay in your prime even for a few centuries before starting to grow old, as the result of your enhanced physiology. Unfortunately, unlike what happens with other hybrids, your demon half is particularly influential over you and you’ll need to live with demonic instincts that will try to override any humanity you have."
15,,Free,Heavenly Heritage,Generic Angels and Demons,Source,"As a true offspring of an angel and a mortal, you inherited the divine light from your angelic parent and you’re even capable of using the same abilities, albeit to a lesser degree, as you’re now only around as half as you would be if you’re actually full-blooded angel. Training and time will help you to enhance your abilities, but your power and potential will always be limited due to your mortal half. Additionally, while you aren’t ageless, you have a very long longevity, on par with that of a primordial human, as a result of your enhanced physiology and your own holy power."
16,,Free,Valhalla Candidate,Fate/Legends - Voyage to Valhalla,Source,"Man used to be so much greater in these times, in ways so many can’t really begin to understand. As mystery faded with the fog of ages, so too did this potential but an average warrior is bound to at least have this. Physically you are relatively fit and well trained with the kind of hardiness to brave the cold Norse wilds. Your also capable of dealing with the cold much better, walking unimpeded through snowstorms with nothing but your pants on you. But there is so much greater potential within you.

You possess a set of 40 Magical Circuits, the kind to make you a capable Magus in more advanced times. In addition you have a, for now small, affinity for the unique magics of the Norse. Runes. You can understand their language and though you are a far cry from masters like Odin or Heroes like Sigurd, you have a basic enough understanding to replicate basic effects. Apply yourself and perhaps one day a Valkyrie will come for you."
17,,Free,Child of Akatosh,The Elder Scrolls: Dovah,Source,"Calling Dragons the Children of Akatosh is a bit misleading, as it possesses incorrect connotations. It would be more accurate to refer to them as Shards, the broken off splinters of the mighty oversoul of the time god. But all of that implies that the soul can be returned back to its original state, to have the thousands of shards join together as one. See, whenever you slay another Dovah, you will absorb its soul into yourself, adding it's knowledge and power to your own. This could vary from dragon to dragon, from entirely new Shouts or enhancing your understanding of existing ones, to gaining their understanding of how to utilize their reptilian form for combat, to just claiming their memories as your own. Though this should only apply to the Dovah found here, it can work on dragons from other settings, just with a lesser effect."
18,,Free,Laplace Factor,Mushoku Tensei ~ Jobless Reincarnation ~,Source,"While magical reserves are determined at birth, there are some exceptions like those with a Laplace Factor which allows them to grow and expand their magical reserves to a substantial amount during their childhood. As a jumper you also have this Laplace Factor dialed up to eleven and it won’t disappear once you’re grown. It lets you expand your magical reserves infinitely by simply depleting your magical reserves and allowing it to recover. It also grows with time doubling in amount every year even without doing anything. Furthermore, you also lack the disability of being unable to wear Battle Aura like most beings that have the original Laplace Factor possess. Should you have multiple types of energy pools, this would allow you to combine it into one energy pool that has all their advantages and devoid of their drawbacks though you can split them whenever you wish. By default you have an initial Mana Reserves that would allow you to cast a dozen Beginner-Rank Spells before being exhausted and as a bonus your children and their descendants also gain this version of Laplace Factor. Also if you possess any abilities that provide infinite Mana or extreme Mana regeneration or any similar abilities that stop you from properly using this perk, then you can toggle those abilities/perks on and off."
19,,Free,Psychic Abilities,Horus Heresy: The Primarchs,Source,"You are, even before any other purchases, a very strong psyker. However, your powers most likely manifest as latent abilities you have no particular influence over, and many Primarchs showed an... aversion to psychic powers that further limited their ability to develop them. If you were to deliberately apply yourself, learn to unlock your psychic potential and learn to safely use it, you could easily become an Alpha psyker at the very least. This is your raw potential and barring any other purchases in jump will begin entirely latent and untapped by yourself though it remains entirely possible you can awaken your gifts and reclaim your birthright as a mighty psychic demigod. Constant exposure to the Warp or the gifts of the Dark Gods may even empower you further..."
20,,Free,Aetherius’ Gift        ,Elder Scrolls Online – The Vestige,Source,"You, like everybody else, have magicka. It’s basically mana, a form of energy that mages use to power their spells. You have enough to be an average mage, but with training it could increase."
21,,Free,Hybrid(Tier 1),Marvel: Age of Krakoa,Source,"You’ve got a little something extra in you, a parent or grandparent who was something other than Earthling, or else were modeled on the same by your creator, or you’ve been infused with the essence of such a being. An alien, or some kind of supernatural creature. For free, you can have something akin to Abigail Brand’s half-alien heritage or the Braddock Family’s otherwordly ancestry, something with minor cosmetic effects or a negligible effect on your abilities. "
22,,Free,Connection to the Traveler,The Destiny Universe,Source,"To date, there is no known method of utilizing the Light except through a Ghost’s connection to the Traveler. This is why, even though Risen whose Ghosts have been destroyed could still utilize the Light, once they run out of their internal stores, they cannot use it any more, as they lack a Ghost to recharge their Light. You act as this connection, as the generator to your Risen’s battery. In future settings that lack a Traveler to connect to, you yourself will be the source of Light, ensuring that no matter what, as long as you exist, your Risen will always have the Light."
23,,Free,The Light of Creation,The Destiny Universe,Source,"The Light is a paracausal force whose laws are superordinate to material physics. Whereas normal fire requires heat, fuel, and oxygen to burn, paracausal fire can simply be willed into existence. Purchasing this perk grants you access to the Light along with a basic understanding of how to shape and use it at a beginner’s level. The Light, effectively magic, was the first force encountered by Humanity that demonstrated that the universe was governed by forces much more diverse than they ever could have imagined. While the Light exists in all things, its greatest source is the Traveler: a cosmic entity associated with creation, cooperation, and altruism. As a Lightbearer, you are able to draw on the Light of the Traveler through your Ghost.

The Light is an extremely versatile tool. With it, Guardians are able to exceed the greatest feats of human achievement, with examples including holding a building on their shoulders, winning fist fights with dragons, and wearing street clothes in lieu of armor plate. Merely having access to the Light grants you vastly increased strength and agility. By channeling your Light through weapons and armor, you can bolster their effectiveness with your own strength—allowing otherwise ordinary firearms to kill gods. Beyond this, the Light can be shaped into any physical object its wielder can imagine to form weapons such as swords or spears—with some even being able to create simple machines, like handguns.

The Risen typically wield their Light in the form of three elemental manifestations based off of fundamental forces—those being Solar, Arc, and Void Light, which are explained in more detail in the Paracausal Perk tree.

Beyond its active uses, the Light provides a wide range of innate defenses to its wielders. As a paracausal force, it is impossible for even the Vex to accurately simulate a Guardian’s actions—leading to the oft-repeated aphorism that Guardians make their own fate. As such, anything is possible for a sufficiently skilled, and powerful wielder of the Light. What many—even many Guardians—do not know is that there is more to the Light than just the three major spectrums. While all Guardians tend to favor certain specializations, schools of thought, and classes of abilities, the Light is, in many ways, limitless. The Traveler used it to terraform worlds, the Ghosts use it to heal and resurrect, the Warlock sage Osiris used it to clone himself and explore the infinite Forest, Ikora Rey could fly, and all Guardians become somewhat adept at using it to emote. The sky isn’t the limit here, but rather the lowest point at which one can exist. Given time, study, and experience, your mastery of the Light could transcend anything the Last City could ever dream of."
24,,Free,A Heroic Saga,Scion ,Source,"As mentioned earlier, initially the majority of Scions are not far above normal humans in terms of physical capability. While there is a tendency towards good health or at least hardiness, for the most part they are little changed at a first glance. Their divine powers are relatively modest. It is at this level that it is possible to pass through as much of a solid substance as a single step could take you, negate a single act of harm against the innocent or heal or inflict wounds miraculously as a kind of lay on hands effect. But in addition to those the mundane abilities and aspects of the Scions are elevated by association with their divine parent, inheriting a spark of Ptah’s wisdom or Aphrodite’s beauty. Even now a particularly fit Scion could pick up a car and hurl it hard enough to scatter thugs like bowling pins, while a particularly charming Scion could out short commands like “Freeze!” and a particularly intelligent one’s mind could function as a mental calculator as long as they know all the figures involved. The Purviews and defining abilities of your parent will define which abilities or Purviews are easiest for you to master, but all can be improved with time and great deeds."
25,,Free,Magic Circuits,Fate/Faerie Britain,Source,"Solomon never existed in this timeline, so how did you end up with Magic Circuits? Maybe you’re from outside Faerie Britain, or maybe you’re a freak of nature whose metaphysical makeup just happened to result in these, but you have a lot of Magic Circuits—and high-quality ones, too. It’s more than enough to put your potential in magic above that of Tohsaka Rin in the modern era of Proper Human History, at least in terms of raw mana output."
26,,Free,Runes of the Fallen,Elden Ring - Altus Plateau,Source,"When the Elden Ring was shattered, countless fragments scattered across the Lands Between, and were taken in by those that lived there. From now on, you shall absorb the runes of those whom you slay as well as those who fall around you, to be used at your discretion. Whether you turn them into strength or use them as currency, know that the stronger the target, the more runes it will possess."
27,,Free,Attribute,A Wild Last Boss Appeared!,Source,"The seven Attributes represent seven fundamental forces in the world of Midgard that everyone is attuned to. The attunement to an attribute represents both a strength and a weakness. The being in question will become more resilient to damage that comes from their attribute or sources that their attribute is strong against, but in turn they will become weaker and less effective against those of an attribute they are weak against.

The spells that one gains here will usually be based around these attributes they are attuned to, as well as their general skills will be manifested in some way related to these attributes. However, it is not impossible to acquire powers beyond your starting attribute, but it should be considerably harder for most individuals. Finally, the attunement to an attribute also usually reflects in some ways in their user’s personality. Those attuned to the Fire attribute are usually stubborn and prone to rushing things, those with the Moon attribute can be quite wicked and so on.

Pick your starting Attribute for a free from the following. 

-Wood: The Wood Attribute is associated with the control of nature, primarily by the means of manipulating wood and plant life, although it can also extend to controlling the wind, as it is considered a part of nature. It is strong against the Earth Attribute.

-Fire: As one would expect, the Fire Attribute relates to the manipulation and creation of fire and flames of various effects. It wouldn’t be entirely wrong to say that it is also the most attuned to direct destruction. It is strong against the Metal Attribute.

-Earth: The Earth element is related to the manipulation of the terrain and landscape. It can manipulate the ground if it is soil, but not if it is stone, as that is the domain of the Metal attribute. At its most extreme levels, it can also control gravity.

-Water: The element that controls water, as well as ice. It is also the element that contains the most powerful healing spells, including the ability to resurrect the shortly deceased. It is also the main attribute of the Goddess and her avatars. It is also useful against the Fire element.

-Metal: Also known as Gold element. It is associated with the manipulation of metallic and precious ores, as well as with reinforcing physical substances, such as making one’s body extremely more durable. It is the best counter against Wood Attribute.

-Moon: The Moon Attribute is mainly attuned to darkness and shadows. Its powers are ones based on debiliting one’s enemies, through a variety of effects including curses and other debuff type spells, and canceling their spells. It seems to be especially effective when it comes to interacting with Divine Magic.

-Sun: The Sun Attribute is based around light. While it is similar to the Fire Attribute, enough that its representing Ouroboros may get angry for how much the two are often confused, its powers are different. The Sun Attribute is rich in support skills, allowing those attuned to it to enhance both their allies and themselves to much greater levels."
