,,CP Cost,Name,Jumpdoc,Chapter,Description
,,Free,Wizard,Baldur's Gate 3,Modus,"Wizard, you alone have the potential to reach the pinnacle of all creation with your shrewd mind and arcane potential. No one can even become as half good as you are, when it comes to matters of the arcane. Although some may call you frail or weak, in time you may compensate for all your weaknesses with the appropriate spell or ritual. Temper your ambition with wisdom though, this path has been the doom of many wizards. Just ask poor Karsus."
,,Free,Ranger,Baldur's Gate 3,Modus,"You are the perfect tracker, hunter, and protector that keeps civilizations safe from threats both within and outside. Whatever your preferred ground for prowling is, you are a master of it and can take the meaning of ‘use environment to your advantage’ saying to the next level. Few can match your pace in the wilds and difficult terrains, and in terms of subtlety and expertism, only rogues and bards may exceed you in sheer versatility."
,,Free,Paladin,Baldur's Gate 3,Modus,"You swore an oath. This oath binds you to follow a certain path of life and tenets. But if you are able to keep to your word, few can match your divine power combined with your already great martial prowess. Though be mindful of your oath’s tenets. If you break them, you may lose access to your divine abilities unless you restore your oath back. Or you could go down a darker path for more power. You may choose to devote yourself to service of a god or you could just use your oath as a source of your power."
,,Free,Druid,Baldur's Gate 3,Modus,"You claim no mastery over nature, rather you are an extension of its will. You can call pure force nature to command elemental forces, summon aid, heal wounds and even shapeshift into bestial forms. You are nature’s guardian and fury both. You are probably a tree hugger though."
,,Free,Cleric,Baldur's Gate 3,Modus,"Gods are forbidden from meddling in mortal affairs. But that is where you come into play. You are a devoted of a certain deity which you must pick, when you first select this class. The god or goddess you serve grants you power through your faith and beliefs, allowing you to perform miracles of any kind. You are truly the embodiment of divine magic."
,,Free,Bard,Baldur's Gate 3,Modus,"Scholars, skalds or scoundrels, you have a way with words so that you can even bend reality to your whims. Your talent in manipulating the Weave comes from rhythms, words, songs or even dances. You can inspire your allies, manipulate your foes and pretty much do anything a magic user can accomplish. Not only that, but your skill repertoire is also quite vast too. You are the most versatile class there is, a jack of all trades truly."
,,Free,Unique Magic,Twisted-Wonderland ,Modus,"Your very own made-to-specification spell! Proceed to the Unique Magic Builder.

Note: Magic Builder in Associated Jump Document"
,,Free,Local Magic,Twisted-Wonderland ,Modus,"A power to make miraculous things happen, however with a cost in burning mana with a byproduct in Blot, which is like exhaust.

Post-Jump you’ll be free of Blot accumulation, but in the meanwhile, you’ll have to be mindful of it."
,,Free,Cantrips,Changeling The Dreaming,Modus,"Cantrips are supernatural abilities available to Changelings that can be activated through the use of Glamour, and require the combination of Realms and Arts while being invoked through Bunks. You will receive 600 Glamour Points to help you determine what your starting abilities are. CP can be converted into GP at a rate of 1:2.

Note: Cantrips initial build in associated jump document"
,,Free,Force Techniques,Wild Arms 2,Modus,"Everyone in this world possesses a special ability known as Force power, it is a form of psychic power with no relation with the power from a galaxy very far away. During combat or stressful situations, a being’s Force level rises up in proportion with stress and focus and unlocks access to spells or special abilities, the higher your force level is at the moment, more powerful abilities can be invoked; Using those techniques or spells will drain mental or physical stamina and being exhausted will keep your force techniques from activating.

Force users usually develop a personal power uniquely suited to them through their experiences, these force abilities are capable of some strong and unique exoteric effects like speeding yourself or your tools; Expanding the effect of a curative to several targets or performing undodgeable attacks. In exchange for these unique effects, these powers or “force abilities” are much more exhausting than any other actions. You can choose an original theme for your force abilities or pick one similar to the heroes of the story. You start capable of minor tricks and a moderate useful technique with your force ability but with time, you can get much more experienced with your ability."
