0,,CP Cost,Name,Jumpdoc,Chapter,Description
1,,Free,Monk,Baldur's Gate 3,Destruction,"You are able to tap into your inner ki, and with this your body itself has become your weapon. When channeling your ki, few can match your combat prowess, defense ability, speed, deftness and subtlety. Be careful of how you spend your ki reserves though, your prowess drops heavily without access to it."
2,,Free,Fighter        ,Baldur's Gate 3,Destruction,"Some say fighters are the most basic of all classes. They cannot be more wrong as no other class may hold the pure mastery of combat itself that fighters possess. You are a master all weapons, armor and all forms of fighting. Both ranged and melee, there is no one better than you. Just in case be ready for the ridicule, if you are planning on picking human as a race."
3,,Free,Barbarian,Baldur's Gate 3,Destruction,"Your power comes from the fire of primal rage burning within you. Your source of rage may vary, but the important part is that you are angry and will SMASH any opponents that stand in your way. You are the most durable class there is and your hurts pack quite a punch as well. Raise your weapon barbarian and break anyone who dares obstruct you."
4,,Free,Vampire Killer,Castlevania - Aria of Sorrow,Destruction,"What you hold in your hands now is the ultimate enemy of the night. Sure, it looks like an ordinary whip...not necessarily something you’d picture in lieu of a sword or a gun, right? Don’t be fooled – this is the family heirloom of the Belmonts containing a vengeful spirit who detests all creatures of evil and darkness. A lash from this whip will undeniably strike and damage beings aligned to the unholy or the night – everything from vampires, zombies, giant monsters, you name it. Regardless of armor, size, or physical durability – the Vampire Killer will be able to wound and eventually kill it. While best reserved for creatures like Dracula and his ilk, the whip still has some effectiveness against other beings and even a few humans, though its holy scouring doesn’t do much to ordinary folk or other ‘holy’ beings. It's also mercifully easy to attach a chain or spikes or even magic to it – the whip doesn’t seem to resist modifications or further enhancements.

Requires Belmont to Purchase"
5,,Free,Divine punishment... kinda,Grimms’ Fairy Tales,Destruction,"You get the ability to once per jump chuck a chair at a person from the literal throne of god in heaven. This means that from the target's perspective a chair will just appear and hit them squarely in the head. This will always hurt, never kill and be hilarious every time."
6,,Free,Elemental Attunement ,Honkai: Star Rail,Destruction,"Upon entering this world, you will be attuned to one of the seven elemental types of your choice. The types are: Physical, Fire, Ice, Lightning, Wind, Quantum, and Imaginary. At this level of control, you will be able to amplify a weapon or body part with energy of your type when attacking, enough that it adds a reasonable amount of firepower to your arsenal and would certainly give you the edge over anyone unable to wield a type."
7,,Free,Charged Attack,Stranger Of Paradise - Final Fantasy Origins,Destruction,"You are capable of charging your attacks,spells,powers etc... so that when you finally go on the offensive you will deal around 3 times as much damage as you normally would have."
8,,Free,Soul Burst,Stranger Of Paradise - Final Fantasy Origins,Destruction,"After knocking a foe off balance such as by damaging them you can instantly defeat them either lethally or non lethally with techniques that tend to take the forms of throws,brawling and wrestling moves for some reason,this move also transforms their body into blood red crystals that can you can easily shatter. If they are as strong as you are, say a boss level opponent they will « merely » take significant damage so around 20% of their health at the very least."
9,,Free,Melee Weapon,Horus Heresy: The Primarchs,Destruction,"You have a melee weapon that may be anything from a knife, a spear, a hammer, a sword, or anything like that. By default, your weapon is so large and heavy that even a Space Marine would struggle to wield it, though of course you will likely find it easy to use. 

Note: This May be a Weapon Import if you Wish"
10,,Free,Authority Of The Beast,Fate/Tale Of The Beasts,Destruction,"A skill all Beasts have, it’s an Anti-Humanity skill that enhances your capability to harm existences that are classified as humans. Even if you were only as powerful as a regular human, you would be tearing through humans like they were made out of wet tissue paper.

In future jumps you can choose a species or group for this perk to affect"
11,,Free,Celestial Radiance,Hazbin Hotel,Destruction,"Demons are lesser, mortal souls or even Angels unable to live up to their potential and the expectations of Heaven- it stands to reason that lesser beings fall more easily to righteous wrath.

Your magic burns away at their fell powers, in the most basic terms the more powerful you become the more effort and power a demon will need to expend to hurt you- and by the same token the more powerful your energy the less effort that will be needed to harm demons even those that could normally be considered your equals."
12,,Free,Dark knight,Final Fantasy XI,Destruction,"Dark Knights are melee damage dealers specializing in the use of Great Swords and Scythes. While they have a respectable rating in Elemental Magic, the bulk of their magic usage comes from casting Dark Magic spells to drain or enfeeble their enemies."
13,,Free,Blackmage,Final Fantasy XI,Destruction,"Through devastating magic spells, Black Mages bring tremendous firepower to the battlefield. A Black Mage's job is simply to cast offensive spells and destroy enemies. Although they are known for their Elemental Magic, they also possess a few highly-valued utilitarian spells. While a black mage cannot attack from the front lines of battle their long range spells are feared throughout Vana'diel."
14,,Free,Skillchain!,Final Fantasy XI,Destruction,"A Skillchain is the result of performing a sequence of abilities such as Weapon Skills in a certain order with proper timing. When two attacks connect with a target in succession, a powerful surge of energy is released, inflicting additional damage to the target above and beyond what your weapon skill would normally be able to achieve on its own. You can now perform such skillchains in battle, and after this jump there is a chance that should you and others perform such special attacks quickly in succession you may trigger a skillchain to your target, dealing varying degrees of extra damage."
15,,Free,Tactical Points,Final Fantasy XI,Destruction,"Over the course of a battle every combat class builds what are known as Tactical Points or TP by participating, damaging opponents, being damaged by opponents or even some special skills accumulate TP, once your TP reaches a certain level it can be used to unleash a powerful attack called a Weapon Skill, these skills do much more damage than normal skills and can often turn the tide of a battle if used correctly. Some classes, such as samurai and dancer, rely on TP more than others but also have their own special skills because of it. You also now generate Tactical Points in battle and are able to perform weapon skills when it reaches a high enough level."
16,,Free,Magebreaker,Gods of Blood and Powder,Destruction,"A magebreaker is a Privileged who forsook his connection to the Else and gave up his incredible power to cast magic in order to become the opposite: something immune to magic. Magic fire won’t harm you, magic gusts of wind will leave you standing and you can see through illusions and step through wards. In close proximity you can shut off the connection of a Privileged to the Else entirely, making them unable to cast magic. Whatever level of Privileged power you’ve purchased, can be converted into being a magebreaker by giving up your magic out of your own free will. A magebreaker seems to be slightly stronger than the level of Privileged they were before. A subpar Privileged becoming a magebreaker would be immune to the magic of even a royal cabal member. A Peredii would still be able to get past that, so you’re lucky there’s not many left. Powerful Magebreakers, like the gurlish wolf who had been a royal cabal level Privileged before forsaking his magic can cast a net of nullifying power over a wide area, completely rendering his entire company of dragoons and crussairs immune to enemy magic and shutting down the abilities of enemy sorcerers.

Requires Privileged to Purchase"
17,,Free,Base Proficiency,RWBY,Destruction,"Things are about to get heated around here Jumper, with Kingdom spanning conflict on the Horizon. It’s for the best if you could actually hold your own in a fight. As such here a bit of a start to make it easier to keep yourself alive. With this Perk alone your roughly equal as capable in combat as Jaune Arc at the end of Volume 1, alongside knowing how to use your own Weapon and the basis for your own unique style. Training will of course see you improve but you at least won’t be a burden at the start. If you want to start with a bit more experience, there are some options to upgrade this Perk."
18,,Free,Limit Break,Final Fantasy VIII,Destruction,"When you're at the end of your stamina and are ready to collapse in battle, you can activate a special move called a Limit Break. Utilizing true magic, which normal humans can only perform in this situation, you unleash a devastating attack of your own style and choosing. Flying sword or martial arts combos, magical spells, supernaturally accurate shots, huge energy beams, a combination of any of these, and more are just examples of what can be done with a Limit Break. Sorceresses are exempt from the need for a Limit Break to use their true magic, and magic from outside of this setting is also free from this restriction."
19,,Free,Still More Fighting,Final Fantasy VII,Destruction,"This isn't a story about ordinary people, but one about strange and often messed-up individuals fighting for things they believe in. You're also going to need to be able to hold your own in a fight if you want to get involved and stand up for anything you yourself want to believe in. Even ordinary humans who haven't been through the SOLDIER program or touched by some other external power would be considered superhuman on modern day Earth when they're experienced enough.

While it will still pale in comparison to SOLDIER and some of the stronger monsters of this world, you start physically fit enough that you could lift and swing a weapon twice your size and weight without issue, durable enough to survive magical fire and bullets with minor wounds instead of major injuries or death from the get-go, and fast enough that dodging machine gun fire isn't too improbable for you. These physical abilities of yours will grow as you defeat stronger enemies, soon being able to lift something several times your weight and catch yourself from a thousand-foot drop without suffering a scratch. That in mind, you're not invincible or stand a good chance of surviving the deadliest foes without some gear. Having good armor, weapons, and Materia will serve you better than trying to fight giant robots with only your bare hands and grit.

Additionally, you have a unique fighting style tailored to you. Whether it involves wielding a large sword, martial arts, guns, or even something like an absurdly large shuriken, you have a specific weapon type and style that you can wield with ease against all logic. This doesn't provide any obviously supernatural or unique benefits...that's for what comes after this."
20,,Free,Warrior,Legends of Runeterra,Destruction,"Everyone must have a way to defend themselves. With this perk, you’re a warrior of exceptional skill, able to fight overwhelming numbers and mighty beasts with equal ease. Comes with peak human body and an increased capacity of improving your physical abilities, as well as competence in all weapons and reducing the weight of any armor you wear."
21,,Free,Your Volund,Records of Ragnarok Gauntlet (Humans),Destruction,"Ever had a weapon you are particularly fond off? Than you may Import them in this Option. This single weapon will be capable of harming and killing the divine but does not have a Valkyrie within it. Whatever abilities they had or you gave them will also vanish for the duration of this Jump... unless you decide to replace that Items ability with your Greatest Quality. The two are mutually exclusive to one another and you may not have a Greatest Quality and a Volund with Imported Special capabilities. Even than the power that may remain with the Imported Weapon applies to the same rules. If you Partner with a Valkyrie they may become the Item or enter it as a consciousness while granting their power.

Note: Let’s say you got One For All from MHA and Boosted Gear from High School DxD which you Imported to also be the Infinity Gauntlet. You can EITHER have One For All and a Gauntlet that LOOKS like Boosted Gear but cant do any of its powers OR Boosted Gear with no One For All. If you Import Boosted Gear your not getting the Infinity Gauntlet however. You ARE getting Boost and Scale Mail though."
22,,Free,Prismatic Scales ,Super Dragon Sword ,Destruction,"Your Wyrm is now at the scale of an Ancient Dragon, large and powerful enough to envelop a castle in its breath. In addition, your Wyrm Familiar spell now fully matches the power of your breath, and the Wyrm itself can now Breath Change at-will without expending any mana.

Requires Wyrm Familiar(Super Dragon Sword), Breath Change(Super Dragon Sword), Intense Breath(Super Dragon Sword), Fell Breath(Super Dragon Sword) and Breath of Death(Super Dragon Sword) to Purchase"
23,,Free,Starsunderer,Super Dragon Sword ,Destruction,"You are creating a sword-shaped tear in the Rift - any portions of your foe that are struck by this are sent directly to the Rift, resulting in sickeningly clean cuts that more or less ignore physical defenses. It’d require vitality comparable to a God or an Emissary of Shadow to shake this kind of wound off, and they would not do so easily. However, the backlash of the Rift energy will constantly drain your health and mana down at an alarming pace while you wield it this way.

Requires Psychoblade(Super Dragon Sword), Tearing Rift(Super Dragon Sword), Sword Burst(Super Dragon Sword), Portal Jaunt(Super Dragon Sword) and Psychic Battalion(Super Dragon Sword) to Purchase"
