0,,CP Cost,Name,Jumpdoc,Chapter,Description
1,,Free,Celestial Kingdom,Valkyrie Crusade ,Domain,"Of course, you’ve got to have somewhere to stay while in this universe and where better to stay than your own kingdom? This large floating piece of land is mostly empty at first, save a basic castle, requiring you to fill it with buildings at your leisure. Measuring 5km by 5km, this has plenty of room on it for construction. Post jump, this will be attached to your warehouse via a stone portal. The kingdom will fill in any ‘empty spots’ with NPCs to replicate the feel of an occupied city. Even when connected to the warehouse, you can choose to keep time flowing within the kingdom."
2,,Free,Teleport Gems ,Wild Arms 2,Domain,"A shard of a special crystal similar to the one that enables communication worldwide, this one enables transportation. Holding one shard of it allows a few people to teleport to a city or town visited before. You have a small amount of shards and will find a couple more once in a while inside your warehouse."
3,,Free,Catasterism,Virgil’s Aeneid,Domain,"The most illustrious of privileges has been granted to you, jumper - that of immortality through the stars. In all future jumps in which stars are seen in the night sky, a constellation will be retroactively added, named after you and shaped (vaguely) like one of your defining characteristics or symbols. The origin of its name will be long lost to time, but of course, you’ll know."
4,,Free,Inventory ,Stranger Of Paradise - Final Fantasy Origins,Domain,An inventory that allows you to carry an almost limitless amount of items in a subspace that makes them weightless. You can also quickly use healing items when they are inside your inventory.
5,,Free,Fast Travel,Stranger Of Paradise - Final Fantasy Origins,Domain,After visiting a location you gain the ability to fast-travel to it. This allows you to get there in a mere fraction of the time it would have normally taken you otherwise.
6,,Free,The Speed of (Paracausal) Light,The Destiny Universe,Domain,"While there is no known limit to the flight speed of a Ghost, it is at least known for certain that they are capable of levitating in Earth’s gravity, forever, without any need for thrust or propellant. Extrapolated, this means a Ghost at minimum is capable of accelerating through space at a rate of 1G forever, meaning that the speed of light is not a distant goal as much as it is a minor challenge to be reached. Taking into consideration the many planets and objects in the solar system whose gravity is stronger than Earth, and their minimum acceleration grows higher, and the time necessary to approach lightspeed grows shorter. By taking this perk, unless you are damaged or weakened, you are capable of the same thing. Furthermore, you shall be capable of reaching those same luminal velocities in a fraction of the time as other Ghosts, and due to the fact that you are reaching these speeds through paracausal means, things like time dilation or deceleration are no issue for you."
7,,Free,Domain,RWBY: Age of the Gods,Domain,"A deity like yourself should have a place to rest and be contacted in. This Domain reflects who you are as a God, maybe being a desolated wasteland if you represent destruction or being an idyllic Oasis for a God of Light. You can place this Domain anywhere on a World you are on, allowing others to know where it is automatically. Here they will feel close to you and may come to you with offerings or requests. You can place a Domain on any World where you are recognized as a God."
8,,Free,Main Base,Out of Context: Gamer System Supplement,Domain,"At the start of the Jump you will gain the primary uniter spawner from your game such as a full
base or a magic throne.

Requires Army Points to Purchase"
9,,Free,The World’s Stage,Super Dragon Sword ,Domain,"Thus let us be actors! You are capable of expending enough mana that even a veteran adventurer would be spent in order to create a massive enchanted “pocket space”, one that is related to either one of the Historic Moments or one of your Legends. While this space can be escaped, you have a great amount of knowledge of what hazards and benefits this “Stage” holds.

Requires Hero’s Ballad (Super Dragon Sword), Condemnation(Super Dragon Sword), The Never-ending Saga(Super Dragon Sword), Moments Occasion(Super Dragon Sword) and The Hero is Back(Super Dragon Sword) to Purchase"
10,,Free,Principality,Super Dragon Sword ,Domain,"As the ruler of angels, you could be mistaken for the Creator. Within you is a “Heaven”, a place where you can store normally summoned angels and items with a simple ritual., both of which can be called upon with little effort. These angels can also have damage redirected to them by “On Angel’s wings”.

Requires Wandering Light(Super Dragon Sword), Holy Chorus(Super Dragon Sword), Sky Painters(Super Dragon Sword), On Angel's Wings(Super Dragon Sword) and Archangel's Favour(Super Dragon Sword) to Purchase"
