0,,CP Cost,Name,Jumpdoc,Chapter,Description
1,,Free,COMP + Demon Summoning Program,Shin Megami Tensei II,Magitek,"Let’s make this clear: You will likely not get very far in this world without this. This is a wrist-mounted computer that looks like a video game accessory from the late 80s. It is able to hook itself to and interface with most technology in this world, but doesn’t have any special functions or abilities...well. Except for one, given to you by a mysterious fellow in a wheelchair. Before we get to that, you may import any personal device – a phone, a PDA, or so on in place of your COMP. So long as a normal human can carry or wear it, it’s fair game.

This is the Demonic Summoning Program that helped turn this world upside down so many years ago, letting you understand the language of demons and speak it easily in turn. Should a demon decide to willingly side with you whether through intimidation or diplomacy, you may store that demon within a ‘slot’ on your COMP and then summon it by fueling it with Magnetite. The demon will obey your commands so long as the COMP is functional and Magnetite is supplied to their forms, otherwise they will dematerialize back into storage or begin to steadily take damage from ‘starving’. You may store up to twelve demons at a time as a freebie and they will act as followers, though see Notes for some details on how this interacts with future jumps. Post-jump, you may recruit Demons of other worlds this way, though take note that swapping out a non-Shin Megami Tensei Demon for a ‘slot’ will send it back home unless you took the upgraded Compendium."
2,,Free,Map Scope,Wild Arms 2,Magitek,"This device can help guide you through this wide, confusing world, it shows a map of the whole word or just your surroundings with your position marked on it. It displays only certain areas and towns, but is good for learning the terrain or your current position, when used with a Teleport Orb, this item lets you search the world to discover new surprises since it still contains many ruins that have yet to be explored.

The device never runs out of energy. In future worlds, it can be updated with other maps or just start mapping a new place you discover, your position will always be highlighted on it."
3,,Free,Advanced Relic Machine,Wild Arms 2,Magitek,"This refers to any piece of lost technology, though most commonly refers to the special weapons or firearms found in ruins. You can design and start the jump with your own ARM.

Examples of some ARMs from the series: Hand Cannon, Prism Laser, Rocket Launcher, Twin Orbs (Twin attack ""bits"" that encircle an opponent and fire multiple times), Bazooka, Phazer (Named after the Star Trek weapon), An energy sword, light single or twin pistols, shotgun, rifle with a bayonet blade or a rifle gunblade."
4,,Free,Your Ghost,Destiny: The Guardians,Magitek,"Ghosts are small, sapient machines created by the Traveler shortly after the Collapse. Their sole purpose is to locate and resurrect deceased individuals capable of wielding the Light and to support them in combat. When a Ghost revives their Chosen, they are bonded together from that point forward. For a Guardian, their Ghost serves as a companion, scout, librarian, and mechanic, waking ancient machinery and cracking ancient codes. Ghosts can support Guardians by performing certain actions such as illuminating darkened areas, repairing technology from the Golden Age, hacking into machines, informing Guardians of incoming hostile threats, calculating complex enemy behaviors, and providing communications. Most importantly, Ghosts may revive Guardians from death. As long as the Ghost survives, and barring special circumstances, Guardians are effectively immortal and may be resurrected fully intact from any death without consequences. Ghosts may also repair any injury a Guardian suffers in a matter of seconds. Post jump if your Ghost is killed, it will respawn 24 hours later as long as you are alive.

You may freely design the personality of your Ghost, by default they have a near unshakable loyalty to you, having spent centuries searching for you."
5,,Free,Demon Form,Demon: The Descent,Magitek,"Your demonic form is a reflection of the purpose for which the God-Machine created you, warped by the feelings and experiences you’ve had since falling from grace. Each time you increase your Primum (the “power stat” of demons) you may reset it. You start with one Modification, two Technologies, one Propulsion and one Process of your choice; these will be discussed further below.

Modifications are permanent and generally defensive or offensive modifications to the demonic form. A large blade growing from one arm, or a built-in EMP field. Claws and fangs, or the ability to sense angels. Mental resistance, or inhuman reflexes.

Technologies are mostly sensory or energy projecting modifications. Resistance to fire, electricity or similar elemental effects. Sonar, some sort of liquid physiology that lets them shapeshift in small ways, or an appearance that provokes glory and terror. Mind reading, or functional invisibility.

Propulsions are modifications that help demons get around. They can be as simple as extendable legs, wings and a grappling hook. Or as advanced as subsystems that let the demon phase through solid substances, teleport within line of sight freely, simple enhanced innate speed or spatial distortions that let the demon pass through small spaces or be so thin as to be invisible.

Processes are highly specialised modifications that allow a demon to fulfil its intended purpose. Wires that can steal memories. A superheated core that lets the demon rain fire and lightning over a nearby area. Rapid regeneration. An aura that deconstructs nearby buildings and objects at will. The ability to temporarily become pure electronic data, an eliminator cannon that launches explosives or being made of nanomachines that can create objects and simple machines from the demon’s body-or split apart to mitigate damage. "
6,,Free,Star of Lucis,Final Fantasy XV Royal Edition,Magitek,"Audi R8 Star of Lucis, Prince Noctis's 20th birthday present, honestly he won't use this and in a week no one will know what happened to this, I leave this in your hands Jumper or your warehouse, it's a very fast car with top speed of 330 km/h, the need for fuel has been removed and the bodywork has been strengthened, it's not a Regalia but it's a beautiful car, I will leave a Fiat for dents and scratches in two hours it will be brand new, internal problems will take six hours, one day if it's destroyed but if you just throw it in limbo it only will be restored after a year, be careful with my present Jumper or you will regret it. It only comes in black, handsome black."
7,,Free,Primarch Armour,Horus Heresy: The Primarchs,Magitek,"The average Primarch (if there can be such a thing) wears armour that is similar to Power Armour scaled up to Primarch size. You are free to customise the aesthetics and strongly encouraged to, as no two Primarchs (except Alpharius/Omegon) wore similar armour. 

For +200 CP, your armour is as protective as Power Armour. The free level offers total bodily protection equivalent to Artificer armour, capable of shrugging off shots that would penetrate even Power armour.

Your armour has a Conversion Field generator in it, which projects a moderately powerful personal-scale forcefield that converts kinetic energy into largely harmless flashes of light – this can blind an enemy foolish enough to try to strike you. Alternatively, you can have it contain a forcefield with a similar protection level as a Conversion Field, in case you wish for a different function. 

Note: This May be an Armour Import if you Wish"
8,,Free,Universal Compatibility,The Destiny Universe,Magitek,"To date, there hasn’t been a single computer a Ghost has been unable to hack into. More complicated ones with more complex programs may slow them down, but it is only a matter of time before a Ghost breaks the defenses of any given computer they’re trying to break into - be it Human or alien. You now have that same ability - no matter the world, no matter the design, you can hack anything so long as you’re given the time you need to do it."
9,,Free,Ghost of the Traveler,The Destiny Universe,Magitek,"At the end of the Collapse, the Traveler created the Ghosts—mysterious drone-like entities meant to seek out those worthy of wielding the Light from amongst the ancient dead. Taking the form of a floating, paracausal supercomputer, the Ghost is the first thing every newly risen Lightbearer sees in this world, and this Ghost is yours. Serving as your link to the Traveler, this Ghost acts as the conduit through which you may draw upon the Light to fuel your abilities as a Lightbearer. While you can still wield the Light without your Ghost, you will have no way to replenish your Light without it—making it a dangerous vulnerability for enemies to exploit. Fortunately, in most scenarios your Ghost won’t actually need as much protection as its small frame would imply given that it is difficult to hit by anyone but an exceptional marksman and virtually indestructible through conventional means—requiring either paracausal weapons or overwhelming firepower to destroy. Besides sustained artillery strikes and those lucky enough to possess devourer bullets, other Risen can break Ghosts with their own strength, and Hive magic has been known to drain the Light from Ghosts entirely—leaving them dead and their Guardian defenseless.

Beyond acting as a source of paracausal Light, your Ghost provides you with a highly potent—albeit situational—form of immortality. As long as your Ghost remains functional, it will be capable of resurrecting you to full health upon death, heal you from injury, and allow you to retain a youthful physique while appearing at whatever age you feel best reflects your identity. If you so choose, even basic necessities like food and water can be taken care of for you. Outside of combat, Ghosts can function in a wide range of scouting and support roles. Besides being able to fly, they are capable of vanishing from sight and can transmat short distances to get around. With their built-in communications systems, they can keep in touch with others across long distances and are excellent at cyber warfare to boot—hacking into almost anything with relative ease. Faced with mechanical issues, Ghosts are capable of breaking down solid matter into Glimmer and programming it on the fly—producing ammunition, repairing vehicles, and even constructing armor out in the field. With modification, some Ghosts are even able to rudimentarily use and shape their own Light, or even assist their Risen in doing so.

Now, though this Ghost is your partner, it is by no means your slave, and in many ways it is not even beholden to you—with Ghosts and Guardians occasionally coming into conflict with each other—sometimes even to the point of a Ghost outright abandoning their Risen by neglecting to take care of their physical needs or even refusing to revive them. This is in part due to the fact that each Ghost has its own, unique personality—just as wild and independent and varied as the many people it comes across. Thus, while it is up to you and your Ghost to decide your individual dynamic, know now that it will be able to make its own decisions once its personality is chosen.

Furthermore, each Ghost comes with its own shell which is believed to be shaped in accordance with the Ghost’s own personality as well as what they believe their Risen will be comfortable with. The Ghosts of the Last City, for example, take the appearance of mechanical drones owing to Humanity’s comfort with and reliance upon technology. By contrast, Lucent Hive Ghosts have taken on a more skeletal, ghoulish appearance, in accordance with the Hive’s almost universal reliance upon Hive Magic. This is not a hard and fast rule, as some Ghosts have been known to lose their shells, while others have taken shells given to them by others, with some even weaponizing their shells to directly assist their Risen in combat.

Surviving this Jump with your Ghost alive and intact will result in two major changes to the dynamic between the two of you. Firstly, from then on, should your Ghost be destroyed, its death will not be permanent, and it will instead be repaired, waiting for you on your next Jump. Secondly, because your Ghost is as much a part of you as it is an independent entity, it will—for the purposes of future Jumps—be considered an extension of yourself: Automatically imported without taking up a companion slot. It is possible to modify or upgrade your Ghost, but the knowledge and technology necessary to do so is beyond all but a select few in this universe. As far as the rules of your Jumpchain are concerned, as long as your Ghost exists, you are not considered ‘dead,’ and only the destruction of your Ghost and your final death (not counting other 1-Ups) are considered chain-failures.

Finally, any time you spend dead is not counted towards the time limit on your Jump. Waking up, immediately getting shot, and then letting your Ghost get captured for a decade before it escapes and revives you would still mean that you have ten years to go in your Jump—not ten minutes. If your Ghost is permanently separated from your corpse, this is not a chain failure, as Ghosts are fully capable of resurrecting their Risen even if their body has been disintegrated. The cost of such a death, however, is having to wait for the entire duration it takes for your body to either rot away or be deliberately destroyed. Additionally, in extremely dangerous situations, it may become impossible for your Ghost to revive you without help. While the exact reason for this is a matter of debate, it is speculated by some that Ghosts require access to neighboring timelines in which their Risen survives in order to revive them. Thus, sufficiently inescapable deaths may leave you unable to revive via your Ghost—to say nothing of the possibility of suffering an otherwise non-fatal fate worse than death."
10,,Free,Flying Tractor,Cultivation Chat Group,Magitek,"Eastern cultivators are famous for their flying swords, while Western witch cultivators use their brooms. But this is the modern day, and carrying around a sword or a broom all the time would be a little strange. So why not use modern farming equipment as your flying vehicle of choice instead? ...ok, maybe that’s not any less strange. But Senior White is a technophile, and he has almost as many flying tractors as he has disposable flying swords. You can have one for free, and it also comes with an invite to all future flying tractor races.

* Not actually mandatory, but why wouldn’t you take one?"
