0,,CP Cost,Name,Jumpdoc,Chapter,Description
1,,Free,Aurelian Gyrosensor,Disney Lorcana,Divination,"A complex housing for a shard of blue crystal that will point you the way of lost lore and adventure! In future settings, this can be recalibrated to seek other things of plot relevance, just be aware it doesn’t really indicate distance or the obstacles or hazards ahead."
2,,Free,Dynamic Intro,Wild Arms 2,Divination,Maybe this exists to help slow people recognize dangerous enemies? When facing strong opponents or something above a mook you will get a small intro about your opponent where their silhouette will pose in a red background and you will learn their titles or made-up nicknames. You can toggle this freely on/off.
3,,Free,Spiritual Awareness,Bleach,Divination,"By nature, all users present here are spiritually aware. An obvious fact for most, being spiritual races, but this makes it clear that even humans possess both spiritual senses and a slightly above average amount of spiritual power, as detailed above in the racial section."
4,,Free,Tech Savvy ,Gloryhammer,Divination,"The magic in this universe appears to be entirely technological in origin, echoes left behind by an ancient and vanished civilisation known as the Starlords. You are easily able to spot whether something is technological or magical in nature, as well as being able to determine precisely how advanced it is or the specific type of magic involved."
5,,Free,This is a Game?,Final Fantasy XV Royal Edition,Divination,"Yes it’s based on a Game but please try to take it seriously, I don't want to lose another Jumper, just like in a game you usually have a general idea of where your next objective is; unknown areas are mapped as they are explored, key points are marked too, if you have an area map or something like that, the area will be mapped instantly but key points may be missing depending on the map; Loot is automatic but can be done manually for “bonus”. You possess an eidetic memory."
6,,Free,Third eye,Gods of Blood and Powder,Divination,"See into the Else and see the different auras, letting you see the touch of magic on the world. Different colors correspond to different types of magic and spells and the luminosity around objects or people tells you something about their respective connection to the Else and how much power they gain from it. Opening your 3rd eye can be nauseating at first, but it let’s you see a gray and white version of the world colored only by magic."
7,,Free,Companionship,Final Fantasy IX,Divination,"You might be cast into a difficult spot – but you aren’t alone at the very least. The bond you have with your current companions is significantly reinforced. They might not agree with you over everything, but these are folks who won’t betray you no matter how tempting the offer.

But companionship is a two way street. When your companions are separated from you and need help, you’ll immediately feel a compulsion to head towards them, leaving you with a general direction and distance. You could ignore it of course, but that wouldn’t make you a very good companion now would it?"
8,,Free,A Shred of Self Preservation        ,Bibliomania,Divination,"You have a broad sense for danger allowing you to intuitively sense how dangerous something is just by looking at it, Its not a completely clear sense but you can tell when things are dangerous. It even gives you a minor sense of danger towards yourself allowing you to sense and react a fraction of a moment before it would harm you, sort of like the spider sense that Spiderman has just not as strong."
9,,Free,Stats,Out of Context: Gamer System Supplement,Divination,Every person has stats or ability scores which numerically represent that person's most basic capabilities in each of those attributes though each stat. These numbers are just the potential in a controlled environment and a person may be able to show their capabilities far beyond what the numeric values would lead someone to expect. How these scores are shown and represented will depend on the perks chosen for the system.
10,,Free,HUD ,Out of Context: Gamer System Supplement,Divination,"The Heads Up Display will dynamically show information that is relevant to you in the moment such as changes in status, rewards, HP and completion of a system task."
11,,Free,Marching Along,Gummi Bears,Divination,"You have a “map-sense” that is to say you instinctively know which direction you are facing and you have basically an rpg-like auto-mapper/mini map in your head. This automatically adds the lands and features that you see into a mental map.

This doesn’t reveal anything hidden unless you see the hidden entrances/tunnels etc. You are also a fantastic cartographer and you can draw nearly perfect maps from your mental maps."
12,,Free,Status Page ,Fate,Divination,"A natural boon given to all masters, you have the ability to view the abilities of your servant and other beings in the form of an RPG statistics page. While this does not give you any information you do not already know, it does put it into an easily understandable format. "
13,,Free,The Sight,Dresden Files,Divination,"The ability to see beyond the mundane veil of this world, and see the magical truth of all reality. The Sight is a powerful ability, as it peels away the layers of deception from whatever you look at and shows you the underlying truths about them. Whatever about them is relevant in magical terms, anyway.

The Sight is different for different people, but in general you get a deep understanding of people by seeing the ‘truth’ of them, dressed up in metaphor and symbolism. A serial killer might appear drenched in blood, or a brave protector of people look like a medieval knight in shining armor, so on and so forth. Whatever you look at, you get to understand and see several layers deep into them, at the cost of having to interpret the symbolism.

Don’t use this too lightly though, since you can never forget anything you see this way. And while it’s immensely useful, it can also be traumatizing. Additionally, this gives you the ability to Soulgaze people by looking them in the eye, which shows you a picture of them as they see themselves and as they are, once again through complex imagery and symbolism.

One good thing is that this comes with a sanity protection so no matter what you see, hear or feel, the simple act of perceiving it alone won’t make your brain leak out from your ears. Doesn’t do jack to protect you from any other consequences, mind you. Post Jump, you can toggle the “automatic Soulgaze” ability on and off so you can look people in the eye again."
14,,Free,The Sight,The Dresden Files,Divination,"There are a lot of names for this one, but they all mean the same thing. You've learned how to see the supernatural side of things, and can shift into it with just a bit of concentration. It tends to give you a sort of conceptual view of most things, but lets you cut straight through any veils or illusions and detect any magical energies dancing about. The one downside is that you can never forget anything you see with it - it'll always be as fresh as the moment you saw it for the first time. Considering the way a lot of nasty magical things look under it, there's a reason you'll want to keep the blinders on most of the time."
15,,Free,Wizard Tricks,The Dresden Files,Divination,"Being a Wizard has its downsides, but it also comes with a lot of perks. Your Sight has gotten stronger, meaning that you can look directly into someone's soul at a glance. Called the Soulgaze, whenever you lock eyes with someone you'll be drawn into a brief psychic exchange that lets you see them as they are and as they could be. They'll get to see you too, though, so it's not a one-way street. Doesn't sound like a plus? Well, your biology has also gotten a lot better at fixing you up, meaning you don't stop healing until you're fixed. That also means you're going to age a lot slower, and theoretically could live for centuries.

Requires Sight(The Dresden Files) to Purchase"
16,,Free,Focus of Mystery ,Warhammer Fantasy: Lizardmen,Divination,"The mind of a Slann is truly alien and they were said to be the only creatures capable of observing the Old Ones safely. This is perhaps due to their vast intelligence, their unparalleled magical power and the capability to perceive any and all magic that occurs around them. You can also meditate (sleep) and allow your spirit to freely roam and observe the cosmos unfettered by your bloated amphibian body.
"
17,,Free,Witchsight ,Warhammer Fantasy: Imperial Colleges of Magic,Divination,"While only able to manipulate his or her own Wind, any Collegiate Magister can sense the flow of the Winds of Magic as they wind from the polar Warp Gates toward the Great Vortex of Ulthuan. Their scintillating colors weave through your vision whenever you require them to, and the same will go for other “winds” or “flows” of magic wherever you happen to walk in days to come.
"
18,,Free,Adventurer Card ,Konosuba,Divination,"The sign of your adventuring nature. This is your Status Sheet, effectively. It denotes your level, statistics and any special abilities that you have. It’s also proof that you’re an adventurer and will give a good idea of how strong you are and how good an adventurer you are. If you ever lose it, it’ll appear right back in your hand the next time you need it. You use the card to level up with skill points in this world, so don’t let anyone else get a hold of it if you’ve got unspent points.

(CG Note: Requires The Way This Works - Konosuba first.)"
19,,25,The Observer’s Awareness,Final Fantasy XV Kingsglaive,Divination,"When people grow accustomed to a place, it becomes easy to overlook the routine details. Things stowed away in corners get ignored while odd details are taken for granted, all of these are just assumed to have always been present. But as an outsider, you don’t have these preconceptions that the locals have. The things that are off, things that are strange all become very clear to you at first sight. Your observational skills are largely improved as a consequence of this modification.

If you travel enough, there really won’t be too much that will surprise you, and for each time you take this modification, the range at which you notice things increases in addition to the speed at which you react.

May be Purchased Multiple Times"
20,,50,Soothsay,Changeling The Dreaming,Divination,"This Art represents the changeling's ability to see into the future. Depending on the realms used in conjunction, the changeling may be able to learn information about a person, place, or item. Though Soothsay is a common Art, those who practice it can sometimes enjoy a status greater than that of the average commoner, as it is an Art that comes naturally only to the most clever and contemplative of Kithain.

Rank 1: The most basic form of prophecy, this cantrip grants a momentary flash of insight about an object's ultimate fate.

Rank 2: Meddles in the affairs of fate slightly, granting a little good luck to an ally, or a tiny bit of bad luck to the enemy.

Rank 3: See the world from the perspective of an item that the user has encountered in the past, or knows the True Name of.

Rank 4: Determines an event that will occur in the future; no matter what happens, that event will occur, though the truth behind how it happens may be terribly unexpected.

Rank 5: A strange and complicated cantrip, this speeds up the ravages of karma, causing whatever is coming to someone, good or bad, to catch up to them much faster than expected.

Requires Cantrips to Purchase

Note: Each Purchase Provides the Next Rank. Begins at the Rank Bought in Cantrip Build.

May be Purchased Multiple Times"
21,,50,Character Sheet,Changeling The Dreaming,Divination,"Know the enemy and know yourself, then you shall always achieve victory. Well, in this dark and strange world, it’s quite difficult to predict what you may run into, but at least you’ll always know just what you yourself are capable of. When you need to, you can conjure a series of mental screens which detail all of your skills and abilities, as well as how much you have progressed in them. It also gives you a mental gauge of how much Glamour you possess and Banality you have accrued."
22,,50,Lore of the Land,Elden Ring - Caelid Wilds,Divination,"This land is filled with so much mystery and intrigue, to the point where it can be quite difficult to unravel it all. You, though, are up to the task, having a great skill when it comes to uncovering and, arguably more importantly, understanding lore and knowledge of the world. You will also receive short descriptions from most items you encounter, revealing just a bit more."
23,,50,Moment of Prescience ,Elder Scrolls Online – The Vestige,Divination,"You have developed a talent to foresee where large areas of effect spells or attacks are going to land. You’ll have a flash of insight, signaling the affected area with a reddish sheen, giving you a moment to get out of dodge. Of course you need to be able to escape fast enough, but I’m sure you’ll do alright."
24,,50,That Familiar Feeling        ,GrimGrimoire,Divination,"As you traverse the twisted corridors of the Silver Star, a strange sense of familiarity creeps upon you. You're sure you have never been to these places before, yet they feel eerily familiar, as if you've walked upon these halls a thousand times before. What guides you your steps is not some spirit or demon. The voice whispering secrets and dangers might not be true memory, but rather its habits.

This will not warn of uncommon dangers; of surprise ambushes and plots. But it might tell you where an ambush might happen, or any persistent threat in the area. Such impossible recollections will dog your steps no matter how far you run."
25,,50,Map of Mundus,Kult: Divinity Lost,Divination,"To attempt to plot a sensible, reliable course through the realms beyond Illusion is often a lost cause for any being frail enough to require such directions. But in case you like reaching beyond your grasp, here’s a piece of parchment somehow enchanted to mark out all landmarks, roads and destinations within a mile of you in old fashioned but very detailed ink-redrawing itself as you travel. It won’t show all the dangers on your way or describe buildings beyond two to three words, but at least you’ll know if the path-and some idea of where you are and where you’re going in realms as chaotic as Elysium."
26,,50,Lore of the Land,Elden Ring - Altus Plateau,Divination,"This land is filled with so much mystery and intrigue, to the point where it can be quite difficult to unravel it all. You, though, are up to the task, having a great skill when it comes to uncovering and, arguably more importantly, understanding lore and knowledge of the world. You will also receive short descriptions from most items you encounter, revealing just a bit more."
27,,50,/Check ,Final Fantasy XI,Divination,"The people of Vana'diel have to make their way through life battling a myriad array of monsters, inhuman beings, and just plain scary stuff on a daily basis. As such they have become very good at judging the strength of an opponent simply by looking at them, By taking the time to look at an enemy before a fight you can get a general idea of how strong they are compared to you ranging from ""Easy Prey to Incredibly Tough"""
28,,50,Lore of the Land ,Dark Souls: Covenants,Divination,"This land is filled with so much mystery and intrigue, to the point where it can be quite difficult to unravel it all. You, though, are up to the task, having a great skill when it comes to uncovering and, arguably more importantly, understanding lore and knowledge of the world. You will also receive short descriptions from most items you encounter, revealing just a bit more."
29,,50,I’ve Got a Bad Feeling About This,Arcane,Divination,"The hairs rising on the back of your neck, that feeling of being watched - you’ve learned to heed these gut-level warnings, and they’ve rarely steered you wrong. You have a kind of intuitive sense for imminent danger which will warn you of stalkers, surprise attacks or people tailing you, or less human dangers like a rusty catwalk or a planted bomb. You won’t know exactly what the danger is, but you’ll know to look out for it."
30,,50,"""Lore of the Land""",Dark Souls 3,Divination,"History has its share of secrets, which some would say are best left uncovered. You say differently, and this perk has enabled you to learn more about the world via the examination of items and relics that you may find on your travels. Simply hold an object in your hand, and information will enter your mind regarding its construction and appearance telling you a little about how it was made and/or why it looks the way it does, along with who might have made it or used it, or the land it originated from. The lore this perk provides is minor; short snippets, essentially, and often useless unless you’ve found something notable, and even then the information you receive may be vague. Certain scholars wax on late into the night, speculating and theorizing about the history and lore of the past; sometimes outlandish, sometimes accurate, this ability may frustrate and tantalize in equal measure."
31,,50,Sword Of Resistance ,MtG - Shandalar,Divination,"This magnificent blade is quite suited for close-quarters combat, but its true power lies within. The Sword Of Resistance allows its wielder to gain an innate sense of who (or what) needs protecting, with the range increasing the more severe the threat or the larger the number of potential victims. You might become aware of a woman being chased by a carnivorous troll from a few hundred yards away, while an entire city under siege by malicious sorcerors might be felt from halfway across a continent. Only the most urgent or severe target will be known to you, but you need not stand by helpless and unable to act. For once you are aware of any target, the blade can be activated to instantly teleport to or near the target, ensuring you can personally aid in its defense (if you wish) regardless of the distance you would have had to cover otherwise.

The Sword Of Resistance can be used once per day for free, and can be recharged instantly by spending a White Amulet (such as from the ‘Jewelry’ or ‘Gemcutter’ options below)."
32,,50,Map and Compass ,Legend of Zelda: A Link to the Past,Divination,"Something like these should be a part of any adventurers kit, if only so that you know where you are. This map of Hyrule has a very minor enchantment woven over it to help you navigate. Specifically, the map always show a simple image of your face in estimation of a ‘You are here’ sign. Secondly, it will do the same thing for the locations of things you are currently seeking out. A sword floating over the Lost Woods, a pendant over the Desert Palace, so on and so forth. Of note is the fact that the map will update itself slightly - head to another country and suddenly the map is of that land. Simple but useful, no?"
33,,100,Mind Hack,Duel Monsters – The Shadow Realm,Divination,"You’re in. Their mind, that is. You are able to focus on a single individual within your line of sight, and can read their surface thoughts as well as their subconscious after a moment’s focus. However, the longer you read one person’s mind, the more they’ll get the feeling of ‘being watched’ in their own mind, letting them potentially deduce what you’re doing or guard their thoughts. Therefore, this is best used for short intervals."
34,,100,Scouting Power Level        ,Kate Daniel ,Divination,"You know when someone is better than you is worse and just full of shit. Or even trying to hide their strength. The closer the power level is, the more detailed. If you are close you might know their power grows .001% on full moons and can be countered by making him sneeze. If you are in the same weight class you would know he is better than you .2%. This is all relative and will result in hard numbers, not percentages."
35,,100,Magical Cunning,Kate Daniel ,Divination,"You can identify the purpose of a magical ritual by being exposed to the components such as sacrifice magic circles runes. This gives you no understanding of how magic works, just an instinct for a ritual, and with enough exposure, you can anticipate the next step to a ritual."
36,,100,From A Family Of Hunters,Castlevania - Rondo of Blood,Divination,"Due to an oath sworn some hundreds of years in the past, the act of killing vampires with Vampire Killer is quite literally in the blood of the Belmont, and to a lesser extent all the other hunting families as well. For you this shines through more than most others, because you feel a slight heat in your blood as vampires become more and more active. A lesser vampire feeding upon a fair maiden in a nearby town would send a flicker of heat though you, letting you know there was work to be done. If Dracula himself were to burn a town to the ground and kidnap your fiance? Your blood will boil with rage before you even find out just who he took."
37,,100,Curse to Put My Hands on Everything,Baldur's Gate 3,Divination,"When it comes to loot or simply interesting objects, you are eyes are more than capable of deciding what is worth your time and what is not. You can at will, change your perception of the world so that it highlights objects and even people of importance or value for you. It even gives them an appropriate name, but it doesn’t let you know the contents of a crate or a book nor does it tell you if it’s dangerous or cursed. Your attention is simply drawn to these highlighted objects or beings. It is up to you to decide whether to interact with them or not."
38,,100,Magical Senses,The Free Universe,Divination,"You are able to detect the presence of the supernatural and vaguely gauge it's 'alignment' - infernal, celestial, natural, or arcane. Natural represents things like fae and elementals or earth-oriented gods while Arcane is a catchall for the magic that mortals work. This may allow you to determine if objects are magical or see magical traps in advance."
39,,100,Object Reading,The Free Universe,Divination,"By tapping into the psychic emanations of an object you can hold in your hands, you can receive impressions and images related to the object, it’s owner(s), and isolated events that occurred with the object involved - traumatic or significant effects the easiest to pick out."
40,,100,"So, It Has Awakened",Castlevania - Aria of Sorrow,Divination,"This isn’t a world with clear-cut explanation. It is full of monsters, creatures of the night, mysterious cults...all of them just popping out of the woodwork! You have a keen eye for this sort of thing, able to quickly identify monsters and magical phenomenon, giving you a hunch on how they operate and what might make them stronger or weaker...but it’s just a hunch. Any further research is on you."
41,,100,Dr. Facilier’s Cards ,Disney Lorcana,Divination,"A deck of tarot cards. They can give you hints about the future, and the past, but it’s usually vague and veiled in layers of symbolism."
42,,100,Magic Mirror,Disney Lorcana,Divination,"Mirror, mirror on the wall, who is the fairest of them all? This oracular device can answer many questions though its purview seems limited to a single kingdom and neighbors, nor can it predict the future."
43,,100,Taint Awareness,Princess The Hopeful,Divination,"Like the more perceptive Nobility, you are so sensitive to the Darkness that you can perceive it from miles away. Whenever a creature of the Darkness enters from the Dark World you are instantly made aware, and have a good sense for the direction and rough distance of its entrance. You’ve also developed a mystic technique to attain the extra sensitivity that lets some Nobles sense creatures of the Darkness from even further away, channelling Light to sense them from many more miles without risk of the sickness they endure."
44,,100,Right On Time        ,Castlevania - Judgment,Divination,"Though I wander throughout the world and its times, I often find myself chained to one particular moment on account of the duties I hold. Arriving at those times, on time, can be something of a challenge, and so I offer to give you lessons of a sort. Through the subtle use of time magics and the understanding of history, I shall impose upon you a perfect sense of time. You shall always know the time of day, never forget the errands you need to run, will be able to detect the usage of time magics or other things that may alter time, and shall have a vague sense of the “plot” that will tell you if you are needed somewhere - and more importantly, when. At the same time, I shall also seek to instill upon you something else I deem quite valuable - a sense of humour. If you’ll give me a moment, then I shall teach you all the time related puns I know. No, no, don’t try to run away, I’m sure we’ll have a grand old time with the lessons."
45,,100,Cadence of the Soul,Valkyrie Anatomia,Divination,"The duty of a Valkyrie is simple: find the souls of powerful warriors, judge their value, and collect those who are truly worthy of journeying beyond death with you. This would be difficult without knowing how to sense a soul, however. With this power, you may search out and detect the souls of those, both living and otherwise, who fit criteria of your specification. You may also view their past achievements and most treasured memories from both their point of view to make your judgment. This will allow you to materialise souls as einherjar outside of the realms of the Gods."
46,,100,Sense Atum,Kill Six Billion Demons,Divination,"Atum. The fire that exists in all beings with a soul. Used in many martial arts, it is called “life-force” on some worlds. And you can use it to your advantage. You can sense the Atum (or life-force, in other jumps) of other beings, even through stone or dirt, but not metal of any kind. The further away, the more muddled they are. But hey, it's better than nothing."
47,,100,Wield the Old Law,Kill Six Billion Demons,Divination,"The old law, the law that the Angels follow, is extremely complex and hard to understand. But somehow you know it front to back perfectly. You know what are rules, violations, and loopholes you can abuse. When you go to a world different from this one, you instinctively know the rules of said world."
48,,100,Artificial Eye,Wild Arms 2,Divination,"Highlights the location of dungeons, cities and the location of treasure. Alternatively, it can be converted into a contact lens.

Post-jump it highlights hidden places, secret entrances and important objects in addition to previous effects, it all depends on what you would consider as treasures, important, or as dungeons."
49,,100,Plot Inbound ,Bad End Theater ,Divination,"One of the hardest things is that a lot of time, you want to mess with the plot. But the plot is so gosh darn hard to find! Well, here, let me give you a metaphorical map there. You’ll know where anyone currently relevant to the plot is, as well as anyone who will become relevant within the next... week or so. Plus, it naturally helps you find where you should be in order to help with your goals."
50,,100,Eye of the Virtues,I’m The Grim Reaper,Divination,"While Reapers are capable of seeing Sinner’s Marks, the Archangels are able to see Halos floating above the heads of virtuous people. While your coworkers just are able to see them, you enhanced this ability to a new level, because everytime you see someone with a Halo, you’ll have a general idea of their virtues, enabling you to discover which personality and which moral alignment they have. You also retain the ability to see Halo on virtuous people post-Jump."
51,,100,I Know You From My Dream,Guild Wars 2,Divination,"The Pale Tree gave you many dreams and visions in an effort to prepare you for life beyond her. From time to time, you will feel a strange deja-vu, as if you have lived this before, and know exactly what to do. As long as you follow your instincts, you will find that things tend to work out for the best."
52,,100,Fast Food,Beast: The Primordial,Divination,"Whether to fill your human belly our your Horror's, you have a habit of running into appropriate sources of food when you're hungry. This applies to all forms of subsistence, so if you're ever a vampire, you'll always be able to find a convenient neck to suck with only a little bit of searching.

While they still gain the usual benefits of this perk, Heroes find it a lot easier to track Beasts through the ripples they leave in the Dream, especially when feeding. Post-jump, your Heroic Tracking will work on any monster."
53,,100,Danger Vision,World of Final Fantasy: Mirage Keeper,Divination,You can tell how dangerous an individual can be just by looking at them. May not work on someone who is just casually going about their business. Will work if they decide to get serious.
54,,100,Remnants,Darksiders,Divination,The makers of this world left behind many fantastic creations and you find it easier to use them. This translates to intuitively in using any artifacts and an easier time finding them on other worlds.
55,,100,Connected Hearts,Bleach,Divination,"The bonds between friends are tight, enough that they can even become a spiritually tangible thing. With your true friends, you have a deep connection and they to you. The connection lets you understand each other’s feelings instinctively and even sense their location or energy nearby. Their mood, their pain, even recognising their scent or sound apart from others, it somehow becomes clear to you. It’s quite useful when it comes to fighting together, making teamwork and keeping out of each other’s way as easy as breathing. If you actually trained together, you might turn this into quite the boon to combat power. "
56,,100,Outsiders Viewpoint,Jujutsu Kaisen V2.5,Divination,Sometimes being an outside viewer gives you the opportunity to think in ways normal people can’t. You view this world as if it were a book. You gain the information as easily as if you had read it. Meaning that you can describe things like a book. Making it way easier for you to understand things.
57,,100,Balor’s Power Eye,Seven Deadly Sins,Divination,"A small piece of jewellery, worn as an earring or piercing of some kind, that allows one to accurately and instantly gauge the current power level of any being that they can see. This is organised in the same fashion as described earlier in the Power Level perk, giving a reading on their overall Power Level and then separating it into Magic, Strength and Spirit. The Eye will never shatter on reading a Power Level too high either."
58,,100,My One Truthful King        ,Seven Deadly Sins,Divination,"A Holy Knight is bound to their King every bit as much as a normal knight. Much like normal knights however, their leaders are not always deserving of the loyalty that a Holy Knight gives them. There are those who lie or cheat their soldiers and those who are being forcibly controlled by dark powers. This will not give you the power to stop the lies or save the controlled but it does ensure that you will always be aware of such. When you are lied to by someone with authority over you, you always know that the lie has been spoken, though not what the truth is. And when the person with authority over you is being controlled through some method, you’ll be able to tell that they are and get a rough idea of what possesses them just by approaching them. "
59,,100,No Getting By Me,Seven Deadly Sins,Divination,"A great deal of the warriors in this world hide their true power. For most it is a matter of holding back consciously but some fighters really do only grow strong at certain times or conditions. This can be a nasty shock to your ego and potentially your life if you’re walking into a situation thinking you’ve got things handled. Long as you take a second or two to consider someone you can see, you’ll always be able to figure out if they’re hiding their power levels. Whether a result of their abilities being limited or just them holding back, you don’t know, but you’ll never be walking into a fight not knowing how far your opponents can potentially go. "
60,,100,Observing Eye,Dragon Ball Super,Divination,"What a fantastic tournament is being set up to view! All kinds of amazing fighters are about to clash together and even if you’re outmatched, you can be sure to at least enjoy the show of martial might. Even if you are unable to keep up with someone in a fight or react in time to their attacks, you are always able to perceive their movements clearly. Even if two fighters are battling at far beyond light speed, you could watch every perfectly launched blow without issue and see every attack coming at you, even if you lack the speed to fight back well."
61,,100,Libra Lens,Final Fantasy Type-0,Divination,"A monocle that when worn, gives you a basic analysis of the enemy and allows you to see their parameters in terms of statistics like health, strength, defense and such. The magic it has been enchanted with only works up to creatures of a certain level of power, beyond which it gives plenty of question marks."
62,,100,Sight  ,Final Fantasy Type-0,Divination,"You've seen the same scenes over and over again, enough to notice minute details and instantly identify differences. Your visual acuity increases dramatically, also you notice flaws and openings that your enemies leave - identifying the areas which you could land a critical blow. Should an enemy be in a critical condition already, you can see just the spot to land a fatal blow."
63,,100,Magic Insight,Frieren - Beyond Journey's End,Divination,"Gauging another person’s magical abilities is a common thing in this world. It is the way that demons measure their social status, and it is one of the most prevalent ways for mages to determine their worth. Even clerics are capable of that. However, you have a very special insight when it comes to observing the mana of others. By observing the fluctuations in someone’s mana, you are always capable of determining whether someone is actively suppressing their mana levels."
64,,100,Wayfinder,Stranger Of Paradise - Final Fantasy Origins,Divination,As someone from beyond it may be troublesome if you got lost easily. This helps in getting a perfect sense of direction that allows you to easily retrace your steps as well as guaranteeing that you can go back to where you were even if it was through a rift or portal.
