0,,CP Cost,Name,Jumpdoc,Chapter,Description
1,,Free,Mortalkind,Pathfinder Wrath of the Righteous,Transformation,"The mortals. For the most part. Your ordinary men and women of the Material Plane. The likes of Humans, Dwarves, Elves, Goblins, Half-Orcs, Tieflings and so on. Some may live longer or shorter, be somewhat stronger or weaker, smarter or stupider, but they’re all relatively equal at the end of the day. Though their innate powers are limited and by far the weakest offered here, they have the easiest time progressing in what is considered their ‘Class’ abilities. They face greater challenges and risks but come out all the stronger for it. The death rate’s a lot higher though. Just part of being a mortal. "
2,,Free,Creature of the Night,Castlevania - Symphony of the Night,Transformation,"Congratulations, you are a vampire. An immortal monster that drains the blood from ordinary humans, and has access to quite the variety of magical powers. You are a young vampire, probably not even a hundred years old yet, and as a result you currently only have access to two or three 'special' powers. But first, the basics.

Vampires as a rule are stronger, faster, and more durable than your average human. Not by much, not at first, but noticeably so. They have an affinity for an animal, usually bats, and can purposefully shed their human form in order to take on a more powerful, more monstrous, and probably bat themed form. But most importantly, they drink blood. This is the basis of all they are. A well fed vampire is more powerful, and a starving one is weaker. Abstaining will never kill you, but it both weakens you and is extremely unpleasant, akin to starvation that never ends.

As you age and as you consume vast quantities of liquid life, your powers will rise. You will become stronger, your 'special' power will become more useful or easier to use, you will develop more such powers, and so forth. By default, you have two such powers. These powers can be just about anything a vampire has ever been able to do, from teleporting and fireballs, to telekinesis and hypnosis, or transforming into mist, bats, wolves, and other animals.

As a drawback however, Vampires also have weaknesses, of which you must have at least one.
Sunlight, silver, stakes to the heart, running water, even rice in one version of the story. All of these are likely irritating, bordering on torturously painful, but only one of them has the potential to be outright and immediately fatal to you if exploited. You may optionally pick up a second such weakness in exchange for also gaining a third power if you wish to. These weaknesses will blunt with age - say, a thousand years - but never truly fade."
3,,Free,Forged By Fears,Castlevania - Symphony of the Night,Transformation,"The monsters that ally themselves with the Lord of Shadows are as varied as the stars in the sky, though when compared to vampires they still fall short. From lowly skeletons to lords of hell itself, all of them have bowed to the blood suckers at one point or another, and you are no exception if you are here now. Still, allow me to explain what being a “Monster” actually means to you. For the sake of simplicity, you possess two unique strengths and a weakness of some sort. A Skeleton type monster might not need to eat, sleep, breath, or go through the motions of having a bodily function on account of not having any, possess a weapon attuned to them so much it followed them into undead, and have the 'weakness' of being hilariously fragile compared to other monsters, quite literally in danger of falling to pieces. You are free to choose all three of these, within the themes of whatever monster you are supposed to be."
4,,Free,From Another World,The Free Universe,Transformation,"As an outsider, your heritage has given you an array of useful traits even before anything that anyone would call an Extraordinary one. You may choose a single Morph and a single Conditioning, to represent the basic makeup of your bodily form and the conditions under which your kind thrived. In addition, you can decide from here to make some, none or all of your Primary Extraordinary Trait build part of your biology - and thus available to others of your kind. Make a species of supermen or be a mutant even by their standards - your choice! Do take this into consideration as it is likely to change how you and your kind are viewed in the larger world - and do keep in mind that until the Unlimited Heroes era, Outsiders are likely to draw attention unless they are very close to human on Earth.

Note: Morph and Conditioning Options in Associated Jump Doc"
5,,Free,Vampire,The Silmarillion,Transformation,"You are a vampire - not a transformed human, but a monstrous bat-like creature inhabited by a dark and powerful spirit. Though you are relatively fragile compared to other monsters (albeit still a great bat-thing the size of a man or larger, with fangs and claws to match), you are capable of flight and have powerful senses of both hearing and sight which can pierce easily through darkness. When you fly you can do so silently, and are adept at concealing yourself in darkness, but powerful light, such as that of the sun, is harmful to your sensitive eyes. You can speak and disguise your voice, or create terrifying shrieks."
6,,Free,Spider ,The Silmarillion,Transformation,"You are a monstrous spider-thing, descended from the dark spirit Ungoliant, who devoured the light of the Two Trees, and are kin to Shelob and the spiders of Mirkwood in later Ages. You are at least the size of a human when fully-grown, can spin strong webs and have powerful fangs. You can speak, you have a natural talent for stealth and trap-making and can see clearly through darkness of all kinds - even the shrouding un-light - but your eyes can be hurt by pure light. Finally, you have a tough carapace protecting your more vulnerable insides, which only grows thicker and stronger as you grow in age and power."
7,,Free,Werewolf,The Silmarillion,Transformation,"You are a werewolf; a powerful, dark spirit inhabiting a wolf or warg, and a descendent of a creation of Sauron, who was called the Lord of Werewolves. You are not and never were human, though you can take on some human-like traits - you can speak human languages, albeit in a growling, savage tone, and can undergo some level of transformation towards a humanoid shape. You could walk on your hind legs or twist your forepaws into appendages which can use tools and similar - but even with these transformations it would take a dark night and a great deal of disguise to pass as human even to a casual inspection. Your senses of smell and hearing are very powerful."
8,,Free,Beasts ,The Silmarillion,Transformation,"Countless are the creatures of Yavanna, and you are one of them. Though your shape is that of an animal, your mind remains yours - perhaps with the addition of an instinct or three - and to call you a ‘mere’ animal would be a great disservice. As Shadowfax was prince of horses, the great eagles the messengers of Manwe and Huan the Hound of Valinor, you will be a creature that may lack a humanoid shape, but makes up for that in power and the gifts of Yavanna.

When you choose this option, you must pick a particular breed of animal to become. Classic options would be a horse, a hound, an eagle, a bear or similar, but any natural animal is theoretically available, if you want to be a magical squirrel or something. Fanwank responsibly.

Alternatively, if you choose to gain no CP you may be a being similar to Beorn; a shape-shifter able to take on both humanoid and bestial shape; mortal, but more than man. Your chosen breed instead becomes your other shape."
9,,Free,Dwarves,The Silmarillion,Transformation,"The children of Ilúvatar’s adoption, the dwarves - Khazâd in their own tongue - are, as their name would suggest, relatively short. They are the children of Aulë, whom they call Mahal, through the seven fathers and seven mothers of their kind, and have much kinship with the stone that is their ultimate father’s domain. They are tough and hardy to endure hardship and burdens, but for all their gruff appearance and manners, they have a surpassing love for craftsmanship of all kinds, which gave them common cause with the Noldor of old.

As a dwarf, you are about four and a half to five feet in height, stocky and strongly-built. You have a beard, whether male or female, unless you have been horribly shamed, and are strong and hardy of body, able to endure heavy burdens, exhaustion, hunger, thirst and heavy labours without difficulty. You are particularly resistant to harsh environments, especially fire - enough that with some armour you could withstand dragonfire fairly well - and are immune to all but the most virulent of diseases.

Your lifespan is at least 250 years, during which you will remain hale and hearty until your final decade or so."
10,,Free,Angel,Shin Megami Tensei ,Transformation,"You are an Angel, the lowest rank in the angelic hierarchy. You have the appearance of a normal human with wings, clad in modest robes. You may use these wings to fly, though such is primarily done through mystical power rather than physical action. You may heal those near you through holy power, turning damage normally impossible to recover from with normal medicine into a mortal wound, and turning fatal damage into scars. You may also directly channel holy energy into your foes, exorcising and banishing evil creatures weaker than you."
