0,,CP Cost,Name,Jumpdoc,Chapter,Description
1,,Free,Receptacle​ ​of​ ​Faith​,Demon:​ ​The​ ​Fallen,Source,"You are a Demon, but none of your divine might matters if you do not have Faith. The faith of mankind sustained the fallen throughout a thousand years of war, but that fire has faded to a few glowing embers. The degree to which the fallen can store celestial energy is very limited, but having any within their being holds some distinct advantages. A demon is a marriage of celestial and mortal souls, and the demon’s spiritual nature allows them a wide range of passive abilities: the power to see through illusions, resistance to disease and poison, the capacity to hear his name being invoked, the capability to repair the injuries of their host body, the power to manifest their Apocalyptic form, and the power to evoke their Lore. Faith is gathered through followers known as Thralls, but performing miracles can be enough to invoke small amounts of faith from those that witness them."
2,,Free,Child of Akatosh,TES: Dovah,Source,"Calling Dragons the Children of Akatosh is a bit misleading, as it possesses incorrect connotations. It would be more accurate to refer to them as Shards, the broken off splinters of the mighty oversoul of the time god. But all of that implies that the soul can be returned back to its original state, to have the thousands of shards join together as one. Perhaps you're the Dovah-Kiin, perhaps it's a trick of fate, but whenever you slay another Dovah, you will absorb its soul into yourself, adding it's knowledge and power to your own. This could vary from dragon to dragon, from entirely new Shouts or enhancing your understanding of existing ones, to gaining their understanding of how to utilize their reptilian form for combat, to just claiming their memories as your own. Though this should only apply to the Dovah found here, it can work on dragons from other settings, just with a lesser effect."
3,,Free,Isu Hybrid,Assassin's Creed: Odyssey,Source,"Long, long ago, the Isu ruled as gods, using humanity as little more than
slave labor. They maintained their rule due to special pieces of technology, which forced
humanity to obey their every command. However, some Isu chose to interbreed with humanity,
and from such unions rose hybrids, who were capable of disobeying commands and led to a
rebellion that overthrew the Isu. Overtime, the Isu’s DNA became diluted, but certain bloodlines
possessed a higher level of Isu DNA, granting them certain benefits, and now, you gain those
benefits as well. You are physically and mentally improved beyond the level of base humanity,
such that those like you are often called demigods. You have a form of the energy manipulation
abilities of the Isu, which can allow you to interact with Isu tech, and in future Jumps, you will be
able to interface easily with other sorts of precursor technology that might ordinarily not respond
to normal humans. You have access to Eagle Vision, a form of sight that allows you to see living
beings and targets through solid objects. You are resistant to all forms of mind control and
manipulation. And finally, you have a potent form of retrocognition, allowing you to see visions
of the past connected to objects or locations, as well as potentially mentally reliving memories of
your ancestors."
4,,Free,Force Sensitive,The Old Republic,Source,"You meet the qualifications for Force sensitivity, giving you a slight leg up in matters of reflexes and
instinct, but only barely enough to be trained as a Force Adept. You are not particularly powerful, and
even with training will be limited in how much you can accomplish. You're in the bottom twenty percent
in both strength and stamina, and use of active Force powers leaves you drained."
5,,Free,Nae'blis,The Wheel of Time Jump,Source,"You can now wield the True Power, without any downsides, and in
nigh-infinite amounts, having been granted essentially unlimited
access to the True Power. You have the same level of skill and
experience in wielding the True Power as Moridin, and all your
experience, skills and Talents translate from the One Power to the
True Power, giving you the same innate skill at using the True
Power. You can at will manifest the Saa, the aura and any other
effect that comes from wielding the True Power. You can also
grant others the ability to use the True Power, of whatever
amount you so want, though they won’t be protected from the
downsides unless you grant them that protection (which you can).
You can also give others the same immortality of the Forsaken
perk, halting their aging and allowing you to resurrect them if they
are killed, resurrecting them into their own body fully restored or a
new body. This is an immortality you can take back at will. Your
own immortality now also resurrects you even if you are balefired
or something similar, and will happen almost instantly in a safe
location.

Requires Forsaken to purchase."
6,,Free,Core and Madra Channels ,Cradle V1,Source,"You now have a beginner’s core and Madra channels. This core will store the aura you gather from the world, and channel it into your path. Your core begins at the Foundation stage and will progress as you pursue your chosen path."
7,,Free,Magic Circuits,Fate/Hollow Ataraxia,Source,"These are a psuedo-nervous system that spreads itself throughout one's body that allows one to perform Magecraft, converting Life Energy (Od) one naturally produces and the Mana in the air into usable Prana. All Origins except the Servant Origin start with 20 Magic Circuits of average quality for free. "
8,,Free,Heka,Egyptian Mythology,Source,"All great beings of this age possess heka, the divine power through which the gods work their wonders and magic, but which may also be learned by mortal priests, scribes, and witches.

As a mortal, you may have won this power from a god in a game of riddles, been rewarded for service to a particular god, or perhaps stole Thoth’s spellbook with wits and bravery. You cast magic spells by reciting the words of power or conducting rituals and prayers to perform the task you wish.

As a Neter, this power is either yours through birthright, materializing with it from the Waters of the Creation, or perhaps you stole it from another god through a crafty scheme or outright violence. As a rule, you cause magic and spells to happen by performing a symbolic action (such as spitting on the earth to start a shower of rain) or simply making a declaration (“You will forevermore taste all beer as mud.”). You may also work magic by speaking the words of power or carrying out rituals as mortals do.

The use of heka is an exertion upon you; a suitable analogy is to think of it like a muscle which may be weak or strong, tires with use, and grows or atrophies as you develop. Some beings and gods have great heka to bring forth a Sun in the sky, while others do not. Your heka may grow more powerful with practice and experience, but also derives its strength from the adoration and worship directed towards you.

Regardless of the origin of your heka, you begin as powerful as one of the lesser gods or a greater mortal practitioner; performing everyday miracles by speaking the words of power, like turning stones into scorpions, healing a wound with milk, producing illusions of beauty or fear, bidding the river to carry your boat swiftly against the current, or you may perform greater works less frequently, like causing the great Nile to flood countless miles of the land each year.

In time, with your research into the Secret Words, victories and rising strength, and growing worship by other mortals or the tribute of other gods to your strength, your heka may ascend like the sun to equal the stronger gods like Osiris, Horus, Set and so on. Such feats include creating new days of the year from stolen moonlight, making the mountains dance and shudder at your word, and even resurrecting yourself from death to walk the world again after being slain (provided your ahk is formed in the afterlife intact).

Feats of magic far beyond this scale, such as creating worlds and filling them with life or pulling the sun across the sky as the greatest of gods are said to do, are far beyond you for now but may eventually be reached in the long afternoon and twilight of your existence after many thousands of years and the adoration of nations."
9,,Free,Aura,RWBY,Source,"Every living thing, from humans to Faunus and even animals, have a Soul. Only the Creatures of Grimm are soulless and as such can’t make use of this power. For you though? You are now, thanks to the physics of this world, able to use your soul as a powerful tool called Aura. This has a variety of uses.

To begin with Aura at default works as a sort of energy shield against attacks and damage. You wont suffer direct harm while its active, but you will still feel sensations like pain and heat while your Aura is up. It requires training to always subconsciously have a cloak of Aura on. It can even protect you from climate conditions, like walking through a snow storm, though particular extreme conditions will damage Aura like combat damage would.

Aura can also be used to amplify your abilities, like your defence and strength making you essentially superhuman. IN addition to that just possessing Aura gives you a minor automatic healing, able to fix small wounds like scratches in seconds.

All tools and equipment’s are capable of being used as conduits for Aura, allowing a user to be capable of sending out crescent shaped energy slashes from their blade for example. Furthermore it can be used to enhance these things, allowing you to, for example, even use a loaf of bread as an effective weapon. Dust usages is also enabled by Aura.

Those already possessing Auras may also unlock someone else’s Aura. Doing so however takes a toll on the user, potentially weakening their own Aura for a while. Users with particular advanced experience in utilizing Aura may also be capable of other ‘higher-tier’ techniques. Examples would be to use Aura consciously as a shield, create shockwave like attacks, gain extrasensory perception and even sensing and identifying other peoples Auras.

That being said Aura alone does not make you invincible. Continued damage or attacks far
outweighing your Auras capabilities will be able to eventually break it. Using your Aura repeatedly also puts it at risk of decaying, to the point where the user can be left weakened and without Aura until they are able to rest. Aura being completely depleted is visually represented as a coloured sheen glowing along the length of a person's body or with coloured particles flying off the body, indicating that they can now be physically injured. Aura flickering means it is close to being depleted.

Still, it is a versatile tool that has helped humans and faunus alike over the years and now you as well. If you like... there are ways to enhance your Auras capabilities with the below options."
10,,Free,Magical Ability(Tier 1) ,Knight’s and Magic,Source,"Magic in this universe is like programming in ours, so it gets exponentially complex the more powerful a spell is to complete. You now have an average mana control and supply for someone of your age. "
