0,,CP Cost,Name,Jumpdoc,Chapter,Description
1,,Free,Servant/Master,Fate/Hollow Ataraxia,Control,"If you’re a master (any background that isn’t Servant), you gain a free servant. Refer to the Servant Addendum at the end of the jump for details. If you’re a servant, you gain a free master instead. Companions may be freely imported into the servant or master roles with the appropriate 1000 SP or 1000 CP granted to them as well (though they can not take drawbacks). Servants and masters become companions if they are willing at the end of your jump. Additionally, non-humanoid companions or pets can be imported as servants and will be granted a humanoid form (in addition to whatever level of humanity you wish for them to acquire)."
2,,Free,Command Seals,Fate/Hollow Ataraxia,Control,"If you’re a master, gain 3 command seals per servant. They don’t replenish, but they can force your servant to do whatever you want or give them a significant magical boost. It is possible for them to be resisted to some degree or another, but even the best can’t fully resist the power of the Command Seals. If you’re a servant, your master gets this instead. Outside of the jump, you (or your master) will get these command seals, 3 per servant, and they will replenish at a rate of 1 per week. They can no longer be used to force your servant to do anything, rather they can be used to give that servant access to your entire mana/magical pool/anything jump related or compatible without draining any of it from yourself. It will only give them a quick burst, no more than a couple minutes of access."
3,,Free,Omnidexterous,Overlord,Control,"You possess the innate talent to use all of your limbs as if they were
your primary limb, effectively allowing you to fight or operate with your limbs to whatever degree
you desire, and are physically capable of performing in, with no loss of control, skill, or strength.
This effect additionally carries over to your mind, allowing you to effortlessly mental-multitask on
as many different trains of thought as you desire. This doesn’t let you think faster, per-se, but
you would be surprised at how useful it is to be able to focus on every individual thing going on
in a battle at the same time."
4,,Free,Schrodinger's Asshole,Worm CYOA v17,Control,People will always believe you if you say a suggestion/joke/opinion of yours was a joke and/or not meant to be taken seriously. This doesn't work with physical actions.
5,,Free,Phantom Punches,Worm CYOA v17,Control,Punching and kicking empty air creates phantom limbs in the distance which will copy your movements. You can choose where they appear.
6,,Free,Mascot,Worm CYOA v17,Control,"You have the ability to create a projection that shares all five senses and you can speak through it. Its form can be anything you imagine, however, you can't swap form unless you release the projection first. It is not physically strong or powerful in any way, it is closer to a walking plush animal."
7,,Free,Geass,Worm CYOA v17,Control,"If a consensual contract is agreed upon, without coercion or Master effects involved, though bribery is fine, all parties must follow through. All parties must be aware of the power. This power works on you even if you're immune to Master powers, and won't work if another power is immune to it. You must be one of the involved parties, even if the contract just labels you as a witness or arbitrator. Be careful to look for loopholes. This power fails if the contract becomes impossible to fulfill."
8,,Free,Let the Feathers Fly,Worm CYOA v17,Control,"You have gained the ability to create a hundred diamond shaped “feathers” per minute, manifesting up to a maximum of five hundred at once. You have complete telekinetic control over these feathers and infinite multitasking in regards to doing so.

You can also bind and unbind the feathers to each other to exponentially strengthen them, or to yourself to grant you flight. Individually, each feather's speed, strength, and durability is slightly less than that those of an average human, which increases to a durability capable of taking punches from Alexandria and a speed and strength comparable to a bullet train when all of them are bound together."
9,,Free,Razorwire,Worm CYOA v17,Control,"You possess the ability to create thin but durable steel-like wires from your skin which can be telekinetically controlled, although the more you control at once, the worse your fine control, though a multitasking power would negate this drawback. With experience, this thread can even be formed into rudimentary constructs such as walls or blades."
10,,Free,Emotional Magnet,Worm CYOA v17,Control,"You are able to sense and perceive the predominant emotion that a sentient being is currently undergoing within your field of view. Furthermore, you can subtly influence and guide this emotional state towards a different direction, from anger to fear, hate to happiness, etc."
