0,,Free,Name,Jumpdoc,Chapter,Description
1,,Free,Domain,RWBY: Age of the Gods,Domain,"A deity like yourself should have a place to rest and be contacted in. This Domain reflects who you are as a God, maybe being a desolated wasteland if you represent destruction or being an idyllic Oasis for a God of Light. You can place this Domain anywhere on a World you are on, allowing others to know where it is automatically. Here they will feel close to you and may come to you with offerings or requests. You can place a Domain on any World where you are recognized as a God."
2,,Free,POP Spawns,Overlord Guild Base Supplement,Domain,"All Guild Bases have the potential to spawn effectively unlimited amounts of monsters and
beings at or below level 30 at zero cost, generally referred to by the catch-all term “POP
Spawns” or POPs for short. To a point, at least. The main limiting factor is the size of the Guild
Base and whether or not the Guild Base can support them. POPs that require things like food
will, obviously, cost more to maintain and support than something like a skeleton, even if the
cost to create them (ie: free) is the same. For example Nazarick was able to field armies of
many thousands of low level undead pretty much whenever it wanted, the main limitation being
primarily that it could only have so many POPs out and about at a time.
Larger bases will be able to accommodate larger amounts of POP spawns in general, and are
also more likely to have increased variety of POPs thanks to having more (and different) areas.
POPs are replaced shortly after an existing POP dies. Unlike created NPC’s using the NPC
level option above, these POP Spawns can’t be resurrected using Yggdrasil gold coins, though
they can be brought back via other methods if you possess them.
What specifically these POP spawns are depends on what your guild base is like. If you favored
undead then they might be skeletons, ghosts, wraiths, or similar. If you favored fire type terrain
you might have fire slimes, hellhounds, low ranking fire elementals, fire dwarves, or similar. If
you favored angels you might have low ranking angels, etc. This is not an all-or-nothing deal
either, you can have different types of POP spawns in different floors or areas of your Guild
Base. For example you might have merchant type POPs in your marketplace (if you have a
marketplace) or magic caster type POPs if you have a magic academy.

Requires any sort of property (house, warehouse, city, dungeon, etc.) to purchase."
3,,Free,Basic Defenses,Overlord Guild Base Supplement,Domain,"Traps, hidden corridors, confusing layouts, and so forth. The basic defenses needed in order for
any Guild Base to really be considered a Guild Base at all. The amount you have of these is
largely dependant on how big your base is, and the exact nature and type of these things could
vary wildly depending on what precisely your guild base is made up of. Dungeons that favor
undead for example might have a lot of mental influencing or negative energy traps, since those
are things that the undead can simply ignore, whereas something like a guild base with many
underwater areas might have traps designed to dispel water breathing spells, or layouts that
make heavy use of the 3d nature of underwater mobility to become especially confusing.

Requires any sort of property (house, warehouse, city, dungeon, etc.) to purchase."
4,,Free,The Throne Room,Overlord Guild Base Supplement,Domain,"This is the room from which you will be able to access the Guild Base Master Command List
while in the New World (and indeed, any world). Access to this list gives you a wealth of
information on your guild base, its inhabitants and their statuses, the status of its defenses, and
also is the method by which you are able to enable or disable certain effects such as
environmental conditions, whether traps are active or not, whether you’re actively generating
POP spawns or not, and a wealth of other options. If your Guild Base is Mobile then this is also
the area from which you or someone acting on your behalf will direct its movements. Despite the
name it does not have to be a throne room if you do not want it to be. If it is not your throne
room you can still have an actual room with an actual throne somewhere else.

Requires any sort of property (house, warehouse, city, dungeon, etc.) to purchase."
5,,Free,Reality Walker,Generic Harry Potter Fanfiction,Domain,"Normally even the best of transportation or observation magic is
limited by the range, be it a continent or a planet. Not for you such petty limits. Your portkeys
can take someone to a different galaxy or a different reality just as easily they would take them
next door.
You can go into both alternate realities, such as ones where someone who was a boy in your
reality was born a girl instead, or where there were twins, or where Voldemort never fell at all.
This ability also ensures there are such realities in all future jumps. You can also go to the
connected multiverse, even spiritual or astral realms like Faerie or somesuch.
This ability covers any form of transportation that you can use. Portkeys, portals, apparition,
anything can be used to travel thusly by you. You can’t use it to travel to other jumps until
post-spark, however."
6,,Free,Gaia,Greek Mythology,Domain,"You don't live on Earth--you are. Humans, gods, monsters, titans--they roam the planet, dispensing chaos and destruction, simply because you tolerate it. If it exists within water, in burrowed earth, or under the skies, it is yours to command, for there is no authority greater than you, and all who encounter you, should you permit it, become aware of that fact. You could swallow civilization, wreak the oceans boiling, and sunder the sky. You could create life as you wish, be it gods or men. You are Nature, and nothing supersedes that.

Requires Olympus, Hades, and All the World's Waters to purchase."
7,,Free,Rift to Anywhere,Naruto - Ōtsutsuki Clan Jump,Domain,"The kekkei mōra technique known as Yomotsu Hirasaka
is one of the most common techniques used by our clan and most of the Ōtsutsuki
have access to it, including you. As the progenitor technique of all space-time
ninjutsu, it enables you to open rifts in the fabric of space that allow them to
instantaneously transport themselves to another location, essentially working as
portals. The openings can be used to connect two different spatial locations within
the same dimension, or even link two dimensions. By entering these portals, the user
is able to retreat, disorient enemies, execute ambush attacks at a moment's notice or
just use it as transport. For now, you can use it to teleport to anywhere within a
planetary system and its range will increase as you grow stronger, but, until
post-Spark, you'll be completely unable to use it to open rifts to past Jumps.

Requires Ōtsutsuki to purchase."
8,,Free,Main Base,Out of Context: Gamer System Supplement,Domain,"At the start of the Jump you will gain the primary uniter spawner from your game such as a full
base or a magic throne.

Requires Army Points to Purchase"
9,,Free,The World’s Stage,Super Dragon Sword ,Domain,"Thus let us be actors! You are capable of expending enough mana that even a veteran adventurer would be spent in order to create a massive enchanted “pocket space”, one that is related to either one of the Historic Moments or one of your Legends. While this space can be escaped, you have a great amount of knowledge of what hazards and benefits this “Stage” holds.

Requires Hero’s Ballad (Super Dragon Sword), Condemnation(Super Dragon Sword), The Never-ending Saga(Super Dragon Sword), Moments Occasion(Super Dragon Sword) and The Hero is Back(Super Dragon Sword) to Purchase"
10,,Free,Principality,Super Dragon Sword ,Domain,"As the ruler of angels, you could be mistaken for the Creator. Within you is a “Heaven”, a place where you can store normally summoned angels and items with a simple ritual., both of which can be called upon with little effort. These angels can also have damage redirected to them by “On Angel’s wings”.

Requires Wandering Light(Super Dragon Sword), Holy Chorus(Super Dragon Sword), Sky Painters(Super Dragon Sword), On Angel's Wings(Super Dragon Sword) and Archangel's Favour(Super Dragon Sword) to Purchase"
