0,,CP Cost,Name,Jumpdoc,Chapter,Description
1,,Free,Third eye,Gods of Blood and Powder,Divination,"See into the Else and see the different auras, letting you see the touch of magic on the world. Different colors correspond to different types of magic and spells and the luminosity around objects or people tells you something about their respective connection to the Else and how much power they gain from it. Opening your 3rd eye can be nauseating at first, but it let’s you see a gray and white version of the world colored only by magic."
2,,Free,Eagle Vision,Worm CYOA v17,Divination,"You have a downward vision from the skies, anything above the clouds can't be seen though. Your eyes are accurate enough to track individual people and sharp enough to even read their lips."
3,,Free,Skill Thief,Worm CYOA v17,Divination,"You have the ability to absorb the practical expertise of anyone you focus on.

The skills you can absorb can be increased by things such as eye contact or physical contact, with each connection made increasing the breadth and depth of what you are able to steal, whether a specific skill or a target's general skill set.

Unless you completely steal a target's skill, they will regain the skill over time.

You permanently retain any stolen skills and can improve them by re-stealing partially stollen skills or stealing similar skills."
4,,Free,Companionship,Final Fantasy IX,Divination,"You might be cast into a difficult spot – but you aren’t alone at the very least. The bond you have with your current companions is significantly reinforced. They might not agree with you over everything, but these are folks who won’t betray you no matter how tempting the offer.

But companionship is a two way street. When your companions are separated from you and need help, you’ll immediately feel a compulsion to head towards them, leaving you with a general direction and distance. You could ignore it of course, but that wouldn’t make you a very good companion now would it?"
5,,Free,A Shred of Self Preservation        ,Bibliomania,Divination,"You have a broad sense for danger allowing you to intuitively sense how dangerous something is just by looking at it, Its not a completely clear sense but you can tell when things are dangerous. It even gives you a minor sense of danger towards yourself allowing you to sense and react a fraction of a moment before it would harm you, sort of like the spider sense that Spiderman has just not as strong."
6,,Free,Stats,Out of Context: Gamer System Supplement,Divination,Every person has stats or ability scores which numerically represent that person's most basic capabilities in each of those attributes though each stat. These numbers are just the potential in a controlled environment and a person may be able to show their capabilities far beyond what the numeric values would lead someone to expect. How these scores are shown and represented will depend on the perks chosen for the system.
7,,Free,HUD ,Out of Context: Gamer System Supplement,Divination,"The Heads Up Display will dynamically show information that is relevant to you in the moment such as changes in status, rewards, HP and completion of a system task."
8,,Free,Marching Along,Gummi Bears,Divination,"You have a “map-sense” that is to say you instinctively know which direction you are facing and you have basically an rpg-like auto-mapper/mini map in your head. This automatically adds the lands and features that you see into a mental map.

This doesn’t reveal anything hidden unless you see the hidden entrances/tunnels etc. You are also a fantastic cartographer and you can draw nearly perfect maps from your mental maps."
9,,Free,Status Page ,Fate,Divination,"A natural boon given to all masters, you have the ability to view the abilities of your servant and other beings in the form of an RPG statistics page. While this does not give you any information you do not already know, it does put it into an easily understandable format. "
10,,Free,The Sight,Dresden Files,Divination,"The ability to see beyond the mundane veil of this world, and see the magical truth of all reality. The Sight is a powerful ability, as it peels away the layers of deception from whatever you look at and shows you the underlying truths about them. Whatever about them is relevant in magical terms, anyway.

The Sight is different for different people, but in general you get a deep understanding of people by seeing the ‘truth’ of them, dressed up in metaphor and symbolism. A serial killer might appear drenched in blood, or a brave protector of people look like a medieval knight in shining armor, so on and so forth. Whatever you look at, you get to understand and see several layers deep into them, at the cost of having to interpret the symbolism.

Don’t use this too lightly though, since you can never forget anything you see this way. And while it’s immensely useful, it can also be traumatizing. Additionally, this gives you the ability to Soulgaze people by looking them in the eye, which shows you a picture of them as they see themselves and as they are, once again through complex imagery and symbolism.

One good thing is that this comes with a sanity protection so no matter what you see, hear or feel, the simple act of perceiving it alone won’t make your brain leak out from your ears. Doesn’t do jack to protect you from any other consequences, mind you. Post Jump, you can toggle the “automatic Soulgaze” ability on and off so you can look people in the eye again."
