0,,CP Cost,Name,Jumpdoc,Chapter,Description
1,,Free,Zombie Physiology,Marvel Zombies,Transformation,"You are a zombie. That comes with its benefits and its downsides. You retain your intellect and have a choice of what kind of zombie you are. There are a lot of variants, but we’re cutting it down to just the originals for brevity’s sake. The classic Marvel Zombies. The disciples of the Hunger Gospel, you could say. You’re a bona fide zombie, save for your intelligence. While you’re necrotic and always hungry now, you’re now functionally immortal. You don’t even feel pain anymore (save for some very rare, very unusual cases). Being undead makes it so that you can’t age anymore. Most wounds, including dismemberment and decapitation aren’t lethal anymore - it’d take the destruction of your brain to do you in for real. Breathing isn’t much of an issue, either. The only problem is that you’re really, really hungry all the time. Also your lips have disappeared and you’ve got a very toothy, skull-like face now. All the better to eat with."
2,,Free,Amphibian Physiology,Amphibia,Transformation,"Amphibi-Man,
Amphibi-Man, does whatever an amphibian can... oh sorry, anyways this perk lets
you use the various abilities found in amphibians. You can breathe underwater,
stick to walls, croak, jump really far, shoot out your tongue. Basically anything
your chosen amphibian race could do you can now do in any body you have."
3,,Free,Freak Physiology,Akame ga Kill!,Transformation,"You’re one of the
Danger Beasts, also referred to as Risk Species sometimes and as Freaks in
Wakoku, starting as a Class 2 or Class 1 Beast by default, the classes of monsters
that is the closest to strength of the average captain. You’ll still be regarded as a
mundane beast in terms of your power, having little to no supernatural traits beyond
your innate physical prowess and natural weapons, but, like how mentioned before,
you’ll perfectly retain your human intellect, unlike the rest of your kind and the
humans that were turned into beasts through artificial means, and thus you won’t
need to worry about any monstrous instincts affecting your mind and personality.
While you can customize within reason the kind of beast you’re, you can also choose
a canon species of your class to be part of, as long as said species don’t have any
too special trait, like a Tree Beast, a Jackaleo, a Flying Death or even an Earth
Dragon for example."
4,,Free,Ant Man,Worm CYOA v17,Transformation,You can shrink yourself to the size of 1 cubic centimeter. You retain your human strength while in this form. You can grow back to normal with a thought.
5,,Free,Meathead,Worm CYOA v17,Transformation,"You can grow and increase your muscle mass significantly, enough to roughly triple your base strength."
6,,Free,Shinigami,Bleach,Transformation,"Those who guide souls from this world to the next and protect the cycle of reincarnation. The
Shinigami are gods of death, human spirits who take up the ceaseless battle for the souls of mankind
against Hollows, Quincy and all other dark threats to the innocent. Or so they say. A Shinigami is nothing more than an above-average human soul who has bonded with an Asauchi, a
blank vessel in the shape of a sword that was forged through the combination of many empty souls.

Yet that bond brings them great power, as the sword unlocks the true spiritual potential within their
souls. Over the thousands of years, the Shinigami have established an organisation known as the
Gotei 13, among other factions. Organised into a military force, they now guard the Afterlife and the
Mortal World as they attend to their psychopomp duties. As your primary choice, you become a Plus or human spirit in Soul Society that passed on from the
Mortal World. Having noticed your above average spiritual pressure and thus need to eat, you set
out to train yourself. You will be a new graduate from the Shin’o Academy, where all Shinigami learn
the four core techniques of the Shinigami and are trained for their duties. Zanjutsu, the art of sword
fighting. Hakuda, unarmed combat. Hoho, mobility techniques. Kido, demon magic. You were an
average student, as trained in each art as any unseated Shinigami could claim to be and while your
Asauchi has bonded to you, you have not yet heard it’s call. Perhaps through the fires of battle or
deep introspection, you could make contact with your inner sword.

Note: Only one Bleach race may be purchased without Hybridisation."
7,,Free,Quincy,Bleach,Transformation,"A sub-species of mankind, one split between the mortal and spiritual realms. Quincy are humans
who, long ago, gained the ability to naturally manipulate spiritual particles known as Reishi. They
could gather them from the air and shape them to their will, to create or destroy. They took on roles
as ancient protectors of humanity, particularly so when the Shinigami were too late or too few to
protect mankind everywhere. But the Quincy powers were terrible indeed, as the spiritual weapons
they crafted went far beyond a Zanpakuto. The Heilig Bogen, spirit weapons, destroyed souls
permanently. Not something the cycle of reincarnation could stand. Tensions rose between them and the Shinigami, guardians of the cycle, and it came to a head when
the Quincy King emerged. Yhwach, mightiest of the Quincy and claiming to be their father, united
them into an empire and led them against Soul Society in a terrible war a thousand years ago. He
was defeated and the Quincy race left smashed into fragments. In time, they would rebuild and yet
again face misfortune, almost exterminated by the Shinigami to protect the cycle. You are one of the few Quincy remaining, as either one of the last mortal families or one of the
hidden servants of the slowly recovering Quincy Empire called the Wandenreich. You’ve been
trained to gather and manipulate Reishi, enough to form a Heilig Bogen from raw blue energy. You’ve had some lessons with the Quincy spells and tools, enough to make basic use of low level
equipment, and have a good idea of where to focus to improve. Necessary, given how hard it is to
find a teacher. You’re little better than an unseated Shinigami for now.

Note: Only one Bleach race may be purchased without Hybridisation."
8,,Free,Fullbringer,Bleach,Transformation,"Humans with a little something special in their souls. As they were conceived, a shining golden
fragment made contact with their newly born soul, a piece of the greatest soul that ever was. This
royal shard would bring great spiritual potential later in life but unfortunately, it draws Hollows to
attack the new human. Even before they are born. Those that survive are often left scarred by loss, others sacrificing themselves so that this Fullbringer, the name of what you are now, could live. Fullbringer’s possess a natural level of spiritual power and awareness, as well as the Fullbring ability. Using it, they can ‘pull’ on the souls of things around them. Move objects through telekinetic forceby pulling on their soul, accelerate one’s movement by pulling on the air, even stand on water by
forcing it to remain cohesive. With this and the natural uses of Reiryoku, Fullbringers can achieve the
power of a Shinigami or Hollow despite their living bodies. Some Fullbringers, who feel affinity for an
object, even find a greater power awaiting them. Fullbringers are naturally drawn together and doubtless, as a newly awakened Fullbringer, you’ll
soon encounter at least a few others of your kind despite your rarity. They’re likely to at least give
you a rundown on your abilities, as you have only the most rudimentary skill right now. Show a
friendly face and you might get some useful lessons too. 

Note: Only one Bleach race may be purchased without Hybridisation."
9,,Free,Hollow,Bleach,Transformation,"Not all humans pass on peacefully to Soul Society once they die. Those with regrets, hatred or
something chaining them to this world are trapped without the aid of a Shinigami to guide them. If
left to fester long enough, their souls will rot and turn in on themselves, as the poor spirit transforms
into a monstrous Hollow. Hollows are tragic beings, the process stealing away their hearts and turning it into a bone white mask for them, stuck on their face. An empty hole appears on their bodies to represent that lost
heart, as well as symbolising the endless hunger for souls that the Hollows feel. That hunger is what
turns them into such predatory beasts as well, with even newly born Hollows having a vast variety of
forms. There are common powers all Hollows possess, beyond what their physical form allows. A touch that
burns like acid, an ability to separate souls from living bodies on contact and a quick regeneration of
physical damage. Many Hollows will develop unique powers of their own as they grow in power, particularly as they begin to evolve. Evolution is as central to Hollows as their hunger and their are four primary stages. The first is the basic Hollow, which spirits become upon Hollowfication. If they continue to consume
many souls, they will eventually become a Gillian, the first of the Menos class Hollows. Gillian are
colonies of hundreds or thousands of Hollows in a great, shadowy mass. The many souls within
compete to be the leading mind and once one establishes themselves as fully dominant, the Gillian
can transform into an Adjuchas. Taking on a superior form to their original Hollow shape, an
Adjuchas has great power but a constant need for souls to prevent degradation into a Gillian. Rarely,
if an Adjuchas can devour a truly vast number of souls without regressing or being bitten themselves, they can become a Vasto Lord. The peak of Hollow evolution, who naturally come into humanoid bodies. Alongside this is the Arrancar form, made by purposefully tearing off one’s own mask or through
special rituals. This grants a human form to the Hollow, sealing their original shape and powers into
the form of a ‘Zanpakuto’ like a Shinigami. The Arrancar, and other high level Hollows, have created
quite the number of racial techniques as well. The high speed Sonido, the powerful Cero blasts, defensive Negacion and more.

You will be a newly formed basic Hollow, of shape of your design. You’ll kill any normal human with
ease and be considered a threat to an unseated Shinigami but not be of much note. You’ll have a
natural instinct for combat, especially with your new form, but any unique powers are yet to come.

Note: Only one Bleach race may be purchased without Hybridisation."
10,,Free,Ascension,RWBY: Ever After Gauntlet,Transformation,"Beings of the Ever After don’t ‘die’ the way people on Remnant might. Once they have fulfilled their purpose they are simply remade into something else, maybe something they wanted to be in their past live. The Tree gives them a new purpose in life but they are still them in a way.

For Free during the duration of this Jump you can enjoy this benefit as well. There is no real ‘death’ for you anymore. If you die you come back but simply changed. Some part of you will be used to remake you. You won’t remember who you were and the new you might be entirely different in body, mind and soul, your memories erased... but it will still be you somewhere on some level, your Heart not forgetting your most prominent moments. The later part of this Perk also comes into play whenever you are ‘reforged’ into something else, some core ‘Heart’ of your being not forgetting the moments that most defined who you were.

Upon completion of this Gauntlet this Perk will change and fuse with your Bodymod. You yourself can decide what part of you would be changed. If you are ever remade or reborn you can simply chose for yourself how much of your old being is in the new you. This also makes it impossible for others to change you, your mind or soul, in any way without your permission. You are you. And that is enough.

You can toggle whether or not you want to use this Perk or to what degree you want to use it at any time."
11,,Free,Colour Scheme,RWBY,Transformation,"Colours are a bit of a Theme in this World. They are meant to represent the vast variety among the people of Remnant, in particular when contrasted with the Grimm. As a result people tend to have a theme with colours associated to them. Be it red, white, black, yellow or a different colour, you may now have a similar theme for a colour of your choice, guaranteed to look great with it. This also concerns to colours of your body if you want natural green hair or purple eyes for example. The only thing you can’t do is make your skin some non-human colour like blue but other than that... show them your True Colours Jumper."
