Cost,Perk Name,Source,Description
100,"Oh, The Possibilities",Generic First Jump,"You have a gift for making the most of your resources. You can find clever or inventive ways of using your abilities or possessions, and figure out how to compensate for weaknesses or downsides. You are very creative when it comes to using your assets."
100,Secondary Superpowers,Generic First Jump,"Any power or ability that you acquire, no matter where or how you acquired it, you also receive the necessary secondary superpowers to make it function properly. You also have the ability to shut off any of your abilities, or to weaken them to any level between off and full power, at will."
100,Screw the Devil,Generic First Jump,"You are completely immune to any form of possession. Outside control might still work on you, but you are the only actual occupant of your body, mind and soul, and you are going to stay that way. If you allow something else to possess you, you can resume control and kick them out at will. Nothing can stop you from doing so, if that is what you want to do."
100,We Can Do More,Invincible,"You can do more than simply use your powers to fight others, much more. Now you have innate skill in using your powers in ways that are not focused around fighting but around healing, helping and rebuilding the world around you. Someone with matter manipulation would know the best ways to go about revitalizing old farmland and creating needed supplies for starving villages. A person with super strength could be of immense help with disaster relief or prevention. Regardless of what you can do, you have mastered the use of your power outside of a fight."
100,Passing Limits,One Piece: New World,"Limits are something meant to help protect yourself, but other times they simply hold you down. When the cards are down and you are running on dregs, should you have enough willpower, you can break these limits, no matter how small."
100,Toggle,Young Justice,"Toggle allows its user to forgo learning to control their powers by simply allowing them to turn their powers off when they aren't needed. This can be done per power, so there isn't a need to go without the ability to teleport because you don't want to use your super strength. Also works on out of Jump powers. You can think of this like a dial. It can be on, or full power, as well as off, or no power, and anywhere in between those two states."
100,Knows His Own Strength,Young Justice,"Even if you have the strength to bench-press mountains, you’ll never be too strong to safely beat up the bad guys without killing them."
100,Unravelling,Medaka Box Abnormal,"Sprinting is great and all, really, but it's not much use in life. How often is raw speed in that sense going to help, in anything from typing to fighting? But it looks like it's actually quite fitting for you. The faster you become in raw movement speed, the faster you are able to do any task at all. Becoming able to move faster than the speed of sound would let you accomplish hours of work in just minutes, with no loss in quality,    consideration or effective time spent on the project. You'll be moving and acting faster but be just as effective as if you took as much time as you normally would on the task you're working on."
100,Survival 101,Arifureta Shokugyou de Sekai Saikyou,"You don’t last long as an adventurer if you aren’t willing to learn, adapt and overcome. You have a good head on your shoulders and have learned the basics of surviving in the wild and the urban by knowing how to set up or find shelter, gathering food, and being wary of predators of all environments. You also have a good memory for learning from your seniors and elders, soaking up little bits of important information like a sponge absorbs water. Likewise, you got a knack to pick up odd jobs that either make use of your unusual talents or let you learn and practice something new that you were interested in"
100,That is Normal,Toaruverse,Dressing in skimpy outfit during a battle doesn’t bring any benefits and protection other than distraction for your opponents though it doesn’t work in most cases. The outfits that you now wear no matter how skimpy and doesn’t protect the vital parts of your body would do now. It doesn’t matter if you’re wearing a shorts or even a panty that is as durable as steel it would provide a protection throughout your body by making a thin layer of protective barrier that as durable as steel. This applies to anything that can be classified as clothe or armor.
100,Evolution,Pokemon Mystery Dungeon,"You know how I said you can be any unevolved Pokemon for free? Yeah, now you may start as an evolved form. You can purchase this as many times as you have evolutions available."
100,The Inevitable Quality,Tate no Yuusha no Nariagari,"When crafting it’s expected that even with good materials the result can be bad in the hands of inexperienced crafters. Unlike those inexperienced crafters the quality of your work doesn’t drop/lowered beyond the lowest quality of the materials you used. This means the better the materials used for crafting would still result in a better potion, equipment, clothes, accessories, food etc... even if you failed or made a mistake crafting it. While the quality is great it doesn’t mean it looks beautiful or awesome, in the case of the medicines it would taste bitter, for foods it would look gross but taste good and nutritious. With skills and experience the appearance can be improved."
100,Adaptable,Generic Worm Fanfiction,"You rapidly adapt to new circumstances and pick up on things quickly. In addition you can learn, train, and otherwise improve yourself in one-fifth the time you normally would."
100,Controlled Ascension,Battle Through the Heavens,"The time when one advances in strength is usually a cause for joy, however it does not always occur when one would want. It is possible for one to start having a breakthrough in the middle of the fight. As opposed to what may happen in other worlds, here this is not a good thing, as distractions during a breakthrough can easily lead to complications and backlash. It is even possible for you to end up regressing in strength. You can hold back your advancement for many days if you wish, giving you ample chance to find a quiet spot to advance."
100,Selectively Religious,KonoSuba,"As lovely as being so holy is, to the point that it’s even in your very blood, there are times when you’ll want to turn off that power. To do the right thing, you might need to debase yourself and work with undead abominations. For the greater good of course but it doesn’t stop the sense of innate disgust to the whole thing. At least with this, the ability to selectively deactivate any power that you have, you’ll not kill your temporary allies on touch. You’ll be able to turn off any ability that you have with a thought and turn it back on again just as easily, excepting this power of course, and even set conditions to deactivate or activate your powers."
200,What’s Mine Is Mine,Generic First Jump,"You never give up what is yours. Your abilities of any kind never fade or deteriorate with time or disuse. A skill not used for decades will be as effective as if you relied on it for daily survival. This also means you are likely to age gracefully and healthily, though it does not extend your lifespan beyond what having the immune system and healing of a person in their prime would do."
200,Shattered Shaft,Bleach,"Nothing can keep a hero down for long, not even losing what makes him a hero in the first place. As long as you hold your convictions strongly in your heart, you’ll find it possible to regain power that has been lost. Partially and in full, for both supernatural powers and more mundane sources of influencing the world. Even having had your spiritual powers cut out of you, a path will unveil itself to you in order to regain them. But these paths are dangerous and risky, offering a quick regain of what you lost at the price of putting your life on the line, or perhaps something nearly as valuable. Lost spiritual powers could be forcibly reawakened, or new equivalents gained, by subjecting yourself to near-hollowfication and emerging victorious against your partially corrupted self. Another comparison might be the training the Quincies undergo to recover their powers once they use Letz Stil, training to exhaustion and then requiring an arrow fired to an exact spot on their hearts."
200,Quirk Proficiency,My Hero Academia,"I see you’ve tussled with the boys and girls in spandex before! Was it beside them. . or against them? Can’t quite remember! Regardless, over those years of flexing and accumulating experience, something spectacular has happened! You got good! Ordinarily you would have no experience with making use of your Quirk. Sure you might be well aware of what it does, but in this world that regulates their usage you never really got to train it, experiment. By purchasing this, you obtain two important things, with the first being training. Ever since you were young, you’ve been able to experiment with your Quirk in an environment that allowed you to figure out the nuances, strengths and weaknesses. You could have attended a prestigious hero school and learned from some recognizable names in the industry. You could have picked things up through trial and error in the criminal underworld. It could just be an overbearing pair of parents that beat it into you. You definitely know how your Quirk though. The second advantage is experience, several years worth of experience in applying your Quirk. Perhaps you’ve figure out a neat trick or two that no one could have predicted. Perhaps you’ve mixed in complementary skills into your Quirk usage. Something else? Whatever the case, you’re great!"
200,"Man of Steel, Woman of Kleenex",Invincible,"*CRACK*, you broke something again, this super strength is definitely taking some getting used to. At least it was. For some reason when you woke up this morning it seems like something is working perfectly in your brain and now your powers are modulated to whatever you desire. If you had super-strength enough to destroy planets, now you can juggle Faberge Eggs without fear of breaking. You might be able to manipulate fire on par with stars but now you find you can use it so finely that you could light the head of a match on fire. Use your star shattering telekinesis to manipulate an atom, why not? It doesn’t matter what you do but now you have perfect conscious control and modulation of any and all powers or abilities that you possess: even in things that may be considered unconscious actions, you may consciously control how fast your heart beats, your core temperature or the strength of rapid muscular contractions. That said this doesn’t let you do things with your powers that you couldn’t normally. If your “star shattering telekinesis”, for example, couldn’t normally control or affect things on an atomic scale this perk wouldn’t change that. This is just control and refinement when using your powers in ways they can already be used, it doesn’t actually expand what your powers are capable of."
200,Limit Break,Final Fantasy 7 Remake,"Normally a person gets more tired as they fight, losing effectiveness as time goes on. But not the champions of Gaia! The fighters of this world have Limit Breaks; special techniques they can execute after enough successful hits. Now you have one of these devastating techniques. Landing more sequential hits and combos will prepare these techniques faster. Each Limit Break has a special effect, whether it be inflicting extra damage, debuffing an enemy, or buffing your allies. Though you only start with a single basic Limit Break, you can unlock more through combat experience and training."
200,Applications,To Love-Ru,"Who needs a carjack when they have superstrength? You sure don’t. In fact, you are really good at applying superpowers to mundane applications, no matter if it’s cooking, cleaning or mechanics, and these small uses of your abilities somehow always go unnoticed."
200,My Powers Work,Toaruverse,"Fighting an opponent that is intangible or a being of pure would only tire you out or get yourself killed especially if your abilities and powers doesn’t interact with them at all. Your abilities or powers now work on abilities powers and beings that normally cannot be touched, interact with your abilities and powers or have condition to defeat or harm. It doesn’t matter if your enemy is intangible or made of pure energy your abilities and powers will hit and kill them even if they have multiple bodies as killing one body would kill them all and if they have resurrection ability when you kill them they die permanently."
200,Monster Hunter,RWBY,"You hunt monsters for a living. It’s what you do and you’re damn good at it. Anytime you’re fighting creatures that could be considered monstrous, you’ll have an easier time dealing with them and will quickly find their weak points. In addition, in future Jumps, you’ll always be able to find jobs hunting down and killing creatures for cash. This will vary in effect based on the Jump."
200,What’s This Doohickey?,Campione,"Ah, supernatural powers. They don’t come with an instruction manual, be it the magic of mortals, the Authorities of Gods or something else entirely, one needs to get their exact limits and improve themselves by trial and error. Well not anymore, this little blessing works to take care of that. Now, you gain an innate knowledge of how to use any new powers you acquire, as well as their limitations and advantages. Doesn’t sound like much until you get a power-up in the middle of a battle and you realize you don’t know how to use it. Embarrassing."
200,Unified Specialty,Mushoku Tensei: Jobless Reincarnation,"When someone tries to train and master Martial Arts and Magic they have to train them individually which consumes a lot of time, but this would solve that problem. This unifies and links all of your physical and magical attributes so that when one grows, the other grows to match it. This is not a recursive loop; it simply balances things out such that whichever is lower is raised up to the level of the higher. In this case your Battle Aura and Mana Reserves are always in balance thus a God-Rank Magician would have a Battle Aura and Physical Feats of a God-Rank Warrior and vice versa. In future jumps, your physical attributes will scale to match your magic and vice-versa."
