Cost,Perk Name,Source,Description
50,Life Skills,Generic First Jump,"You have the basic life skills that everyone really should possess. You can cook, clean, do laundry, drive, perform basic maintenance, balance finances and perform other such tasks that are needed by the average person."
50,Acrobatics,Justice League Unlimited,"Quickly sprint over rooftops, dash through hazardous environments, and avoid being hit by your foes with graceful and impressive displays of agility. You’re skilled enough to easily avoid melee blows from mundane opponents, doge ranged attacks from most thrown weapons, and traverse complex environments like cities, secret labs, and alien hives well enough to keep up with your flying allies or outpace deadly pursuers."
50,Escape Artistry,Justice League Unlimited,"You're a pro at getting out of traps and bindings. You could easily escape from any normal kidnapper or prison, and I'm sure plenty of magicians would love to have you as a partner. While you're not yet capable to escaping from anything designed by a super genius or advanced civilization, you can easily learn how to with a bit of study or experience."
50,Stealth,Justice League Unlimited,"Just like Batman, Huntress, and various other sneaky individuals, you've learned how to sneak past armed goons, avoid security cameras, disappear into shadows to avoid detection, and quickly move without making a sound. This is skills work best against modern technology and mundane foes, but you may be able to sneak around alien and supernatural threats as well if you’re especially careful."
100,Eagle Scout,Generic First Jump,"You are an expert when it comes to survival, both wilderness and urban. You are both talented and lucky at finding the materials and resources you need, in any environment they could exist in."
100,Homemaking Skills,Ranma ½,"You can cook and clean with supreme skill and efficiency, in any environment. While others would need all day to get the house clean, do the laundry, and make dinner, you can have it all done perfectly in minutes with lots of time to spare for some light reading or other hobbies."
100,Steady Hands,Generic Medical Drama,"You gain microscopic precision in your movement. You can hold yourself or objects perfectly still, and draw perfectly straight lines or flawless circles freehand. Your fine control makes you more graceful as well. Does not grant the senses to make this kind of precision truly useful."
100,Bartender,Final Fantasy 7 Remake,"You’re a great bartender, both in terms of mixing drinks and connecting with people. Your delicious drinks and worldwise demeanor will quickly make your name known amongst your patrons. Whether you use this ability to recruit for your resistance group or make your local pub the talk of the town, you’ll fit right in behind the counter."
100,Night Life,Final Fantasy 7 Remake,"It’s rough living in the slums, so Midgar’s poorer residents live like every night is their last. You’ve got the dance skills to work at the Honeybee Inn, suffer no ill effects from alcohol, and can easily ensure you and your compatriots have a relaxing and enjoyable night. You also have a knack for intimate entertainment, letting you charm strangers and soothe their bodies. Massages from you would give even Madam M pause."
100,Vehicular Manslaughter,Marvel Cinematic Universe Vol. 1,"You're a really good pilot, and a really good driver! It doesn't take you long to familiarize yourself with a new vehicle, though alien vehicles may take a fair amount of trial and error. Once you're moving however, you know how to get the most out of your new toy... as well as how to utilize it against your enemies. Whether using the weapons or just running them over, a vehicle is a tool of death in your hands."
100,Rules Lawyer,Marvel Cinematic Universe Vol. 2,"Political maneuvering can be a boon when you're the one doing it, and a complete bane when it's being used against you. It's kind of like the difference between being a smart-ass, and someone being a smart-ass to you. Everyone knows, however, that only the best smart-asses survive in this business. You're able to pick up laws and legal customs very quickly, and recall them the second you may need them. No legal document is too obscure for you to forget, and your ability to spin these legal rules will no doubt serve you well in getting out of trouble and infuriating your enemies."
100,What? Who?,My Hero Academia,"Sometimes it’s good to be noticed, trusted, recognized for your actions or image. But as someone who skirts the law, that isn’t always true, now is it? You’re way better at organizing quick disguises to cover up or distract from your more eye-catching physical features, and coming up with excuses to wave people off and come off as NOT suspicious. It’s of serious aid when you’re trying to make sure people don’t recognize you for your alias out of costume or vice versa. Also useful for just getting ignored."
100,Master Forgery,RWBY,You possess the lucrative skill of forging documents. Any documents you forge are of the highest quality and will pass nearly any inspection. Lots of people would pay lots of money to get their hands on the things you can provide.
100,Ingredient Hunter,Battle Through the Heavens,"Knowing how to identify special medicinal plants is not a skill only relevant to Receptariers. Physicians, a profession similar but inferior to alchemy, need to know it. Similarly, picking and selling ingredients is a good way to make some money, or even just collecting them to get an alchemist to refine them for you. You have studied for a while, and have a working knowledge of many of the medicinal plants that dot this land, and their general effects. This kind of knowledge will put you in good stead for strengthening yourself."
100,Knowledgeable,King Arthur,"With this you gain a library of knowledge about myths & the legends surrounding them, along with an encyclopedia of information equal to a degree in Biology , Botany, Ecology, Geology, and Ethology, not only in this world but all your previous ones and gaining more as you continue. You also gain a working knowledge in medicine and first aid."
100,A Lover that’s Out of This World,Invincible,"You are capital S, seductive my friend. Regardless of how you look, you have the instinct needed to seduce anyone of any persuasion into bed with you given a chance to talk with them. More than that however, you have the skill and stamina to keep them there for hours, and then bring them back, and back, and back again as you wrack their bodies with pleasure. Let's hope your bed doesn’t knock on the wall or the banging will keep your neighbors and guests up for the entire night."
100,Culinary thumb,Sonic the Hedgehog,It’s like having a green thumb for cooked dishes! Get it? Expect to have a fun time in the kitchen as you become a prodigy of the culinary arts. Even a simple sandwich becomes the most luxurious things ever. But like all things a cook can only do so much with shitty ingredients.
100,Concentration,Justice League Dark,You’ve got excellent concentration. Half the Justice League could be fighting the latest world-ending Big Bad right in front of you and you could easily do doctorate level research while holding a casual conversation with the heroes. It’s not much but comes in handy given how unruly this place can be.
100,A Simple Magic,Justice League Dark,"You’re a liar. Just an absolute, filthy liar. You’ve got a knack for lying in thought, word, and deed. Tall tales, feints, betrayals, espionage, bluffs, omissions, secrets, disguises, you’ve studied it all. You can keep track of all the stories you conjure up comfortably. And if you’ve got the spark for magic, you’ll be able to weave your lies into your spells, crafting powerful illusions and concealing terrible curses like it’s just another Tuesday. This won’t give you the tactical acumen to make sure you aren’t caught and I’m sure someone could find some way to force the truth out of you. Still, given how everything you do could be a lie in one form or another, it would take something divine to make you show your hand."
