Cost,Perk Name,Source,Description
0,Airburst,My Hero Academia,"The user is able to compress small quantities of air into marbles and project them. The marbles rupture on contact with something, popping with the force of a large balloon. The marbles even sound like popping balloons, leaving them a startling, attention grabbing distraction but ultimately harmless. The user must hold their breath while collecting and throwing these marbles of air, requiring strong lungs."
0,Confetti,My Hero Academia,"This Quirk bestows the ability to manipulate pieces of paper after the Quirk user has come into contact with them. Their control is such that they can manipulate many pieces over a wide area, making folds and cuts as desired to shape and split it up. Confetti is unable to manipulate any one piece weighing more than a standard piece of notebook paper however, such as a magazine or a poster. The Quirk user loses the ability to manipulate paper that’s been wet too much, the paper’s integrity failing and weight becoming too great."
0,Curveball,My Hero Academia,"This Quirk allows the user to apply a delayed rotation to small objects, designating the direction at that time. This rotation activates the moment the object begins to move at any significant speeds, and will scale in speed with the speed of the object. The Quirk may be activated and applied through one degree of separation, such as through striking something with a club or bat. The effects of this Quirk end once the object affected comes to a stop,"
0,Leaf Manipulation,My Hero Academia,"The user of this Quirk has to power to project leaves from their surroundings as small, sharp blades at a target. Able to shoot many at once with relative ease. They have no real control over the leaves beyond shooting them, and their lack of real mass doesn’t make them very dangerous for the most part. No ability to generate leaves or very difficult to project heavily damaged leaves."
0,Little Pompeii,My Hero Academia,"The Quirk user has the ability to produce and control ashes from their finger tips. Little Pompeii seems to provide an immunity, or strong resistance, to degenerative side effects of smoking. Fingertips glow orange while active. Ashes are hot to the touch, but lack so much mass and are hard enough to produce that not much can be done with them other than ignite already highly flammable materials."
0,Shadow Puppets,My Hero Academia,"The Quirk user gains the ability to manipulate their own shadow. Stretching it, twisting it, shaping it, growing it, shrinking it and even adjusting the shade. This Quirk does not give any unique properties to the shadow by itself. The Quirk user has difficulty with growing their shadow more than twice its current size."
0,Weak Attraction,My Hero Academia,"With this perk you may pull small, lightweight objects closer to you. This is a Quirk of convenience, grabbing things from the other side of the room like keys or drinks. It is heavily limited by the weight of the individual objects it can grab, mostly focused on small, lightweight things under a few pounds."
0,Dou Qi Method,Battle Through the Heavens,"While Dou Qi Skills may have been the bread and butter or cultivation, Dou Qi methods are the foundation upon which everything rests. These are the things that allow cultivators to cultivate, to gather Dou Qi and grow stronger. As such, the strength of one's Dou Qi Method is extremely important. The better it is, the faster and higher one will rise. You may get a Huang, Xuan, Di, or Tian tier Qi technique. Each rank increases the speed of cultivation and rate of recovery of Dou Qi. Normal Huang Methods are open to the public. Xuan methods are things that smaller clans might have. Tian Methods are sufficient to drive Dou Zun crazy."
0,Dou Qi Skill,Battle Through the Heavens,"The bread and butter of the cultivation world. These are the techniques used by cultivators in order to fight against the many beings within this world. Many cultivators will have numerous different Dou Qi Skills with a range of strengths and weaknesses. These are to cultivators what spells are to mages. You receive a scroll upon which is written a Huang, Xuan, Di, or Tian tier Qi technique. Each rank greatly increases their strength and efficiency. Be warned that the higher level techniques will require much more Dou Qi to use."
100,Absorb & Release,My Hero Academia,"This Quirk allows the user to absorb enemy attacks, kinetic and energy based, hold them within their body and release them whenever and however they wish. It is heavily limited, however, by the fact that it doesn’t protect the user of the Quirk in the process of absorbing the attack, causing them to be burnt by fire, shocked by electricity and so on."
