Cost,Perk Name,Source,Description
0,Graffiti,My Hero Academia,"The user is able to change the color of whatever they touch to any color in the rainbow and spread that color as they please from the point of contact up to a meter. Despite the colors of the material actually changing, the effects can be removed as if it was wet paint with moisture and a little pressure such as water, sweat and skin oils. No residue remains"
0,Ice Cube,My Hero Academia,"This Quirk allows the Quirk user to produce perfectly chilled ice cubes by shaking a closed fist, causing them to fall out of their fist. Crushed ice and dry ice are options. Ice Cube uses body moisture as a resource to generate ice. Several average coolers could be filled before the quirk user starts getting thirsty."
0,Lighter,My Hero Academia,"The user of this Quirk is able to able to produce flames over their thumbs by snapping, using the air in their lungs as fuel. Using this Quirk allows one to either sustain a small flame for a bit by parceling out their breath, or blow it all away in a small fireball that leaves themselves breathless. Limited by lung capacity."
0,Scarface,My Hero Academia,"The Quirk user has the power to have their voice originate from any point within a small radius around their body. This gives them limited ability with throwing their voice and a particular talent with ventriloquism if they pursue that. Coincidentally, the Quirk user is unable to open their mouth while making use of their Quirk, and for several seconds after. This can be threatening if their nose is suddenly sealed."
0,Uppercrust,My Hero Academia,"The user of this Quirk is able to create and spread a hard, jagged material made of keratin among other things from their hands, allowing them to protect their firsts or bind enemies. The strength of this material is similar to fingernails, but can be layered to strengthen it. The user is unable to produce much at once and the quality of the material can degrade with stress."
0,Waterworks,My Hero Academia,"The user of this Quirk is able to produce an outrageous flow of tears and project them a great distance, similar to a pair of hoses. This also allows them to cry on command. While the user has a kind of inner reservoir of additional water for the tears to draw from, it’s rather small, meaning the user is heavily limited by their body’s moisture, needing frequent water breaks."
50,Trampling On Your Dignity,Medaka Box Abnormal,"If you’re going to send a message, you might as well do it in complete overkilling style. There’s really no other way to go about things. Whenever you want, you’re able to call up text in whatever font and size you want to float around you in the air, spelling out anything you want the words to spell out."
100,Air Walk,My Hero Academia,"The Quirk user has the capacity to float and levitate though the air as if weightless. This can be used to reach difficult spaces, scout from above, move yourself out of range of enemy retaliation and basically all the other applications you can imagine for flight. Air Walk bestows a high degree of control over the user’s movement through the air. Conversely, this flight has low acceleration, and the faster the user is going, the less control they’ll have."
100,Black,My Hero Academia,"The Quirk user is able to merge with anything seen as the color black. This includes shadows, which are simply black due to the absence of light. The Quirk user may move quickly around and through anything they’re currently merged with, enabling quick movement. The Quirk user may ready this ability ahead of time to instantly merge with something black upon contact. If the current target of possession is destroyed, the Quirk user is forced from their hiding place, which includes shadows dismissed by light. With time comes potential for manipulating their hosts."
100,Brute Strength,Generic Gamer,"You are incredibly strong. You can lift cars straight up into the air with a bit of effort, and your punches can dent steel. This isn’t just regular strength that’s boosted to superhuman levels, either — it’s a sort of Superman-style tactile telekinesis that ensures whatever you’re lifting or holding won’t fall apart under its own weight, also allowing you to catch objects or people falling from a great height without any harm done to you or them."
100,Came in Through the Window,Rise of the Guardians,"It’s helpful, being able to walk through walls. You’ll be able to experience that first hand, as you can now travel intangibly through any non-magical solid less thick than you are. Let not mere mortal barriers give you pause. This effect does not extend to any people you might be in physical contact with, not even if you’re carrying them."
100,Confession,My Hero Academia,"This Quirk allows the user to force anyone they ask a question to answer with the truth to the absolute best of their abilities. This can even allow the user to get the truth to questions the target may be suppressing or not fully aware of, like their true feelings on a touchy subject. This Quirk is not only an extremely potent interrogation tool, or for psychological torture. As it only allows for forcing out the truth to the questions the user asks, the user must know what questions to ask and how to ask them to get the best of this ability."
100,Crystallization,My Hero Academia,"The Quirk user is able to produce crystals from anywhere on their body. These crystals are very hard, though not unbreakable, which allows them to give themselves a form of crude armor as the situation calls for it. The Quirk user may grow them near instantly, though body hair inhibits structural integrity. The Quirk user has difficulty shaping their crystals, which may leave them somewhat awkward in some situations."
100,Disintegration,My Hero Academia,"The user of this Quirk is able to destroy anything they lay their hands on, causing it to slowly crumble to bits. The user must lay their entire hand and five fingers on their target. Unfortunately, this Quirk is always on, meaning the user must be incredibly careful not to lay their entire hand on anything they want to keep intact."
100,Double,My Hero Academia,"Double is a quirk that allows the user to create copies of themselves or others with a touch, up to two at a time. The clones have the same personality and abilities as the original which may either be a boon or a risk depending on who you clone. This includes their Quirk. This is not without its fair share of caveats however. Due to the autonomous nature of clones, they have the potential to rebel if they don’t like their lot. The first clone made of someone is much less durable and will dissolve into black liquid when injured too much, the second clone will be even less durable than the first. Finally, the Quirk user needs a stellar mental image of whoever they’re copying to make a proper clone of them. This includes various measurements and features."
100,Four Colour User,Medaka Box Abnormal,"A lifetime of collecting comics has paid off well. By making comic book sound effects with your voice, you are able to empower the connected actions by a fair margin. Yelling out POW as you punch someone would see them hit with significantly more force while exclaiming BZZZT as you electrocuted them would make them get rocked by half again as many volts as before."
100,Lightning Quick,Generic Gamer,"Well, not that quick, or anywhere near it, admittedly, but it’s a cool name. Your top speed lies at about half the speed of sound, letting you cross multiple football fields in mere seconds. But there’s a difference between being fast and being quick, and you’re the latter — in addition to your incredible speed, your reflexes are instantaneous and incredibly precise. The deftness and dexterity you possess is beyond even a lifetime of training; other people occasionally fumble, but not you. You have a gymnast’s flexibility and walk with a dancer’s grace."
100,Matsurou Ashikabi,Sekirei,"You have a gift. A very powerful gift. You can dampen or outright cancel supernatural or other non-human abilities, reducing their effectiveness for a full hour after direct contact with them."
100,Mystic Eyes of Charm,Fate/Stay Night,"Your eyes possess the power of love. By looking into the eyes of another being, you can create a growing affection for you in their mind. A mere glance will give the equivalent of a crush on you for most non-magical beings whilst several minutes of uninterrupted eye contact with those same could create feelings of deep love that last for days at a time. Longer then this would create longer lasting feelings of course. Whilst incredible willpower might allow a mundane mortal to temporarily resist, they're rather out of luck as this magical trait quickly batters down the defences of mundane beings. Any supernatural being however, can quite easily shrug off the effects so it is unlikely you will be able to ensnare any but the weakest supernatural beings."
100,Mystic Eyes of Fire,Fate/Stay Night,"Your eyes possess the power of flame. With them, you have gained a control over fire and heat. You can ignite flammable material within sight with a blink. You can also naturally create and manipulate heat and fire within your field of vision. At first, this will be limited. You might be able to create several small fireballs or raise/lower the temperature of a single room by a few degrees. Eventually, you'll be able to create and fling around person sized fireballs, create temperatures that boil people's skin from their bodies in seconds or snuff out house sized fires with a thought."
100,Mystic Eyes of Pressure,Fate/Stay Night,"Your eyes possess the power of punches. Or is that meant to be force? Either way, it's the same effect. You are able to create impacts on anything that you can see. These impacts are exactly like if you went over and punched whatever you are aiming at, with all the shape, size and strength of your fist. You can't make more than one eye punch every few seconds for now but you can probably work this down to around one a second if you're really punch happy."
100,Mystic Eyes of Trick,Fate/Stay Night,"Your eyes possess the power of illusions. You are able to hijack the five senses of other beings with nothing more than brief eye contact. Your skill with this new ability is limited at first. You might only be able to subtly influence one or two senses at first and anyone with supernatural powers would be able to negate your influence. But give it a few years of practise, and with something this fun how could you not practise, and you could find yourself being able to overwrite all five senses of any human as you please, as long as you had eye contact when you started. Sadly you can only influence one person per eyeball at a time, though you only need eye contact once. Supernatural beings aren't immune to your powers but it's not impossible for them to resist like it is for mortals either so don't be surprised if anyone too strong or skilled can see past your tricks."
100,Plasma Generation,Arrowverse,You're able to shoot plasma beams through your eyes and charge your fists with energy to create strong attacks.
100,Run Like Hell,Generic First Jump,"You have a talent for running from trouble. You tend to choose the best path to lead to safety, you are a bit faster than would be expected, your endurance is extraordinary, and you are extremely sure-footed and agile."
100,Shake,My Hero Academia,"The user of this Quirk is able to vibrate whatever they touch, including the strength and speed of the shaking. This also makes the user more resilient to other vibration based abilities. Using this power, the user can shake apart and break brittle things quite easily, change the shape of the battlefield, rattle an enemy and other things you would use vibrations for. The user of this Quirk is limited by the aftershocks of their own ability, becoming stunned or even immobilized for an extended period of time if they shake something with too much strength or speed."
100,Shapeshifting,Arrowverse,"You're able to shapeshift into any person you've had physical contact with, even copying the clothing they were wearing. This allows you to instantly change the color and texture of your body, allowing you to replicate clothing and other materials on your own body. For complex items it just gives the appearance of it, but not the function; for example copying a person's watch isn't going to create an actual watch, but something that looks like one but doesn't count time."
100,Skeleton Key,Generic Medical Drama,You can lock and unlock any physical lock with a touch. Also works on knots.
100,Sonic Scream,Justice League Unlimited,Blast people away and wreck both vehicles and buildings with defining yells. Your super powerful sonic screams can be easily controlled allowing you to use this power for both lethal and non-lethal attacks. Keep in mind that while this ability is powerful you'll be limited by the amount of air in your lungs and holding a scream for too long could potentially cause you to pass out.
100,Star Blessed,King Arthur,You are blessed by the stars in the constellations. this gives you a minor power based on the constellation you chose.
100,Super Human Durability,Arrowverse,"Withstand very high levels of physical damage, immunity to small arms fire. With training you can gain immunity to calibers up to anti-material rounds."
100,Super Strength,Arrowverse,"The power to lift much heavier objects and hit harder than is humanly possible, strong enough to lift a small car overhead to start with but it progresses enough you’re able to bench press a tank."
200,Albert Einstein,Petals of Reincarnation,"Another great scientist of the world, this time the man who created the theory of relativity and more besides. Einstein’s studies resulted in a power that allowed him to teleport between two spaces, now passed down to you. You are able to, by sticking out your tongue, teleport instantaneously between any two spaces. You’re also able to selectively take anyone or anything within a few feet of you with you, including only parts of people if you wish to cause some rather horrific injuries. However, you can only teleport to spaces you have physically been present in, the exact spaces mind, and that space significantly changing or being damaged will erase the record of you having been there and prevent you from teleporting there until you’ve physically moved there again."
200,AUTO PILOT,Medaka Box Abnormal,"You’re able to set your body to work independent of your mind, letting it defend, attack and act solely based on your reflexes. No longer reliant on your reaction times or what you notice and focus on, your body will move perfectly and at full speed to attack, dodge, block or reach any foe or action you could normally do whilst your mind is free to think independent of this. Your body is still slaved to your senses however and cannot move faster than it normally could, only better, and thus it remains possible to trick your reflexes, though if you choose to focus on your actions at the same time as you have Auto Pilot active, you can erase this problem and increase your effectiveness even more. You can turn this Auto Pilot on and off."
200,Avalanche,X-Men Evolution,"You generate powerful seismic waves from your hands which can cause highly destructive effects. These waves cause any form of inorganic matter to shatter or crumble to dust. When directed at large objects, like a building or the Earth itself, these waves create effects similar to those of an avalanche or an earthquake within localized areas. With enough time spent you’ll crumble entire skyscrapers with your quakes. This gives you a limited degree of geokinesis as well given the waves can be used to create thrusting pillars of rock for ranged attacks, create trenches or earthquakes, and even redirect earth-based substances to an extent."
200,Big March of Animals,Duel Monsters - Shadow Realm,"The beasts are united against civilization, they have a camaraderie even as they hunt and are hunted by one another. You can bring this camaraderie to bear, and call for a crusade of creatures: With a wild howl, you can call for a temporary union of wild beasts around you to strike and overcome your foes! Although if you wish, you can use this for reasons beyond simply attacking, and use the unique capabilities and teamwork to serve your goals."
200,Clones,My Hero Academia,"This Quirk allows the user to expel glowing, ectoplasm-like slime that can then be transformed into clones of the user. The user can either create numerous clones of the same size as the user or expend more ectoplasm to make bigger clones. The number limit is normally in the tens for same size clones, but can fluctuate depending on mood. A good mood increases the number a bit, while a bad mood decreases the number a bit."
200,DEVIL STYLE,Medaka Box Abnormal,"Those Main Characters better watch out because you’re about to take away one of their biggest advantages. Around you or in things you are involved with, you remove the influence of fate and luck. Plot armour ceases to be a thing, lucky coincidences never happen and fate and destiny are barred from having any effect on the actions of any involved. Around you, it comes to the individuals’ own actions to decide the fate of the world and not any unseen force of luck or fate."
200,Elasticity,My Hero Academia,"The Quirk user is able to bestow elasticity to whatever they touch, including large objects, the ground and even the air. This can be used to manipulate the environment to one’s advantage, such as creating trampolines for 3D movement, or trapping others in air-based rubber walls. The Quirk user is unable to affect living things with their Quirk, limiting them to environmental and object-based manipulations. The Quirk user may not manually disable the effects of their quirk. Objects affected will instead return to normal after a moderate amount of time has passed."
200,Esper Ability - Accelerator,Toaruverse,"Through a series of experiments, drug usage and the like, that individual will be able to achieve and substitute standard reality with their own personal reality. You may choose one of the cannon abilities below in the notes. All abilities bough her starts at level one and would reach level five within ten years even you’re living like a normal student and seeing combat at least one to three times a week would cut down the time needed to reach level five by half. After reaching level five you can reach level six within two hundred fifty years faster if you have training perks and been on combat frequently. For additional 200cp you may choose a different Esper ability from cannon examples.

Accelerator: It creates a thin field of AIM around you, which allows you to manipulate the vector values of anything you touch or around you. The passive ef ect that you do not need conscious control, may deflect or redirect bullets that strike you or the pressure wave of an explosion without requiring you’re awareness of the threat and many more. The active ef ect of the ability requires active calculations in order to maintain it, as even a slight error can nullify the ef ect but it can allow you manipulate vectors instead of redirecting them."
200,Esper Ability - Dark Matter,Toaruverse,"Through a series of experiments, drug usage and the like, that individual will be able to achieve and substitute standard reality with their own personal reality. You may choose one of the cannon abilities below in the notes. All abilities bough her starts at level one and would reach level five within ten years even you’re living like a normal student and seeing combat at least one to three times a week would cut down the time needed to reach level five by half. After reaching level five you can reach level six within two hundred fifty years faster if you have training perks and been on combat frequently. For additional 200cp you may choose a different Esper ability from cannon examples.

Dark Matter: It allows you to create and manipulate an unknown material from outside of this universe to attack. The material that you create defies the Laws of Physics, which can produce twenty-five thousand dif erent types of energy. The substance can apparently shape into any form you desire. The most obvious of this is the six angelic wings, which grants you the power to fly, blow powerful gusts of wind that is af ected by the power, and have sunlight pass dif ract upon it to form harmful rays of light."
200,Esper Ability - Electromaster,Toaruverse,"Through a series of experiments, drug usage and the like, that individual will be able to achieve and substitute standard reality with their own personal reality. You may choose one of the cannon abilities below in the notes. All abilities bough her starts at level one and would reach level five within ten years even you’re living like a normal student and seeing combat at least one to three times a week would cut down the time needed to reach level five by half. After reaching level five you can reach level six within two hundred fifty years faster if you have training perks and been on combat frequently. For additional 200cp you may choose a different Esper ability from cannon examples.

Electromaster: It allows you generate and manipulate electricity. You can also able to sense all phenomenon related to your power and all electric fields from the surrounding nature, along with all magnetic and electromagnetic information are processed subconsciously whether they want to or not. Unique to Electromaster is the ability to be influenced by electromagnetic waves, even to the extent that they can feel unpleasant towards which manifests itself as something like being watched. Moreover, they are capable of detecting other Electromaster if there isn’t any interference."
200,Esper Ability - Meltdowner,Toaruverse,"Through a series of experiments, drug usage and the like, that individual will be able to achieve and substitute standard reality with their own personal reality. You may choose one of the cannon abilities below in the notes. All abilities bough her starts at level one and would reach level five within ten years even you’re living like a normal student and seeing combat at least one to three times a week would cut down the time needed to reach level five by half. After reaching level five you can reach level six within two hundred fifty years faster if you have training perks and been on combat frequently. For additional 200cp you may choose a different Esper ability from cannon examples.

Meltdowner: It allows you to forcibly control electrons in the ambiguous state of an electron where it is both particle and wave, and when they strike other objects the electrons are unable to react either as particle or a wave because of their state. The ability usually takes on the form of a high-speed beam of light that can easily melt through thick metal walls and cause things like refined alcohol to explode with its heat alone. Another radical application of this is limbs and by emitting a power similar to a rocket, it can perform high-speed evasion that is fast enough to escape an explosion."
200,Fly Around the World,Rise of the Guardians,"You know what really helps with spreading your Center? Being able to get places fast. You have some form of enhanced personal mobility. Maybe you have iridescent glass wings that are razor sharp, doubling as weapons. Maybe you’re extremely agile, and you can move faster and jump farther than any human ever could. Maybe you can achieve flight by riding the wind like a snowflake. Maybe you can teleport between shadows. Maybe something else. It’s really up to you."
200,Fuel Siphon,My Hero Academia,"The Quirk user is able to inhale and absorb the stamina/energy of whoever they’re touching. This can quickly drain a victim to the point of incapacitation if contact isn’t broken. Drained stamina can be used not only to reinvigorate the Quirk user, leaving them fully refreshed. An overabundance of drained energy can also be channeled into temporarily increasing the Quirk user’s size, strength and durability, leaving them even more powerful than before. As previously stated, there are two conditions for this Quirk. The user must breath in, taking a deep breath, and sustained contact is required for the duration of this time. Breaking contact or preventing the Quirk user from breathing in can interrupt this Quirk’s effects and leave a victim with a chance."
200,Glamour,My Hero Academia,"The Quirk user may emit a mist from their mouth, which can then be manipulated to form complex visual and auditory illusions over a wide area. Sound and appearance with a bit of thought can reach lifelike realism or become a fantastic spectacle. The Quirk user must emit their mist before forming illusions. The Quirk user’s mist will dissipate given enough time, cancelling the illusions in place if not replenished."
200,Gun Visible Colour,Medaka Box Abnormal,"They'll never expect such a childish gesture to be so dangerous. You've got finger guns now, letting you make a gun shape with your fingers and then have that hand fire off invisible bullets of force at the enemy. Each bullet is about as strong as one of your own punches but you're not limited to just firing invisible pistols. So long as you can roughly mime the use of the sort of gun, you're able to use that instead. You can cock and fire an unseen shotgun or ready up an entire chain gun, though you are limited to real world guns in this way."
200,Healing Factor,X-Men Evolution,"You possess a high-rate of cellular regeneration with far greater speed and efficiency than a normal human. This healing factor allows you to heal from superficial to deep and serious wounds in a couple seconds along with missing limbs or anything internal in at most a minute. Even falling from an airplane, landing face first on the ground, and breaking every bone in your body won’t keep you down for more than a few seconds. This regeneration also makes you immune to all forms of illnesses, poisons, and diseases. You are nigh-impervious to age & cellular decay via constant cellular regeneration so expect to live a few centuries in your prime before starting to see the slimmest glance of aging."
200,Healing Touch,Superman: the Animated Series,The power to restore biological life to optimal conditions. In a less than a minute you can heal any injuries and cure any illnesses of any biological organism that you touch. Does not work on yourself and cannot revive the dead.
200,Isaac Newton,Petals of Reincarnation,"One of the most famous scientists in history, the man who formulated the law of gravity, motion and other kinetic objects. Calling back to the way he was first inspired, Newton grants you the ability to create a limitless number of apples. You are able to control gravity within 4 metres of these apples, with enough force to crush people to gooey puddles or even partially bend space around them. Newton also makes his Reincarnators have heads that look exactly like giant apples."
200,Landmine,My Hero Academia,"The Quirk user has the capacity to turn anything they touch into an explosive, including other people. After that point, they may remotely detonate that explosive with just a whim. Anything detached from the original object, person or thing will detonate still. The explosions themselves are actually fairly weak. While they may be rendered dangerous with numbers, most things with moderate structural integrity can remain in-tact even after detonation"
200,Lip Service,Medaka Box Abnormal,"With naught but a kiss, you’re able to change someone’s life. You can give a person an ability you possess just by kissing them and, if they agree, even take an ability of theirs in exchange for what you gave them. You can take what you gave back with another kiss, though you can only take back what you gave and if what you gave was lost or modified, it will be lost to you. Through this method anyway. Besides, who doesn’t like an excuse to kiss anyway?"
200,Molecular Acceleration,X-Men Evolution,"You take the potential energy stored in an object and can convert it to pure light, kinetic energy, thus “charging” that item with highly explosive results. The only real limit of this ability is the time required to charge as the larger the object is, the more time it takes to charge with most charging taking place through direct skin contact. The power of the explosions is dependent on the mass of the object you are charging, as a charged playing card explodes with the force of a grenade while a bus will cause a huge explosion. You can also accelerate an object's kinetic energy instead of converting its potential energy; for example, charging a Bo staff with enough kinetic energy will have enough power to level a house."
