Cost,Perk Name,Source,Description
0,Chakra (Jonin),Naruto,"The basic Chakra system perk, you start with reserves equal to average Jōnin. In future Jumps, by channeling chakra into others you can cause a chakra system to grow inside them."
0,Enhanced Ki,History’s Strongest Disciple Kenichi) ​(300,"­ Some have ki. You have KI​. You can feel it in you and channel it more easily, enhancing the normal effects of Sei and Dou ki to a much greater degree. Perhaps upon reaching the status of a master you may project your ki beyond your body, achieving techniques that can only be described as supernatural in nature. This perk stacks with any boost to ki, chi, aura or other general body­based energy field you may have."
50,Self-Motivation,Generic First Jump,"You have no difficulty motivating yourself, easily putting your full effort into any task, training, or activity."
100,A Deep Grudge,All-Star Superman,"You hate them. You hate them SO much. They say wrath blinds a mind, and that envy is a slow poison. Poison is certainly what you will feed to those stupid enough to earn your wrath. When you hate a particular person, object, or organization, your skills and trades come into lucid focus, and all actions you take to destroy or humiliate the object of your hatred enjoy increased competence and an increase in quality, so long as you sincerely hate it with all your heart. Oddly, this comes with the ability to let go of your grudges and hatred, and if you truly wish to, completely forgive them...but why would you do that?"
100,A Kind Heart,Justice League Dark,"Great and terrible sorcerers are a dime a dozen around here. People with the knowledge and means to unmake reality on damn near every street corner. But you have a rare gift not often found in this world: you are one of the few people who could be called truly kind. You have a knack for understanding what people are going through, offering a helping hand, and genuinely caring for anyone and everyone. You know what people need in order to feel safe and comforted. If you’ve got the ability for it, you’ll find that magic you cast is similarly kind. Benefic enchantments you cast and blessings you weave are far more powerful than they have any right to be. Additionally, people notice this kindness and they’ll often act with a bit more grace and love when you’re around, almost as if they’re trying to live up to your example. Of course, you’ll have to act the part in order to fully benefit from this perk. For a paragon of love like you, though? That’s not even remotely a problem."
100,At Your Center Lies,Rise of the Guardians,"Who are you, Jumper? What is your Center, your core? What have you, as a Spirit, sworn to protect? Choose wisely, because whatever it is, it’s a part of you now. Your Center will always be there for you. A spirit of wonder will never stop seeing the world for the beautiful place it is; a spirit of hope will always find it, even in the darkest of corners; a spirit of memories will remember everything that’s ever happened to them. It’s a part of you, and that fact cannot be changed by even supernatural influence. Perhaps more importantly than not losing it, you will never undervalue your Center, never forget how vitally important it truly is."
100,Avarice,DC – Blackest Night,"Jumper. You want it all. You feel great avarice and the desire to claim what you consider rightfully yours, and the will necessary to place your own desires over that of others. It is yours, not theirs."
100,Be Not Afraid,Generic First Jump,"You are immune to the mind-bending or destroying effects of eldritch abominations, are never impaired or disabled by fear, and are also immune to any form of spiritual corruption."
100,Boredom Immunity,Generic First Jump,"You are completely immune to boredom. When engaged in a simple repetitive task, you can choose to fast-forward through it, remembering performing the task without having to experience it fully. This fast-forward ends instantly if something changes that requires your attention."
100,Chakra (Kage),Naruto,"Requires Chakra (Jonin)

By paying 100 CP, you will start with reserves equal to an average Kage."
100,Compassion,DC – Blackest Night,"Whether it was forced upon you or you were already a warm-hearted individual, you feel great compassion and empathy for others. You can understand the emotions of others and feel great care and kindness towards them, giving your heart a sort of gentleness that can set weary souls at ease."
100,Dedication Through Light and Darkness,Duel Monsters - Shadow Realm,"Let it be known. The path of Chaos requires strict training to follow. Any lesser magician or warrior who tries to channel light and darkness recklessly would be destroyed, their body unable to hold both without annihilating itself from the paradox. Now, you have learnt the art of balancing and controlling warring powers; You can now channel and control conflicting energies within yourself, and keep them separate enough so that they do not cause you harm. If two powers would destroy on another and you with them, or null each other, then you can have both within your form or soul with no fear of accidentally allowing them to mix."
