Cost,Perk Name,Source,Description
0,Draught of Unleashed Potential,Generic Xianxia) ​(400,"It has long been known that the human body possesses severe limits. Muscles can only strain so hard before they tear from their ligaments, bones will snap and dislocate under so much pressure, internal organs such as the brain will bruise and bleed if the body is moved too quickly and even the mind itself is limited in just how much it can store and retrieve fluidly. This elixir was meant to resolve these weaknesses, using the unlimited power of the soul to shore up the body’s weaknesses. But humans cannot be improved all at once, and even after taking this rare and powerful elixir, there is still work to be done. By drinking it, the limitations on human growth, both physical and mental are removed. The more you train your body physically, the stronger it will become, the more strain it will be able to take and the faster it will be able to move. The same benefit applies to one’s mental abilities as well, the more the drinker studies and acts upon the knowledge they have acquired, the easier it is for them to retrieve and use that information in novel and useful ways. Its sole weakness is that humans are not naturally meant to last forever so these abilities will degrade from disuse, requiring the person to train nearly constantly to both improve and maintain these qualities"
0,"The Caloric Stone (Overlord) (800): The actual origin or source of the Caloric Stone is a near total mystery. It forms only from large concentrations of the Seven Prismatic Ores, legendary divine materials that possess qualities far and away above anything else. Why this occurs, or even who first discovered the Caloric Stone, is unknown. While held the Caloric Stone grants the usual benefits of a World Item upon its bearer, providing protections against negative status, instant death, being trapped or held, scried upon, and so forth, trumping even the effects of other World Items. However, while useful, those are far and away the least impressive aspects of the stone. The truth of the matter is quite simple; the Caloric Stone is the ultimate crafting material. No matter what you are making, no matter how mighty, no matter what other materials are included, adding the Caloric Stone will make that item or bit of craftsmanship better.Food, drink, weapons, armor, buildings, vehicles, golems, indeed anything that can be crafted can be quantifiably made superior (by an astounding degree)",N/A,"by the inclusion of the Caloric Stone in its creation process, as the stone expands the possibilities and power of what can be done with crafting. If you were to use particularly mighty materials in the creation of something, say ingredients on par with those usually used in the making of a Divine Tier item, the resulting piece of equipment would be truly legendary, halfway between the status of a Divine tier item and a World Item. Obviously, and unfortunately, the stone is expended when used.However, since you’re paying at a premium, you are guaranteed to receive a new Caloric Stone exactly one month after using it, appearing in whatever location is most convenient for you. You may explicitly hand this to other people but you need not fear losing it. If separated from your person in a fashion you didn’t intend it will appear in the closest convenient location for you a day later. However if it was used in this time frame to make something then you must still wait a month for it to respawn. The Caloric Stone is utterly unique and cannot be duplicated or copied via any method."
0,"The Ring of Elru (Overlord) (800): The world of Elru was ruled by a magocracy of unimaginable wealth and prosperity, and at its head was the God-King of Elru who wore this ring upon his finger. When Elru was destroyed by the World Serpent in its attack on the World Tree this item, a World Class item, was all that remained. Magic users that wear this ring will find that the potency of all of their magics has been doubled, and that the cost for casting those magics has been halved. Additionally it provides protection against all mind controlling effects or compulsions as well as instant-death effects, negative status effects, and scrying effects, trumping even other World Class items that have such powers.These things are all well and good, but the true power of the ring and the reason the God-King of Elru wore it lies in its last two abilities. The first is that three times per day the person that wears it may cast any spell, ritual, or magic they know that requires material components, or that drains ‘experience’ or ‘lifeforce’, or indeed any other requirement... instantly and for free. The second is that the Ring itself may be used to create as many Yggdrasil Gold Coins as the user desires, seemingly creating them out of nothing and appearing at any designated point (or in the users inventory if they have one and desire that)",N/A,", however they can only create about a million coins a second. The ring itself is made of orihalcum with seven bands that run along it, each one made of one of the seven prismatic ores such as Scarlet Gold or Living Blue Soul. It is soulbound to its wearer and cannot be stolen, given away, destroyed, or lost by any method short of death. Additionally it is utterly unique, and it cannot be copied or duplicated in any way whatsoever using in-jump methods."
25,Inexhaustibly Mundane,Justice League Dark,"A pack of cigarettes that always has a few more smokes. A lighter that never runs out of fuel. A wardrobe with two or three dozen new outfits every week. With this option, you’ll get an appropriate container (no larger than an average refrigerator) whose contents continuously refill every few hours or so. Besides this infinite refilling nature, these items don’t have any other magical property. It won’t work on anything alive and nothing gained this way will be anything close to nutritious. Additionally, you won’t be able to use anything from this option as reagents in any potions or rituals. Finally, the container for these items is what’s enchanted, not the items themselves. If you break the container the items come in, you’ll have to wait until the next jump for it to restore itself."
50,Wardrobe,Generic First Jump,"You possess an extensive wardrobe that will always include the perfect outfit for any occasion. This includes all accessories required, but is limited to mundane clothing, not armor or any form of supernatural clothing. This clothing and accessories all disappear if you attempt to sell them."
50,Training Suit,Generic Fist Jump,"This set of clothing, of whatever type you choose, has a positive effect on any training you do while wearing it. Your training will be twice as effective as it otherwise would be. The clothing will also self-clean and repair overnight. You can choose to change the nature of this clothing at the start of a new jump. Sweat suits and karate-gi’s are traditional."
50,Turbo Ether,Overlord,A blue potion that seems to shimmer with an inner light in a masterfully crafted glass vial. When used it restores half of your mana instantly and removes mental fatigue.
50,Magic Charger,Overlord,A small hourglass shaped gem that can fit in the palm of your hand. When used it reduces the casting time of any one spell to zero.
50,Ring of Sustenance,Overlord,"A golden ring that will resize itself to fit your finger. While wearing it you do not need to eat, drink, or sleep. You can still become mentally tired and need to rest, however. This item does not fade with use, but neither do you get extra copies of it. If lost, destroyed, or stolen it will reappear in your Warehouse in one day. Additionally it can not be worn on the same finger as a different magical ring. If you purchased a crafting class alongside this item then you, uniquely, know the process needed to make more."
50,Hooded Cloak,Generic Harry Potter Fanfiction,"​This is a hooded cloak for you to wear, in a colour of your choosing. Looks stylish, and it can change to any other hooded garment at will. The main thing about this, though, is that it makes it very nearly impossible to figure out who you are. Your voice is changed, your face hidden, and your build is non-distinct. No mundane methods can pierce this secrecy, no matter how advanced. Among magicals too, only those who are the very best at these things stand a chance. If you took the Unspeakable drawback you get one of these for free, since it’s your work uniform, but the free version doesn’t have CP backing so if you lose it or it gets destroyed you’ll have to replace it yourself."
