0 CP,Sub-Dermal Translator Implants ,Mass Effect ,"The ever-present and rarely spoken of most common personal technology in this world. Implanted into your head, presumably ears, and allows you to understand nearly all common and almost all rare spoken languages in the form of English. Can be updated with new software via wifi."
0 CP,Grog ,Warhammer 40k - Squats,"A strong ale brewed from the nutrient-rich algae that is a Squat staple. Technically a couple mugs could substitute for food, but it’s got a kick you probably won’t enjoy on an empty stomach. Each purchase grants one keg that refills nightly."
0 CP,Vault Canteen ,Fallout Series,"One of the promotional items for the Vaults, this blue canteen is marked by a yellow number representing which Vault it was promoting, defaulting to 13. But that's not what makes it special, as this specific canteen never runs out of fresh, clean water. I hope I don't have to explain how valuable this will be in an irradiated wasteland."
0 CP,Royal Honey,Futurama ,"A refilling jar. A single spoonful calms you down and a second causes you to fall asleep but
the third will put up in a state of sleep so deep you will never wake up."
100 CP,Portable Medical Sensor ,Stargate Atlantis,"A palm-sized device with a separate scanner, it's very similar to a life-signs detector, but instead
provides images of a subject's internal organs and data on their biology, injuries and general condition."
100 CP,Data Port,Andromeda,"You can choose to have a data port added to your body to allow direct access with your mind to technology. This does include protections from hackers, and vengeful AIs."
100 CP,Hypospray,Star Trek - Lower Decks,"A medical device used to inject liquids into the body. The system used a noninvasive transport
mechanism of compressed air to transfer the injectant from the device into the subdermal layer
below the skin of the body, or artery without the use of a needle."
100 CP,Stimpack Pouch ,Fallout 3,"Seeing as there is always something looking to kill you around every corner, it would certainly make life easier if you could heal yourself. Luckily you can! This small bag contains twenty five Stimpaks that are replenished weekly. Stimpaks boost the body's own regenerative properties, causing faster healing, though it's not very effective against major wounds."
100 CP,Radiation Kit,Fallout 3,"In case you didn't realize, radiation is a serious concern in the Capital Wasteland. Eventually, you will run into it, and you'll definitely want this around. This small cooler has 25 Radaway and 10 Rad-x which are replenished weekly. Radaway purges your body of radiation, while Rad-x increases your resistance to it."
100 CP,Translator Microbes,Farscape,A box with 8 syringes full of translator microbes. Empty syringes refill over night.
100 CP,Genetics Lab ,XCOM - Enemy Unknown,"A lab dedicated to the genetic and surgical enhancement of soldiers. Can be used for Gene-Mods, and is handy in dissecting and replicating future enhancements."
100 CP,Cybernetics Lab,XCOM - Enemy Unknown,"A lab for the creation of MEC Troopers and the research, development and implantation of any cybernetics."
100 CP,MIU Implant ,Warhammer 40k - Adeptus Mechanicus,"Unlike the electro-grafts which transmit information, the mind-impulse unit is designed to transmit
somatic and sensory data between an organic mind and prepared device, usually a vehicle. It allows
for the control of a machine's functions as if they were direct extensions of the adept's body. This
model can be easily programmed to interface with any number of devices, and will allow for
seamless and intuitive control over all standard template construct patterns."
