0 CP,Psychic Nullifier,Fallout Mutants,"A strange headpiece with a chin strap to hold it in place. When wearing this, you will find your psychic abilities weakened or nullified, depending on what you need at the moment. It’s quite useful for those who have difficulty with controlling their abilities."
100 CP,Ashen Skull,Imperium Nihilus ,"You’ve heard of the Halo Devices, you’ve heard of the Halo Stars, and so I’m sure that you’ve surmised that those things are far from the only treasures and horrors to be found in within those dark and terrifying reaches of the galaxy. Take this skull for example. One of many rare relics found within the Halo Stars, skulls like these were said to be a potent form of protection against the many dangers of the Immaterium. And it seems that such sayings ring true. So long as the preserved skull of one of the Black Priests of Maccabeus lies in your possession, your soul shall be strengthened, shielding you from psychic powers and unnatural mental influence. It is not a perfect defense, but it doesn’t have to be. After all, besides sheltering your soul, the ashen skull shall give you insight on those who assault you in such ways, telling you of their nature, their location, their intent and perhaps, even their very thoughts, the ones they keep on the surface of their mind."
100 CP,Babel Fish,Hitch Hikers Guide to the Galaxy,This is a small fish that goes in your ear. It can convert any spoken language into something you can understand. It looks like a goldfish and is so staggeringly useful that it (probably) disproves the existence of god. You get a breeding pair.
100 CP,Better Criticals,Fallout Mutants,"You've got some talent with manipulating chance itself, though granted it isn't much right now. This manifests as you landing those lucky hits much more often than normal, which end up helping you greatly in fights. Maybe you manage to hit their elbow on their dominant arm, or manage a shot that unveils a robot's power source, or maybe you just end up hitting them through the eye and into the brain."
100 CP,Blaster Manipulation,Star Wars Sequel Trilogy V1.1,"Who brings a sword to a gunfight? Someone who can ignore bullets. You may now use the Force to deflect or even halt blaster bolts in midair, nullifying the ranged weapons of your enemies. Once a bolt is frozen, it requires minimal concentration to keep suspended, though if you walk away it will continue on it’s path. This power is less effective on kinetic projectiles and non-energy based weaponry, but dedicated practice may change that."
100 CP,Body of the Force,Star Wars Sequel Trilogy V1.1,"Tapping into the cosmic energy field carries some pretty awesome fringe benefits. Suffused with the power of the Force, your body can accomplish great feats of strength and speed. Your reaction time reflects your universal awareness, allowing you to dodge blaster fire and counter expert opponents. Your physical capabilities now edge slightly beyond the greatest potential of your species, making you truly supernatural. Even greater feats may be achieved when coupled with your other powers, such as using telekinesis to leap great heights."
100 CP,Brain Power,Warhammer 40k - Tyranids,"Psykers in this world rarely enjoy the use of their powers and for Tyranids it is even worse. To channel the psychic force of the hivemind through a single mind, it’s no wonder the damage and even death that the Zoanthropes and other psychic organisms often undergo when pushed too far. You are not immune to this force but you do find yourself with a certain degree of protection. Your mental functions and abilities, whether long nights of waiting in ambush in total focus or the use of psychic powers, will never fatigue you or cause you pain, though you will suffer the end results eventually. No matter how you use your mind, you will always be free of headaches, migraines and loss of focus. You can eventually fall unconscious from lack of energy or even die from using too much psionic power but until that point your performance will not be negatively affected. You are also aware of how much fatigue and pain you should be feeling, even as you bypass the effects of it."
100 CP,Emperor’s Tarot ,Warhammer 40k - Black Crusade,"Although the Emperor lies upon the Golden Throne for the good of all Humanity, there are times when his voice must reach you to ensure the survival of his people. Fortunately, this deck will ensure his voice will never waver. A pack of seventy-eight psycho- active liquid-crystal wafers, the cards are often used as a form of divination to hear what the Emperor has to say in this grim, dark future. The deck is even linked to his thoughts, and so when you do a reading you are peering into his grand vision to see what dangers may be approaching you. In times of peace, they are also excellent tools for a card game."
100 CP,Force Barrier ,Star Wars vs Warhammer 40k,"The Force barrier is a simple, but incredibly useful power. This ability allows the user to generate a shield of pure Force energy around their bodies. This shield is capable of protecting you from various amounts of damage based on the strength of the user. For example a youngling could probably block one blaster bolt, but Yoda could block a blast from the main gun of a heavy tank.
"
100 CP,Force Weapon ,Warhammer 40k - Black Crusade,"The power of the Psyker is deadly indeed, even before the training that must take place to hone their abilities. A Psyker with a Force Weapon to attune their psychic prowess and use it as an extension of their powers are tremendously more dangerous as a result. Using a Force Weapon can act as a conduit for one’s powers, allowing them to focus and channel their powers to strike even the mightiest of foes with force unheard of... and this is not including how much more effective it is on supernatural entities such as Daemons."
100 CP,Forecast ,Fallout Mutants,"One of the more common abilities that Psykers possess, should such a term be used for them, is that known as the Sight. With this, you are capable of getting glimpses into the future, often in vague yet helpful forms. You could improve this for a time through the use of chems, but then you'd run the risk of addiction. Still, that would be but a small price to pay to gaze upon the currents of time."
100 CP,Fortune’s Favor,Imperium Nihilus ,"For psykers, especially those lower on the totem pole of power, one of the many ways their powers will manifest is through luck. Be it a good hand in a game of cards or a fortunate find somewhere within the labyrinthine hive cities, psykers are generally luckier than most folk, at least when it comes to more trivial matters. You on the other hand? You take it to a whole new level. While you may not be luckier than most, what you can do is share that luck around, bestowing it upon your allies. As everyone knows, even a little bit of luck can be enough to turn the tides and the more powerful you become, the more of your allies you can bestow your fortune upon."
100 CP,Lightsaber ,Star Wars – Darth Plagueis,"The traditional weapon of the Sith and Jedi, lightsabers are weighty handles that emit a blade of superheated plasma in a magnetic containment field. This ‘blade’ is circular and its cut is omnidirectional, able to instantly sear through most materials in the galaxy in an instant and slowly melt through the few heat resistant enough to bare their edge. That magnetic fields makes the lightsaber a surprisingly versatile weapon, for it repels the ubiquitous blaster weapons used by most sapients and when used in conjunction with the prophetic powers of a Sith Lord the weapon can intercept and redirect ranged fire back at an attacker. As a Sith you have constructed your own lightsaber, with an artificial crystal in its hilt that produces the distinctive crimson blade favoured by your order, and have at least enough competence with it to use it in battle without injuring yourself."
100 CP,Mind Flash ,Destroy All Humans,"Temporarily paralyzes any nearby people, rendering them vulnerable for a short time."
