0 CP,Lab Safety Equipment ,Batman - The Animated Series,"Labcoat, gloves, glasses. While simple, these things seem to shield from accidents in the lab much better than normal safety gear; while they don’t prevent accidents from happening, the accidents that
do happen will damage you far less when you’re wearing these things."
0 CP,Holotape Recorder,Fallout Series ,"Holotapes are laser-readable media storage devices, capable of storing all kinds of information safely for extended periods of time, ranging from music to movies to diary entries, to more. How lucky you are, as you've now got an entire set up just for recording these holotapes, as well as being able to transfer them into other forms of media storage, or vice versa."
100 CP,Portal Plans ,Earth Final Conflict,"Starting in season two, the Taelons start integrating interdimensional standing portals into major airports around earth. Each transit is instantaneous from the perspective of the user, but in objective time takes ten minutes. On the other hand, that’s a flat travel time and these things can reach distant galaxies, though they still need a receiving station. You have a complete set of schematics, including a version that folds up into a two-foot canister for rapid deployment in the field."
100 CP,Lab Coat ,Fallout 3,"You can't exactly be a scientist without looking the part! This pristine lab coat will give you a scholarly aura, making you seem smarter than you actually are. It certainly helps that it never seems to get caught on anything, either."
100 CP,Bookshelf ,Fallout 3,"Knowledge is power, and much has been lost since the bombs fell. Luckily, you have the next best thing. Books. Yes, this bookshelf is filled with all kinds of books that will noticeably increase related skills. There are books on general science, public speaking, car maintenance, unarmed combat, gun manuals, and even more."
100 CP,Skill Books,Fallout Series ,"Knowledge is power, which is very unfortunate considering how few institutions of learning are still functioning. Luckily, you have the next best thing. Books. Yes, this bookshelf is filled with all kinds of books that will noticeably increase related skills. There are books on general science, public speaking, car maintenance, unarmed combat, gun manuals, and even more."
100 CP,Nitrimine ,Marvel Cinematic Universe Vol. 1,"The formula for the chemical compound known as Nitramene, this compound has multiple purposes. A typical Nitramene bomb has a blast radius of five hundred yards after which it creates a vacuum that causes an implosion as matter rushes to fill the void that it has created, but a grenade of that size will do considerably less damage. On the other hand, Nitramene also emits low levels of Vita Radiation, which has a specific wavelength that has stabilizing properties.
"
100 CP,Research & Development Center ,Mass Effect - Andromeda,"The R&D center is integral to the Initiative’s colonization efforts in the Heleus cluster. There is one in every settlement. As you increase the amount of information you discover, the more you will be able to progress and discover in the Research section. And Development allows a user to build any object that you have the blueprints/plans for and resources to make it. If you have a ship, you can choose to integrate this into the ship. While the R&D center is initially limited to making things that are man portable, with the appropriate upgrades, that may change. After all, Remnant Vaults have such interesting technology..."
100 CP,Data Banks,Red Dwarf,You possess a large amount of knowledge across numerous different fields. You can often pull a helpful fact or two in a situation. Repeat purchases give either some very obscure knowledge or more in-depth of the range you already know with this perk.
100 CP,Alien Containment,XCOM - Enemy Unknown,"A cell for alien interrogations, able to resist a dizzying array of weapons and powers. After the war, who knows? Perhaps you’ll someday have a use for an escape-proof cell."
1000 CP,Halo,Halo - The Forerunner Saga,"You should know what this is. Halo. The ultimate, final, weapon of the Forerunners. Devised by the brilliant but twisted mind of Faber, the Master Builder, this ten thousand kilometer wide ring world releases a powerful burst of cross-phased supermassive neutrinos that are capable of destroying all life in an entire star system. Properly tuned and powered, they could do more than that: they could kill all neurologically complex life in 25,000 light years around them. Not even the neuro-physical structures left by the Precursors are spared. Due to the nature of the energy released, which ignores space and time, the pulse sweeps through their target region near instantly. Halo isn’t just a sledgehammer weapon though. It can be wielded with precision: Its pulse can be concentrated into a beam to avoid uninvolved casualties. Its energy can be tuned to target specific species as well. What this weapon has in power, though, it lacks in defense. Four forerunner cruisers could destroy one of these rings together in one shot. Alternatively you could use this ring in the way the Librarian had hoped: As a habitat and research center for lifeforms. A safe haven."
1000 CP,Reaper Tech Data Core ,Mass Effect - Legendary Edition,"Over the eons, the Reapers continued their Cycles, cataloging and preserving each and every civilization they found in their unique way. What you have here is impossibly rare, and completely invaluable. This terminal contains the sum total knowledge of everything the Reapers have ever encountered. In depth notes of different biologies, ranging from the races of the mighty Leviathan to the lowly Vorcha, and all of the Flora and Fauna on each planet that has ever developed. All technology the many, many races developed and were fine tuned by the Reapers, and the underlying sciences behind them. All the different societies that have been developed and their relative success. Full records of their histories, mythologies, and linguistics. All the music, plays, shows and media created. Even all the culinary recipes developed. This contains everything. There is so much in here that it would take even a modern AI a few decades to go through everything stored within."
1000 CP,Kryptonian Database ,Superman - Red Son,"How? How did you get this? You’ve somehow gotten your hands on the entire database of Krypton. All their scientific knowledge, philosophy, music, and history. Everything. With the right intellect and time, you can in time understand all of this and propel mankind to whole new heights, or just keep it to yourself, who are you to decide mankind’s future?"
200 CP,Laboratory,DC - The Fourth World,"A common thread between both sides of the New Gods is that their proximity to the Source makes them above and beyond the common technologies of the multiverse – a lone Mother Box alone could evolve common Earth technology light years ahead of what they have now. With knowledge being so powerful, it’s only fair you have a workshop to put it to good use. Containing every mundane metal, material, and chemical within this multiverse – nothing with blatantly supernatural, metaphysical, or magical components – this is a science lab with top-of-the-line equipment, able to put the dens of so-called supergeniuses of Earth and beyond to absolute shame. Scanners, work tables, even a medical bay for healing...or dissection. It will include similar mundane stocks of material in future jumps, updating for each universe you enter, though any ‘special’ components will still need to be acquired elsewhere."
200 CP,Secret Lab,Invincible,"You have a full kitted out secret lab, hidden in a warehouse of your choice. You own this warehouse outright, and for some reason it continuously gets utilities without you ever paying. The most important
things that this warehouse comes with is a fantastic high tech lab and refilling resources. It comes equipped to be fully utilizable by a super-genius to make high tech objects. It has refilling resources sufficient to make and maintain about a dozen drones or suits of armour on par with Robot Rex’s. This warehouse can be added into any new jump or world that you travel to and retains all upgrades."
200 CP,Cryo Chamber,Lexx,"This is a cryogenic chamber capable of waking its occupant either manually from the outside or on a timer. It contains its own power supply, which can last indefinitely, and will not suffer malfunctions unless deliberately sabotaged. Any and all negative effects are suspended while the occupant is in stasis. Aging is halted, diseases do not progress, curses don’t worsen, protoblood doesn’t break down. All such effects resume once the occupant comes out of stasis."
200 CP,Thorian Enthrallment Notes,Mass Effect,"Also known as ""Species 37"". An over 50,000 year old sentient plant. Details all known information on how it controls people with spores and telepathy. Includes the notes on how Saren Arterius will breed controlled krogan. Could be used to reverse-engineer the same methods with sufficient testing. Could make something like extremely effective calming medicine, group combat stimulators that synchronize normal people into an effective fighting unit, various pain and pleasure inducing agents respectively which can be used in conjunction for mind control, mutagenic agents, and more."
200 CP,Research Assistants ,Mass Effect - Andromeda,"A true scientist will realize that when they are reaching for the stars, that they are standing on the shoulders of the giants who came before them. So sometimes, it’s nice to not have to stand alone. You have a group of  cientists helping you out. While you are in the field, others will be checking your work and conclusions, cleaning up miscellaneous details, and getting the word out there about who exactly is trailblazing. And sometimes, the folks back in the lab will catch sometime you missed. Maybe they spotted a rune you needed, or saw something reflective off in the distance. No matter what,every so often, your science helpers will help you make progress on your current science goals. And in between those bursts of helpfulness, they also handle a lot of the grunt work of science for you."
200 CP,Republic Vehicle Blueprints,Star Wars - Clone Wars,"A list of ships, mechs and armored vehicles either currently or planned to be produced for the Galactic Republic such as the AT-RT, the LAAT gunship, the ARC-170 starfighter, and even the Venator-class Star Destroyer. Designs for ships and vehicles such as the Mandator-II and Imperator-class Star Destroyer that were built and in service to the Republic before the end of the war, but not as widely produced compared to more popular ships, are also included."
200 CP,Separatist Droid Blueprints ,Star Wars - Clone Wars,"A list of mechanical infantry units planned to be produced for the CIS. This list includes every droid they plan to field, from the common B1 and vulture droids to the ultra rare MagnaGuards."
200 CP,Star Maps,Star Wars vs Warhammer 40k,"Imprecise warp travel is incredibly dangerous to attempt without proper coordinates. This is one of the reasons that proper star maps are so valuable and safeguarded. This is a complete star map of the entire galaxy and all known regions of space within the jump. Should you venture out of the galaxy this map will catalog the details of the regions you discover. For example the calmest routes, planets, and any important locations that you find will be noted down
"
200 CP,Legio Cybernetica database,Warhammer 40k - Adeptus Mechanicus,"A trove of information that elder magi would be jealous of, this cogitator core contains the STC blueprints needed to construct all patterns of Battle-Automata and their standard weapon loadouts. The core also contains detailed instructions on how to produce and program the doctrina wafers that dictate each automata's behavior. Though not sapient, automata display animalistic levels of intelligence and devotion, and after long periods of operation may develop harmless behavioral quirks."
200 CP,Primordial Schematics,Warhammer 40k - Necrons,"The human world of Cadia was able to stymie the advance of Chaos largely due to the efforts of Necron technology. The mysterious pylons of Cadia acted to reinforce the materium even on the verge of the Eye of Terror. During the Thirteenth Black Crusade, the Archmagos Belisarius Cawl was even able to use them to shrink the largest Warp Storm in the galaxy. The designs behind this priceless technology are now within your possession. Outside of this setting, pylons designed according to the specifications of these schematics will disrupt interdimensional portals and incursions with some fine-tuning."
200 CP,Technical Schematics,Warhammer 40k - Tau,"This small database is a well organized, easily searchable, and easily accessible list of detailed schematics and scientific texts covering all machines, tools, and sciences understood by the T’au. It cannot be remotely hacked or externally corrupted by others. During your jump, this database includes all T’au knowledge up to either current 40k canon or all information that would be available to the T’au within the next hundred years without your interference, whichever option includes less advanced technology. After this jump, the schematics are upgraded to include all designs and science your T’au have developed and all designs and science developed in canon by the T’au by the end of the Fifth Sphere Expansion."
200 CP,Liber Heresius,Warhammer 40k: Imperium of Man,"An artifact tome first laid down during the Age of Apostasy that has grown to contain the wisdom of thousands of Ordo Hereticus Inquisitors. By properly interrogating its pages, the reader can gain wisdom that enables them to predict and counter the strategies of renegades and traitors before their schemes come to fruition. Over the centuries, the Liber Heresius has become incredibly unwieldy, as
each new wielder scribbles his own notes into its margins."
200 CP,Sukebe Blueprints,Pokegirls,"You have a thumb drive filled with a bunch of Blueprints for a decent amount of Sukebe’s technology,
everything from pokeballs to genetic modification devices."
300 CP,Jumper Computer,Batman - The Animated Series,"A state of the art supercomputer on par with the Batcomputer, which Batman utilizes in most of his detective work. Among its many functions are tremendous computational ability, chemical analysis, as well as an advanced searching tool that can scan for specific words, objects, and people in everything from books, to newspapers, to TV shows and more."
300 CP,RobCo Holotapes,Fallout 4,"A series of Holotapes detailing the blueprints for numerous Robco projects, including Protectrons, Assaultrons, Securitrons, and the various models of Pip-Boys. There’s even a group of Holotapes detailing Liberty Prime’s systems and construction. These Holotapes seem to be more advanced than the standard kind, and therefore there are only a few rather than the hundreds this amount of information would normally take up. "
300 CP,Corbetite Vaults ,Girl Genius,"Ooh. This... well, this should be interesting for you, in the Chinese manner of speaking. You
have somehow, it seems, come into the possession of a huge, labyrinthine set of underground
tunnels, passages and caverns, which holds a set of Vaults apparently lost by the Corbetite
monks sometime in the past. This is a huge, eclectic collection of rogue experiments, borderline berserk clanks, lost research papers, powerful weapons, silly experiments, and everything in between. With hundreds of vaults inside and each of them holding several objects, there are items from some of the most famous (or infamous) figures from Europan history, a collection of objects that would give several people nightmares. Possibly including you. Since you’re paying CP you can be assured that each and everything in here will end up being useful and nifty somehow, but there’s no telling how or when it might happen. This is the kind of place where you find Trains that hate tracks and schedules, random Dreen chilling out, and the odd zombified king now and then."
300 CP,Cold Station 12 ,Star Trek - Enterprise,"A space station containing the preserved embryos of 1800 Augments, plus samples of every disease and pathogen known to Starfleet or the Denobulans at this time. Also comes with computer records of all these diseases, their cures and vaccines if any, and every tweak Arik Soong ever made to the human genome."
300 CP,Basilisk War Droid Schematics,Tales of the Jedi,"Originally made by the Basiliskan Race from the planet Basilisk, these semi sentient War droids
are possibly the greatest in the Galaxy. These droids are operated with a single rider from their
backs, and can even allow their rider to survive atmospheric reentry, and operate as star fighters
both in an atmosphere and in a Vacuum. With this purchase you gain a both the schematics, and
a single War Droid.
"
