0 CP,Money ,Batman - The Animated Series,The only other green that Poison Ivy likes; you have one million dollars to do with as you please. Can be purchased multiple times
0 CP,Damaged Bot Factory ,OOC - Dr Doom,"All this needs is power. This desolate factory has the means and blueprints to make a small
army of Jumperbots, robotic copies that can emulate your power enough to pass off as you. It
will take some time, but this factory will boom again."
0 CP,Fine Amasec and Spirits,Planetary Governor jump,"A collection of the rarest and most expensive alcoholic beverages from across the galaxy. These delicacies are sure to impress even the most discerning of connoisseurs, and are the perfect accompaniment to a lavish dinner or social event. Restocks itself monthly"
0 CP,Shrine to the Machine God,Warhammer 40k - Adeptus Mechanicus,"Plasma candles and sweet incense frame this small shrine. Items blessed by the devout upon the micro-altar feel surer in hand and swifter in use against those things anathema to the Machine God. But should your soul and intentions be profane, blessings will still be granted even as the altar slowly grows dark and rusted, an ugly asymmetry forming in the eight-toothed cog that now frames the Opus Machina..."
0 CP,Filling Meal,Warhammer 40k - Guardsmen Jump,"This filling meal can restore drained morale, uplift the mood, give energy, warmth and bring a small
amount of happiness to the bloody everyday life of a soldier. By taking this item you will be given a
satchel that is always warm to the touch (not appear on thermal scans). Within it you will find 2 different food boxes and 2 flasks. Each food box holds one dish of your choice that is enough to fill the stomach of a hungry Ogryn (it is more than enough for 4 grown men). Before you open the box, you can decide what will be in it, but it must be something you already ate at least once and they must be non-magical meals. The food will always be at the perfect temperature. One of the two flasks holds a non-alcoholic common drink of your choice (water, juice, milk, tea, coffee, etc), while the other one is filled with a weak alcoholic beverage of your choice (beer, ale, wine, cider, but no hard liquor). The flask can hold 2 liters of beverages each. The satchel can only be used twice per day, but you must wait at least three hours between two uses."
0 CP,Tanna ,"Warhammer 40k: Ciaphas Cain, Hero of the Imperium","Tanna is a leafy plant native to the underground ice caverns of Valhalla. The planet's native inhabitants use the leaves to brew a tea, which is traditionally served in bowls. This is also one of Cain’s favorite drinks which he developed a taste for while he served with the Valhallans. This item grants you a supply of the seeds, leaves, and other materials needed to make the beverage. In addition you shall receive one samovar which is a device used to brew and dispense it."
100 CP,Holo Desk,Age of Ultron,"A table shaped device that can create holographic models perfect for study, analysis and reconstruction of a vast array of items, weapons and events. Come in any design and color of your choice.
"
100 CP,Deeply and Greedily,Dead Space ,"There's gold in them thar hills! Also titanium, iron, copper, tin, zinc, and other metals, along various crystal or gemstone strata, maybe some coal or oil to smelt that metal with, or even some fuel-grade unstable materials like uranium. It's all so damn useful, too. Even more useful, now, considering that, whenever you actually go after a pre-existing vein of material, it'll always have a yield about a quarter more of the yield it might otherwise have, same with smelting metals that other people, or automated systems you build, dig up for you. Very useful if you're a do-it-yourselfer that likes to make things out of raw materials."
100 CP,Supply Rooms,Dead Space ,"No matter where you go, from the far-flung future to the distant past, you always manage to find these weirdly out of place, locked, barred, or otherwise sealed rooms. But, hey, they’re always worth
it. Well, almost always at any rate. They have a specific item that they need to be opened; in this universe, depending on where you are, it’s either power nodes or torque bars. In other universes, it might be a type of key, a puzzle door, or maybe a specially-prepared stone, or hell, it might just be an explosive. Whatever it is, it gets the door open, and inside, there’ll be loot; usually money, ammo, a slim chance of a weapon schematic(or a weapon, where applicable), and an even slimmer change of recouping the resource you used to get the door open. Sometimes, though, it is so, so not worth the time spent opening it, with extremely slim pickings, the bare minimum of what little you do manage to find available."
100 CP,Mining,Elite: Dangerous,"You’re a natural at this mining thing; you know just where to cut into an asteroid so you get all of the resource with none of the fuss, and you can place depth charges like a pro. You can work any of the mining equipment in this universe like you’ve been using it for years, and even new equipment wouldn’t take you very long to figure out.
"
100 CP,Nuka Cola Vending Machine,Fallout: New Vegas,"What the hell are you talking about, cowpoke? This here’s sarsaparilla country. If you do have a taste for the second biggest soft drink in the region this vending machine is never short of them and doesn’t charge a cap. Occasionally you’ll even get one of the special edition nuka colas. Still has that slightly radioactive taste but won’t do you any harm."
100 CP,Beginner’s Chest,Generic Minecraft,"Whenever you start a new Jump, including this one, you’ll gain the bare necessities to live for a day or two and some tools to help you integrate into society or build a place to live in. For this Jump, it would be some leather armour, a stack of torches, some iron equipment and a book detailing the basics of Minecraft."
