0 CP,Lingua-Technis,Warhammer 40K - Mechanicus,"You know the secret language of the Adeptus Mechanicus, and provided that you
have the correct equipment, you can both communicate in and understand the
bursts of binary that make this language. It is a very efficient form of
communication, capable of conveying vast amounts of information in a short
timeframe."
0 CP,Rust-B-Gone,Warhammer 40K - Mechanicus,"As stated by the Tech-Priest Jung, “Our enemies may rest but rust never sleeps.”
Rust is a perpetual threat to the Adeptus Mechanicus, one oft-overlooked in favor
of more immediate and grander problems. Yet, it is a foe you seem to have
vanquished. None of your possessions ever rust, tarnish, or suffer from similar
sorts of passive erosion. Any intentional attempt to make your equipment rust will
be as effective as it would normally be, but accidents and natural exposure?
Never."
0 CP,Tech-Adapting ,Gargoyles  ,"By spending a few moments examining a machine, you can figure out how it's most basic functions work. Driving vehicles you've never encountered and operating strange computers is never outside your ability. Longer times spent studying a device increases your understanding, obviously."
100 CP,Artificer,Warhammer 40k - Grey Knights,"As part of your extensive training with the Adeptus Mechanicus, you are now highly skilled in maintaining, repairing, and upgrading a wide array of advanced equipment used by the Imperium of Man. This includes weapons and armor critical to both the Imperial Guard and Astartes, such as Lasguns, Lascannons, Bolters, Chain Weapons, and Power Armor. Your expertise enables you to keep this equipment in peak condition, ensuring it functions reliably even in the harshest environments. Over time, you are capable of upgrading these items, slowly transforming them into masterwork Artificer-grade equipment. This means your weapons and armor won't just perform at their standard level but will gradually become more powerful, more efficient, and more durable."
100 CP,Artisan,Warhammer 40k - Adeptus Mechanicus,"Unlike many in the machine cult who care not for appearances, your equipment and visible bionics are shelled with precious metals and etched with devotional symbols. Every object you craft or possess for a prolonged period of time acquires a bit of extra flair with no effort and without detriment to their functions. Though seen by many in the cult as wasteful or vain this attention to appearance can endear one to those in the higher ranks of Imperial society who value such affectations. You may choose to suppress this perk entirely or only for specific items."
100 CP,At Least You Should Do Them Properly,Bioshock 2,"The markets of Rapture may have been patient, but its science stood still for nothing. Advancements thought impossible on the surface were made in months instead of decades. All thanks to Andrew Ryan refusing to place any form of control on its practice. Similarly, you were freed of the leashes known as ethics and humanity as well. And you are loath to give up such freedom. Your ability to advance your understanding of science is greatly enhanced whenever you disregard petty hindrances like morality. Simply put, when people suffer for your science, you learn so much more "
100 CP,Attendants ,Warhammer 40k - Adeptus Mechanicus,"Choose: A dozen servo skulls, a five-servitor workforce, or a trio of personalized cherubs. All are dull but reliable servants, coming equipped for a variety of tasks. The patterns of each are easy to re-fit for more specialized work.
"
100 CP,Can’t Say I Didn’t Warn You,Flash Gordon,People actually trust your scientific expertise and tend to believe you absent a strong reason not to.
100 CP,Demolitions ,Star Wars – KOTOR,"You gain a natural affinity for explosives. You know everything there is to know about mines, bombs, and grenades. You can easily make and disarm explosives and any explosive weapon you use will deal slightly more damage."
100 CP,Fringe Scientist,Ghostbusters,"You’re as smart as a whip. Your intelligence makes you fully capable of winning the Nobel Prize for physics or mathematics if only those people in the scientific establishment were willing to believe you enough to try and repeat your experiments. This brilliant mind also allows you to design, modify, and build ghostbusting equipment, and otherwise bridge the gap between science and the paranormal."
