100 CP,Rad Resistance ,Fallout 3,"Radiation is an insidious enemy, as its invisible fires mutate and twist as much as it does kill. You should consider yourself lucky, as you are now fifty percent resistant to the effects of radiation, and can flush it out of your system more easily than before."
100 CP,Polyglot,Legion of Superheroes,"Most aliens who show up on Earth seem to speak English. Like them, you are incredibly skilled at learning languages. Within a day you can learn an entirely alien language enough to be proficient at it."
100 CP,Perfect Body ,Lexx,"Maybe you went through extensive physical training and conditioning. Maybe you went
through a version of the Lusticon. Whatever the case, your body is now capable of
performing at the absolute peak of human ability, you are in perfect physical health, and look
as good as it is possible for a human being to look."
100 CP,Reaper ,Smallville,"You can kill with a touch, instantly and painlessly. Unlike Tyler, you can control it so you don’t just kill everyone you touch."
100 CP,Livewire ,Smallville,You can shoot lightning blasts from your hands. Your Sith cosplay is now complete.
100 CP,Something wonderful has happened ,Star Wars Movie Compilation - The Skywalker Saga,"You have full control over your fertility and are able to control the general appearance of any children you have including what percentage of each species they are from any of the Alt-Forms of you and your partner they are, what they inherent and what other natural abilities they have.
"
100 CP,Enhanced Vision ,Superman - The Animated Series,Sight beyond sight. You can now perceive the full spectrum of light and possess telescoping x-ray vision that will let you see with perfect clarity through obstacles. This vision is blocked by atoms with a heavy nucleus like lead or depleted uranium.
100 CP,Sensory Deprivation ,Superman - The Animated Series,"With the brush of your hand you can suppress the senses of your foes. While robbing someone of their sight is obviously valuable, this power extends to more uncommon senses like pain or the sense of balance. Requires physical contact to work, ends immediately after contact is broken and can only block one sense at a time."
100 CP,Longevity,The Boys,Your natural life span has been increased so that you can live for decades without showing any signs of aging.
100 CP,Bullseye ,The Boys,"You now possess uncanny aim, only matched by the likes of Gunpowder and Eagle the Archer. While a normal gunsman or an archer may use their weapon to hit the target in the bullseye, you can hit it by making your bullet or arrow bounce off of a water pipe, through a parked car's passenger and driver windows, off a second support beam, which then hit the target."
100 CP,X-Ray Vision,The Boys,"Your vision allows you to see through any solid object or surface, with the exception of objects and surfaces that are lined with zinc. This also gives you the ability to see vast distances when you want to, at least several miles."
100 CP,Know No Fear,Warhammer 40k: Imperium of Man,"It would be a poor Astartes to cower in fear of a Hive Tyrant, no matter how understandable it may be to the common man. Thankfully, you are above such things, your transhuman mind incapable of experiencing fear at all, and you will not hesitate in the face of the actions you must perform to ensure that the mission is complete."
100 CP,Teleportation,X-Men Evolution,"You can teleport and spam it like there is no tomorrow with no danger to telefragging or being telefragged yourself. You can teleport objects along with you so long as you are touching them. The only limit at the beginning is a 2-mile radius and having prior knowledge of your location or sight of it. With time or training you’ll increase your radius, the amount of stuff you can carry, and can remove the line of sight necessity."
