0 CP,M274 Mongoose ,Halo - UNSC,"Some vehicles just weren’t designed for combat in mind... at least that’s what one would think upon seeing an all-terrain vehicle like this. Being designed to go over nearly any terrain without much difficulty and able to carry an additional passenger on the back in a pinch, the Mongoose is one of the fastest land vehicles in the UNSC. It’s highly effective in regards to rapid transportation, reconnaissance and swift tactical versatility. The downsides? Its light mass and lack of armor means it can be unwieldy at times and can be taken out rather easily."
0 CP,Arvus Lighter,Imperium Nihilus ,"You’ll be getting a few of these for free upon purchase of any ship, dependent upon the size of the ship you bought. And trust me, you will want it, and so will your crew. Unless you want to find a landing spot on every planet or rely on what can sometimes be a dangerous teleportation trip, you’ll want a lighter to ferry you from orbit to planet-side. An Arvus Lighter is a small, general-purpose cargo hauler. Nicknamed “the Hog”, “the Little Pig”, and “the Onager” for reasons lost to time, this shuttle is a personal favorite of the Imperial Navy. Equipped with two powerful engines, this little vessel is void-capable and capable of carrying a few tons of cargo with every trip, along with a dozen passengers, a lot more if you’re willing to squeeze them in. Unfortunately, the Arvus Lighter is bereft of weapons, unless you count the Chaff Launchers. It may be durable but try not to stay on the battlefield too long."
0 CP,Flight Suit,Star Wars Squadrons v1.1,"A flight suit and helmet, which comfortably fits you. If you have taken a background that aligns you with the Empire, New Republic, or Rebellion, then you receive a flight suit and helmet appropriate to that faction. If you are unaligned, or a Drop In, you instead receive a ‘generic’ flight suit and helmet. Your flight suit and helmet are self-cleaning and self-repairing, allowing you to wear them as often as you like. If either is lost or destroyed, a replacement will appear in your Warehouse after 24 hours."
0 CP,Hangar Bays/Landing Pads ,Warhammer 40k - Black Crusade 3,"You may have fighters, you may have bombers, or even transport ships that managed to get through the war-filled skies to deliver reinforcements or supplies. But you need somewhere for them to land as a result. These large pads for supply ships will be heavily defended by whatever defenses and weapons you may have purchased, and the hangar bays will be built into the walls and underground for aircraft to fly into and out of with enough room to let them build up enough speed."
100 CP,Slipfighter ,Andromeda,"You get a Slipfighter of your choosing, there are 4 main variants: the Phoenix is a dogfighter, the Shrike focuses on anti-starship, the Centaur is an escort, and the Arc Light is a bomber."
100 CP,Bat Car,Batman - The Dark Knight Trilogy,"This is the tumbler, a prototype armoured tank. The vehicle contains twin forward-firing machine guns, a rocket launcher, explosive mines that can be deployed from the back of the vehicle, a vector-controlled jet engine in the back that can be used for quick boosts or ramp less jumps and a landing hook. Both front wheels can also eject to form the Batpod; an auxiliary motorbike with dual front mounted cannons, machine guns and grappling hooks. You also gain a remote control for the vehicle small enough to fit into your pocket. And yes it comes in black."
100 CP,Aero-Disc ,DC - The Fourth World,"A favorite method of locomotion in New Genesis, these two circular discs are meant to carry one foot each of the one riding it, allowing them to fly through the air. Keeping balance with them requires some effort, but after some practice, it’s just like riding a bike...a bike that can fly, at least."
100 CP,Crashed Spaceship ,DC Multiverse - Earth 11,"The vessel that first carried you to this planet, hidden in a secure and isolated location to prevent it from falling into the wrong hands. There’s some old technology from your homeworld in here, including traditional clothing and recorded messages from your loved ones. The ship itself isn’t spaceworthy anymore thanks to the damage from the crash, and the engine can only handle short flights before burning out, but the framework and machinery are still present. If you have the know-how and some decent materials you might be able to get it working again."
100 CP,Vehicle Storage ,Fallout Series,"There aren't very many methods of travel left for the common man beyond walking and brahmin
wagons, so what you do have needs to be taken care of real well. You now have a dedicated
area just for this, storing and maintaining any vehicles that come into your possession."
100 CP,Vertibird,Fallout: New Vegas,"A craft similar to a helicopter with two propellers. This one has gatling lasers, missile racks, does not run out of fuel and is well armored and shielded enough to resist more than a few missiles and even an EMP. It’s even got a small stock of mini-nukes that replenish daily."
100 CP,Ghost,Halo - The Covenant,"A light, sleek one person scouting vehicle with 2 vicious plasma autocannons on the front. Similar to a motorbike in how it leaves the canopy exposed, this vehicle floats just above the ground, like most covenant vehicles, and has a broad front to allow for optimal ramming ability. Can turbo boost at 100 mph indefinitely at the expense of using its guns. Somewhat vulnerable due to its exposed plasma tank and blind spot, but far faster than any other covenant ground vehicle."
100 CP,Drop Pod ,Halo - UNSC,"More formally known as the Single Occupant Exoatmospheric Insertion Vehicle, this device has one purpose in mind: Get a human from high orbit down to the ground. Within the pod is an array of communications equipment, space for weapons, a crash seat, and rudimentary controls to direct the pod as it’s falling down to its intended destination. The reason these single-occupant craft exist is so that should there be anti-air fire, each craft destroyed is only a single fighter lost rather than an entire group. As the pod falls and the ceramic skin burns away, the temperature inside the pod will climb to high levels, hence the nickname of ‘Helljumpers’. While there’s brake chutes so it slows down upon getting close enough, just be careful when using them. This item comes with blueprints to make more."
100 CP,M12 Warthog,Halo - UNSC,"There are some things that are just so reliable that any upgrades you make are just variants of the basic vehicle in question. Reliability that is needed in a war of survival. That reliability comes in the form of this four-wheeled ground vehicle that boasts impressive speed, traction, and torque at both the high end and low end. Using hydrogen-injected ICE I/C plant and a Graf/Hauptman Solar/Saline Actuator, this thing can go for four hundred and ninety miles before needing a refill and could use twelve liters from any fresh, brackish, or salt water to turn into more hydrogen on the fly. While the default variant comes with a light machine gun turret that can be wielded by a third person, you may take the machine gun out for four extra seats for troop transport instead."
100 CP,XRP12 Gremlin ,Halo - UNSC,"In the early days of the Insurrection, there were concerns about what would happen if they were able to get ahold of nuclear weapons. After all, the war was problematic enough without them detonating weapons of mass destruction. After the Human-Covenant war began to break out, this vehicle was repurposed. The Gremlin is a six-wheeled vehicle that has considerable speed and maneuverability, and while it has no armor to speak of it does contain a powerful tool: The X23 Non- Nuclear Electromagnetic Pulse Cannon. Think of it as a focused EMP burst, being able to knock out powerful devices such as Covenant power generators and other relaying stations. Naturally, this means it’s dangerous against vehicles."
100 CP,Sentinel,Imperial Guard Jumpchain,"The Sentinel is a two-legged walker, commonly used as a scout vehicle or for mobile fire support. It can mount a chainsaw and either a heavy flamer, autocannon, missile launcher, lascannon or plasma cannon. Comes in Scout and Armoured variants, with the Armoured variant able to mount heavier armour at the cost of significantly reduced mobility."
100 CP,Taurox Prime,Imperium Nihilus ,"Do you know what the last four vehicles have in common? They’re all small and because of that, you can’t exactly pack a whole lot of weaponry onto them. Not only that, but that same size makes it so that they’re not usually as durable as a bigger vehicle. It doesn’t help that all four of them leave the rider exposed. Luckily for you, there’s a reason that mankind’s built all sorts of APCs and tanks. And the Taurox Prime is a great vehicle for anyone who wants something a little more durable. While not as fast as motorcycles and jetbikes, nor is it even as close to agile as Sentinels and Ironstriders, it more than makes up for its size, durability, and the weaponry it carries into battle. Whether it be in a hive, a jungle, or on the open plains, the Taurox can carry you and a dozen soldiers to your destination with ease, even while under enemy fire. And with the weapons mounted onto it—from Hotshot Volley Guns to Battle Cannons to Gatling Cannons to Cannons to Missile Launchers and more—you’re more than capable of firing back and killing more than your fair share of enemy combatants."
100 CP,Air Car ,Mass Effect - Legendary Edition,"One of the finest on the market, this is the kind of car you'd find in the garages of the rich and powerful. It's easy to drive, can reach altitudes of 50 miles, has four luxurious seats, bulletproof windows, a trunk large enough to hold a body, and many more amenities that you'd expect a vehicle like this to. Best part is, you never have to worry about fuel or recharging again."
100 CP,Krill Marauder Class Fighter ,Orville,"A Krill Marauder class fighter is a small well armed fighter craft capable of high maneuverability. It is capable of FTL travel and has 2 forward facing weapons to engage and destroy enemies. Furthermore, it will return to you if lost or destroyed in one day, and you have blueprints to create more."
100 CP,XJ-6 Airspeeder,Star Wars Movies Compilation - The Star Wars Saga,"This custom-built airspeeder uses exotic materials and incorporated advanced systems into its design, it was fashioned for quick and comfortable movements. The vehicle includes an inertial compensator normally reserved for spacecrafts, two oversized turbofan engines, an electrogravitic gyro flywheel that allows the craft to make abrupt turns without traction.
"
100 CP,F-302 Fighter ,Stargate Atlantis,"Two-person aerospace fighter with dual railguns, naquadah-enhanced missiles and a special payload bay, built by Earthlings. Has a hyperdrive for in-system hops but doesn’t fit through a Stargate unless disassembled first (which it is designed for). Can be operated by one person if necessary."
