100 CP, Cycler Rifle,Star Wars - The Orginal Trilogy ,"The standard projectile weapon used by the Tusken Raiders of Tatooine. This slugthrower, a rare type of weapon that fires solid projectiles, features a long range scope and an energizer that lets it's projectiles penetrate shields."
100 CP,40-Watt Phased Plasma Rifle,Terminator,"As mankind was quick to realize, ballistic weaponry proved to be less than effective against the machines that SkyNet had at its disposal. Which is why they had this. A plasma rifle. This plasma rifle fires off bolts of plasma at a speed over Mach 25 and with a rate of fire that far surpasses most common ballistic weapons. These bolts of plasma are capable of punching through over a quarter of a meter of case-hardened steel. A direct hit from this rifle is almost certainly guaranteed to put down any organic target, whether it be through the explosion caused by the plasma or the shot itself. Even a near miss is deadly, capable of inflicting 3rd degree burns and any splash damage from it is about as dangerous as a traditional grenade. As for ammunition, you’ll never need to worry about that. This thing has unlimited ammunition. All you have to worry about is overheating which means it needs to cool off every one or two hundred shots. Still, this is a powerful weapon indeed. Go put down some Terminators, would you?"
100 CP,Ascension Gun ,Star Wars Movies Compilation - The Star Wars Saga,"This S-5 heavy blaster pistol was modified to be able to fire a grappling hook attached to a tether, allowing the wielder to cross a horizontal gap or make a vertical climb. The blaster itself has a heavy wooden grip stock and twin scopes for sighting and rangefinding. The blaster also features a dart launcher underneath the main barrel, able to fire either an anesthetic micro dart, a sting charge, or the grappling hook’s tip.
"
100 CP,Black Pack,Lexx,"This handheld weapon fires black webs of energy from a pair of prongs attached to the handle. Organic targets struck by these energy webs are disintegrated instantly. The battery pack on this one, which is connected to the handle by a length of cable and typically worn at the waist, will never run out of charge."
100 CP,Brace,Lexx,"This versatile, wrist mounted weapon is the signature tool of the Divine Assassins. The weapon consists of two fold-out blades arranged like an insect’s mandibles attached to a retractable cord. Despite the blades being sharp enough to sever limbs outright and punch through a person’s rib cage to cut their heart in two, it is possible to use them as grasping implements without damaging your target. The cord can extend to significant lengths and retracts quickly on demand, letting the device serve as a grappling hook that can let you ascend even the tallest buildings. When launched, the weapon makes a sound similar to the call of a hawk."
100 CP,Collapsible Staff ,Batman Beyond,"A metal quarterstaff that can be collapsed down to about the size of a large bottle. Good for beating up dangerous people, traversing hazardous environments, and stopping big heavy doors."
100 CP,Digi-Multi Lasers,Imperium Nihilus ,"Popular amongst Rogue Traders, Inquisitors and the rest of high society, digital weapons, or digi-weapons if you prefer, are miniaturized weapons, often built into things such as rings or other jewelry, hence the name. Digi- weapons cannot be crafted by most of the Imperium and so, they are more often created by the Jokaero, a strange race of ape-like xenos with tremendous technological knowledge and capabilities. As small as they may be, they are nonetheless just as powerful as their full-sized counterparts. And your variant is a step above even that. By combining the potency of plasma, melta, and las energy into a beam of destructive force, you have a weapon that can easily punch through even a Land Raider. It’s unfortunate that you only get one shot a day and it doesn’t stock up. Still, that single shot can work wonders if you use it right."
100 CP,DL-44,Star Wars Movies Compilation - The Star Wars Saga,"This heavy blaster pistol offers above-average firepower without compromising accuracy, and is easily modifiable.
"
100 CP,E-11 Medium Blaster Rifle,Star Wars: Death Troopers Gauntlet,"A standard blaster rifle of the Imperial Military. This is a highly versatile rifle that combines long range and high power, with a compact design. Its capacity is 200 shots per standard power cell or 500 shots per standard plasma pack. "
100 CP,Electrostaff,Star Wars Movies Compilation - The Star Wars Saga,"This staff-like melee weapon was designed for single combat against lightsaber-wielders such as Jedi, and is plated in phrik alloy that gives it the ability to block lightsaber strikes. Each end of the staff is tipped with purple or yellow electricity, which was powerful enough to stop a being's heart after five seconds of contact.
"
100 CP,Grenades,Mass Effect - Legendary Edition,"What's better than shooting something? Making something explode! This pouch has so many explosives stored away that you'd think that it has infinite grenades (hint: it does), and at least one of every kind. Frag grenades, incendiary grenades, smoke grenades, EMP grenades, flash grenades, but one of the most fun ones is the mass grenade, utilizing Eezo to make everything that isn't nailed down within fifteen feet of the blast float helplessly in the air, making for easy targets."
100 CP,Gun Nut,Fallout 3,"If there's one companion that you can unequivocally trust, it's a gun. Big guns, small guns, shotguns, miniguns, there's so many kinds out there that it's hard to choose. It doesn't really matter to you, as any gun you use will hit harder, fly farther, and punch through targets easier than before.."
100 CP,Haywire Grenades ,Warhamer 40k - The Ynnari,"Others may sneer at your ‘primitive’ and ‘quaint’ ways. But who will be laughing after
your EMP grenades turn their fancy vehicles and sophisticated thinking machines into massive paperweights, hmm? Six Haywire grenades, replenished weekly."
100 CP,Helfrost Gun ,Imperium Nihilus ,"Hailing from the world of Fenris, home of the Space Wolves, Helfrost weapons are a rather unique and interesting tool of war. You could even consider it as a sort of counterpart to the famed Melta weapons so often used by Guardsmen and Space Marines alike. Whereas as a Melta fires off a short-ranged beam of concentrated heat, the Helfrost instead unleashes a short-ranged beam of the purest cold. And with this pistol, you and your foes will know just how deadly the cold can be. Once struck by the beam, flesh blackens and shatters with catastrophic frostbite and armor offers no protection, buckling and cracking as frost spreads from the point of impact. And unless your poor foes can fight their way free, they shall find themselves as a withered revenant forever imprisoned within a jagged and never-melting tomb of ice and frost."
100 CP,Isotope Weapon ,Terminator,"Designed by a time traveler known only as the “Engineer”, the isotope weapon is a rifle
built from scavenged parts around 1963. It is, in a sense, a powerful plasma rifle that
allows for a variety of firing modes. Through the magnets around the chamber, the
plasma can be shaped into a cylinder, a bullet set to be fired off, one capable of blasting
apart a T-888. And you have the choice to fire off the plasma as either a single slug or a
pulse. You have not only the weapon but also the blueprints for it."
100 CP,IW Weapon ,Earth Final Conflict,"The first practical Information Warfare weapon, a clumsy-looking tri barreled rifle with rubbery fins. Human technology generates an EMP, while the Taelon additions properly contain and channel it into an adjustable precise beam. You can stop a car, or blackout a single building, fry thecomms of a platoon, all without creating problems for your own kit."
100 CP,Jawa Ionization Blaster ,Star Wars - The Orginal Trilogy ,A makeshift weapon created by the Jawas. This blaster can temporarily shut down droids with a powerful electric shock. Any organic it hits will only receive a minor zap.
100 CP,Je'daii Katana ,Star Wars - Tales of the Jedi,"Before the coming of the Force Hound Xesh, the Je’daii wielded swords that look remarkably similar to japanese katanas. These weapons were empowered by alchemy, making it preternaturally strong and sharp. This one, through the grace of the Benefactor, is even tougher, and cannot be easily sundered, even by a Force Saber. While a Katana is the most common form, your weapon could take the form of any one or 2 handed unpowered melee weapon"
100 CP,Laser Pistol,Fallout 3,"Intended to replace the N99 pistol as the standard sidearm for military forces, the AEP7 laser pistol is a good choice to have at your sides. This energy weapon may not be the most deadly, but it's good to keep by your side."
100 CP,Lightning Maul,Warhammer 40k - Squats,"Really, it’s a Thunderhammer, but from an age when only Squats had them. Really, it’d be rude not to use their name. But seriously, it’s a Thunderhammer."
100 CP,M-134 Minigun,Terminator,"Ah. The M-134 minigun. A classic staple of action movies everywhere. Now you get the
chance to experience it all for yourself. Ordinarily, such a firearm would be far too heavy
and unwieldy to fire without being mounted onto a vehicle, you’ll find that you’ll have no
trouble lifting and firing this gun, being to practically weightless to you. Others will not
have that luxury. Capable of firing 6,000 bullets a minute, bullets going over twice the
speed of sound and capable of penetrating walls as easily as it blows holes in men. Not
only that but you’ll also find that you never need to worry about reloading this gun. This
thing has infinite ammunition. You can keep firing this until the barrel starts melting."
