Cost,Name,Source,Description
0CP,Powers,Chronicle,"What would you do if you had the power to do whatever you want, Jumper? No matter what 
your answer to that question is, you’ll be able to prove it to the world soon enough. Through 
strange means, you have gained the potential to do great things, though you might not notice it 
for the first few weeks. But after some time, you will come to realize the existence of what might 
be described as a new sort of muscle. One that allows you to use a power commonly called 
telekinesis in fiction. After you first begin to use it, even moving a baseball around for a few 
seconds will be too much overexertion, the strain making your nose bleed. But like any other 
muscle, this one can be trained as well. Throughout the course of a few weeks, if you trained 
regularly, your power would grow by leaps and bounds, allowing you to easily move around 
cars, fly, or create a protective forcefield around yourself. And just a mere month after that, you 
would be able to throw around buses like they weighted nothing, easily fly through skyscrapers 
without harm, and create telekinetic pulses and vibrations to push away dozens of cars or 
threaten the structural integrity of multiple high-rises. If you kept at it, who knows how much 
stronger you could become.  

If you want to, you may instead gain these powers from a strange crystal, far down a hole in a 
Seattle forest, perhaps alongside a few others, some teenagers or your companions. That will 

cause you to develop what could be called a psychic connection: should one of you experience 
an extreme emotion such as anger or fear, your nose will start bleeding heavily as if you had 
overused your powers, and you will even start to vaguely hear voices and sounds around them. "
0CP,Airburst,My Hero Academia,"The user is able to compress small quantities of air into marbles and
project them. The marbles rupture on contact with something, popping with the force of a
large balloon.
The marbles even sound like popping balloons, leaving them a startling, attention
grabbing distraction but ultimately harmless. The user must hold their breath while
collecting and throwing these marbles of air, requiring strong lungs."
0CP,Anesthetic,My Hero Academia,"The Quirk user is able to temporarily numb a portion of themselves or
another living creature by poking them with their fingers.
This poke feels like a minor prick, and causes a small area around the point of
contact to lose sensation for a period of ten to twenty minutes. Target is not inhibited in any
way otherwise. There is a small cooldown between each activation of this Quirk."
0CP,Badger,My Hero Academia,"This Quirk grants the power to lengthen and harden the user’s nails a bit
on command. This can be helpful with peeling tags, clawing people, poking through plastic,
scratching a particular itch and so on. Comes at the expense of the effects not being very
potent."
0CP,Barbs,My Hero Academia,"The user is able to cause small thorns to sprout from inanimate objects
they touch, around an inch in length each. They can cause barbs to appear up to half a yard
from their touch.
The thorns take on the hardness of the material they’re made of, meaning some
might be more dangerous than others, but not the toughness, as they’re persistently brittle.
This means thorns made of things that would ordinarily bend or dent like rubber or
iron will instead crack and crumble when enough force is applied."
0CP,Bendy Fingers,My Hero Academia,"The Quirk user has a heightened range of movement within their
fingers, allowing them to bend backwards and side to side as easily as normal fingers could
be curled forward. This heightened flexibility and dexterity is exclusively in the fingers."
0CP,Big Horn,My Hero Academia,"The user of this Quirk has a large pair of horns of whatever shape and
size they desire. The horns are incredibly strong, needing industrial equipment to break.
The user’s skull and spine are also strengthened, which in combination with the
horns allows the user to charge, batter and slam their horns and heads into enemies with
less personal risk of harm.
The horns due to their size can often get in the way. Horns heal over time if severed
unlike other body parts, but do so somewhat slowly."
0CP,Blade Arms,My Hero Academia,"The user, as you guessed it, has the ability to sprout short metal
blades from their arms. The metal blades have about the same general sharpness and
strength as a normal knife.
The user’s primary limitation is the fact that they can only sprout the blades from
the backs of their arms and they’re rather short, making them a bit awkward to use."
0CP,Booze Hound,My Hero Academia,"The user of this Quirk is acutely aware of alcohol in their area,
being able to detect general location, strength and amount fairly easily.
Someone with this Quirk would be able to easily make out the blood alcohol content
of someone if they have doubts of their sobriety, or hidden wine or booze when
interrogating.
The strength of the Quirk is such that someone soaked with alcohol could be reliably
tracked as well. The user of this quirk can start getting tipsy if the sense is left active too long."
0CP,Brail,My Hero Academia,"The Quirk user has a heightened sense of touch that has a complex
interaction with the language processing sections of the brain. Through this, the Quirk user
is able to read from physical mediums of writing such as magazines or books by simply laying
their hand on the cover.
The Quirk user must know the language they’re attempting to read. Doesn’t work
with text not recorded in a physical medium, such as that on a computer screen. Only a few
times faster than reading it through ordinary means."
