0 CP,Starting Gear ,The Legend of Zelda Series ,"Very few start their journey truly deprived, and you are no different. You possess a simple outfit and a steel weapon of your chosen design. It's not much, but it's better than nothing."
0 CP,Boomerang,The Legend of Zelda Series ,"What may at first seem like a children’s toy, this boomerang is razor sharp and easy to use. No matter how you throw it or how many targets it hits, it will always return to your height."
0 CP,Compass ,The Legend of Zelda Series ,"A bronze tool meant to help those navigate their surroundings, you could never go wrong with a compass in hand. It always points north, regardless of how much an environment should be screwing with it."
0 CP,Endless Wallet ,The Legend of Zelda Series ,"So many clinky shiny rupees for you to find, but so few places to store all of them. No longer, as this pouch can contain any amount of money you collect, regardless of if it's rupees, gold, or paper bills. It will hold them all and never get heavier. It will also convert them into any other types of currency you need at the moment."
0 CP,Fairy Lantern ,The Legend of Zelda Series ,"A lantern that was blessed by fairies was gifted to a courageous explorer who desired to plunge deep into the dark. It glows with a fae light, never going out no matter what may happen to it."
0 CP,Magic Bottles,The Legend of Zelda Series ,"What seem like ordinary bottles to some, these have been specially enchanted to contain and preserve anything that can fit inside. From hot soup to fairies to magical fire, the only way it's getting out is if you let it."
0 CP,Premium Lonlon Milk,The Legend of Zelda Series ,"For when you want to unwind after a long day’s hard work, Lonlon Milk is there to help you along. Ice cold and delicious, this magically enhanced milk has an almost alcoholic effect on those who drink it, and will replenish afterwards."
0 CP,Slingshot ,The Legend of Zelda Series ,"Though it may look like a children's toy, never underestimate the power of a slingshot. This one hits with a surprising amount of force, and can hit a target from a hundred meters away. You will also receive a satchel filled with fifty deku seeds to use as ammo, which will replenish daily."
100 CP,Ancient Whip,The Legend of Zelda Series ,"An ancient treasure from the Era of the Sky, the end of it has an orb of light that grabs tightly to whatever the user desires. It is also possible to hang on poles, branches, and other things with the whip and swing in the air with it. This whip can extend to reach up to fifteen feet, and can be used for a number of other purposes, should one be clever enough."
100 CP,Ball and Chain,The Legend of Zelda Series ,"Are you ready to cause some extreme damage and mayhem? If so, then there's no better weapon for you. A steel ball as big as a man's torso, yet light to you, it can be swung around to great effect using its extending chain. Use it to smash rocks and ice, or twirl it around to smash any monsters foolish enough to get close."
100 CP,Golden Gauntlets,The Legend of Zelda Series ,"Crafted by the ancient gerudo, these golden gauntlets with a ruby embedded into it, they will grant a great boon to its wielder. While wearing them, you will see an exponential increase in strength, enough to toss around a massive pillar of stone, though the magic within makes it so this strength cannot be used in combat."
100 CP,Magical Instrument ,The Legend of Zelda Series ,"It is often said that music is its own kind of magic, capable of moving the hearts and souls of any who listen to it. And when played through an instrument like this, that claim becomes a bit more literal. Not only will this enhance any music based magic when played, but the music played will always be pleasant to hear, even from a complete novice."
100 CP,Pegasus Boots,The Legend of Zelda Series ,"A long time ago, mortals began to walk. And then, they ran. Ever looking for increased speed, they have crafted these leather boots with wings on the side. Wearing them will triple your speed with no loss of control."
100 CP,Set of Potions ,"The Legend of Zelda Series 
","It takes a special kind of fool to travel these lands without any kind of support, and few are as good as these. Within your possession are six glass bottles, each filled with potions. Three options to restore health, and three to restore stamina. They will refill themselves after a day, so don't worry about running out in the long term. Thankfully, they actually taste pretty good."
100 CP,Adventure Pouches,The Legend of Zelda Series ,"There are so many neat goodies and tools to be found while adventuring the land of Hyrule, so it's always a shame when you can't carry more. Never again, as these three hip pouches are practically endless, able to hold whatever you need without any increase in weight, so long as they can fit into the opening. If you're looking for a specific item, just reach in while thinking of it, and it's there."
